"","Table 5#3#5# Private Fixed Investment by Type                   ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66"
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009"
"19","1","    Private fixed investment","A007RC1","35,510.0","42,444.0","39,558.0","48,293.0","50,252.0","50,510.0","54,489.0","55,756.0","64,048.0","68,076.0","69,681.0","64,853.0","74,616.0","75,659.0","75,186.0","82,031.0","88,135.0","97,236.0","108,994.0","117,669.0","118,733.0","132,126.0","147,271.0","150,377.0","169,912.0","198,501.0","228,611.0","235,428.0","236,475.0","274,844.0","339,016.0","412,162.0","474,891.0","485,583.0","542,572.0","532,146.0","570,051.0","670,218.0","714,357.0","739,948.0","757,802.0","803,089.0","847,255.0","846,421.0","803,285.0","848,458.0","932,531.0","1,033,504.0","1,112,887.0","1,209,424.0","1,317,658.0","1,447,065.0","1,580,692.0","1,717,666.0","1,700,211.0","1,634,930.0","1,713,319.0","1,903,640.0","2,122,275.0","2,267,219.0","2,269,118.0","2,170,805.0","1,749,745.0"
"20","2","Nonresidential","A008RC1","23,453.0","26,806.0","24,910.0","27,756.0","31,828.0","31,918.0","35,101.0","34,677.0","39,045.0","44,523.0","47,511.0","42,506.0","46,508.0","49,374.0","48,786.0","53,055.0","55,999.0","62,962.0","74,777.0","85,383.0","86,376.0","93,407.0","104,651.0","109,012.0","114,148.0","128,836.0","153,265.0","169,465.0","173,745.0","192,361.0","228,719.0","280,563.0","333,898.0","362,392.0","420,011.0","426,466.0","417,198.0","489,633.0","526,185.0","519,834.0","524,116.0","563,783.0","607,745.0","622,440.0","598,174.0","612,126.0","666,567.0","731,411.0","810,033.0","875,366.0","968,607.0","1,061,137.0","1,154,903.0","1,268,688.0","1,227,813.0","1,125,435.0","1,135,678.0","1,223,034.0","1,347,325.0","1,505,330.0","1,640,153.0","1,693,620.0","1,388,794.0"
"21","3","  Structures","B009RC1","8,137.0","9,526.0","9,178.0","9,957.0","11,954.0","12,224.0","13,570.0","13,865.0","15,157.0","18,180.0","18,950.0","17,629.0","18,149.0","19,568.0","19,715.0","20,778.0","21,199.0","23,737.0","28,321.0","31,349.0","31,511.0","33,557.0","37,698.0","40,287.0","42,679.0","47,173.0","54,983.0","61,237.0","61,350.0","65,915.0","74,578.0","93,584.0","117,701.0","136,170.0","167,314.0","177,564.0","154,344.0","177,397.0","194,517.0","176,527.0","174,202.0","182,789.0","193,716.0","202,917.0","183,605.0","172,572.0","177,152.0","186,769.0","207,270.0","224,583.0","250,265.0","275,130.0","283,945.0","318,145.0","329,706.0","282,752.0","281,866.0","306,651.0","351,754.0","433,671.0","535,350.0","609,506.0","479,980.0"
"22","4","    Commercial and health care","W001RC1","1,082.0","1,540.0","1,394.0","1,777.0","1,938.0","1,557.0","2,134.0","2,575.0","3,415.0","4,199.0","4,143.0","4,237.0","4,556.0","4,836.0","5,492.0","6,186.0","6,096.0","6,758.0","8,170.0","8,257.0","8,186.0","9,403.0","11,665.0","12,539.0","14,889.0","17,554.0","19,818.0","20,643.0","17,662.0","18,050.0","20,301.0","25,332.0","33,505.0","40,968.0","48,271.0","55,785.0","55,836.0","70,594.0","84,135.0","80,856.0","80,827.0","86,322.0","88,269.0","87,465.0","68,922.0","64,488.0","69,363.0","75,384.0","83,056.0","91,495.0","104,304.0","115,969.0","125,419.0","139,321.0","137,303.0","119,419.0","115,054.0","125,328.0","135,923.0","156,411.0","181,873.0","185,165.0","138,424.0"
"23","5","    Manufacturing","C307RC1","1,702.0","1,397.0","972.0","1,062.0","2,117.0","2,320.0","2,229.0","2,030.0","2,259.0","3,224.0","3,557.0","2,382.0","2,106.0","2,851.0","2,780.0","2,842.0","2,906.0","3,565.0","5,092.0","6,566.0","5,956.0","6,021.0","6,807.0","6,986.0","6,260.0","5,914.0","7,919.0","10,025.0","10,551.0","10,090.0","11,064.0","16,155.0","22,034.0","20,522.0","25,413.0","26,082.0","19,454.0","20,901.0","24,139.0","20,984.0","21,210.0","23,203.0","28,786.0","33,636.0","31,424.0","29,029.0","23,562.0","28,947.0","35,498.0","38,166.0","37,624.0","40,485.0","35,126.0","37,583.0","37,815.0","22,744.0","21,435.0","23,667.0","29,887.0","35,088.0","45,303.0","60,778.0","75,911.0"
"24","6","    Power and communication","W003RC1","1,842.0","2,438.0","2,680.0","2,776.0","3,025.0","3,119.0","3,598.0","3,344.0","3,262.0","4,142.0","4,521.0","4,396.0","4,307.0","4,371.0","4,085.0","4,066.0","4,355.0","4,754.0","5,385.0","6,291.0","7,093.0","8,281.0","8,670.0","10,215.0","10,990.0","12,073.0","13,817.0","15,078.0","15,665.0","18,155.0","19,274.0","21,442.0","24,622.0","27,295.0","29,954.0","29,602.0","25,781.0","26,496.0","26,526.0","28,288.0","25,411.0","25,030.0","27,479.0","26,333.0","31,560.0","33,879.0","33,173.0","31,164.0","33,099.0","29,223.0","28,778.0","34,163.0","40,445.0","48,143.0","51,095.0","50,992.0","48,074.0","42,829.0","45,152.0","53,349.0","74,805.0","94,370.0","95,383.0"
"25","7","    Mining exploration, shafts, and wells","E318RC1","903.0","1,233.0","1,216.0","1,435.0","1,709.0","1,950.0","2,144.0","2,306.0","2,522.0","2,653.0","2,603.0","2,369.0","2,521.0","2,339.0","2,324.0","2,485.0","2,251.0","2,415.0","2,435.0","2,453.0","2,430.0","2,560.0","2,795.0","2,786.0","2,661.0","3,069.0","3,483.0","5,163.0","7,362.0","8,615.0","11,462.0","15,419.0","19,034.0","27,377.0","42,458.0","44,751.0","29,998.0","31,284.0","27,923.0","15,682.0","13,056.0","15,721.0","14,909.0","17,920.0","18,544.0","14,197.0","16,590.0","16,393.0","15,048.0","16,777.0","22,387.0","22,297.0","18,296.0","23,741.0","34,590.0","30,249.0","38,448.0","51,928.0","77,064.0","114,221.0","142,484.0","165,886.0","87,529.0"
"26","8","    Other structures \1\","W004RC1","2,608.0","2,918.0","2,916.0","2,907.0","3,165.0","3,278.0","3,465.0","3,610.0","3,699.0","3,962.0","4,126.0","4,245.0","4,659.0","5,171.0","5,034.0","5,199.0","5,591.0","6,245.0","7,239.0","7,782.0","7,846.0","7,292.0","7,761.0","7,761.0","7,879.0","8,563.0","9,946.0","10,328.0","10,110.0","11,005.0","12,477.0","15,236.0","18,507.0","20,008.0","21,217.0","21,344.0","23,275.0","28,122.0","31,795.0","30,717.0","33,698.0","32,513.0","34,273.0","37,563.0","33,155.0","30,979.0","34,464.0","34,880.0","40,569.0","48,922.0","57,173.0","62,216.0","64,659.0","69,357.0","68,903.0","59,348.0","58,856.0","62,898.0","63,728.0","74,601.0","90,884.0","103,307.0","82,734.0"
"27","9","  Equipment and software","B010RC1","15,316.0","17,280.0","15,732.0","17,799.0","19,874.0","19,694.0","21,531.0","20,812.0","23,888.0","26,343.0","28,561.0","24,877.0","28,359.0","29,806.0","29,071.0","32,277.0","34,800.0","39,225.0","46,456.0","54,034.0","54,865.0","59,850.0","66,953.0","68,725.0","71,469.0","81,663.0","98,282.0","108,228.0","112,395.0","126,446.0","154,141.0","186,979.0","216,197.0","226,222.0","252,697.0","248,902.0","262,854.0","312,236.0","331,668.0","343,307.0","349,914.0","380,994.0","414,029.0","419,523.0","414,569.0","439,554.0","489,415.0","544,642.0","602,763.0","650,783.0","718,342.0","786,007.0","870,958.0","950,543.0","898,107.0","842,683.0","853,812.0","916,383.0","995,571.0","1,071,659.0","1,104,803.0","1,084,114.0","908,814.0"
"28","10","    Information processing equipment and software","A679RC1","1,723.0","1,809.0","1,628.0","1,841.0","2,149.0","2,430.0","2,666.0","2,424.0","2,818.0","3,355.0","3,982.0","3,606.0","3,988.0","4,869.0","5,261.0","5,707.0","6,527.0","7,364.0","8,517.0","10,663.0","11,277.0","11,915.0","14,611.0","16,637.0","17,335.0","19,452.0","23,080.0","26,981.0","28,536.0","32,716.0","39,166.0","48,687.0","58,485.0","68,770.0","81,464.0","88,259.0","100,068.0","121,541.0","130,349.0","136,761.0","141,189.0","154,934.0","172,587.0","177,198.0","182,924.0","199,923.0","217,603.0","235,222.0","263,002.0","290,142.0","330,278.0","366,099.0","417,090.0","478,249.0","452,520.0","419,779.0","430,905.0","455,310.0","475,269.0","505,236.0","537,355.0","562,876.0","522,705.0"
"29","11","      Computers and peripheral equipment","B935RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","20.0","192.0","261.0","347.0","734.0","927.0","1,163.0","1,698.0","1,869.0","1,925.0","2,440.0","2,722.0","2,774.0","3,472.0","3,539.0","3,868.0","3,586.0","4,403.0","5,666.0","7,563.0","10,163.0","12,522.0","17,128.0","18,871.0","23,891.0","31,609.0","33,734.0","33,410.0","35,762.0","37,956.0","43,093.0","38,643.0","37,704.0","44,014.0","47,935.0","52,385.0","66,110.0","72,793.0","81,375.0","87,887.0","97,231.0","103,178.0","87,556.0","79,725.0","77,643.0","80,212.0","78,889.0","84,890.0","89,231.0","86,667.0","75,037.0"
"30","12","      Software \2\","B985RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","14.0","127.0","167.0","221.0","433.0","541.0","677.0","1,011.0","1,172.0","1,318.0","1,790.0","2,321.0","2,410.0","2,778.0","3,220.0","3,912.0","4,780.0","5,204.0","5,476.0","6,345.0","8,135.0","9,836.0","11,845.0","14,040.0","16,384.0","20,362.0","23,762.0","25,614.0","28,995.0","34,178.0","41,869.0","47,632.0","53,720.0","57,855.0","64,274.0","68,262.0","74,635.0","85,474.0","107,483.0","125,993.0","157,332.0","184,455.0","186,590.0","183,043.0","191,272.0","205,681.0","218,004.0","229,785.0","245,612.0","264,080.0","244,170.0"
"31","13","      Other \3\","A937RC1","1,723.0","1,809.0","1,628.0","1,841.0","2,149.0","2,430.0","2,666.0","2,424.0","2,818.0","3,355.0","3,982.0","3,599.0","3,954.0","4,550.0","4,833.0","5,139.0","5,360.0","5,896.0","6,677.0","7,954.0","8,236.0","8,672.0","10,381.0","11,594.0","12,151.0","13,202.0","16,321.0","19,201.0","20,170.0","23,109.0","28,024.0","34,779.0","40,187.0","46,412.0","52,491.0","55,348.0","59,793.0","69,570.0","72,853.0","77,737.0","76,432.0","82,800.0","87,625.0","90,923.0","91,500.0","98,054.0","105,394.0","114,575.0","122,257.0","131,875.0","141,420.0","152,219.0","162,527.0","190,616.0","178,374.0","157,011.0","161,990.0","169,417.0","178,376.0","190,561.0","202,512.0","212,129.0","203,498.0"
"32","14","    Industrial equipment","A680RC1","4,599.0","4,610.0","3,723.0","4,477.0","5,669.0","5,929.0","6,715.0","7,050.0","7,252.0","8,844.0","9,625.0","8,211.0","8,525.0","9,375.0","8,801.0","9,253.0","10,027.0","11,433.0","13,680.0","16,150.0","16,919.0","17,280.0","19,051.0","20,282.0","19,459.0","21,409.0","26,023.0","30,659.0","31,329.0","34,120.0","39,443.0","47,731.0","56,162.0","60,743.0","65,485.0","62,669.0","58,879.0","68,140.0","72,469.0","75,415.0","76,712.0","84,182.0","93,325.0","92,142.0","89,313.0","92,961.0","102,233.0","113,620.0","128,961.0","136,521.0","140,418.0","147,355.0","149,126.0","162,910.0","151,879.0","141,734.0","142,560.0","142,030.0","159,643.0","178,421.0","193,192.0","193,806.0","150,084.0"
"33","15","    Transportation equipment","A681RC1","4,916.0","5,482.0","5,703.0","6,425.0","6,563.0","5,742.0","6,577.0","6,013.0","7,503.0","7,401.0","8,265.0","6,115.0","8,273.0","8,509.0","8,026.0","9,789.0","9,432.0","10,577.0","13,215.0","14,518.0","14,266.0","17,629.0","18,890.0","16,242.0","18,412.0","21,849.0","26,560.0","26,279.0","25,168.0","29,989.0","39,277.0","47,322.0","53,639.0","48,385.0","50,556.0","46,821.0","53,511.0","64,407.0","68,954.0","70,469.0","68,065.0","72,861.0","67,918.0","69,960.0","71,531.0","74,715.0","89,425.0","107,732.0","116,077.0","123,151.0","135,531.0","147,146.0","174,359.0","170,786.0","154,216.0","141,568.0","132,894.0","161,118.0","181,715.0","198,210.0","181,702.0","132,308.0","72,536.0"
"34","16","    Other equipment \4\","A862RC1","4,078.0","5,379.0","4,678.0","5,056.0","5,493.0","5,593.0","5,573.0","5,325.0","6,315.0","6,743.0","6,689.0","6,945.0","7,573.0","7,053.0","6,983.0","7,528.0","8,814.0","9,851.0","11,044.0","12,703.0","12,403.0","13,026.0","14,401.0","15,564.0","16,263.0","18,953.0","22,619.0","24,309.0","27,362.0","29,621.0","36,255.0","43,239.0","47,911.0","48,324.0","55,192.0","51,153.0","50,396.0","58,148.0","59,896.0","60,662.0","63,948.0","69,017.0","80,199.0","80,223.0","70,801.0","71,955.0","80,154.0","88,068.0","94,723.0","100,969.0","112,115.0","125,407.0","130,383.0","138,598.0","139,492.0","139,602.0","147,453.0","157,925.0","178,944.0","189,792.0","192,554.0","195,124.0","163,489.0"
"35","17","Residential","A011RC1","12,057.0","15,638.0","14,648.0","20,537.0","18,424.0","18,592.0","19,388.0","21,079.0","25,003.0","23,553.0","22,170.0","22,347.0","28,108.0","26,285.0","26,400.0","28,976.0","32,136.0","34,274.0","34,217.0","32,286.0","32,357.0","38,719.0","42,620.0","41,365.0","55,764.0","69,665.0","75,346.0","65,963.0","62,730.0","82,483.0","110,297.0","131,599.0","140,993.0","123,191.0","122,561.0","105,680.0","152,853.0","180,585.0","188,172.0","220,114.0","233,686.0","239,306.0","239,510.0","223,981.0","205,111.0","236,332.0","265,964.0","302,093.0","302,854.0","334,058.0","349,051.0","385,928.0","425,789.0","448,978.0","472,398.0","509,495.0","577,641.0","680,606.0","774,950.0","761,889.0","628,965.0","477,185.0","360,951.0"
"36","18","  Structures","A012RC1","11,756.0","15,308.0","14,349.0","20,162.0","18,053.0","18,224.0","19,002.0","20,688.0","24,571.0","23,095.0","21,715.0","21,871.0","27,538.0","25,756.0","25,879.0","28,436.0","31,544.0","33,646.0","33,530.0","31,594.0","31,646.0","37,853.0","41,610.0","40,244.0","54,486.0","68,129.0","73,607.0","64,082.0","60,811.0","80,361.0","107,900.0","128,865.0","137,826.0","119,815.0","118,946.0","101,991.0","148,633.0","175,870.0","183,116.0","214,615.0","227,881.0","233,245.0","233,361.0","217,973.0","199,363.0","230,411.0","259,893.0","295,866.0","296,527.0","327,728.0","342,782.0","379,237.0","418,486.0","441,187.0","464,414.0","501,261.0","569,122.0","671,448.0","765,166.0","751,573.0","618,605.0","467,197.0","351,733.0"
"37","19","    Permanent site","A943RC1","8,280.0","11,155.0","10,687.0","16,126.0","13,802.0","13,368.0","13,915.0","15,377.0","18,580.0","16,518.0","15,073.0","15,445.0","19,673.0","17,497.0","17,405.0","19,946.0","22,414.0","24,098.0","23,846.0","21,811.0","21,541.0","26,723.0","29,224.0","27,059.0","38,670.0","50,095.0","54,619.0","43,420.0","36,318.0","50,770.0","72,231.0","85,601.0","89,272.0","69,629.0","69,425.0","57,000.0","94,961.0","114,616.0","115,889.0","135,169.0","142,668.0","142,391.0","143,233.0","132,136.0","114,575.0","135,070.0","150,911.0","176,390.0","171,404.0","191,114.0","198,062.0","223,983.0","251,271.0","265,047.0","279,391.0","298,841.0","345,691.0","417,501.0","480,808.0","468,798.0","354,144.0","229,934.0","135,247.0"
"38","20","      Single family","A944RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","13,131.0","16,696.0","14,866.0","14,089.0","15,104.0","15,976.0","17,649.0","17,839.0","16,568.0","16,817.0","19,520.0","19,696.0","17,541.0","25,806.0","32,848.0","35,181.0","29,701.0","29,639.0","43,860.0","62,214.0","72,769.0","72,257.0","52,921.0","51,965.0","41,462.0","72,514.0","86,395.0","87,350.0","104,131.0","117,216.0","120,093.0","120,929.0","112,886.0","99,427.0","121,976.0","140,123.0","162,309.0","153,515.0","170,790.0","175,179.0","199,409.0","223,837.0","236,788.0","249,086.0","265,889.0","310,575.0","377,557.0","433,510.0","415,997.0","305,185.0","185,776.0","105,446.0"
"39","21","      Multifamily","C292RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","2,314.0","2,977.0","2,631.0","3,316.0","4,842.0","6,438.0","6,449.0","6,007.0","5,243.0","4,724.0","7,203.0","9,528.0","9,518.0","12,864.0","17,247.0","19,438.0","13,720.0","6,679.0","6,910.0","10,017.0","12,832.0","17,015.0","16,708.0","17,460.0","15,538.0","22,447.0","28,221.0","28,539.0","31,038.0","25,452.0","22,298.0","22,304.0","19,250.0","15,148.0","13,094.0","10,788.0","14,081.0","17,889.0","20,324.0","22,883.0","24,574.0","27,434.0","28,259.0","30,305.0","32,952.0","35,116.0","39,944.0","47,298.0","52,801.0","48,959.0","44,158.0","29,801.0"
"40","22","    Other structures \5\","A863RC1","3,476.0","4,153.0","3,662.0","4,036.0","4,251.0","4,856.0","5,087.0","5,311.0","5,991.0","6,577.0","6,642.0","6,426.0","7,865.0","8,259.0","8,474.0","8,490.0","9,130.0","9,548.0","9,684.0","9,783.0","10,105.0","11,130.0","12,386.0","13,185.0","15,816.0","18,034.0","18,988.0","20,662.0","24,493.0","29,591.0","35,669.0","43,264.0","48,554.0","50,186.0","49,521.0","44,991.0","53,672.0","61,254.0","67,227.0","79,446.0","85,213.0","90,854.0","90,128.0","85,837.0","84,788.0","95,341.0","108,982.0","119,476.0","125,123.0","136,614.0","144,720.0","155,254.0","167,215.0","176,140.0","185,023.0","202,420.0","223,431.0","253,947.0","284,358.0","282,775.0","264,461.0","237,263.0","216,486.0"
"41","23","  Equipment","B013RC1","301.0","330.0","299.0","375.0","371.0","368.0","386.0","391.0","432.0","458.0","455.0","476.0","570.0","529.0","521.0","540.0","592.0","628.0","687.0","692.0","711.0","866.0","1,010.0","1,121.0","1,278.0","1,536.0","1,739.0","1,881.0","1,919.0","2,122.0","2,397.0","2,734.0","3,167.0","3,376.0","3,615.0","3,689.0","4,220.0","4,715.0","5,056.0","5,499.0","5,805.0","6,061.0","6,149.0","6,008.0","5,748.0","5,921.0","6,071.0","6,227.0","6,327.0","6,330.0","6,269.0","6,691.0","7,303.0","7,791.0","7,984.0","8,234.0","8,519.0","9,158.0","9,784.0","10,316.0","10,360.0","9,988.0","9,218.0"
"42",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","24","  Private fixed investment in structures","A349RC1","19,893.0","24,834.0","23,527.0","30,119.0","30,007.0","30,448.0","32,572.0","34,553.0","39,728.0","41,275.0","40,665.0","39,500.0","45,687.0","45,324.0","45,594.0","49,214.0","52,743.0","57,383.0","61,851.0","62,943.0","63,157.0","71,410.0","79,308.0","80,531.0","97,165.0","115,302.0","128,590.0","125,319.0","122,161.0","146,276.0","182,478.0","222,449.0","255,527.0","255,985.0","286,260.0","279,555.0","302,977.0","353,267.0","377,633.0","391,142.0","402,083.0","416,035.0","427,077.0","420,889.0","382,968.0","402,983.0","437,046.0","482,635.0","503,798.0","552,311.0","593,048.0","654,367.0","702,431.0","759,332.0","794,120.0","784,012.0","850,988.0","978,099.0","1,116,920.0","1,185,244.0","1,153,954.0","1,076,703.0","831,712.0"
