"","Table 1#1#6B# Real Gross Domestic Product, Chained (1952) Dollar","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24"
"1","[Millions of chained (1952) dollars]                                            ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1942 To 1962",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 20, 2009   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 5/26/2010 10:52:59 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Cautionary note on the use of data in millions of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","dollars -- The tables provided include estimates in ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","millions of dollars for NIPA series that appear regularly in the national income ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","and product account (NIPA) tables published in the Survey of Current Business. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962"
"19","1","    Gross domestic product","A191BX1","258,398.0","300,701.0","324,980.0","321,342.0","286,181.0","283,615.0","296,087.0","294,563.0","320,311.0","345,092.0","358,302.0","374,808.0","372,432.0","399,249.0","407,144.0","415,338.0","411,596.0","441,110.0","452,044.0","462,575.0","490,600.0"
"20","2","Personal consumption expenditures","DPCEBX1","145,635.0","149,709.0","153,972.0","163,498.0","183,831.0","187,352.0","191,583.0","196,895.0","209,522.0","212,811.0","219,528.0","230,010.0","234,840.0","252,175.0","259,550.0","265,984.0","268,312.0","283,547.0","291,337.0","297,342.0","312,044.0"
"21","3","  Goods","DGDSBX1","86,633.0","85,790.0","86,432.0","92,340.0","109,416.0","112,590.0","114,855.0","118,306.0","127,469.0","125,953.0","128,785.0","135,453.0","136,900.0","149,505.0","151,749.0","154,351.0","152,774.0","162,382.0","165,234.0","166,282.0","174,831.0"
"22","4","    Durable goods","DDURBX1","12,801.0","11,490.0","10,593.0","11,768.0","21,258.0","24,934.0","26,568.0","28,730.0","34,835.0","31,937.0","31,243.0","34,890.0","34,741.0","42,150.0","40,576.0","40,947.0","37,827.0","42,282.0","43,140.0","41,692.0","46,453.0"
"23","5","    Nondurable goods","DNDGBX1","74,137.0","74,609.0","76,174.0","80,902.0","88,198.0","87,675.0","88,324.0","89,616.0","92,596.0","94,011.0","97,542.0","100,567.0","102,154.0","107,456.0","111,231.0","113,458.0","114,968.0","120,140.0","122,135.0","124,601.0","128,439.0"
"24","6","  Services","DSERBX1","59,241.0","63,971.0","67,547.0","71,171.0","74,407.0","74,719.0","76,700.0","78,549.0","82,000.0","86,843.0","90,743.0","94,568.0","97,874.0","102,795.0","107,731.0","111,452.0","115,077.0","120,776.0","125,505.0","130,126.0","136,281.0"
"25","7","Gross private domestic investment","A006BX1","18,235.0","10,765.0","13,302.0","17,563.0","45,022.0","43,253.0","55,261.0","42,188.0","59,568.0","59,744.0","54,025.0","56,567.0","53,940.0","67,043.0","66,130.0","63,252.0","58,016.0","69,768.0","69,749.0","69,298.0","78,094.0"
