"","Table 4#1# Foreign Transactions in the National Income and Produ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84"
"29","11","    Dividends","B3375C1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","1,071.0","1,118.0","1,292.0","1,498.0","1,422.0","1,462.0","1,740.0","1,928.0","2,181.0","2,267.0","2,133.0","2,293.0","2,433.0","2,884.0","3,178.0","3,240.0","3,784.0","4,046.0","3,625.0","3,948.0","4,233.0","4,849.0","5,046.0","6,065.0","6,531.0","8,556.0","11,618.0","8,622.0","11,676.0","14,149.0","14,721.0","19,908.0","21,492.0","20,732.0","23,853.0","19,526.0","19,650.0","20,995.0","27,873.0","27,912.0","45,128.0","47,878.0","43,658.0","41,446.0","44,683.0","39,467.0","59,652.0","58,559.0","69,074.0","79,990.0","83,247.0","92,659.0","86,334.0","87,401.0","92,829.0","101,013.0","135,642.0","363,340.0","186,015.0","233,264.0","258,693.0","203,220.0"
"30","12","    Reinvested earnings on U.S. direct investment abroad","B3475C1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","581.0","436.0","475.0","751.0","923.0","826.0","702.0","962.0","1,175.0","1,363.0","945.0","1,089.0","1,357.0","1,161.0","1,316.0","1,645.0","1,595.0","1,736.0","2,031.0","2,042.0","2,763.0","3,198.0","3,610.0","3,716.0","5,220.0","9,019.0","8,780.0","9,284.0","9,262.0","9,641.0","14,280.0","22,652.0","22,353.0","17,346.0","12,816.0","21,577.0","26,453.0","25,810.0","20,845.0","31,011.0","26,452.0","27,632.0","37,261.0","34,043.0","33,645.0","49,481.0","44,873.0","68,805.0","70,285.0","75,506.0","63,539.0","84,147.0","116,147.0","95,179.0","111,575.0","148,153.0","192,530.0","20,715.0","248,432.0","271,284.0","285,550.0","227,121.0"
"31","13","    Current payments to the rest of the world","W163RC1","6,307.0","4,795.0","3,476.0","2,334.0","2,275.0","2,570.0","3,345.0","3,670.0","4,555.0","3,288.0","3,624.0","3,966.0","4,929.0","5,137.0","6,844.0","7,607.0","8,863.0","10,335.0","11,052.0","15,165.0","15,553.0","16,385.0","18,984.0","18,732.0","19,484.0","18,712.0","20,820.0","22,544.0","23,579.0","23,639.0","28,267.0","28,761.0","28,695.0","31,207.0","32,657.0","34,791.0","38,870.0","45,182.0","48,666.0","56,475.0","62,097.0","68,818.0","76,663.0","91,163.0","109,949.0","150,500.0","146,891.0","174,784.0","207,463.0","245,764.0","299,617.0","351,354.0","393,887.0","387,502.0","413,931.0","514,325.0","528,774.0","574,016.0","640,684.0","711,242.0","772,678.0","815,551.0","756,870.0","832,362.0","889,361.0","1,019,523.0","1,146,232.0","1,227,640.0","1,363,252.0","1,444,632.0","1,600,687.0","1,884,108.0","1,742,396.0","1,768,108.0","1,910,470.0","2,253,390.0","2,618,635.0","2,990,485.0","3,242,362.0","3,347,551.0","2,583,761.0"
"32","14","Imports of goods and services","B021RC1","5,556.0","4,121.0","2,905.0","1,932.0","1,929.0","2,239.0","2,982.0","3,154.0","3,961.0","2,845.0","3,136.0","3,426.0","4,449.0","4,627.0","6,280.0","6,904.0","7,547.0","6,974.0","7,933.0","10,060.0","9,249.0","11,612.0","14,586.0","15,295.0","16,014.0","15,432.0","17,199.0","18,923.0","19,942.0","20,022.0","22,329.0","22,841.0","22,688.0","24,965.0","26,135.0","28,105.0","31,529.0","37,057.0","39,912.0","46,556.0","50,491.0","55,760.0","62,342.0","74,216.0","91,159.0","127,465.0","122,729.0","151,146.0","182,443.0","212,251.0","252,675.0","293,829.0","317,759.0","303,183.0","328,638.0","405,107.0","417,228.0","452,867.0","508,714.0","553,992.0","591,032.0","629,729.0","623,547.0","667,793.0","719,974.0","813,425.0","902,571.0","963,966.0","1,055,776.0","1,115,690.0","1,251,392.0","1,475,291.0","1,398,713.0","1,430,201.0","1,545,147.0","1,798,919.0","2,027,791.0","2,240,347.0","2,369,711.0","2,538,871.0","1,956,585.0"
"33","15","  Goods \1\","A255RC1","4,463.0","3,104.0","2,120.0","1,343.0","1,510.0","1,763.0","2,462.0","2,546.0","3,181.0","2,173.0","2,409.0","2,698.0","3,416.0","2,744.0","3,442.0","3,813.0","3,893.0","5,067.0","5,973.0","7,557.0","6,874.0","9,081.0","11,176.0","10,838.0","10,975.0","10,353.0","11,527.0","12,803.0","13,291.0","12,951.0","15,311.0","15,220.0","15,053.0","16,869.0","17,713.0","19,392.0","22,247.0","26,334.0","27,761.0","33,946.0","36,813.0","40,855.0","46,550.0","56,934.0","71,843.0","104,520.0","99,000.0","124,632.0","152,630.0","177,410.0","212,788.0","248,571.0","267,815.0","250,541.0","272,677.0","336,316.0","343,294.0","370,006.0","414,769.0","452,124.0","484,793.0","508,072.0","500,723.0","544,929.0","592,762.0","676,813.0","757,448.0","807,448.0","885,656.0","930,751.0","1,047,690.0","1,246,500.0","1,171,680.0","1,193,876.0","1,289,260.0","1,501,666.0","1,707,981.0","1,884,930.0","1,987,658.0","2,126,441.0","1,575,385.0"
"34","16","    Durable","A333RC1","1,250.0","823.0","466.0","242.0","335.0","434.0","650.0","703.0","957.0","602.0","728.0","998.0","1,360.0","969.0","978.0","1,068.0","1,152.0","1,467.0","1,816.0","2,384.0","2,119.0","2,989.0","3,818.0","4,109.0","4,115.0","3,625.0","4,467.0","5,172.0","5,286.0","4,965.0","6,628.0","6,366.0","6,042.0","6,946.0","7,394.0","8,402.0","10,414.0","13,277.0","14,546.0","18,826.0","20,757.0","22,775.0","26,602.0","33,290.0","40,803.0","50,321.0","45,639.0","56,814.0","69,194.0","89,025.0","100,447.0","111,933.0","126,049.0","125,129.0","147,323.0","192,439.0","204,165.0","238,794.0","264,183.0","294,777.0","310,284.0","314,526.0","315,526.0","346,702.0","386,398.0","454,045.0","510,757.0","533,395.0","588,528.0","637,724.0","716,653.0","823,597.0","758,319.0","774,548.0","806,633.0","936,277.0","1,025,357.0","1,130,220.0","1,175,141.0","1,160,948.0","892,578.0"
"35","17","    Nondurable","A340RC1","3,213.0","2,281.0","1,654.0","1,101.0","1,175.0","1,329.0","1,812.0","1,843.0","2,224.0","1,571.0","1,681.0","1,700.0","2,056.0","1,775.0","2,464.0","2,745.0","2,741.0","3,600.0","4,157.0","5,173.0","4,755.0","6,092.0","7,358.0","6,729.0","6,860.0","6,728.0","7,060.0","7,631.0","8,005.0","7,986.0","8,683.0","8,854.0","9,011.0","9,923.0","10,319.0","10,990.0","11,833.0","13,057.0","13,215.0","15,120.0","16,056.0","18,080.0","19,948.0","23,644.0","31,040.0","54,199.0","53,361.0","67,818.0","83,436.0","88,385.0","112,341.0","136,638.0","141,766.0","125,412.0","125,354.0","143,877.0","139,129.0","131,212.0","150,586.0","157,347.0","174,509.0","193,546.0","185,197.0","198,227.0","206,364.0","222,768.0","246,691.0","274,053.0","297,128.0","293,027.0","331,037.0","422,903.0","413,361.0","419,328.0","482,627.0","565,389.0","682,624.0","754,710.0","812,517.0","965,493.0","682,807.0"
"36","18","  Services \1\","B656RC1","1,093.0","1,017.0","785.0","589.0","419.0","476.0","520.0","608.0","780.0","672.0","727.0","728.0","1,033.0","1,883.0","2,838.0","3,091.0","3,654.0","1,907.0","1,960.0","2,503.0","2,375.0","2,531.0","3,410.0","4,457.0","5,039.0","5,079.0","5,672.0","6,120.0","6,651.0","7,071.0","7,018.0","7,621.0","7,635.0","8,096.0","8,422.0","8,713.0","9,282.0","10,723.0","12,151.0","12,610.0","13,678.0","14,905.0","15,792.0","17,282.0","19,316.0","22,945.0","23,729.0","26,514.0","29,813.0","34,841.0","39,887.0","45,258.0","49,944.0","52,642.0","55,961.0","68,791.0","73,934.0","82,861.0","93,945.0","101,868.0","106,239.0","121,657.0","122,824.0","122,864.0","127,212.0","136,612.0","145,123.0","156,518.0","170,120.0","184,939.0","203,702.0","228,791.0","227,033.0","236,325.0","255,887.0","297,253.0","319,810.0","355,417.0","382,053.0","412,430.0","381,200.0"
"37","19","Income payments","A655RC1","374.0","332.0","252.0","164.0","138.0","159.0","181.0","308.0","359.0","261.0","310.0","330.0","315.0","297.0","368.0","434.0","491.0","440.0","487.0","575.0","664.0","746.0","864.0","872.0","944.0","944.0","1,058.0","1,137.0","1,213.0","1,241.0","1,508.0","1,775.0","1,788.0","1,847.0","2,053.0","2,319.0","2,602.0","3,001.0","3,289.0","4,017.0","5,664.0","6,440.0","6,417.0","7,720.0","10,922.0","14,300.0","15,020.0","15,516.0","16,908.0","24,671.0","36,390.0","44,907.0","59,089.0","64,483.0","64,797.0","85,575.0","85,895.0","93,385.0","105,159.0","128,260.0","151,246.0","154,087.0","138,231.0","122,657.0","124,032.0","160,020.0","199,611.0","214,161.0","256,052.0","268,909.0","291,665.0","342,756.0","271,116.0","264,396.0","284,627.0","357,359.0","475,889.0","648,636.0","746,047.0","667,304.0","484,476.0"
"38","20","  Wage and salary payments","B4189C1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","24.0","55.0","40.0","109.0","128.0","135.0","190.0","205.0","220.0","219.0","218.0","234.0","314.0","311.0","268.0","241.0","241.0","191.0","181.0","183.0","211.0","215.0","228.0","247.0","283.0","308.0","352.0","400.0","422.0","464.0","503.0","501.0","563.0","667.0","732.0","747.0","830.0","861.0","2,690.0","2,350.0","1,862.0","2,302.0","3,479.0","4,041.0","4,761.0","5,140.0","5,958.0","6,269.0","6,306.0","6,672.0","7,000.0","7,961.0","7,525.0","8,094.0","8,385.0","8,517.0","8,970.0","9,297.0","9,496.0","10,070.0","10,370.0","10,050.0"
"39","21","  Income payments on assets","W161RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","551.0","609.0","706.0","755.0","744.0","809.0","754.0","853.0","917.0","994.0","1,023.0","1,274.0","1,461.0","1,477.0","1,576.0","1,812.0","2,078.0","2,409.0","2,820.0","3,106.0","3,805.0","5,451.0","6,212.0","6,171.0","7,436.0","10,614.0","13,947.0","14,620.0","15,094.0","16,444.0","24,168.0","35,889.0","44,344.0","58,422.0","63,753.0","64,047.0","84,747.0","85,034.0","90,696.0","102,808.0","126,398.0","148,949.0","150,610.0","134,189.0","117,897.0","118,891.0","154,062.0","193,343.0","207,856.0","249,379.0","261,909.0","283,704.0","335,232.0","263,016.0","256,004.0","276,111.0","348,389.0","466,592.0","639,140.0","735,978.0","656,934.0","474,423.0"
"40","22","    Interest","B1869C1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","160.0","180.0","208.0","250.0","287.0","319.0","274.0","317.0","382.0","456.0","468.0","610.0","808.0","748.0","854.0","1,008.0","1,168.0","1,333.0","1,692.0","1,891.0","2,445.0","3,999.0","4,656.0","4,245.0","5,219.0","7,937.0","11,018.0","11,345.0","10,704.0","11,767.0","18,036.0","27,940.0","35,970.0","50,023.0","59,667.0","58,003.0","75,210.0","76,334.0","81,452.0","91,897.0","111,802.0","140,568.0","145,779.0","135,169.0","112,659.0","106,873.0","127,503.0","158,926.0","170,468.0","201,439.0","217,885.0","228,414.0","278,375.0","250,137.0","209,487.0","192,696.0","225,243.0","321,978.0","461,534.0","579,181.0","489,892.0","355,899.0"
"41","23","    Dividends","B3376C1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","235.0","286.0","308.0","336.0","323.0","327.0","318.0","349.0","368.0","381.0","399.0","431.0","477.0","489.0","507.0","566.0","581.0","715.0","783.0","768.0","865.0","1,013.0","1,110.0","1,375.0","1,637.0","1,756.0","1,853.0","2,066.0","2,717.0","3,070.0","3,537.0","3,867.0","4,744.0","5,287.0","7,468.0","7,381.0","7,358.0","9,152.0","9,990.0","11,207.0","13,234.0","16,278.0","18,684.0","17,119.0","16,649.0","18,885.0","21,486.0","25,787.0","28,683.0","32,780.0","40,977.0","50,962.0","56,917.0","46,539.0","44,750.0","68,918.0","73,325.0","102,479.0","108,114.0","107,093.0","112,082.0","86,315.0"
"42","24","    Reinvested earnings on foreign direct investment in the United States","B3476C1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","156.0","143.0","190.0","169.0","134.0","163.0","162.0","187.0","167.0","157.0","156.0","233.0","176.0","240.0","215.0","238.0","329.0","361.0","345.0","447.0","495.0","439.0","446.0","551.0","580.0","921.0","1,076.0","1,209.0","1,673.0","1,607.0","2,595.0","4,082.0","3,630.0","3,112.0","-3,382.0","-1,337.0","2,179.0","-452.0","-746.0","-296.0","1,362.0","-7,897.0","-13,853.0","-18,099.0","-11,411.0","-6,867.0","5,073.0","8,630.0","8,705.0","15,160.0","3,047.0","4,328.0","-60.0","-33,660.0","1,767.0","14,497.0","49,821.0","42,135.0","69,492.0","49,704.0","54,960.0","32,209.0"
"43","25","Current taxes and transfer payments to the rest of the world (net)","A123RC1","377.0","342.0","319.0","238.0","208.0","172.0","182.0","208.0","235.0","182.0","178.0","210.0","165.0","213.0","196.0","269.0","825.0","2,921.0","2,632.0","4,530.0","5,640.0","4,027.0","3,534.0","2,565.0","2,526.0","2,336.0","2,563.0","2,484.0","2,424.0","2,376.0","4,430.0","4,145.0","4,219.0","4,395.0","4,469.0","4,367.0","4,739.0","5,124.0","5,465.0","5,902.0","5,942.0","6,618.0","7,904.0","9,227.0","7,868.0","8,735.0","9,142.0","8,122.0","8,112.0","8,842.0","10,552.0","12,618.0","17,039.0","19,836.0","20,496.0","23,643.0","25,651.0","27,764.0","26,811.0","28,990.0","30,400.0","31,735.0","-4,908.0","41,912.0","45,355.0","46,078.0","44,050.0","49,513.0","51,424.0","60,033.0","57,630.0","66,061.0","72,567.0","73,511.0","80,696.0","97,112.0","114,955.0","101,502.0","126,604.0","141,376.0","142,700.0"
"44","26","  From persons (net)","B070RC1","343.0","306.0","279.0","217.0","191.0","162.0","162.0","176.0","175.0","153.0","151.0","178.0","179.0","123.0","249.0","357.0","473.0","661.0","663.0","678.0","506.0","438.0","389.0","412.0","474.0","477.0","421.0","504.0","505.0","435.0","472.0","479.0","501.0","554.0","656.0","711.0","798.0","784.0","1,023.0","999.0","1,115.0","1,286.0","1,351.0","1,380.0","1,554.0","1,363.0","1,338.0","1,376.0","1,375.0","1,575.0","1,714.0","1,952.0","5,578.0","6,738.0","6,998.0","7,899.0","8,327.0","9,144.0","10,028.0","10,790.0","11,552.0","12,220.0","14,082.0","14,492.0","17,070.0","18,930.0","20,255.0","22,635.0","25,663.0","29,666.0","32,177.0","34,649.0","38,081.0","40,634.0","41,190.0","43,600.0","48,354.0","51,597.0","58,708.0","64,457.0","63,521.0"
"45","27","  From government (net)","B088RC1","34.0","36.0","40.0","21.0","17.0","10.0","20.0","32.0","60.0","29.0","27.0","32.0","-14.0","90.0","-53.0","-88.0","352.0","2,260.0","1,969.0","3,852.0","5,134.0","3,589.0","3,145.0","2,153.0","2,052.0","1,859.0","2,142.0","1,980.0","1,919.0","1,941.0","3,877.0","3,580.0","3,609.0","3,718.0","3,673.0","3,486.0","3,752.0","4,117.0","4,194.0","4,640.0","4,524.0","4,931.0","6,128.0","7,365.0","5,629.0","6,381.0","7,064.0","5,671.0","5,340.0","5,915.0","6,818.0","8,261.0","8,265.0","9,680.0","10,090.0","12,249.0","14,431.0","15,431.0","13,430.0","13,726.0","14,233.0","14,696.0","-24,005.0","22,001.0","22,930.0","21,144.0","15,553.0","20,009.0","16,696.0","17,393.0","18,041.0","20,029.0","16,218.0","21,623.0","25,848.0","27,199.0","35,319.0","28,804.0","36,490.0","40,760.0","49,324.0"
