"","Table 7#10# Dividends Paid and Received by Sector               ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66"
"1","[Millions of dollars]                                                           ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1946 To 2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 20, 2009   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 5/26/2010 11:08:19 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Cautionary note on the use of data in millions of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","dollars -- The tables provided include estimates in ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","millions of dollars for NIPA series that appear regularly in the national income ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","and product account (NIPA) tables published in the Survey of Current Business. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008"
"19","1","      Dividends paid","A2218C1","8,021.0","9,234.0","10,480.0","10,749.0","12,879.0","12,755.0","12,655.0","13,061.0","13,568.0","15,324.0","16,384.0","16,895.0","16,844.0","18,102.0","19,217.0","20,376.0","22,174.0","23,452.0","26,373.0","29,268.0","29,150.0","30,383.0","33,222.0","34,825.0","35,287.0","37,476.0","40,936.0","49,025.0","59,673.0","51,922.0","64,468.0","74,677.0","81,303.0","97,007.0","107,460.0","115,753.0","124,926.0","128,347.0","137,591.0","143,389.0","156,775.0","162,196.0","205,745.0","236,312.0","247,458.0","253,650.0","266,539.0","282,119.0","328,011.0","361,461.0","425,496.0","481,100.0","513,084.0","516,730.0","566,690.0","539,310.0","563,917.0","626,886.0","791,958.0","1,098,290.0","1,048,527.0","1,170,139.0","1,097,576.0"
"20","2","Domestic corporate business \1\","A2219C1","7,428.0","8,356.0","9,409.0","9,631.0","11,587.0","11,257.0","11,233.0","11,599.0","11,828.0","13,396.0","14,203.0","14,628.0","14,711.0","15,809.0","16,784.0","17,492.0","18,996.0","20,212.0","22,589.0","25,222.0","25,525.0","26,435.0","28,989.0","29,976.0","30,241.0","31,411.0","34,405.0","40,469.0","48,055.0","43,300.0","52,792.0","60,528.0","66,582.0","77,099.0","85,968.0","95,021.0","101,073.0","108,821.0","117,941.0","122,394.0","128,902.0","134,284.0","160,617.0","188,434.0","203,800.0","212,204.0","221,856.0","242,652.0","268,359.0","302,902.0","356,422.0","401,110.0","429,837.0","424,071.0","480,356.0","451,909.0","471,088.0","525,873.0","656,315.0","734,950.0","862,512.0","936,875.0","838,884.0"
"21","3","  Financial","B1440C1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","2,332.0","2,583.0","2,760.0","2,800.0","3,023.0","3,257.0","3,718.0","4,036.0","4,018.0","4,009.0","4,449.0","4,979.0","5,629.0","5,923.0","6,291.0","7,230.0","7,119.0","7,237.0","7,784.0","9,110.0","10,609.0","12,495.0","13,349.0","15,995.0","15,402.0","16,648.0","20,473.0","22,999.0","25,217.0","28,182.0","32,681.0","40,557.0","45,251.0","49,403.0","46,927.0","57,353.0","69,574.0","79,510.0","106,177.0","122,830.0","130,588.0","139,694.0","166,999.0","152,587.0","165,987.0","176,687.0","225,561.0","263,896.0","311,763.0","380,631.0","320,654.0"
"22","4","  Nonfinancial","B1441C1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","12,379.0","13,226.0","14,024.0","14,692.0","15,973.0","16,955.0","18,871.0","21,186.0","21,507.0","22,426.0","24,540.0","24,997.0","24,612.0","25,488.0","28,114.0","33,239.0","40,936.0","36,063.0","45,008.0","51,418.0","55,973.0","64,604.0","72,619.0","79,026.0","85,671.0","92,173.0","97,468.0","99,395.0","103,685.0","106,102.0","127,936.0","147,877.0","158,549.0","162,801.0","174,929.0","185,299.0","198,785.0","223,392.0","250,245.0","278,280.0","299,249.0","284,377.0","313,357.0","299,322.0","305,101.0","349,186.0","430,755.0","471,054.0","550,749.0","556,244.0","518,229.0"
"23","5","Rest of the world \2\","B3375C1","593.0","878.0","1,071.0","1,118.0","1,292.0","1,498.0","1,422.0","1,462.0","1,740.0","1,928.0","2,181.0","2,267.0","2,133.0","2,293.0","2,433.0","2,884.0","3,178.0","3,240.0","3,784.0","4,046.0","3,625.0","3,948.0","4,233.0","4,849.0","5,046.0","6,065.0","6,531.0","8,556.0","11,618.0","8,622.0","11,676.0","14,149.0","14,721.0","19,908.0","21,492.0","20,732.0","23,853.0","19,526.0","19,650.0","20,995.0","27,873.0","27,912.0","45,128.0","47,878.0","43,658.0","41,446.0","44,683.0","39,467.0","59,652.0","58,559.0","69,074.0","79,990.0","83,247.0","92,659.0","86,334.0","87,401.0","92,829.0","101,013.0","135,642.0","363,340.0","186,015.0","233,264.0","258,693.0"
"24","6","     Dividends received","A2220C1","8,021.0","9,234.0","10,480.0","10,749.0","12,879.0","12,755.0","12,655.0","13,061.0","13,568.0","15,324.0","16,384.0","16,895.0","16,844.0","18,102.0","19,217.0","20,376.0","22,174.0","23,452.0","26,373.0","29,268.0","29,150.0","30,383.0","33,222.0","34,825.0","35,287.0","37,476.0","40,936.0","49,025.0","59,673.0","51,922.0","64,468.0","74,677.0","81,303.0","97,007.0","107,460.0","115,753.0","124,926.0","128,347.0","137,591.0","143,389.0","156,775.0","162,196.0","205,745.0","236,312.0","247,458.0","253,650.0","266,539.0","282,119.0","328,011.0","361,461.0","425,496.0","481,100.0","513,084.0","516,730.0","566,690.0","539,310.0","563,917.0","626,886.0","791,958.0","1,098,290.0","1,048,527.0","1,170,139.0","1,097,576.0"
"25","7","Domestic corporate business \2\","A2221C1","2,279.0","2,724.0","3,209.0","3,225.0","3,733.0","3,849.0","3,772.0","3,848.0","3,968.0","4,497.0","4,736.0","4,772.0","4,879.0","5,101.0","5,374.0","5,986.0","6,640.0","6,650.0","7,598.0","8,348.0","7,697.0","8,105.0","8,822.0","9,573.0","9,870.0","11,074.0","12,463.0","17,362.0","24,601.0","16,896.0","22,737.0","26,838.0","26,973.0","35,620.0","38,646.0","36,710.0","39,744.0","37,502.0","39,426.0","36,685.0","40,605.0","38,677.0","62,592.0","62,060.0","59,712.0","55,848.0","61,863.0","60,304.0","70,802.0","81,270.0","99,091.0","117,115.0","120,653.0","128,371.0","131,900.0","121,853.0","119,911.0","133,107.0","168,298.0","438,491.0","235,635.0","295,261.0","295,620.0"
"26","8","  Financial","B1443C1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","1,615.0","1,691.0","1,805.0","1,870.0","2,257.0","2,139.0","2,723.0","3,357.0","2,941.0","2,952.0","3,320.0","3,602.0","3,553.0","3,731.0","4,021.0","4,873.0","5,197.0","5,404.0","5,504.0","6,331.0","6,926.0","8,655.0","10,678.0","10,186.0","8,132.0","8,576.0","9,164.0","9,294.0","9,777.0","8,826.0","16,821.0","19,545.0","19,462.0","18,586.0","21,200.0","24,187.0","29,994.0","35,902.0","46,395.0","54,782.0","62,437.0","68,661.0","69,869.0","67,950.0","69,603.0","77,325.0","102,030.0","138,295.0","156,015.0","204,248.0","186,692.0"
"27","9","  Nonfinancial","B1444C1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","3,264.0","3,410.0","3,569.0","4,116.0","4,383.0","4,511.0","4,875.0","4,991.0","4,756.0","5,153.0","5,502.0","5,971.0","6,317.0","7,343.0","8,442.0","12,489.0","19,404.0","11,492.0","17,233.0","20,507.0","20,047.0","26,965.0","27,968.0","26,524.0","31,612.0","28,926.0","30,262.0","27,391.0","30,828.0","29,851.0","45,771.0","42,515.0","40,250.0","37,262.0","40,663.0","36,117.0","40,808.0","45,368.0","52,696.0","62,333.0","58,216.0","59,710.0","62,031.0","53,903.0","50,308.0","55,783.0","66,268.0","300,196.0","79,620.0","91,013.0","108,928.0"
"28","10","Rest of the world \1\","B3376C1","168.0","189.0","235.0","286.0","308.0","336.0","323.0","327.0","318.0","349.0","368.0","381.0","399.0","431.0","477.0","489.0","507.0","566.0","581.0","715.0","783.0","768.0","865.0","1,013.0","1,110.0","1,375.0","1,637.0","1,756.0","1,853.0","2,066.0","2,717.0","3,070.0","3,537.0","3,867.0","4,744.0","5,287.0","7,468.0","7,381.0","7,358.0","9,152.0","9,990.0","11,207.0","13,234.0","16,278.0","18,684.0","17,119.0","16,649.0","18,885.0","21,486.0","25,787.0","28,683.0","32,780.0","40,977.0","50,962.0","56,917.0","46,539.0","44,750.0","68,918.0","73,325.0","102,479.0","108,114.0","107,093.0","112,082.0"
"29","11","Government","W065RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","27.0","32.0","38.0","43.0","46.0","65.0","83.0","97.0","126.0","154.0","176.0","164.0","156.0","150.0","162.0","176.0","177.0","238.0","343.0","465.0","586.0","756.0","963.0","1,353.0","1,525.0","1,630.0","1,497.0","1,355.0","1,422.0","1,551.0","1,740.0","2,051.0","2,308.0","2,584.0","2,711.0","3,453.0"
"30","12","Persons \3\","B1447C1","5,574.0","6,321.0","7,036.0","7,238.0","8,838.0","8,570.0","8,560.0","8,886.0","9,282.0","10,478.0","11,280.0","11,742.0","11,566.0","12,570.0","13,366.0","13,901.0","15,027.0","16,236.0","18,194.0","20,205.0","20,670.0","21,510.0","23,535.0","24,239.0","24,307.0","25,027.0","26,836.0","29,880.0","33,187.0","32,922.0","38,971.0","44,723.0","50,728.0","57,437.0","63,973.0","73,630.0","77,560.0","83,288.0","90,643.0","97,396.0","106,030.0","112,150.0","129,743.0","157,797.0","168,824.0","180,340.0","187,562.0","202,344.0","234,967.0","253,441.0","296,369.0","329,680.0","349,819.0","335,900.0","376,511.0","369,496.0","397,705.0","423,121.0","548,284.0","555,012.0","702,194.0","765,074.0","686,421.0"
