"","Table 7#2#6B# Real Motor Vehicle Output, Chained Dollars        ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64"
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1995","1995","1995","1995","1996","1996","1996","1996","1997","1997","1997","1997","1998","1998","1998","1998","1999","1999","1999","1999","2000","2000","2000","2000","2001","2001","2001","2001","2002","2002","2002","2002","2003","2003","2003","2003","2004","2004","2004","2004","2005","2005","2005","2005","2006","2006","2006","2006","2007","2007","2007","2007","2008","2008","2008","2008","2009","2009","2009","2009","2010"
"19",NA,NA,NA,"1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1"
"20","1","      Motor vehicle output","A953RX1","281,899.0","274,446.0","271,342.0","288,690.0","260,881.0","295,179.0","296,297.0","283,765.0","295,241.0","293,872.0","313,730.0","328,291.0","322,233.0","321,746.0","323,141.0","365,396.0","355,807.0","358,091.0","369,506.0","376,916.0","382,594.0","368,024.0","350,187.0","337,965.0","324,018.0","348,512.0","343,172.0","359,309.0","375,719.0","381,345.0","394,491.0","381,576.0","371,209.0","390,907.0","391,563.0","395,660.0","398,772.0","392,610.0","410,916.0","409,650.0","411,042.0","417,543.0","440,208.0","406,957.0","420,912.0","412,644.0","416,698.0","405,644.0","404,865.0","410,954.0","414,485.0","403,416.0","379,612.0","339,335.0","333,576.0","279,782.0","215,893.0","222,742.0","274,843.0","290,704.0","308,367.0"
"21","2","        Auto output","A133RX1","145,835.0","137,386.0","130,473.0","141,843.0","120,115.0","147,546.0","145,160.0","129,896.0","134,402.0","133,356.0","139,506.0","140,621.0","138,545.0","133,984.0","146,143.0","155,132.0","143,926.0","148,070.0","146,802.0","156,325.0","159,969.0","151,686.0","147,711.0","142,522.0","136,885.0","144,240.0","141,953.0","146,169.0","156,741.0","149,932.0","143,785.0","143,819.0","132,104.0","137,277.0","132,503.0","130,842.0","130,632.0","137,438.0","131,891.0","139,860.0","152,563.0","146,886.0","148,756.0","152,803.0","162,171.0","155,191.0","148,158.0","149,892.0","153,166.0","151,846.0","149,864.0","151,990.0","154,575.0","148,958.0","146,975.0","114,191.0","78,720.0","90,906.0","103,223.0","106,128.0","121,124.0"
"22","3","        Truck output","A716RX1","135,275.0","136,376.0","140,266.0","146,193.0","140,256.0","146,883.0","150,444.0","153,452.0","160,404.0","160,079.0","173,805.0","187,343.0","183,370.0","187,563.0","176,528.0","209,928.0","211,618.0","209,757.0","222,407.0","220,308.0","222,341.0","216,066.0","202,221.0","195,194.0","186,891.0","204,020.0","200,965.0","212,870.0","218,645.0","231,220.0","250,754.0","237,688.0","239,110.0","253,640.0","259,067.0","264,788.0","268,087.0","255,167.0","278,993.0","269,787.0","258,595.0","270,675.0","291,463.0","254,008.0","258,535.0","257,350.0","268,626.0","255,742.0","251,632.0","259,133.0","264,659.0","251,206.0","224,524.0","189,645.0","185,796.0","165,420.0","137,523.0","131,897.0","171,767.0","184,747.0","187,344.0"
"23","4","Final sales of domestic product","AB60RX1","264,709.0","261,349.0","276,294.0","284,612.0","282,063.0","281,248.0","285,119.0","294,202.0","298,618.0","287,442.0","307,311.0","318,518.0","303,365.0","329,787.0","329,716.0","364,973.0","336,402.0","359,098.0","364,763.0","352,360.0","376,895.0","343,762.0","340,191.0","335,380.0","349,260.0","342,839.0","338,127.0","396,649.0","363,809.0","364,724.0","392,693.0","357,940.0","361,501.0","376,576.0","398,902.0","380,296.0","382,523.0","383,224.0","406,548.0","421,718.0","416,284.0","432,689.0","451,154.0","390,147.0","417,324.0","412,474.0","424,488.0","416,965.0","418,112.0","421,096.0","407,284.0","418,998.0","397,262.0","356,082.0","335,409.0","280,444.0","281,512.0","272,377.0","281,213.0","271,864.0","288,083.0"
"24","5","  Personal consumption expenditures","AB61RX1","215,806.0","214,921.0","220,455.0","224,239.0","226,172.0","229,795.0","228,928.0","230,517.0","242,025.0","232,526.0","249,297.0","256,752.0","248,025.0","269,937.0","274,940.0","303,435.0","286,712.0","309,221.0","309,635.0","298,845.0","327,454.0","301,520.0","307,339.0","309,282.0","320,178.0","313,434.0","318,219.0","371,740.0","343,316.0","345,236.0","369,214.0","345,162.0","345,392.0","361,210.0","372,255.0","364,086.0","363,487.0","361,589.0","366,168.0","369,024.0","361,186.0","375,529.0","379,668.0","330,021.0","343,688.0","345,094.0","352,042.0","351,150.0","353,531.0","355,291.0","351,664.0","353,843.0","336,839.0","313,659.0","291,385.0","260,462.0","266,471.0","262,170.0","291,928.0","272,761.0","271,868.0"
"25","6","    New motor vehicles","AB67RX1","142,398.0","143,597.0","142,802.0","149,805.0","148,802.0","147,342.0","143,998.0","148,639.0","149,974.0","144,921.0","159,301.0","166,042.0","159,000.0","178,847.0","167,471.0","184,054.0","183,406.0","192,756.0","194,690.0","198,513.0","211,243.0","200,975.0","203,959.0","195,116.0","209,803.0","208,128.0","205,751.0","266,801.0","239,812.0","228,710.0","252,688.0","237,282.0","235,692.0","254,084.0","261,343.0","253,538.0","256,899.0","250,744.0","253,626.0","253,433.0","242,184.0","263,853.0","269,294.0","220,246.0","232,131.0","232,650.0","238,375.0","235,076.0","241,749.0","238,909.0","232,034.0","236,447.0","221,084.0","201,480.0","183,200.0","156,348.0","155,811.0","153,963.0","185,735.0","168,767.0","168,642.0"
"26","7","      Autos","A136RX1","77,631.0","79,056.0","78,990.0","82,803.0","79,981.0","78,718.0","75,801.0","77,730.0","78,593.0","72,872.0","80,276.0","82,332.0","79,306.0","86,487.0","81,124.0","87,056.0","86,480.0","92,652.0","93,445.0","97,345.0","102,281.0","98,609.0","95,888.0","91,782.0","95,264.0","91,304.0","87,688.0","110,490.0","95,909.0","92,937.0","98,511.0","91,051.0","92,974.0","90,883.0","92,667.0","90,084.0","93,844.0","91,515.0","90,496.0","95,287.0","94,220.0","99,280.0","102,031.0","94,260.0","99,408.0","98,818.0","100,752.0","97,355.0","98,074.0","95,103.0","90,302.0","98,441.0","96,752.0","96,319.0","80,557.0","67,605.0","64,343.0","60,842.0","86,594.0","71,600.0","69,363.0"
"27","8","      Light trucks (including utility vehicles)","B704RX1","64,788.0","64,535.0","63,796.0","66,990.0","68,859.0","68,676.0","68,272.0","70,997.0","71,468.0","72,158.0","79,144.0","83,841.0","79,819.0","92,507.0","86,482.0","97,138.0","97,055.0","100,251.0","101,386.0","101,346.0","109,133.0","102,546.0","108,202.0","103,459.0","114,638.0","116,888.0","118,106.0","156,340.0","143,915.0","135,787.0","154,192.0","146,244.0","142,748.0","163,165.0","168,630.0","163,406.0","163,026.0","159,199.0","163,093.0","158,146.0","148,008.0","164,600.0","167,286.0","125,893.0","132,602.0","133,715.0","137,513.0","137,687.0","143,735.0","143,928.0","141,902.0","137,880.0","123,963.0","104,416.0","102,384.0","88,603.0","91,567.0","93,398.0","98,756.0","97,198.0","99,429.0"
"28","9","    Net purchases of used autos and used light trucks","W240RX1","73,298.0","71,182.0","77,689.0","74,291.0","77,302.0","82,479.0","85,049.0","81,915.0","92,242.0","87,776.0","90,045.0","90,688.0","89,031.0","90,790.0","107,890.0","119,842.0","103,286.0","116,643.0","115,058.0","100,234.0","116,256.0","100,436.0","103,261.0","114,133.0","110,258.0","105,162.0","112,319.0","104,897.0","103,491.0","116,247.0","116,550.0","107,927.0","109,689.0","107,028.0","110,804.0","110,541.0","106,348.0","110,855.0","112,559.0","115,642.0","119,136.0","111,662.0","110,391.0","109,637.0","111,510.0","112,423.0","113,666.0","116,066.0","111,751.0","116,351.0","119,601.0","117,390.0","115,715.0","112,136.0","108,188.0","104,313.0","111,078.0","108,569.0","105,686.0","103,698.0","102,927.0"
"29","10","      Used autos","A137RX1","52,623.0","49,745.0","54,956.0","49,745.0","50,929.0","55,160.0","56,678.0","52,128.0","59,948.0","54,658.0","54,509.0","55,895.0","53,979.0","53,525.0","64,251.0","68,802.0","58,172.0","65,230.0","64,385.0","54,237.0","64,646.0","53,752.0","54,760.0","64,601.0","59,340.0","57,714.0","59,554.0","53,356.0","54,305.0","59,911.0","59,225.0","54,498.0","55,719.0","53,924.0","55,693.0","55,527.0","52,380.0","55,180.0","55,397.0","56,806.0","58,734.0","55,444.0","54,400.0","54,117.0","54,390.0","54,482.0","54,275.0","53,838.0","50,619.0","51,660.0","52,606.0","52,121.0","52,042.0","50,528.0","48,094.0","44,877.0","47,912.0","47,125.0","47,004.0","47,190.0","46,300.0"
"30","11","      Used light trucks (including utility vehicles)","W241RX1","20,888.0","21,631.0","22,958.0","24,699.0","26,514.0","27,493.0","28,550.0","29,955.0","32,449.0","33,293.0","35,682.0","34,958.0","35,204.0","37,402.0","43,809.0","51,201.0","45,236.0","51,544.0","50,800.0","46,082.0","51,722.0","46,748.0","48,553.0","49,705.0","50,991.0","47,553.0","52,821.0","51,541.0","49,224.0","56,360.0","57,341.0","53,441.0","53,984.0","53,112.0","55,118.0","55,022.0","53,964.0","55,674.0","57,165.0","58,838.0","60,404.0","56,221.0","55,990.0","55,517.0","57,124.0","57,945.0","59,388.0","62,214.0","61,120.0","64,686.0","66,988.0","65,261.0","63,669.0","61,601.0","60,087.0","59,424.0","63,156.0","61,443.0","58,741.0","56,636.0","56,720.0"
"31","12","  Private fixed investment","AB62RX1","104,007.0","100,063.0","102,490.0","104,534.0","102,660.0","105,548.0","110,969.0","113,632.0","116,008.0","113,425.0","115,372.0","117,299.0","114,284.0","121,202.0","117,473.0","134,588.0","131,314.0","134,587.0","144,184.0","141,605.0","144,222.0","135,737.0","129,978.0","120,918.0","123,500.0","121,613.0","111,254.0","113,178.0","112,032.0","112,730.0","118,873.0","108,876.0","102,598.0","107,919.0","113,106.0","109,967.0","113,225.0","119,524.0","132,498.0","142,064.0","138,472.0","143,306.0","156,477.0","153,589.0","170,512.0","163,039.0","160,089.0","161,139.0","151,340.0","141,886.0","138,100.0","139,181.0","130,378.0","109,974.0","93,720.0","65,540.0","42,277.0","41,798.0","43,327.0","58,594.0","66,685.0"
"32","13","    New motor vehicles","AB68RX1","139,547.0","134,619.0","140,385.0","142,415.0","144,165.0","150,840.0","157,867.0","157,366.0","161,221.0","158,871.0","164,796.0","170,101.0","169,491.0","183,076.0","170,754.0","194,788.0","194,660.0","196,219.0","208,249.0","206,549.0","212,314.0","199,749.0","195,548.0","181,027.0","188,845.0","183,720.0","174,388.0","171,296.0","168,796.0","179,872.0","187,445.0","176,206.0","164,545.0","165,367.0","177,684.0","178,843.0","177,018.0","185,603.0","200,578.0","207,680.0","200,786.0","208,178.0","223,937.0","218,924.0","237,835.0","225,894.0","225,252.0","230,044.0","223,500.0","212,895.0","214,569.0","211,495.0","201,821.0","183,330.0","168,525.0","132,466.0","101,921.0","110,549.0","117,749.0","136,110.0","143,157.0"
"33","14","      Autos","B139RX1","68,370.0","65,983.0","69,413.0","67,930.0","67,765.0","72,184.0","73,983.0","68,594.0","72,442.0","70,076.0","71,492.0","71,138.0","69,053.0","73,625.0","68,413.0","80,205.0","76,587.0","79,460.0","81,867.0","80,852.0","86,273.0","80,383.0","79,426.0","78,039.0","82,106.0","80,963.0","76,043.0","70,965.0","72,766.0","80,514.0","81,251.0","76,153.0","73,337.0","69,668.0","73,115.0","70,506.0","68,729.0","73,021.0","74,060.0","77,134.0","75,170.0","75,416.0","79,456.0","81,016.0","85,034.0","79,548.0","79,290.0","81,044.0","81,122.0","83,009.0","84,436.0","82,260.0","78,125.0","78,169.0","74,093.0","54,474.0","42,831.0","51,182.0","52,606.0","58,070.0","64,062.0"
"34","15","      Trucks","B705RX1","70,742.0","68,210.0","70,513.0","74,069.0","76,005.0","78,210.0","83,462.0","88,527.0","88,452.0","88,516.0","93,058.0","98,816.0","100,375.0","109,426.0","102,330.0","114,489.0","118,091.0","116,733.0","126,403.0","125,724.0","126,014.0","119,351.0","116,087.0","102,891.0","106,616.0","102,601.0","98,212.0","100,281.0","95,904.0","99,144.0","106,078.0","99,957.0","91,068.0","95,644.0","104,548.0","108,337.0","108,285.0","112,571.0","126,520.0","130,550.0","125,626.0","132,765.0","144,482.0","137,894.0","152,804.0","146,360.0","145,979.0","149,026.0","142,384.0","129,831.0","130,063.0","129,163.0","123,612.0","105,012.0","94,242.0","77,960.0","59,042.0","59,249.0","65,030.0","77,926.0","78,957.0"
"35","16","        Light trucks (including utility vehicles)","B196RX1","39,241.0","38,312.0","40,660.0","43,501.0","48,120.0","50,347.0","55,501.0","61,606.0","62,983.0","63,293.0","66,585.0","70,185.0","70,408.0","78,457.0","68,925.0","78,415.0","82,158.0","81,118.0","89,478.0","88,385.0","90,167.0","85,521.0","85,542.0","76,834.0","81,284.0","78,997.0","76,421.0","79,120.0","75,991.0","76,383.0","80,974.0","75,724.0","71,661.0","73,856.0","81,105.0","83,164.0","80,798.0","83,843.0","94,864.0","96,662.0","89,556.0","96,559.0","107,923.0","101,102.0","113,368.0","106,664.0","106,546.0","109,683.0","109,915.0","106,006.0","109,897.0","109,344.0","104,650.0","85,842.0","76,418.0","60,022.0","46,593.0","48,624.0","53,252.0","64,045.0","65,597.0"
"36","17","        Other","B197RX1","34,092.0","32,297.0","32,117.0","32,777.0","29,477.0","29,341.0","29,202.0","27,687.0","25,952.0","25,667.0","26,943.0","29,237.0","30,743.0","31,554.0","34,592.0","37,217.0","36,930.0","36,615.0","37,771.0","38,265.0","36,562.0","34,488.0","30,871.0","26,213.0","25,289.0","23,480.0","21,590.0","20,849.0","19,601.0","22,645.0","25,039.0","24,204.0","19,220.0","21,655.0","23,268.0","25,031.0","27,476.0","28,714.0","31,604.0","33,850.0","36,091.0","36,192.0","36,557.0","36,788.0","39,510.0","39,709.0","39,422.0","39,319.0","32,751.0","24,577.0","21,299.0","21,005.0","20,174.0","19,853.0","18,373.0","17,866.0","12,605.0","11,118.0","12,299.0","14,545.0","14,153.0"
"37","18","    Net purchases of used autos and used light trucks","W242RX1","-38,318.0","-37,218.0","-40,314.0","-40,473.0","-43,485.0","-46,989.0","-48,766.0","-46,124.0","-47,568.0","-47,591.0","-51,314.0","-54,527.0","-56,591.0","-63,052.0","-54,976.0","-62,210.0","-64,968.0","-63,515.0","-66,249.0","-66,911.0","-69,930.0","-65,764.0","-66,842.0","-61,401.0","-66,174.0","-63,220.0","-63,352.0","-59,043.0","-57,732.0","-67,121.0","-68,720.0","-66,987.0","-61,682.0","-57,802.0","-64,712.0","-69,099.0","-63,949.0","-66,357.0","-68,269.0","-65,707.0","-62,342.0","-64,871.0","-67,443.0","-65,326.0","-67,359.0","-62,897.0","-65,157.0","-68,861.0","-72,192.0","-71,126.0","-76,856.0","-72,636.0","-71,859.0","-73,871.0","-75,574.0","-68,219.0","-61,984.0","-72,371.0","-78,611.0","-80,992.0","-79,958.0"
"38","19","      Used autos","B140RX1","-28,590.0","-27,259.0","-29,530.0","-28,300.0","-29,206.0","-32,016.0","-33,226.0","-29,869.0","-33,671.0","-31,829.0","-32,816.0","-32,543.0","-33,559.0","-36,716.0","-33,525.0","-38,327.0","-36,126.0","-35,923.0","-35,805.0","-35,421.0","-38,117.0","-34,570.0","-35,016.0","-33,520.0","-34,240.0","-33,636.0","-31,919.0","-28,354.0","-28,924.0","-33,306.0","-33,633.0","-32,870.0","-31,302.0","-29,374.0","-31,810.0","-32,995.0","-31,266.0","-33,813.0","-33,149.0","-32,701.0","-32,214.0","-32,081.0","-32,698.0","-33,947.0","-31,829.0","-30,905.0","-32,328.0","-33,655.0","-33,851.0","-32,482.0","-34,172.0","-31,765.0","-33,086.0","-34,201.0","-35,570.0","-31,044.0","-27,969.0","-31,919.0","-34,203.0","-39,102.0","-41,021.0"
"39","20","      Used light trucks (including utility vehicles)","W243RX1","-9,913.0","-10,123.0","-10,962.0","-12,313.0","-14,401.0","-15,115.0","-15,685.0","-16,349.0","-14,069.0","-15,879.0","-18,598.0","-22,071.0","-23,119.0","-26,422.0","-21,551.0","-24,002.0","-28,906.0","-27,661.0","-30,491.0","-31,525.0","-31,868.0","-31,224.0","-31,855.0","-27,931.0","-31,954.0","-29,620.0","-31,439.0","-30,673.0","-28,810.0","-33,816.0","-35,084.0","-34,114.0","-30,387.0","-28,435.0","-32,897.0","-36,096.0","-32,680.0","-32,544.0","-35,123.0","-33,008.0","-30,126.0","-32,789.0","-34,743.0","-31,382.0","-35,529.0","-31,992.0","-32,829.0","-35,205.0","-38,341.0","-38,646.0","-42,688.0","-40,877.0","-38,774.0","-39,670.0","-40,007.0","-37,177.0","-34,018.0","-40,464.0","-44,430.0","-41,839.0","-38,856.0"
"40","21","  Gross government investment","AB64RX1","9,349.0","10,832.0","10,266.0","12,222.0","11,927.0","9,808.0","9,628.0","10,848.0","10,969.0","11,220.0","12,020.0","10,279.0","10,651.0","12,847.0","11,633.0","12,876.0","11,943.0","11,036.0","12,829.0","14,620.0","13,507.0","13,185.0","12,901.0","13,030.0","14,524.0","13,454.0","13,041.0","12,960.0","13,208.0","13,541.0","14,495.0","13,858.0","15,962.0","14,048.0","14,880.0","13,078.0","14,670.0","14,204.0","14,558.0","13,598.0","14,705.0","14,217.0","16,800.0","14,667.0","14,701.0","15,912.0","17,719.0","17,899.0","14,427.0","13,738.0","17,102.0","16,229.0","15,928.0","15,381.0","17,298.0","12,672.0","10,642.0","9,034.0","10,651.0","11,153.0","9,568.0"
"41","22","    Autos","B144RX1","3,332.0","4,051.0","3,644.0","4,320.0","3,866.0","3,234.0","3,233.0","4,177.0","3,481.0","3,196.0","3,070.0","3,304.0","3,175.0","3,694.0","3,314.0","3,443.0","3,449.0","3,272.0","3,413.0","3,858.0","3,201.0","3,258.0","3,769.0","3,340.0","3,074.0","3,634.0","3,842.0","3,543.0","3,271.0","3,097.0","3,288.0","3,507.0","3,567.0","3,187.0","3,054.0","3,131.0","3,262.0","3,072.0","2,921.0","3,429.0","3,765.0","3,227.0","3,516.0","3,301.0","3,366.0","3,833.0","3,945.0","3,853.0","3,585.0","3,925.0","3,490.0","4,029.0","3,691.0","3,373.0","3,544.0","3,478.0","3,075.0","2,720.0","3,108.0","3,149.0","2,550.0"
"42","23","    Trucks","B708RX1","5,948.0","6,694.0","6,545.0","7,812.0","7,986.0","6,512.0","6,331.0","6,575.0","7,428.0","7,983.0","8,928.0","6,907.0","7,425.0","9,103.0","8,276.0","9,402.0","8,448.0","7,718.0","9,382.0","10,726.0","10,296.0","9,911.0","9,076.0","9,662.0","11,457.0","9,782.0","9,150.0","9,377.0","9,915.0","10,440.0","11,207.0","10,326.0","12,394.0","10,858.0","11,842.0","9,936.0","11,405.0","11,133.0","11,642.0","10,170.0","10,942.0","10,990.0","13,284.0","11,365.0","11,334.0","12,078.0","13,774.0","14,048.0","10,840.0","9,815.0","13,612.0","12,198.0","12,237.0","12,009.0","13,760.0","9,189.0","7,562.0","6,306.0","7,539.0","8,004.0","7,020.0"
"43","24","  Net exports","AB63RX1","-60,717.0","-60,944.0","-52,416.0","-51,484.0","-54,170.0","-60,029.0","-60,026.0","-55,601.0","-66,184.0","-65,621.0","-64,827.0","-60,887.0","-65,287.0","-69,705.0","-70,365.0","-81,569.0","-90,299.0","-92,381.0","-98,269.0","-99,154.0","-105,085.0","-103,958.0","-108,087.0","-106,462.0","-107,447.0","-104,028.0","-103,704.0","-101,014.0","-104,383.0","-106,441.0","-109,502.0","-110,019.0","-102,508.0","-106,652.0","-101,171.0","-106,610.0","-108,581.0","-111,866.0","-106,589.0","-102,960.0","-98,076.0","-100,386.0","-101,852.0","-108,050.0","-111,525.0","-111,583.0","-105,478.0","-113,262.0","-101,141.0","-89,746.0","-99,420.0","-90,364.0","-85,992.0","-82,598.0","-67,247.0","-57,294.0","-36,173.0","-38,589.0","-61,023.0","-68,276.0","-58,080.0"
