"","Table 1#4#5# Relation of Gross Domestic Product, Gross Domestic ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84"
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009"
"19","1","Gross domestic product","A191RC1","103,608.0","91,213.0","76,490.0","58,721.0","56,402.0","65,980.0","73,304.0","83,766.0","91,867.0","86,124.0","92,170.0","101,430.0","126,741.0","161,909.0","198,607.0","219,759.0","223,049.0","222,228.0","244,095.0","269,118.0","267,232.0","293,744.0","339,260.0","358,298.0","379,327.0","380,354.0","414,720.0","437,428.0","461,055.0","467,169.0","506,627.0","526,438.0","544,758.0","585,656.0","617,760.0","663,639.0","719,115.0","787,692.0","832,445.0","909,843.0","984,431.0","1,038,326.0","1,126,817.0","1,237,885.0","1,382,269.0","1,499,452.0","1,637,700.0","1,824,583.0","2,030,130.0","2,293,762.0","2,562,228.0","2,788,143.0","3,126,837.0","3,253,194.0","3,534,606.0","3,930,895.0","4,217,470.0","4,460,067.0","4,736,354.0","5,100,422.0","5,482,146.0","5,800,527.0","5,992,094.0","6,342,306.0","6,667,350.0","7,085,160.0","7,414,655.0","7,838,456.0","8,332,362.0","8,793,495.0","9,353,484.0","9,951,482.0","10,286,167.0","10,642,316.0","11,142,143.0","11,867,753.0","12,638,381.0","13,398,917.0","14,077,628.0","14,441,415.0","14,256,272.0"
"20","2","Less: Exports of goods and services","B020RC1","5,939.0","4,444.0","2,906.0","1,975.0","1,987.0","2,561.0","2,769.0","3,007.0","4,039.0","3,811.0","3,969.0","4,897.0","5,482.0","4,375.0","4,034.0","4,880.0","6,781.0","14,156.0","18,740.0","15,547.0","14,484.0","12,350.0","17,099.0","16,459.0","15,313.0","15,836.0","17,677.0","21,284.0","24,017.0","20,560.0","22,725.0","27,045.0","27,602.0","29,065.0","31,075.0","35,019.0","37,146.0","40,920.0","43,467.0","47,907.0","51,923.0","59,710.0","62,963.0","70,844.0","95,269.0","126,650.0","138,706.0","149,515.0","159,350.0","186,885.0","230,129.0","280,773.0","305,232.0","283,203.0","276,988.0","302,376.0","302,019.0","320,334.0","363,764.0","443,884.0","503,143.0","552,123.0","596,587.0","634,961.0","655,586.0","720,700.0","811,881.0","867,665.0","954,421.0","953,863.0","989,314.0","1,093,241.0","1,027,725.0","1,003,026.0","1,041,033.0","1,180,224.0","1,305,060.0","1,471,032.0","1,655,943.0","1,831,106.0","1,564,234.0"
"21","3","Plus: Imports of goods and services","B021RC1","5,556.0","4,121.0","2,905.0","1,932.0","1,929.0","2,239.0","2,982.0","3,154.0","3,961.0","2,845.0","3,136.0","3,426.0","4,449.0","4,627.0","6,280.0","6,904.0","7,547.0","6,974.0","7,933.0","10,060.0","9,249.0","11,612.0","14,586.0","15,295.0","16,014.0","15,432.0","17,199.0","18,923.0","19,942.0","20,022.0","22,329.0","22,841.0","22,688.0","24,965.0","26,135.0","28,105.0","31,529.0","37,057.0","39,912.0","46,556.0","50,491.0","55,760.0","62,342.0","74,216.0","91,159.0","127,465.0","122,729.0","151,146.0","182,443.0","212,251.0","252,675.0","293,829.0","317,759.0","303,183.0","328,638.0","405,107.0","417,228.0","452,867.0","508,714.0","553,992.0","591,032.0","629,729.0","623,547.0","667,793.0","719,974.0","813,425.0","902,571.0","963,966.0","1,055,776.0","1,115,690.0","1,251,392.0","1,475,291.0","1,398,713.0","1,430,201.0","1,545,147.0","1,798,919.0","2,027,791.0","2,240,347.0","2,369,711.0","2,538,871.0","1,956,585.0"
"22","4","Equals: Gross domestic purchases","A712RC1","103,225.0","90,890.0","76,489.0","58,678.0","56,344.0","65,658.0","73,517.0","83,913.0","91,789.0","85,158.0","91,337.0","99,959.0","125,708.0","162,161.0","200,853.0","221,783.0","223,815.0","215,046.0","233,288.0","263,631.0","261,997.0","293,006.0","336,747.0","357,134.0","380,028.0","379,950.0","414,242.0","435,067.0","456,980.0","466,631.0","506,231.0","522,234.0","539,844.0","581,556.0","612,820.0","656,725.0","713,498.0","783,829.0","828,890.0","908,492.0","982,999.0","1,034,376.0","1,126,196.0","1,241,257.0","1,378,159.0","1,500,267.0","1,621,723.0","1,826,214.0","2,053,223.0","2,319,128.0","2,584,774.0","2,801,199.0","3,139,364.0","3,273,174.0","3,586,256.0","4,033,626.0","4,332,679.0","4,592,600.0","4,881,304.0","5,210,530.0","5,570,035.0","5,878,133.0","6,019,054.0","6,375,138.0","6,731,738.0","7,177,885.0","7,505,345.0","7,934,757.0","8,433,717.0","8,955,322.0","9,615,562.0","10,333,532.0","10,657,155.0","11,069,491.0","11,646,257.0","12,486,448.0","13,361,112.0","14,168,232.0","14,791,396.0","15,149,180.0","14,648,623.0"
"23","5","Less: Change in private inventories","A014RC1","1,540.0","-223.0","-1,112.0","-2,351.0","-1,403.0","-580.0","1,140.0","1,161.0","2,625.0","-575.0","207.0","2,393.0","4,330.0","1,906.0","-746.0","-924.0","-1,476.0","6,011.0","-550.0","5,658.0","-2,692.0","5,770.0","9,909.0","3,514.0","1,948.0","-1,937.0","4,988.0","3,950.0","777.0","-366.0","3,917.0","3,232.0","2,974.0","6,101.0","5,621.0","4,821.0","9,247.0","13,636.0","9,866.0","9,053.0","9,173.0","2,001.0","8,256.0","9,107.0","15,878.0","13,990.0","-6,256.0","17,116.0","22,324.0","25,791.0","17,984.0","-6,331.0","29,809.0","-14,914.0","-5,751.0","65,405.0","21,824.0","6,571.0","27,149.0","18,482.0","27,693.0","14,547.0","-394.0","16,328.0","20,814.0","63,784.0","31,157.0","30,767.0","70,999.0","63,719.0","60,816.0","54,544.0","-38,283.0","12,027.0","16,375.0","64,910.0","49,953.0","59,955.0","19,355.0","-34,752.0","-120,922.0"
"24","6","Equals: Final sales to domestic purchasers","A713RC1","101,685.0","91,113.0","77,601.0","61,029.0","57,747.0","66,238.0","72,377.0","82,752.0","89,164.0","85,733.0","91,130.0","97,566.0","121,378.0","160,255.0","201,599.0","222,707.0","225,291.0","209,035.0","233,838.0","257,973.0","264,689.0","287,236.0","326,838.0","353,620.0","378,080.0","381,887.0","409,254.0","431,117.0","456,203.0","466,997.0","502,314.0","519,002.0","536,870.0","575,455.0","607,199.0","651,904.0","704,251.0","770,193.0","819,024.0","899,439.0","973,826.0","1,032,375.0","1,117,940.0","1,232,150.0","1,362,281.0","1,486,277.0","1,627,979.0","1,809,098.0","2,030,899.0","2,293,337.0","2,566,790.0","2,807,530.0","3,109,555.0","3,288,088.0","3,592,007.0","3,968,221.0","4,310,855.0","4,586,029.0","4,854,155.0","5,192,048.0","5,542,342.0","5,863,586.0","6,019,448.0","6,358,810.0","6,710,924.0","7,114,101.0","7,474,188.0","7,903,990.0","8,362,718.0","8,891,603.0","9,554,746.0","10,278,988.0","10,695,438.0","11,057,464.0","11,629,882.0","12,421,538.0","13,311,159.0","14,108,277.0","14,772,041.0","15,183,932.0","14,769,545.0"
"25",NA,"Addendum:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","7","  Final sales of domestic product","A190RC1","102,068.0","91,436.0","77,602.0","61,072.0","57,805.0","66,560.0","72,164.0","82,605.0","89,242.0","86,699.0","91,963.0","99,037.0","122,411.0","160,003.0","199,353.0","220,683.0","224,525.0","216,217.0","244,645.0","263,460.0","269,924.0","287,974.0","329,351.0","354,784.0","377,379.0","382,291.0","409,732.0","433,478.0","460,278.0","467,535.0","502,710.0","523,206.0","541,784.0","579,555.0","612,139.0","658,818.0","709,868.0","774,056.0","822,579.0","900,790.0","975,258.0","1,036,325.0","1,118,561.0","1,228,778.0","1,366,391.0","1,485,462.0","1,643,956.0","1,807,467.0","2,007,806.0","2,267,971.0","2,544,244.0","2,794,474.0","3,097,028.0","3,268,108.0","3,540,357.0","3,865,490.0","4,195,646.0","4,453,496.0","4,709,205.0","5,081,940.0","5,454,453.0","5,785,980.0","5,992,488.0","6,325,978.0","6,646,536.0","7,021,376.0","7,383,498.0","7,807,689.0","8,261,363.0","8,729,776.0","9,292,668.0","9,896,938.0","10,324,450.0","10,630,289.0","11,125,768.0","11,802,843.0","12,588,428.0","13,338,962.0","14,058,273.0","14,476,167.0","14,377,194.0"
