"","Table 1#10# Gross Domestic Income by Type of Income             ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84"
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009"
"19","1","    Gross domestic income","A261RC1","102,843.0","91,627.0","75,719.0","58,420.0","55,858.0","65,581.0","73,515.0","82,566.0","91,897.0","85,439.0","90,870.0","100,341.0","126,402.0","162,784.0","200,404.0","217,180.0","219,180.0","221,059.0","241,827.0","269,611.0","265,412.0","292,370.0","335,684.0","355,551.0","375,361.0","377,240.0","412,340.0","439,195.0","461,129.0","466,213.0","506,148.0","527,390.0","545,347.0","585,338.0","618,584.0","662,865.0","717,616.0","781,519.0","827,939.0","905,528.0","981,560.0","1,031,449.0","1,115,803.0","1,228,939.0","1,374,250.0","1,489,638.0","1,621,394.0","1,801,113.0","2,008,917.0","2,267,707.0","2,515,255.0","2,742,851.0","3,090,256.0","3,248,444.0","3,484,911.0","3,899,356.0","4,175,169.0","4,392,323.0","4,703,481.0","5,109,955.0","5,426,041.0","5,716,327.0","5,912,357.0","6,232,314.0","6,531,555.0","6,976,351.0","7,362,133.0","7,812,536.0","8,346,336.0","8,878,816.0","9,424,551.0","10,085,468.0","10,389,521.0","10,664,388.0","11,125,532.0","11,875,602.0","12,718,041.0","13,619,489.0","14,092,456.0","14,340,379.0","14,038,999.0"
"20","2","Compensation of employees, paid","A4002C1","51,117.0","46,866.0","39,774.0","31,089.0","29,571.0","34,330.0","37,375.0","42,947.0","47,968.0","45,033.0","48,147.0","52,167.0","64,819.0","85,286.0","109,598.0","121,303.0","123,316.0","119,654.0","129,997.0","141,873.0","141,802.0","155,198.0","181,412.0","196,160.0","210,225.0","209,213.0","225,765.0","244,573.0","257,615.0","259,619.0","281,070.0","296,564.0","305,447.0","327,239.0","345,280.0","370,724.0","399,500.0","442,631.0","475,113.0","524,302.0","577,589.0","617,195.0","658,888.0","725,138.0","811,236.0","890,271.0","949,188.0","1,059,379.0","1,180,587.0","1,335,555.0","1,498,361.0","1,647,670.0","1,819,820.0","1,919,834.0","2,035,707.0","2,245,657.0","2,411,963.0","2,559,437.0","2,736,994.0","2,955,022.0","3,132,603.0","3,328,564.0","3,441,082.0","3,634,394.0","3,800,415.0","4,002,549.0","4,199,268.0","4,395,489.0","4,670,024.0","5,027,805.0","5,359,150.0","5,793,539.0","5,984,534.0","6,116,389.0","6,388,293.0","6,699,555.0","7,071,450.0","7,483,609.0","7,863,559.0","8,044,750.0","7,790,525.0"
"21","3","  Wage and salary accruals","A4102C1","50,459.0","46,213.0","39,156.0","30,513.0","29,026.0","33,733.0","36,721.0","41,953.0","46,138.0","43,012.0","45,983.0","49,857.0","62,079.0","82,088.0","105,802.0","116,800.0","117,557.0","112,045.0","123,028.0","135,464.0","134,675.0","147,175.0","171,593.0","185,634.0","198,996.0","197,320.0","212,221.0","229,108.0","240,029.0","241,389.0","259,923.0","273,010.0","280,663.0","299,453.0","314,914.0","337,842.0","363,752.0","400,297.0","428,979.0","471,960.0","518,311.0","551,537.0","584,528.0","638,786.0","708,775.0","772,304.0","814,881.0","899,782.0","994,220.0","1,120,669.0","1,253,385.0","1,373,520.0","1,511,529.0","1,587,709.0","1,677,686.0","1,845,126.0","1,982,765.0","2,104,117.0","2,257,622.0","2,440,649.0","2,584,336.0","2,743,506.0","2,817,229.0","2,960,750.0","3,086,357.0","3,252,473.0","3,438,481.0","3,624,114.0","3,878,040.0","4,185,479.0","4,470,389.0","4,832,388.0","4,957,417.0","5,002,880.0","5,160,302.0","5,416,839.0","5,712,389.0","6,076,756.0","6,409,735.0","6,548,174.0","6,288,604.0"
"22","4","    Disbursements","W269RC1","50,459.0","46,213.0","39,156.0","30,513.0","29,026.0","33,733.0","36,721.0","41,953.0","46,138.0","43,012.0","45,983.0","49,857.0","62,079.0","82,088.0","105,593.0","116,993.0","117,543.0","112,075.0","123,013.0","135,429.0","134,721.0","147,151.0","171,519.0","185,656.0","199,072.0","197,320.0","212,221.0","229,108.0","240,029.0","241,389.0","259,923.0","273,010.0","280,663.0","299,453.0","314,914.0","337,842.0","363,752.0","400,297.0","428,979.0","471,960.0","518,311.0","551,537.0","583,946.0","638,782.0","708,831.0","772,784.0","814,781.0","899,682.0","994,120.0","1,120,398.0","1,253,566.0","1,373,560.0","1,511,470.0","1,587,713.0","1,678,131.0","1,844,906.0","1,982,995.0","2,104,117.0","2,257,622.0","2,440,649.0","2,584,336.0","2,743,456.0","2,817,279.0","2,976,506.0","3,079,910.0","3,234,854.0","3,422,112.0","3,620,466.0","3,880,973.0","4,186,184.0","4,465,239.0","4,832,388.0","4,957,417.0","5,002,880.0","5,145,302.0","5,431,839.0","5,707,389.0","6,075,506.0","6,415,985.0","6,553,174.0","6,283,604.0"
"23","5","      To persons","W270RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","135,405.0","134,666.0","147,111.0","171,410.0","185,528.0","198,937.0","197,130.0","212,016.0","228,888.0","239,810.0","241,171.0","259,689.0","272,696.0","280,352.0","299,185.0","314,673.0","337,601.0","363,561.0","400,116.0","428,796.0","471,749.0","518,096.0","551,309.0","583,699.0","638,499.0","708,523.0","772,432.0","814,381.0","899,260.0","993,656.0","1,119,895.0","1,253,065.0","1,372,997.0","1,510,803.0","1,586,981.0","1,677,384.0","1,844,076.0","1,982,134.0","2,101,427.0","2,255,272.0","2,438,787.0","2,582,034.0","2,739,977.0","2,813,238.0","2,971,745.0","3,074,770.0","3,228,896.0","3,415,843.0","3,614,160.0","3,874,301.0","4,179,184.0","4,457,278.0","4,824,863.0","4,949,323.0","4,994,495.0","5,136,785.0","5,422,869.0","5,698,092.0","6,066,010.0","6,405,915.0","6,542,804.0","6,273,554.0"
"24","6","      To the rest of the world","B4189C1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","24.0","55.0","40.0","109.0","128.0","135.0","190.0","205.0","220.0","219.0","218.0","234.0","314.0","311.0","268.0","241.0","241.0","191.0","181.0","183.0","211.0","215.0","228.0","247.0","283.0","308.0","352.0","400.0","422.0","464.0","503.0","501.0","563.0","667.0","732.0","747.0","830.0","861.0","2,690.0","2,350.0","1,862.0","2,302.0","3,479.0","4,041.0","4,761.0","5,140.0","5,958.0","6,269.0","6,306.0","6,672.0","7,000.0","7,961.0","7,525.0","8,094.0","8,385.0","8,517.0","8,970.0","9,297.0","9,496.0","10,070.0","10,370.0","10,050.0"
"25","7","    Wage accruals less disbursements","A062RC1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","209.0","-193.0","14.0","-30.0","15.0","35.0","-46.0","24.0","74.0","-22.0","-76.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","582.0","4.0","-56.0","-480.0","100.0","100.0","100.0","271.0","-181.0","-40.0","59.0","-4.0","-445.0","220.0","-230.0","0.0","0.0","0.0","0.0","50.0","-50.0","-15,756.0","6,447.0","17,619.0","16,369.0","3,648.0","-2,933.0","-705.0","5,150.0","0.0","0.0","0.0","15,000.0","-15,000.0","5,000.0","1,250.0","-6,250.0","-5,000.0","5,000.0"
"26","8","  Supplements to wages and salaries","A038RC1","658.0","653.0","618.0","576.0","545.0","597.0","654.0","994.0","1,830.0","2,021.0","2,164.0","2,310.0","2,740.0","3,198.0","3,796.0","4,503.0","5,759.0","7,609.0","6,969.0","6,409.0","7,127.0","8,023.0","9,819.0","10,526.0","11,229.0","11,893.0","13,544.0","15,465.0","17,586.0","18,230.0","21,147.0","23,554.0","24,784.0","27,786.0","30,366.0","32,882.0","35,748.0","42,334.0","46,134.0","52,342.0","59,278.0","65,658.0","74,360.0","86,352.0","102,461.0","117,967.0","134,307.0","159,597.0","186,367.0","214,886.0","244,976.0","274,150.0","308,291.0","332,125.0","358,021.0","400,531.0","429,198.0","455,320.0","479,372.0","514,373.0","548,267.0","585,058.0","623,853.0","673,644.0","714,058.0","750,076.0","760,787.0","771,375.0","791,984.0","842,326.0","888,761.0","961,151.0","1,027,117.0","1,113,509.0","1,227,991.0","1,282,716.0","1,359,061.0","1,406,853.0","1,453,824.0","1,496,576.0","1,501,921.0"
"27","9","Taxes on production and imports","W056RC1","6,824.0","6,971.0","6,669.0","6,570.0","6,864.0","7,625.0","7,990.0","8,461.0","8,941.0","8,932.0","9,146.0","9,795.0","11,054.0","11,512.0","12,431.0","13,711.0","15,095.0","16,832.0","18,106.0","19,726.0","20,904.0","22,950.0","24,745.0","27,121.0","29,101.0","28,889.0","31,467.0","34,237.0","36,616.0","37,720.0","41,052.0","44,547.0","46,968.0","50,382.0","53,386.0","57,269.0","60,709.0","63,211.0","67,937.0","76,407.0","83,856.0","91,413.0","100,493.0","107,928.0","117,220.0","124,902.0","135,292.0","146,388.0","159,664.0","170,898.0","180,101.0","200,330.0","235,644.0","240,933.0","263,281.0","289,773.0","308,133.0","323,373.0","347,545.0","374,464.0","398,867.0","424,990.0","457,091.0","483,376.0","503,125.0","545,248.0","557,903.0","580,754.0","611,615.0","639,473.0","673,585.0","708,556.0","727,690.0","762,791.0","806,802.0","863,402.0","930,176.0","986,809.0","1,028,723.0","1,047,277.0","1,023,886.0"
"28","10","Less: Subsidies \1\","A107RC1","-24.0","4.0","77.0","56.0","101.0","389.0","508.0","192.0","245.0","378.0","689.0","626.0","314.0","361.0","408.0","877.0","971.0","1,158.0","196.0","305.0","257.0","585.0","748.0","409.0","123.0","-105.0","-201.0","356.0","687.0","914.0","1,058.0","1,146.0","2,014.0","2,273.0","2,234.0","2,729.0","3,007.0","3,949.0","3,811.0","4,174.0","4,534.0","4,777.0","4,675.0","6,636.0","5,230.0","3,307.0","4,494.0","5,125.0","7,100.0","8,936.0","8,531.0","9,800.0","11,473.0","15,017.0","21,304.0","21,065.0","21,360.0","24,895.0","30,282.0","29,502.0","27,428.0","26,993.0","27,488.0","30,088.0","36,681.0","32,523.0","34,812.0","35,234.0","33,810.0","36,368.0","45,209.0","45,840.0","58,722.0","41,390.0","49,057.0","46,386.0","60,913.0","51,352.0","54,756.0","53,516.0","59,630.0"
"29","11","Net operating surplus","W271RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","129,671.0","130,842.0","136,764.0","149,428.0","158,821.0","171,235.0","189,694.0","203,171.0","205,764.0","218,575.0","225,458.0","219,305.0","243,324.0","275,354.0","310,242.0","314,086.0","351,028.0","392,300.0","443,989.0","508,776.0","546,416.0","560,566.0","652,923.0","669,155.0","756,119.0","910,647.0","970,991.0","995,932.0","1,078,129.0","1,198,959.0","1,270,550.0","1,298,565.0","1,317,313.0","1,400,278.0","1,486,676.0","1,641,907.0","1,770,313.0","1,959,010.0","2,134,699.0","2,227,359.0","2,342,635.0","2,444,890.0","2,479,791.0","2,521,612.0","2,625,443.0","2,926,266.0","3,235,953.0","3,539,747.0","3,494,913.0","3,454,782.0","3,420,224.0"
"30","12","  Private enterprises","W260RC1","35,211.0","28,343.0","20,558.0","13,131.0","12,119.0","16,241.0","20,846.0","23,264.0","26,257.0","22,619.0","25,006.0","29,325.0","39,793.0","52,666.0","62,284.0","63,499.0","60,631.0","62,635.0","67,271.0","79,852.0","73,783.0","84,865.0","96,483.0","96,394.0","97,521.0","98,437.0","112,121.0","113,637.0","116,741.0","116,533.0","128,696.0","129,915.0","135,930.0","148,532.0","157,468.0","169,886.0","188,348.0","202,179.0","204,851.0","217,405.0","224,438.0","219,337.0","243,564.0","274,877.0","310,609.0","315,015.0","354,269.0","394,102.0","446,676.0","510,977.0","549,298.0","565,659.0","658,499.0","673,635.0","759,299.0","912,558.0","970,428.0","995,053.0","1,077,972.0","1,196,386.0","1,265,621.0","1,296,998.0","1,311,640.0","1,392,046.0","1,477,995.0","1,632,307.0","1,757,183.0","1,944,656.0","2,120,595.0","2,214,065.0","2,328,539.0","2,435,746.0","2,475,744.0","2,515,267.0","2,618,473.0","2,925,023.0","3,239,444.0","3,543,962.0","3,501,465.0","3,461,726.0","3,428,298.0"
"31","13","    Net interest and miscellaneous payments, domestic industries","W272RC1","4,039.0","4,256.0","4,298.0","4,086.0","3,674.0","3,807.0","3,881.0","3,651.0","3,589.0","3,571.0","3,602.0","3,326.0","3,255.0","3,180.0","2,898.0","2,486.0","2,346.0","1,905.0","2,397.0","2,483.0","2,756.0","3,078.0","3,520.0","3,964.0","4,615.0","5,421.0","6,062.0","6,807.0","7,977.0","9,366.0","9,480.0","10,431.0","12,104.0","13,807.0","14,703.0","16,911.0","19,056.0","21,867.0","24,932.0","26,653.0","33,217.0","39,861.0","44,155.0","48,876.0","57,501.0","72,693.0","83,207.0","85,201.0","99,828.0","116,216.0","141,475.0","183,014.0","228,923.0","267,007.0","283,111.0","327,128.0","352,829.0","387,161.0","395,650.0","418,060.0","474,019.0","483,577.0","462,036.0","428,697.0","407,025.0","412,103.0","417,514.0","437,243.0","487,252.0","560,208.0","569,873.0","642,452.0","656,926.0","609,565.0","595,487.0","569,295.0","678,932.0","830,051.0","964,125.0","1,043,080.0","988,005.0"
"32","14","    Business current transfer payments (net)","B029RC1","511.0","467.0","538.0","579.0","515.0","502.0","506.0","533.0","524.0","410.0","435.0","451.0","527.0","545.0","642.0","812.0","891.0","700.0","717.0","736.0","731.0","862.0","1,216.0","1,257.0","1,217.0","988.0","1,375.0","1,735.0","1,920.0","1,807.0","1,764.0","1,858.0","2,026.0","2,243.0","2,657.0","3,136.0","3,617.0","3,524.0","3,765.0","4,321.0","4,941.0","4,519.0","4,324.0","4,930.0","5,970.0","7,133.0","9,408.0","9,520.0","8,465.0","10,815.0","13,328.0","14,732.0","17,912.0","20,612.0","22,601.0","30,290.0","35,205.0","36,850.0","34,061.0","33,621.0","39,179.0","40,112.0","39,936.0","40,673.0","40,492.0","41,926.0","45,838.0","53,759.0","51,286.0","65,199.0","68,951.0","86,963.0","101,258.0","82,366.0","76,145.0","81,686.0","95,876.0","82,959.0","102,160.0","118,774.0","134,066.0"
"33","15","    Proprietors' income with inventory valuation and capital consumption adjustments","A041RC1","14,055.0","10,923.0","8,374.0","5,066.0","5,311.0","7,037.0","10,138.0","10,392.0","12,520.0","10,584.0","11,116.0","12,257.0","16,638.0","23,352.0","28,263.0","29,402.0","30,820.0","35,689.0","34,479.0","39,222.0","34,622.0","37,486.0","42,651.0","43,070.0","42,013.0","42,274.0","44,263.0","45,863.0","47,825.0","50,189.0","50,326.0","50,707.0","53,199.0","55,304.0","56,522.0","59,351.0","63,903.0","68,248.0","69,848.0","74,190.0","77,508.0","78,477.0","84,683.0","96,036.0","113,627.0","113,483.0","119,608.0","132,240.0","146,029.0","167,504.0","181,110.0","173,467.0","181,616.0","174,833.0","190,650.0","233,069.0","246,103.0","262,563.0","294,247.0","334,839.0","351,576.0","365,144.0","367,281.0","414,921.0","449,616.0","485,105.0","516,025.0","583,683.0","628,233.0","687,531.0","746,802.0","817,458.0","870,725.0","890,292.0","930,646.0","1,033,756.0","1,069,782.0","1,132,961.0","1,096,351.0","1,106,275.0","1,040,993.0"
"34","16","    Rental income of persons with capital consumption adjustment","A048RC1","6,182.0","5,476.0","4,510.0","3,636.0","2,889.0","2,573.0","2,622.0","2,748.0","3,042.0","3,554.0","3,777.0","3,909.0","4,487.0","5,533.0","6,109.0","6,439.0","6,724.0","7,092.0","7,177.0","7,797.0","8,089.0","9,073.0","10,039.0","11,152.0","12,357.0","13,382.0","13,776.0","14,068.0","14,472.0","15,236.0","16,018.0","16,960.0","17,730.0","18,605.0","19,332.0","19,433.0","19,949.0","20,522.0","20,906.0","20,626.0","20,896.0","21,074.0","22,183.0","23,143.0","23,904.0","24,048.0","23,367.0","22,085.0","19,625.0","20,884.0","22,643.0","28,494.0","36,459.0","38,050.0","38,165.0","40,030.0","41,851.0","33,827.0","34,184.0","40,232.0","42,414.0","49,804.0","61,581.0","84,619.0","114,089.0","142,914.0","154,567.0","170,440.0","176,548.0","191,468.0","208,156.0","215,275.0","232,371.0","218,738.0","204,163.0","198,383.0","178,210.0","146,520.0","144,884.0","210,409.0","268,125.0"
