"","Table 1#7#6# Relation of Real Gross Domestic Product, Real Gross","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84"
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009"
"19","1","Gross domestic product","A191RX1","976,980.0","892,773.0","834,907.0","725,831.0","716,413.0","794,351.0","864,955.0","977,869.0","1,027,965.0","992,646.0","1,072,835.0","1,166,875.0","1,366,135.0","1,618,221.0","1,883,146.0","2,035,190.0","2,012,411.0","1,792,214.0","1,776,141.0","1,854,247.0","1,844,708.0","2,005,951.0","2,161,142.0","2,243,868.0","2,347,240.0","2,332,360.0","2,500,302.0","2,549,746.0","2,601,059.0","2,577,628.0","2,762,461.0","2,830,931.0","2,896,880.0","3,072,390.0","3,206,708.0","3,392,314.0","3,610,127.0","3,845,342.0","3,942,523.0","4,133,393.0","4,261,800.0","4,269,940.0","4,413,263.0","4,647,730.0","4,917,010.0","4,889,916.0","4,879,519.0","5,141,295.0","5,377,652.0","5,677,624.0","5,855,049.0","5,838,979.0","5,987,189.0","5,870,945.0","6,136,170.0","6,577,116.0","6,849,265.0","7,086,509.0","7,313,277.0","7,613,888.0","7,885,927.0","8,033,908.0","8,015,143.0","8,287,072.0","8,523,449.0","8,870,673.0","9,093,723.0","9,433,894.0","9,854,333.0","10,283,516.0","10,779,849.0","11,225,977.0","11,347,156.0","11,552,973.0","11,840,700.0","12,263,814.0","12,638,375.0","12,976,249.0","13,254,059.0","13,312,163.0","12,987,375.0"
"20","2","Plus: Income receipts from the rest of the world","A645RX1","13,838.0","13,093.0","10,621.0","8,250.0","6,988.0","6,419.0","7,421.0","8,144.0","9,945.0","9,015.0","9,724.0","8,516.0","9,682.0","8,914.0","8,722.0","9,365.0","8,861.0","10,123.0","13,217.0","15,733.0","15,236.0","16,828.0","20,261.0","20,798.0","20,282.0","21,458.0","23,966.0","26,083.0","27,436.0","24,369.0","26,076.0","29,352.0","31,537.0","34,458.0","37,318.0","40,668.0","43,076.0","42,648.0","44,518.0","49,411.0","54,920.0","56,785.0","58,659.0","65,204.0","88,435.0","103,641.0","89,053.0","96,715.0","104,148.0","120,131.0","163,483.0","174,026.0","184,040.0","190,193.0","184,551.0","213,227.0","190,463.0","183,189.0","195,779.0","233,043.0","261,186.0","265,684.0","228,604.0","200,999.0","200,149.0","231,896.0","282,177.0","297,056.0","332,248.0","337,581.0","370,994.0","431,134.0","358,788.0","343,054.0","377,734.0","465,114.0","573,037.0","697,795.0","811,852.0","739,328.0","537,588.0"
"21","3","Less: Income payments to the rest of the world","A655RX1","4,604.0","4,295.0","3,563.0","2,621.0","2,339.0","2,474.0","2,698.0","4,416.0","4,639.0","3,471.0","3,911.0","3,972.0","3,622.0","3,253.0","3,897.0","4,342.0","4,814.0","3,753.0","3,848.0","4,213.0","4,792.0","5,261.0","5,760.0","5,865.0","6,214.0","6,254.0","6,864.0","7,142.0","7,360.0","7,511.0","8,830.0","10,236.0","10,277.0","10,394.0","11,474.0","12,735.0","13,913.0","15,470.0","16,472.0","19,168.0","25,555.0","27,682.0","26,224.0","30,252.0","40,434.0","48,426.0","46,904.0","46,158.0","47,186.0","63,731.0","86,530.0","97,765.0","117,203.0","120,307.0","116,830.0","149,173.0","145,345.0","153,356.0","167,050.0","196,386.0","222,927.0","217,419.0","187,888.0","161,514.0","160,249.0","202,096.0","246,651.0","260,003.0","305,192.0","317,549.0","339,109.0","388,685.0","301,500.0","289,353.0","304,329.0","370,456.0","475,889.0","628,018.0","703,172.0","609,070.0","441,515.0"
"22","4","Equals: Gross national product","A001RX1","985,423.0","900,770.0","841,460.0","731,119.0","720,908.0","798,354.0","869,667.0","981,888.0","1,033,332.0","998,222.0","1,078,702.0","1,171,825.0","1,372,672.0","1,624,878.0","1,889,510.0","2,041,903.0","2,018,265.0","1,799,748.0","1,786,278.0","1,866,363.0","1,855,822.0","2,018,218.0","2,176,148.0","2,259,350.0","2,362,086.0","2,348,172.0","2,517,947.0","2,569,058.0","2,621,420.0","2,595,131.0","2,780,462.0","2,850,625.0","2,918,561.0","3,096,764.0","3,232,794.0","3,420,436.0","3,639,533.0","3,873,068.0","3,971,103.0","4,164,092.0","4,291,605.0","4,299,446.0","4,446,017.0","4,682,909.0","4,964,470.0","4,944,011.0","4,921,380.0","5,191,214.0","5,433,724.0","5,733,215.0","5,930,183.0","5,913,354.0","6,052,462.0","5,939,067.0","6,202,337.0","6,639,775.0","6,893,874.0","7,116,468.0","7,342,171.0","7,650,436.0","7,924,030.0","8,081,815.0","8,055,613.0","8,326,425.0","8,563,234.0","8,900,523.0","9,129,407.0","9,471,128.0","9,881,756.0","10,303,990.0","10,812,110.0","11,268,792.0","11,404,640.0","11,606,897.0","11,914,205.0","12,358,483.0","12,735,523.0","13,046,060.0","13,362,796.0","13,442,580.0","13,083,713.0"
"23","5","Less: Consumption of fixed capital","A262RX1","84,685.0","86,598.0","86,469.0","84,313.0","82,063.0","80,448.0","80,642.0","81,942.0","84,487.0","85,835.0","86,844.0","88,969.0","94,213.0","105,428.0","123,205.0","143,819.0","156,641.0","158,186.0","154,907.0","153,689.0","154,472.0","156,870.0","162,488.0","170,291.0","179,341.0","187,550.0","194,729.0","201,728.0","208,442.0","216,230.0","220,840.0","225,149.0","231,455.0","239,290.0","248,715.0","259,025.0","271,953.0","287,482.0","303,125.0","318,176.0","333,626.0","347,254.0","358,713.0","372,051.0","391,778.0","409,643.0","423,763.0","437,326.0","454,577.0","475,297.0","499,669.0","522,852.0","543,831.0","566,225.0","585,070.0","609,491.0","643,095.0","674,111.0","705,485.0","735,137.0","766,181.0","796,546.0","821,205.0","844,006.0","872,332.0","906,497.0","946,976.0","994,768.0","1,051,376.0","1,120,469.0","1,199,404.0","1,282,387.0","1,350,819.0","1,399,790.0","1,441,252.0","1,488,270.0","1,541,376.0","1,598,438.0","1,660,027.0","1,715,220.0","1,737,888.0"
"24","6","        Private","A024RX1","82,246.0","83,835.0","83,197.0","80,454.0","77,730.0","75,575.0","75,206.0","75,878.0","77,991.0","78,704.0","79,015.0","80,427.0","82,918.0","83,125.0","80,634.0","79,276.0","79,788.0","84,442.0","91,805.0","98,798.0","104,662.0","110,243.0","115,645.0","119,700.0","124,523.0","129,415.0","134,857.0","140,566.0","145,977.0","152,463.0","155,174.0","157,302.0","161,542.0","166,635.0","173,287.0","181,015.0","191,627.0","204,321.0","216,479.0","228,312.0","241,433.0","253,580.0","264,922.0","278,614.0","298,129.0","315,099.0","327,694.0","339,353.0","354,631.0","373,162.0","394,769.0","414,673.0","432,306.0","451,070.0","465,715.0","484,524.0","510,885.0","534,044.0","557,620.0","580,139.0","604,085.0","627,083.0","645,142.0","662,342.0","685,982.0","716,527.0","753,678.0","797,634.0","850,016.0","913,862.0","986,246.0","1,062,676.0","1,125,496.0","1,168,884.0","1,204,494.0","1,244,369.0","1,290,810.0","1,341,012.0","1,394,768.0","1,441,263.0","1,453,803.0"
"25","7","        Government","A264RX1","8,126.0","8,551.0","9,010.0","9,425.0","9,712.0","10,055.0","10,541.0","11,161.0","11,713.0","12,365.0","13,056.0","13,847.0","16,694.0","27,392.0","47,784.0","70,912.0","84,536.0","81,003.0","69,135.0","59,615.0","53,512.0","49,486.0","49,445.0","53,694.0","58,491.0","62,196.0","63,958.0","65,179.0","66,433.0","67,622.0","69,748.0","72,254.0","74,487.0","77,480.0","80,423.0","83,089.0","85,303.0","88,034.0","91,557.0","94,782.0","96,915.0","98,133.0","97,861.0","97,028.0","96,743.0","97,378.0","98,796.0","100,617.0","102,385.0","104,240.0","106,607.0","109,630.0","112,829.0","116,322.0","120,628.0","126,399.0","133,780.0","141,963.0","150,072.0","157,461.0","164,766.0","172,410.0","179,339.0","185,148.0","189,737.0","192,997.0","195,848.0","199,192.0","202,887.0","207,622.0","213,764.0","220,007.0","225,438.0","230,954.0","236,784.0","243,916.0","250,565.0","257,436.0","265,318.0","274,025.0","283,683.0"
"26","8","          General government","A265RX1","6,577.0","6,892.0","7,234.0","7,540.0","7,759.0","8,047.0","8,481.0","9,011.0","9,454.0","9,983.0","10,552.0","11,208.0","13,858.0","24,063.0","43,587.0","65,786.0","78,924.0","75,510.0","64,051.0","54,779.0","48,779.0","44,731.0","44,542.0","48,453.0","52,941.0","56,355.0","57,896.0","58,891.0","59,902.0","60,850.0","62,654.0","64,791.0","66,649.0","69,240.0","71,798.0","74,052.0","75,852.0","78,128.0","81,151.0","83,839.0","85,451.0","86,208.0","85,532.0","84,249.0","83,436.0","83,502.0","84,351.0","85,642.0","86,946.0","88,327.0","90,102.0","92,447.0","94,948.0","97,736.0","101,333.0","106,311.0","112,764.0","120,001.0","127,197.0","133,698.0","140,090.0","146,756.0","152,668.0","157,418.0","160,948.0","163,315.0","165,380.0","167,889.0","170,879.0","174,628.0","179,483.0","184,468.0","188,846.0","193,263.0","197,682.0","203,270.0","208,690.0","214,868.0","221,691.0","229,517.0","238,413.0"
"27","9","          Government enterprises","A266RX1","1,916.0","2,071.0","2,231.0","2,380.0","2,469.0","2,533.0","2,583.0","2,683.0","2,820.0","2,972.0","3,122.0","3,286.0","3,430.0","3,507.0","3,526.0","3,523.0","3,489.0","3,503.0","3,547.0","3,674.0","3,816.0","4,023.0","4,216.0","4,472.0","4,670.0","4,890.0","5,098.0","5,335.0","5,590.0","5,847.0","6,170.0","6,539.0","6,927.0","7,318.0","7,690.0","8,111.0","8,554.0","9,025.0","9,521.0","10,076.0","10,654.0","11,193.0","11,712.0","12,302.0","12,962.0","13,636.0","14,270.0","14,841.0","15,334.0","15,838.0","16,460.0","17,163.0","17,887.0","18,614.0","19,327.0","20,101.0","20,991.0","21,887.0","22,751.0","23,604.0","24,490.0","25,443.0","26,451.0","27,522.0","28,614.0","29,543.0","30,361.0","31,224.0","31,938.0","32,937.0","34,240.0","35,510.0","36,569.0","37,676.0","39,097.0","40,645.0","41,875.0","42,569.0","43,628.0","44,517.0","45,299.0"
"28","10","Equals: Net national product","A027RX1","905,276.0","817,491.0","757,492.0","647,711.0","639,902.0","720,933.0","793,597.0","906,729.0","956,350.0","918,571.0","1,000,185.0","1,093,462.0","1,293,954.0","1,539,724.0","1,789,692.0","1,920,026.0","1,879,264.0","1,653,342.0","1,643,568.0","1,727,935.0","1,715,968.0","1,881,195.0","2,037,536.0","2,113,230.0","2,207,506.0","2,181,678.0","2,348,223.0","2,391,616.0","2,436,639.0","2,398,101.0","2,584,800.0","2,651,818.0","2,713,701.0","2,888,126.0","3,016,487.0","3,197,216.0","3,406,989.0","3,628,199.0","3,708,778.0","3,888,589.0","4,000,038.0","3,990,010.0","4,126,537.0","4,354,093.0","4,619,389.0","4,574,279.0","4,531,376.0","4,793,323.0","5,021,702.0","5,304,614.0","5,475,407.0","5,424,587.0","5,539,666.0","5,388,732.0","5,636,479.0","6,057,101.0","6,275,179.0","6,464,305.0","6,656,320.0","6,935,746.0","7,177,750.0","7,301,862.0","7,244,974.0","7,494,251.0","7,702,344.0","8,005,946.0","8,192,126.0","8,484,769.0","8,837,682.0","9,189,031.0","9,616,892.0","9,989,043.0","10,054,394.0","10,207,139.0","10,472,956.0","10,870,191.0","11,194,147.0","11,447,553.0","11,702,638.0","11,727,462.0","11,346,211.0"
"29",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","11","  Gross domestic income \1\","A261RX1","969,760.0","896,809.0","826,536.0","722,126.0","709,488.0","789,562.0","867,434.0","963,880.0","1,028,276.0","984,774.0","1,057,735.0","1,154,406.0","1,362,531.0","1,627,026.0","1,900,104.0","2,011,298.0","1,977,445.0","1,782,734.0","1,759,638.0","1,857,593.0","1,832,197.0","1,996,517.0","2,138,387.0","2,226,647.0","2,322,635.0","2,313,221.0","2,485,923.0","2,560,008.0","2,601,427.0","2,572,352.0","2,759,804.0","2,836,040.0","2,900,011.0","3,070,706.0","3,210,921.0","3,388,361.0","3,602,671.0","3,815,266.0","3,921,094.0","4,113,792.0","4,249,361.0","4,241,679.0","4,370,043.0","4,614,174.0","4,888,482.0","4,857,938.0","4,830,897.0","5,075,130.0","5,321,493.0","5,613,136.0","5,747,709.0","5,744,070.0","5,917,197.0","5,862,348.0","6,049,878.0","6,524,372.0","6,780,514.0","6,978,920.0","7,262,493.0","7,628,165.0","7,805,232.0","7,917,241.0","7,908,450.0","8,143,303.0","8,349,810.0","8,734,414.0","9,029,304.0","9,402,725.0","9,870,896.0","10,383,244.0","10,861,782.0","11,377,111.0","11,461,137.0","11,576,877.0","11,823,095.0","12,271,987.0","12,718,041.0","13,189,894.0","13,267,984.0","13,219,010.0","12,789,468.0"
"31","12","  Gross national income \2\","A023RX1","978,182.0","904,811.0","833,067.0","727,435.0","714,024.0","793,590.0","872,178.0","967,843.0","1,033,677.0","990,284.0","1,063,562.0","1,159,228.0","1,369,081.0","1,633,584.0","1,906,496.0","2,018,037.0","1,983,235.0","1,790,302.0","1,769,775.0","1,869,814.0","1,843,196.0","2,008,820.0","2,153,320.0","2,242,167.0","2,337,567.0","2,329,066.0","2,503,555.0","2,579,313.0","2,621,768.0","2,589,853.0","2,777,888.0","2,855,698.0","2,921,676.0","3,095,101.0","3,237,017.0","3,416,479.0","3,632,091.0","3,842,831.0","3,949,815.0","4,144,449.0","4,279,169.0","4,271,130.0","4,402,888.0","4,649,273.0","4,936,004.0","4,911,915.0","4,872,836.0","5,125,056.0","5,377,525.0","5,668,659.0","5,822,805.0","5,818,463.0","5,982,437.0","5,930,483.0","6,116,063.0","6,586,965.0","6,825,176.0","7,008,797.0","7,291,442.0","7,664,642.0","7,843,313.0","7,965,138.0","7,948,989.0","8,182,661.0","8,389,672.0","8,764,338.0","9,065,008.0","9,439,932.0","9,898,278.0","10,403,739.0","10,894,075.0","11,419,948.0","11,518,655.0","11,630,821.0","11,896,597.0","12,366,624.0","12,815,189.0","13,259,641.0","13,376,806.0","13,349,452.0","12,885,780.0"
"32","13","  Net domestic product","A362RX1","896,723.0","809,403.0","750,874.0","642,385.0","635,383.0","716,914.0","788,853.0","902,692.0","950,934.0","912,944.0","994,256.0","1,088,480.0","1,287,336.0","1,532,994.0","1,783,290.0","1,913,302.0","1,873,457.0","1,645,826.0","1,633,370.0","1,715,692.0","1,704,764.0","1,868,806.0","2,022,319.0","2,097,536.0","2,192,493.0","2,165,676.0","2,330,336.0","2,372,008.0","2,415,951.0","2,380,404.0","2,566,608.0","2,631,875.0","2,691,703.0","2,863,354.0","2,989,959.0","3,168,602.0","3,377,076.0","3,600,063.0","3,679,780.0","3,857,425.0","3,969,825.0","3,960,120.0","4,093,306.0","4,318,382.0","4,571,006.0","4,519,031.0","4,488,846.0","4,742,458.0","4,964,478.0","5,247,960.0","5,398,408.0","5,348,383.0","5,473,016.0","5,319,078.0","5,568,925.0","5,993,268.0","6,230,065.0","6,434,360.0","6,627,506.0","6,899,089.0","7,139,527.0","7,253,594.0","7,204,315.0","7,454,753.0","7,662,423.0","7,976,153.0","8,156,417.0","8,447,502.0","8,810,364.0","9,168,746.0","9,584,743.0","9,946,287.0","9,996,903.0","10,153,221.0","10,399,444.0","10,775,522.0","11,096,999.0","11,377,755.0","11,593,902.0","11,597,059.0","11,249,890.0"
"33","14","  Net domestic income \3\","W256RX1","889,423.0","813,463.0","742,363.0","638,565.0","628,362.0","711,997.0","791,412.0","888,359.0","951,256.0","904,844.0","978,655.0","1,075,584.0","1,283,543.0","1,542,073.0","1,800,872.0","1,888,723.0","1,837,564.0","1,636,193.0","1,616,300.0","1,719,156.0","1,691,722.0","1,859,082.0","1,998,623.0","2,079,638.0","2,166,961.0","2,145,869.0","2,315,356.0","2,382,808.0","2,416,426.0","2,374,960.0","2,563,908.0","2,637,273.0","2,694,944.0","2,861,552.0","2,994,402.0","3,164,451.0","3,369,255.0","3,568,865.0","3,657,718.0","3,837,076.0","3,956,989.0","3,930,915.0","4,048,639.0","4,283,613.0","4,541,487.0","4,485,781.0","4,438,219.0","4,673,580.0","4,905,977.0","5,180,739.0","5,286,347.0","5,249,286.0","5,399,768.0","5,310,134.0","5,479,151.0","5,938,567.0","6,159,119.0","6,323,174.0","6,575,208.0","6,913,789.0","7,056,634.0","7,134,010.0","7,095,279.0","7,308,319.0","7,485,740.0","7,837,656.0","8,090,962.0","8,415,889.0","8,827,083.0","9,269,341.0","9,667,236.0","10,098,297.0","10,111,373.0","10,177,253.0","10,381,828.0","10,783,599.0","11,176,666.0","11,591,590.0","11,607,874.0","11,504,059.0","11,052,614.0"
