"","Table 1#12# National Income by Type of Income                   ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207","F208","F209","F210","F211","F212","F213","F214","F215","F216","F217","F218","F219","F220","F221","F222","F223","F224","F225","F226","F227","F228","F229","F230","F231","F232","F233","F234","F235","F236","F237","F238","F239","F240","F241","F242","F243","F244","F245","F246","F247","F248","F249","F250","F251","F252","F253","F254","F255"
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1947","1947","1947","1947","1948","1948","1948","1948","1949","1949","1949","1949","1950","1950","1950","1950","1951","1951","1951","1951","1952","1952","1952","1952","1953","1953","1953","1953","1954","1954","1954","1954","1955","1955","1955","1955","1956","1956","1956","1956","1957","1957","1957","1957","1958","1958","1958","1958","1959","1959","1959","1959","1960","1960","1960","1960","1961","1961","1961","1961","1962","1962","1962","1962","1963","1963","1963","1963","1964","1964","1964","1964","1965","1965","1965","1965","1966","1966","1966","1966","1967","1967","1967","1967","1968","1968","1968","1968","1969","1969","1969","1969","1970","1970","1970","1970","1971","1971","1971","1971","1972","1972","1972","1972","1973","1973","1973","1973","1974","1974","1974","1974","1975","1975","1975","1975","1976","1976","1976","1976","1977","1977","1977","1977","1978","1978","1978","1978","1979","1979","1979","1979","1980","1980","1980","1980","1981","1981","1981","1981","1982","1982","1982","1982","1983","1983","1983","1983","1984","1984","1984","1984","1985","1985","1985","1985","1986","1986","1986","1986","1987","1987","1987","1987","1988","1988","1988","1988","1989","1989","1989","1989","1990","1990","1990","1990","1991","1991","1991","1991","1992","1992","1992","1992","1993","1993","1993","1993","1994","1994","1994","1994","1995","1995","1995","1995","1996","1996","1996","1996","1997","1997","1997","1997","1998","1998","1998","1998","1999","1999","1999","1999","2000","2000","2000","2000","2001","2001","2001","2001","2002","2002","2002","2002","2003","2003","2003","2003","2004","2004","2004","2004","2005","2005","2005","2005","2006","2006","2006","2006","2007","2007","2007","2007","2008","2008","2008","2008","2009","2009","2009","2009"
"19",NA,NA,NA,"1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4"
"20","1","    National income","A032RC1","211,751.0","212,678.0","216,107.0","224,606.0","233,033.0","241,796.0","246,892.0","248,691.0","241,496.0","237,128.0","237,503.0","233,928.0","243,629.0","255,164.0","272,839.0","283,847.0","295,511.0","301,117.0","306,244.0","312,263.0","314,335.0","316,047.0","321,710.0","332,911.0","338,984.0","342,025.0","340,751.0","332,745.0","334,515.0","334,833.0","338,299.0","347,312.0","359,331.0","369,395.0","376,355.0","382,931.0","386,621.0","392,139.0","396,319.0","404,476.0","411,104.0","413,391.0","417,424.0","411,450.0","406,032.0","407,452.0","417,889.0","430,974.0","442,680.0","457,329.0","454,204.0","459,766.0","473,467.0","473,827.0","475,059.0","473,329.0","475,270.0","484,944.0","494,303.0","508,217.0","519,012.0","525,641.0","531,690.0","539,155.0","545,793.0","555,262.0","563,801.0","574,051.0","586,485.0","596,175.0","607,560.0","615,453.0","633,766.0","644,767.0","655,765.0","674,405.0","694,137.0","703,804.0","715,080.0","727,519.0","733,578.0","740,469.0","755,935.0","771,600.0","792,232.0","813,004.0","831,558.0","847,961.0","864,934.0","880,994.0","899,609.0","908,401.0","912,724.0","924,447.0","939,824.0","941,123.0","976,605.0","996,409.0","1,013,915.0","1,035,556.0","1,067,849.0","1,088,563.0","1,118,819.0","1,166,127.0","1,203,628.0","1,228,582.0","1,256,512.0","1,295,621.0","1,307,633.0","1,328,712.0","1,357,206.0","1,372,340.0","1,379,706.0","1,411,187.0","1,470,310.0","1,514,871.0","1,564,793.0","1,591,415.0","1,624,234.0","1,658,716.0","1,704,434.0","1,774,203.0","1,831,378.0","1,879,712.0","1,917,378.0","2,012,603.0","2,058,956.0","2,122,556.0","2,177,437.0","2,216,786.0","2,270,089.0","2,328,825.0","2,374,077.0","2,367,652.0","2,430,185.0","2,559,889.0","2,649,028.0","2,690,757.0","2,784,192.0","2,795,416.0","2,801,863.0","2,851,218.0","2,869,124.0","2,883,440.0","2,946,623.0","3,026,466.0","3,106,890.0","3,203,593.0","3,339,162.0","3,436,873.0","3,505,522.0","3,563,642.0","3,626,210.0","3,669,161.0","3,721,058.0","3,768,547.0","3,824,036.0","3,841,776.0","3,886,725.0","3,933,255.0","4,007,136.0","4,100,661.0","4,197,772.0","4,294,606.0","4,385,474.0","4,476,519.0","4,562,714.0","4,664,494.0","4,743,434.0","4,771,880.0","4,823,543.0","4,863,195.0","4,964,384.0","5,059,672.0","5,091,683.0","5,122,451.0","5,151,607.0","5,190,041.0","5,236,876.0","5,293,095.0","5,411,297.0","5,492,005.0","5,533,684.0","5,631,421.0","5,666,162.0","5,755,168.0","5,799,391.0","5,918,165.0","6,028,131.0","6,129,320.0","6,230,242.0","6,337,341.0","6,411,507.0","6,468,639.0","6,562,658.0","6,646,492.0","6,757,101.0","6,886,909.0","6,972,427.0","7,110,313.0","7,225,796.0","7,333,440.0","7,476,606.0","7,588,078.0","7,689,528.0","7,815,419.0","7,949,039.0","8,048,356.0","8,204,191.0","8,284,048.0","8,379,703.0","8,563,925.0","8,809,777.0","8,896,037.0","9,005,723.0","9,044,028.0","9,184,376.0","9,209,922.0","9,157,344.0","9,189,198.0","9,304,673.0","9,380,520.0","9,417,992.0","9,530,916.0","9,614,191.0","9,757,330.0","9,899,383.0","10,089,796.0","10,281,205.0","10,444,687.0","10,641,647.0","10,768,675.0","11,019,584.0","11,156,551.0","11,360,214.0","11,558,958.0","11,838,174.0","11,965,853.0","12,093,003.0","12,227,887.0","12,253,918.0","12,421,055.0","12,482,216.0","12,635,422.0","12,661,493.0","12,664,362.0","12,781,012.0","12,433,938.0","12,208,876.0","12,218,081.0","12,259,684.0","12,433,170.0"
"21","2","Compensation of employees","A033RC1","127,183.0","128,702.0","130,066.0","134,306.0","137,908.0","139,576.0","144,463.0","145,889.0","144,074.0","141,888.0","141,027.0","140,451.0","144,570.0","150,627.0","158,986.0","166,919.0","174,953.0","180,551.0","183,746.0","186,453.0","191,458.0","192,780.0","196,270.0","204,140.0","207,995.0","211,349.0","211,518.0","210,011.0","208,112.0","207,701.0","208,251.0","212,560.0","217,050.0","223,577.0","228,556.0","233,598.0","238,033.0","242,638.0","245,742.0","251,552.0","255,322.0","257,013.0","259,666.0","258,147.0","255,228.0","254,831.0","260,921.0","267,209.0","274,489.0","281,639.0","282,284.0","285,544.0","294,053.0","296,889.0","297,626.0","297,072.0","298,002.0","302,201.0","307,202.0","313,807.0","320,436.0","326,362.0","329,159.0","332,620.0","337,496.0","342,390.0","347,417.0","353,562.0","359,986.0","367,352.0","374,675.0","380,668.0","387,314.0","394,128.0","402,310.0","414,271.0","426,710.0","437,793.0","448,968.0","457,148.0","463,250.0","468,990.0","478,660.0","489,669.0","504,486.0","517,606.0","531,388.0","543,775.0","555,898.0","569,767.0","586,566.0","598,208.0","608,627.0","614,153.0","622,164.0","623,930.0","641,562.0","653,680.0","664,085.0","676,308.0","701,115.0","715,781.0","729,707.0","753,942.0","781,675.0","800,820.0","819,864.0","842,532.0","860,707.0","881,375.0","903,138.0","915,778.0","919,463.0","931,749.0","957,718.0","987,646.0","1,022,364.0","1,046,140.0","1,070,804.0","1,098,063.0","1,126,998.0","1,164,428.0","1,196,929.0","1,233,749.0","1,269,716.0","1,317,936.0","1,354,848.0","1,399,321.0","1,443,458.0","1,475,237.0","1,516,240.0","1,558,224.0","1,599,002.0","1,621,330.0","1,653,451.0","1,716,504.0","1,768,856.0","1,801,866.0","1,840,038.0","1,867,896.0","1,891,846.0","1,911,140.0","1,930,816.0","1,944,763.0","1,972,728.0","2,010,524.0","2,052,361.0","2,106,524.0","2,175,966.0","2,225,696.0","2,270,850.0","2,309,269.0","2,353,720.0","2,389,199.0","2,427,927.0","2,476,147.0","2,509,959.0","2,533,315.0","2,569,172.0","2,618,175.0","2,664,472.0","2,706,194.0","2,752,681.0","2,819,211.0","2,869,080.0","2,932,283.0","2,981,024.0","3,034,236.0","3,078,493.0","3,107,815.0","3,144,413.0","3,194,550.0","3,259,013.0","3,317,390.0","3,358,506.0","3,370,113.0","3,385,024.0","3,419,434.0","3,455,277.0","3,493,587.0","3,561,110.0","3,612,651.0","3,656,583.0","3,695,372.0","3,732,208.0","3,777,265.0","3,819,758.0","3,859,153.0","3,926,915.0","3,978,633.0","4,016,441.0","4,072,151.0","4,135,495.0","4,171,343.0","4,216,394.0","4,257,480.0","4,295,541.0","4,364,276.0","4,423,406.0","4,482,234.0","4,554,652.0","4,617,939.0","4,695,239.0","4,794,654.0","4,898,394.0","4,982,007.0","5,065,422.0","5,147,141.0","5,246,411.0","5,297,892.0","5,371,999.0","5,499,446.0","5,692,069.0","5,731,435.0","5,845,823.0","5,886,071.0","5,993,949.0","5,979,920.0","5,965,752.0","5,977,655.0","6,038,415.0","6,101,349.0","6,128,848.0","6,174,651.0","6,255,844.0","6,346,330.0","6,425,609.0","6,502,575.0","6,539,775.0","6,636,405.0","6,756,283.0","6,841,164.0","6,921,109.0","7,003,564.0","7,128,391.0","7,207,110.0","7,353,703.0","7,419,895.0","7,484,093.0","7,650,294.0","7,757,186.0","7,819,705.0","7,869,603.0","7,979,342.0","8,017,535.0","8,032,752.0","8,069,078.0","8,030,335.0","7,825,807.0","7,815,943.0","7,751,450.0","7,740,608.0"
"22","3","  Wage and salary accruals","A034RC1","119,655.0","121,483.0","123,419.0","127,823.0","131,415.0","133,211.0","138,071.0","139,503.0","136,955.0","134,639.0","133,899.0","133,439.0","137,072.0","142,866.0","150,802.0","158,273.0","165,531.0","170,815.0","173,840.0","176,241.0","181,170.0","182,379.0","185,703.0","193,292.0","196,910.0","200,091.0","200,274.0","198,681.0","196,402.0","195,957.0","196,333.0","200,360.0","204,177.0","210,311.0","214,664.0","219,452.0","223,282.0","227,502.0","229,952.0","235,369.0","238,267.0","239,618.0","241,827.0","240,092.0","237,364.0","236,892.0","242,580.0","248,433.0","254,012.0","260,557.0","260,896.0","263,903.0","270,765.0","273,402.0","273,960.0","273,296.0","273,769.0","277,629.0","282,256.0","288,423.0","293,267.0","298,742.0","301,178.0","304,245.0","307,957.0","312,355.0","316,844.0","322,247.0","328,212.0","334,823.0","341,411.0","346,705.0","352,814.0","358,882.0","366,215.0","377,121.0","385,763.0","395,907.0","406,132.0","413,481.0","418,838.0","423,601.0","432,014.0","441,580.0","454,213.0","465,926.0","478,332.0","489,415.0","499,073.0","511,377.0","526,426.0","536,453.0","545,100.0","549,071.0","555,723.0","556,347.0","570,153.0","580,254.0","588,753.0","599,032.0","617,953.0","630,491.0","642,420.0","664,272.0","683,373.0","700,084.0","716,206.0","735,385.0","748,185.0","765,300.0","783,132.0","792,513.0","791,911.0","800,361.0","821,296.0","845,782.0","871,220.0","889,383.0","908,449.0","929,930.0","950,044.0","980,911.0","1,007,504.0","1,038,174.0","1,064,212.0","1,105,952.0","1,137,127.0","1,174,988.0","1,208,354.0","1,234,029.0","1,268,187.0","1,302,685.0","1,334,875.0","1,351,033.0","1,376,579.0","1,431,201.0","1,469,063.0","1,496,198.0","1,528,730.0","1,551,500.0","1,567,199.0","1,580,939.0","1,596,064.0","1,605,865.0","1,623,051.0","1,655,097.0","1,691,791.0","1,740,112.0","1,785,193.0","1,828,200.0","1,866,726.0","1,899,538.0","1,933,790.0","1,963,236.0","1,996,105.0","2,037,069.0","2,063,536.0","2,081,844.0","2,111,734.0","2,152,226.0","2,193,709.0","2,230,090.0","2,270,603.0","2,330,664.0","2,367,192.0","2,422,169.0","2,462,707.0","2,507,063.0","2,542,001.0","2,563,278.0","2,591,644.0","2,635,280.0","2,686,834.0","2,735,910.0","2,768,664.0","2,773,386.0","2,775,986.0","2,801,235.0","2,826,464.0","2,854,225.0","2,903,447.0","2,942,788.0","2,976,075.0","3,008,830.0","3,034,566.0","3,067,427.0","3,100,277.0","3,129,878.0","3,186,221.0","3,229,293.0","3,262,720.0","3,315,602.0","3,376,952.0","3,411,649.0","3,454,612.0","3,494,351.0","3,529,469.0","3,594,152.0","3,650,172.0","3,706,164.0","3,774,169.0","3,832,336.0","3,900,470.0","3,987,577.0","4,075,186.0","4,145,213.0","4,216,204.0","4,287,061.0","4,375,525.0","4,417,897.0","4,479,458.0","4,587,824.0","4,755,048.0","4,781,931.0","4,874,351.0","4,899,464.0","4,988,118.0","4,961,424.0","4,932,428.0","4,926,838.0","4,963,557.0","5,002,991.0","5,006,294.0","5,016,385.0","5,060,960.0","5,123,467.0","5,184,579.0","5,249,388.0","5,275,887.0","5,363,615.0","5,468,884.0","5,534,377.0","5,584,181.0","5,651,663.0","5,758,341.0","5,829,745.0","5,958,895.0","6,018,598.0","6,075,434.0","6,227,646.0","6,318,568.0","6,372,176.0","6,412,541.0","6,507,255.0","6,532,986.0","6,539,234.0","6,567,663.0","6,523,513.0","6,327,810.0","6,313,147.0","6,249,154.0","6,236,013.0"
