"","Table 1#1#6# Real Gross Domestic Product, Chained Dollars       ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84"
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009"
"19","1","    Gross domestic product","A191RX1","976,980.0","892,773.0","834,907.0","725,831.0","716,413.0","794,351.0","864,955.0","977,869.0","1,027,965.0","992,646.0","1,072,835.0","1,166,875.0","1,366,135.0","1,618,221.0","1,883,146.0","2,035,190.0","2,012,411.0","1,792,214.0","1,776,141.0","1,854,247.0","1,844,708.0","2,005,951.0","2,161,142.0","2,243,868.0","2,347,240.0","2,332,360.0","2,500,302.0","2,549,746.0","2,601,059.0","2,577,628.0","2,762,461.0","2,830,931.0","2,896,880.0","3,072,390.0","3,206,708.0","3,392,314.0","3,610,127.0","3,845,342.0","3,942,523.0","4,133,393.0","4,261,800.0","4,269,940.0","4,413,263.0","4,647,730.0","4,917,010.0","4,889,916.0","4,879,519.0","5,141,295.0","5,377,652.0","5,677,624.0","5,855,049.0","5,838,979.0","5,987,189.0","5,870,945.0","6,136,170.0","6,577,116.0","6,849,265.0","7,086,509.0","7,313,277.0","7,613,888.0","7,885,927.0","8,033,908.0","8,015,143.0","8,287,072.0","8,523,449.0","8,870,673.0","9,093,723.0","9,433,894.0","9,854,333.0","10,283,516.0","10,779,849.0","11,225,977.0","11,347,156.0","11,552,973.0","11,840,700.0","12,263,814.0","12,638,375.0","12,976,249.0","13,254,059.0","13,312,163.0","12,987,375.0"
"20","2","Personal consumption expenditures","DPCERX1","736,601.0","697,092.0","675,235.0","614,705.0","601,067.0","644,007.0","683,310.0","752,867.0","780,712.0","768,152.0","811,056.0","853,098.0","913,581.0","891,980.0","916,932.0","943,042.0","1,001,389.0","1,125,925.0","1,147,491.0","1,173,404.0","1,205,934.0","1,283,276.0","1,303,416.0","1,344,561.0","1,408,759.0","1,438,343.0","1,544,515.0","1,589,682.0","1,629,093.0","1,643,349.0","1,736,662.0","1,784,370.0","1,821,151.0","1,911,197.0","1,989,882.0","2,108,411.0","2,241,783.0","2,368,951.0","2,439,957.0","2,580,725.0","2,677,385.0","2,740,158.0","2,844,580.0","3,019,495.0","3,169,114.0","3,142,803.0","3,214,071.0","3,393,074.0","3,535,882.0","3,691,782.0","3,779,524.0","3,766,165.0","3,823,309.0","3,876,655.0","4,098,270.0","4,315,554.0","4,540,367.0","4,724,517.0","4,870,259.0","5,066,569.0","5,209,863.0","5,316,163.0","5,324,159.0","5,505,719.0","5,701,195.0","5,918,901.0","6,079,008.0","6,291,158.0","6,523,395.0","6,865,472.0","7,240,943.0","7,608,112.0","7,813,888.0","8,021,905.0","8,247,559.0","8,532,731.0","8,818,999.0","9,073,500.0","9,313,943.0","9,290,883.0","9,235,077.0"
"21","3","  Goods","DGDSRX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","1,898,594.0","1,983,610.0","2,078,193.0","2,218,594.0","2,395,306.0","2,521,663.0","2,600,869.0","2,706,576.0","2,829,850.0","2,955,285.0","3,073,917.0","3,173,862.0","3,273,685.0","3,205,973.0","3,144,155.0"
"22","4","    Durable goods","DDURRX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","511,639.0","549,831.0","594,720.0","667,191.0","753,781.0","819,906.0","864,413.0","930,049.0","986,132.0","1,051,025.0","1,105,493.0","1,150,416.0","1,199,936.0","1,146,310.0","1,101,360.0"
"23","5","    Nondurable goods","DNDGRX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","1,437,815.0","1,479,365.0","1,522,887.0","1,580,347.0","1,660,862.0","1,714,717.0","1,745,609.0","1,780,246.0","1,845,648.0","1,904,570.0","1,968,425.0","2,023,630.0","2,074,811.0","2,057,256.0","2,036,975.0"
"24","6","  Services","DSERRX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","4,208,206.0","4,331,433.0","4,465,027.0","4,661,823.0","4,852,793.0","5,093,272.0","5,218,687.0","5,318,118.0","5,418,406.0","5,577,583.0","5,745,081.0","5,899,719.0","6,040,776.0","6,083,085.0","6,087,840.0"
"25","7","Gross private domestic investment","A006RX1","101,743.0","67,876.0","42,639.0","12,865.0","18,946.0","34,221.0","63,363.0","81,236.0","101,452.0","67,055.0","86,244.0","120,122.0","146,716.0","77,517.0","45,762.0","56,546.0","74,661.0","191,390.0","183,869.0","234,914.0","179,341.0","253,224.0","253,974.0","229,660.0","240,468.0","229,298.0","285,000.0","281,122.0","268,885.0","246,629.0","296,585.0","296,503.0","294,585.0","331,981.0","354,271.0","383,491.0","437,300.0","475,826.0","454,067.0","480,496.0","508,495.0","475,086.0","529,254.0","591,929.0","661,289.0","612,578.0","504,074.0","605,900.0","697,443.0","781,525.0","806,444.0","717,863.0","782,407.0","672,792.0","735,461.0","952,146.0","943,288.0","936,866.0","965,728.0","988,458.0","1,028,113.0","993,499.0","912,677.0","986,650.0","1,074,835.0","1,220,886.0","1,258,923.0","1,370,294.0","1,540,807.0","1,695,066.0","1,844,296.0","1,970,292.0","1,831,901.0","1,806,964.0","1,871,626.0","2,058,244.0","2,172,227.0","2,230,393.0","2,146,185.0","1,989,439.0","1,527,645.0"
"26","8","  Fixed investment","A007RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","1,235,714.0","1,346,547.0","1,470,775.0","1,630,377.0","1,782,057.0","1,913,823.0","1,877,578.0","1,798,123.0","1,856,231.0","1,992,481.0","2,122,275.0","2,171,281.0","2,126,279.0","2,018,406.0","1,648,163.0"
"27","9","    Nonresidential","A008RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","792,235.0","866,231.0","970,789.0","1,087,379.0","1,200,860.0","1,318,543.0","1,281,798.0","1,180,161.0","1,191,004.0","1,263,018.0","1,347,325.0","1,453,944.0","1,544,262.0","1,569,657.0","1,290,998.0"
"28","10","      Structures","B009RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","342,027.0","361,407.0","387,913.0","407,721.0","408,207.0","440,048.0","433,329.0","356,596.0","343,011.0","346,728.0","351,754.0","384,046.0","441,435.0","486,799.0","390,328.0"
"29","11","      Equipment and software","B010RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","492,998.0","545,397.0","620,394.0","710,415.0","810,901.0","895,779.0","866,873.0","830,279.0","851,369.0","917,328.0","995,571.0","1,069,585.0","1,096,964.0","1,068,566.0","890,660.0"
"30","12","    Residential","A011RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","456,087.0","492,511.0","501,824.0","540,427.0","574,219.0","579,963.0","583,250.0","613,836.0","664,316.0","729,509.0","774,950.0","718,214.0","585,012.0","451,118.0","358,706.0"
"31","13","  Change in private inventories","A014RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","32,072.0","31,183.0","77,370.0","71,625.0","68,533.0","60,233.0","-41,771.0","12,769.0","17,339.0","66,326.0","49,953.0","59,423.0","19,469.0","-25,889.0","-108,238.0"
"32","14","Net exports of goods and services","A019RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","-98,803.0","-110,721.0","-139,841.0","-252,609.0","-356,615.0","-451,579.0","-472,119.0","-548,818.0","-603,938.0","-687,990.0","-722,733.0","-729,183.0","-647,702.0","-494,261.0","-355,567.0"
"33","15","  Exports","A020RX1","37,956.0","31,371.0","26,072.0","20,429.0","20,555.0","22,848.0","24,090.0","25,308.0","31,876.0","31,533.0","33,288.0","37,867.0","38,826.0","25,645.0","21,616.0","23,217.0","32,529.0","70,259.0","80,103.0","63,092.0","62,505.0","54,730.0","67,066.0","64,165.0","59,867.0","62,764.0","69,466.0","80,934.0","87,990.0","76,096.0","83,940.0","98,511.0","99,034.0","104,030.0","111,469.0","124,593.0","128,085.0","136,961.0","140,118.0","151,130.0","158,439.0","175,471.0","178,449.0","191,842.0","228,006.0","246,026.0","244,469.0","255,144.0","261,284.0","288,833.0","317,463.0","351,657.0","355,979.0","328,777.0","320,299.0","346,438.0","356,959.0","384,357.0","425,700.0","493,883.0","550,645.0","600,181.0","640,027.0","683,980.0","706,389.0","767,987.0","845,737.0","915,967.0","1,025,126.0","1,048,517.0","1,094,277.0","1,188,310.0","1,121,643.0","1,099,176.0","1,116,790.0","1,222,814.0","1,305,057.0","1,422,020.0","1,546,124.0","1,629,262.0","1,472,404.0"
"34","16","    Goods","A253RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","575,414.0","626,164.0","716,187.0","732,165.0","760,023.0","844,313.0","792,047.0","763,543.0","777,180.0","842,890.0","906,086.0","991,400.0","1,064,755.0","1,127,494.0","990,060.0"
"35","17","    Services","A646RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","272,560.0","291,652.0","308,946.0","316,397.0","334,564.0","343,522.0","329,288.0","335,595.0","339,553.0","379,968.0","398,971.0","430,629.0","481,334.0","501,742.0","481,402.0"
"36","18","  Imports","A021RX1","49,123.0","42,730.0","37,273.0","30,926.0","32,218.0","32,916.0","43,126.0","42,630.0","47,971.0","37,286.0","39,157.0","40,105.0","49,312.0","44,773.0","56,455.0","59,084.0","62,824.0","52,069.0","49,439.0","57,687.0","55,647.0","65,773.0","68,357.0","74,373.0","81,363.0","77,352.0","86,672.0","93,708.0","97,643.0","102,282.0","113,041.0","114,545.0","113,776.0","126,689.0","130,104.0","137,017.0","151,601.0","174,130.0","186,817.0","214,657.0","226,889.0","236,567.0","249,193.0","277,236.0","290,101.0","283,528.0","252,017.0","301,295.0","334,232.0","363,191.0","369,222.0","344,705.0","353,762.0","349,315.0","393,385.0","489,144.0","520,887.0","565,399.0","598,855.0","622,388.0","649,797.0","673,049.0","672,049.0","719,168.0","781,355.0","874,566.0","944,539.0","1,026,688.0","1,164,967.0","1,301,126.0","1,450,891.0","1,639,889.0","1,593,762.0","1,647,993.0","1,720,728.0","1,910,804.0","2,027,790.0","2,151,204.0","2,193,827.0","2,123,523.0","1,827,971.0"
"37","19","    Goods","A255RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","766,119.0","837,933.0","958,692.0","1,072,278.0","1,205,980.0","1,367,857.0","1,324,203.0","1,373,370.0","1,440,905.0","1,599,695.0","1,707,980.0","1,808,826.0","1,839,644.0","1,767,276.0","1,483,879.0"
"38","20","    Services","B656RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","180,873.0","190,331.0","206,876.0","229,372.0","244,877.0","271,694.0","269,573.0","274,514.0","279,752.0","311,022.0","319,810.0","342,387.0","354,203.0","356,520.0","343,651.0"
"39","21","Government consumption expenditures and gross investment","A822RX1","146,491.0","161,428.0","168,150.0","162,580.0","157,199.0","177,306.0","182,176.0","212,610.0","203,614.0","219,251.0","238,566.0","245,281.0","407,742.0","959,397.0","1,427,227.0","1,606,082.0","1,402,221.0","482,117.0","409,528.0","439,431.0","491,881.0","492,427.0","672,715.0","809,976.0","868,015.0","808,896.0","779,339.0","779,971.0","814,747.0","840,928.0","869,459.0","870,954.0","914,780.0","971,107.0","996,117.0","1,018,046.0","1,048,667.0","1,141,065.0","1,228,651.0","1,267,212.0","1,264,260.0","1,233,733.0","1,206,882.0","1,198,124.0","1,193,927.0","1,223,997.0","1,251,582.0","1,257,203.0","1,270,979.0","1,308,415.0","1,332,841.0","1,358,820.0","1,371,210.0","1,395,284.0","1,446,258.0","1,494,866.0","1,598,978.0","1,696,189.0","1,737,113.0","1,758,917.0","1,806,787.0","1,864,040.0","1,884,398.0","1,893,177.0","1,878,201.0","1,878,024.0","1,888,904.0","1,907,927.0","1,943,773.0","1,984,990.0","2,056,124.0","2,097,794.0","2,178,317.0","2,279,633.0","2,330,451.0","2,362,009.0","2,369,882.0","2,402,085.0","2,443,117.0","2,518,052.0","2,564,562.0"
