"","Table 5#1# Saving and Investment                                ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84"
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009"
"19","1","    Gross saving","A929RC1","19,320.0","15,031.0","8,345.0","3,283.0","3,274.0","6,382.0","9,633.0","11,478.0","16,187.0","11,748.0","13,561.0","18,468.0","29,855.0","39,803.0","44,886.0","39,898.0","29,765.0","38,381.0","46,574.0","58,025.0","45,616.0","60,639.0","75,080.0","74,170.0","75,135.0","73,380.0","87,995.0","99,375.0","99,616.0","90,803.0","106,082.0","111,282.0","114,292.0","124,902.0","133,168.0","143,377.0","158,454.0","168,728.0","170,553.0","182,036.0","198,445.0","192,803.0","209,224.0","237,262.0","292,177.0","301,831.0","296,853.0","341,979.0","396,717.0","476,338.0","533,209.0","542,724.0","646,053.0","621,490.0","602,396.0","753,353.0","738,367.0","709,317.0","782,254.0","901,518.0","924,147.0","917,601.0","951,313.0","932,295.0","958,419.0","1,094,668.0","1,219,036.0","1,344,353.0","1,525,665.0","1,654,410.0","1,708,030.0","1,800,149.0","1,695,670.0","1,560,924.0","1,552,750.0","1,724,171.0","1,903,366.0","2,174,401.0","2,040,205.0","1,824,114.0","1,500,293.0"
"20","2","Net saving","W201RC1","9,653.0","5,580.0","-450.0","-4,403.0","-4,131.0","-1,392.0","1,821.0","3,392.0","7,211.0","2,515.0","4,301.0","8,788.0","18,805.0","26,122.0","28,387.0","20,354.0","8,656.0","15,285.0","19,925.0","29,560.0","16,436.0","30,697.0","41,288.0","37,885.0","36,498.0","32,784.0","45,209.0","52,271.0","48,772.0","37,548.0","50,669.0","54,698.0","56,110.0","64,344.0","69,836.0","77,011.0","87,735.0","92,274.0","87,618.0","91,618.0","99,254.0","84,490.0","91,451.0","110,111.0","151,395.0","138,145.0","106,474.0","133,809.0","164,941.0","214,924.0","234,308.0","198,639.0","252,711.0","187,948.0","151,291.0","279,006.0","232,924.0","170,842.0","211,160.0","290,504.0","272,695.0","226,399.0","226,953.0","187,944.0","180,404.0","275,501.0","349,576.0","431,836.0","561,860.0","633,863.0","613,640.0","615,825.0","439,449.0","255,945.0","198,698.0","291,406.0","361,991.0","513,724.0","280,187.0","-22,972.0","-363,699.0"
"21","3","  Net private saving","W202RC1","7,097.0","3,996.0","661.0","-3,727.0","-3,607.0","-434.0","2,572.0","4,308.0","4,965.0","1,878.0","4,356.0","7,146.0","14,667.0","33,319.0","41,008.0","45,642.0","35,955.0","18,762.0","13,180.0","24,677.0","20,576.0","23,820.0","29,046.0","31,175.0","31,212.0","31,240.0","36,021.0","40,361.0","41,329.0","40,113.0","43,628.0","43,277.0","49,276.0","56,685.0","58,845.0","69,720.0","77,962.0","82,263.0","89,942.0","86,565.0","82,719.0","92,870.0","113,677.0","119,382.0","147,512.0","143,303.0","174,647.0","180,098.0","197,935.0","225,151.0","235,269.0","246,472.0","301,913.0","325,416.0","322,645.0","426,533.0","389,186.0","344,724.0","348,527.0","411,686.0","386,501.0","396,655.0","451,195.0","491,823.0","461,573.0","487,664.0","546,569.0","557,099.0","585,698.0","553,374.0","473,022.0","389,353.0","414,868.0","562,800.0","613,911.0","679,234.0","619,073.0","666,469.0","494,992.0","659,764.0","881,924.0"
"22","4","    Personal saving","A071RC1","3,611.0","2,948.0","2,391.0","-528.0","-776.0","495.0","2,509.0","4,196.0","4,273.0","1,271.0","3,163.0","4,348.0","11,431.0","28,554.0","34,575.0","38,618.0","31,038.0","15,530.0","7,267.0","13,224.0","9,353.0","14,924.0","19,344.0","20,349.0","21,268.0","19,812.0","19,541.0","25,649.0","26,855.0","28,185.0","26,099.0","26,329.0","31,880.0","33,462.0","33,117.0","40,545.0","42,703.0","44,268.0","54,176.0","52,477.0","52,464.0","69,428.0","80,422.0","77,462.0","102,931.0","114,181.0","125,943.0","122,795.0","125,302.0","142,375.0","157,451.0","196,309.0","236,740.0","263,913.0","226,926.0","296,264.0","253,599.0","246,453.0","223,438.0","256,617.0","264,981.0","276,692.0","313,194.0","348,067.0","285,386.0","270,683.0","286,257.0","281,141.0","280,424.0","341,478.0","207,780.0","213,096.0","204,916.0","282,200.0","289,755.0","303,731.0","127,692.0","234,952.0","178,873.0","286,429.0","458,563.0"
"23","5","    Undistributed corporate profits with inventory valuation and capital consumption adjustments","A127RC1","3,486.0","1,048.0","-1,730.0","-3,199.0","-2,831.0","-929.0","63.0","112.0","692.0","607.0","1,193.0","2,798.0","3,236.0","4,765.0","6,224.0","7,217.0","4,903.0","3,262.0","5,898.0","11,418.0","11,269.0","8,872.0","9,672.0","10,880.0","9,944.0","11,428.0","16,480.0","14,712.0","14,474.0","11,928.0","17,529.0","16,948.0","17,396.0","23,223.0","25,728.0","29,175.0","35,259.0","37,995.0","35,766.0","34,088.0","30,255.0","23,442.0","32,882.0","42,249.0","44,625.0","29,122.0","48,704.0","57,303.0","72,633.0","82,776.0","77,818.0","50,163.0","65,173.0","61,503.0","95,719.0","130,269.0","135,587.0","98,271.0","125,089.0","155,069.0","121,520.0","119,963.0","138,001.0","159,512.0","169,740.0","199,362.0","243,943.0","272,310.0","308,207.0","212,601.0","260,092.0","176,257.0","209,952.0","280,600.0","309,156.0","390,503.0","486,381.0","430,267.0","322,369.0","378,335.0","418,361.0"
"24","6","      Undistributed profits","B057RC1","3,425.0","-2,019.0","-4,207.0","-4,409.0","-831.0","-232.0","421.0","999.0","1,288.0","249.0","2,421.0","3,587.0","6,301.0","6,378.0","7,032.0","6,889.0","4,732.0","10,258.0","14,356.0","16,419.0","12,166.0","16,470.0","13,659.0","12,271.0","12,510.0","12,437.0","17,365.0","17,190.0","15,915.0","12,433.0","17,459.0","15,483.0","14,778.0","17,884.0","19,472.0","22,747.0","28,880.0","32,149.0","29,138.0","29,276.0","27,155.0","21,928.0","29,687.0","39,047.0","55,092.0","61,772.0","60,936.0","75,437.0","91,300.0","110,485.0","124,598.0","102,282.0","85,647.0","54,399.0","69,887.0","80,270.0","60,506.0","30,106.0","80,346.0","118,374.0","86,411.0","97,201.0","106,112.0","137,686.0","145,059.0","170,167.0","212,054.0","211,546.0","225,137.0","123,068.0","184,333.0","129,506.0","138,509.0","173,755.0","234,846.0","372,975.0","670,454.0","644,675.0","555,062.0","480,695.0","537,051.0"
"25","7","      Inventory valuation adjustment","B058RC1","472.0","3,260.0","2,414.0","1,047.0","-2,143.0","-625.0","-227.0","-738.0","-31.0","963.0","-714.0","-200.0","-2,471.0","-1,204.0","-773.0","-287.0","-564.0","-5,263.0","-5,899.0","-2,152.0","1,856.0","-4,965.0","-1,199.0","981.0","-997.0","-318.0","-1,736.0","-2,693.0","-1,539.0","-255.0","-277.0","-173.0","271.0","26.0","54.0","-494.0","-1,245.0","-2,107.0","-1,554.0","-3,651.0","-5,870.0","-6,552.0","-4,584.0","-6,610.0","-19,569.0","-38,221.0","-10,544.0","-14,113.0","-15,698.0","-23,709.0","-40,138.0","-42,133.0","-24,626.0","-7,505.0","-7,445.0","-3,979.0","21.0","7,061.0","-16,239.0","-22,174.0","-16,348.0","-12,892.0","4,927.0","-2,821.0","-4,021.0","-12,436.0","-18,284.0","3,071.0","14,090.0","15,743.0","-3,954.0","-16,809.0","8,044.0","-2,566.0","-11,283.0","-34,255.0","-30,699.0","-38,033.0","-44,009.0","-38,219.0","9,110.0"
"26","8","      Capital consumption adjustment","A059RC1","-411.0","-193.0","63.0","163.0","143.0","-72.0","-131.0","-149.0","-565.0","-605.0","-514.0","-589.0","-594.0","-409.0","-35.0","615.0","735.0","-1,733.0","-2,559.0","-2,849.0","-2,753.0","-2,633.0","-2,788.0","-2,372.0","-1,569.0","-691.0","851.0","215.0","98.0","-250.0","347.0","1,638.0","2,347.0","5,313.0","6,202.0","6,922.0","7,624.0","7,953.0","8,182.0","8,463.0","8,970.0","8,066.0","7,779.0","9,812.0","9,102.0","5,571.0","-1,688.0","-4,021.0","-2,969.0","-4,000.0","-6,642.0","-9,986.0","4,152.0","14,609.0","33,277.0","53,978.0","75,060.0","61,104.0","60,982.0","58,869.0","51,457.0","35,654.0","26,962.0","24,647.0","28,702.0","41,631.0","50,173.0","57,693.0","68,980.0","73,790.0","79,713.0","63,560.0","63,399.0","109,411.0","85,593.0","51,783.0","-153,374.0","-176,375.0","-188,684.0","-64,141.0","-127,800.0"
"27","9","    Wage accruals less disbursements","B185RC1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","209.0","-193.0","14.0","-30.0","15.0","35.0","-46.0","24.0","30.0","-54.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","373.0","-329.0","-44.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","-15,756.0","6,447.0","17,619.0","16,369.0","3,648.0","-2,933.0","-705.0","5,150.0","0.0","0.0","0.0","15,000.0","-15,000.0","5,000.0","1,250.0","-6,250.0","-5,000.0","5,000.0"
"28","10","  Net government saving","A922RC1","2,556.0","1,584.0","-1,111.0","-676.0","-524.0","-958.0","-751.0","-916.0","2,246.0","637.0","-55.0","1,642.0","4,138.0","-7,197.0","-12,621.0","-25,288.0","-27,299.0","-3,477.0","6,745.0","4,883.0","-4,140.0","6,877.0","12,242.0","6,710.0","5,286.0","1,544.0","9,188.0","11,910.0","7,443.0","-2,565.0","7,041.0","11,421.0","6,834.0","7,659.0","10,991.0","7,291.0","9,773.0","10,011.0","-2,324.0","5,053.0","16,535.0","-8,380.0","-22,226.0","-9,271.0","3,883.0","-5,158.0","-68,173.0","-46,289.0","-32,994.0","-10,227.0","-961.0","-47,833.0","-49,202.0","-137,468.0","-171,354.0","-147,527.0","-156,262.0","-173,882.0","-137,367.0","-121,182.0","-113,806.0","-170,256.0","-224,242.0","-303,879.0","-281,169.0","-212,163.0","-196,993.0","-125,263.0","-23,838.0","80,489.0","140,618.0","226,472.0","24,581.0","-306,855.0","-415,213.0","-387,828.0","-257,082.0","-152,745.0","-214,805.0","-682,736.0","-1,245,623.0"
"29","11","    Federal","A923RC1","1,048.0","246.0","-2,078.0","-1,336.0","-893.0","-2,171.0","-1,898.0","-3,204.0","227.0","-1,328.0","-2,076.0","-312.0","2,224.0","-8,708.0","-14,086.0","-26,863.0","-28,893.0","-4,963.0","5,316.0","3,653.0","-5,598.0","5,565.0","9,672.0","3,722.0","1,791.0","-1,686.0","5,681.0","7,510.0","3,251.0","-5,444.0","3,262.0","7,123.0","2,550.0","2,420.0","5,289.0","905.0","3,244.0","2,253.0","-9,313.0","-2,439.0","8,556.0","-15,488.0","-28,694.0","-24,898.0","-11,829.0","-14,489.0","-70,642.0","-53,666.0","-46,130.0","-28,902.0","-13,960.0","-56,616.0","-56,757.0","-135,271.0","-176,240.0","-171,465.0","-178,613.0","-194,606.0","-149,344.0","-138,420.0","-133,940.0","-176,442.0","-218,434.0","-302,485.0","-280,227.0","-220,391.0","-206,170.0","-148,249.0","-60,138.0","33,583.0","98,806.0","185,207.0","40,499.0","-252,774.0","-376,382.0","-379,467.0","-283,010.0","-203,784.0","-236,481.0","-642,556.0","-1,226,466.0"
"30","12","    State and local","A924RC1","1,508.0","1,338.0","967.0","660.0","369.0","1,213.0","1,147.0","2,288.0","2,019.0","1,965.0","2,021.0","1,954.0","1,914.0","1,511.0","1,465.0","1,575.0","1,594.0","1,486.0","1,429.0","1,230.0","1,458.0","1,312.0","2,570.0","2,988.0","3,495.0","3,230.0","3,507.0","4,400.0","4,192.0","2,879.0","3,779.0","4,298.0","4,284.0","5,239.0","5,702.0","6,386.0","6,529.0","7,758.0","6,989.0","7,492.0","7,979.0","7,108.0","6,468.0","15,627.0","15,712.0","9,331.0","2,469.0","7,377.0","13,136.0","18,675.0","12,999.0","8,783.0","7,555.0","-2,197.0","4,886.0","23,938.0","22,351.0","20,724.0","11,977.0","17,238.0","20,134.0","6,186.0","-5,808.0","-1,394.0","-942.0","8,228.0","9,177.0","22,986.0","36,300.0","46,906.0","41,812.0","41,265.0","-15,918.0","-54,081.0","-38,831.0","-8,361.0","25,928.0","51,039.0","21,676.0","-40,180.0","-19,157.0"
"31","13","Consumption of fixed capital","A262RC1","9,667.0","9,451.0","8,795.0","7,686.0","7,405.0","7,774.0","7,812.0","8,086.0","8,976.0","9,233.0","9,260.0","9,680.0","11,050.0","13,681.0","16,499.0","19,544.0","21,109.0","23,096.0","26,649.0","28,465.0","29,180.0","29,942.0","33,792.0","36,285.0","38,637.0","40,596.0","42,786.0","47,104.0","50,844.0","53,255.0","55,413.0","56,584.0","58,182.0","60,558.0","63,332.0","66,366.0","70,719.0","76,454.0","82,935.0","90,418.0","99,191.0","108,313.0","117,773.0","127,151.0","140,782.0","163,686.0","190,379.0","208,170.0","231,776.0","261,414.0","298,901.0","344,085.0","393,342.0","433,542.0","451,105.0","474,347.0","505,443.0","538,475.0","571,094.0","611,014.0","651,452.0","691,202.0","724,360.0","744,351.0","778,015.0","819,167.0","869,460.0","912,517.0","963,805.0","1,020,547.0","1,094,390.0","1,184,324.0","1,256,221.0","1,304,979.0","1,354,052.0","1,432,765.0","1,541,375.0","1,660,677.0","1,760,018.0","1,847,086.0","1,863,992.0"
"32","14","  Private","A024RC1","8,709.0","8,501.0","7,886.0","6,869.0","6,498.0","6,697.0","6,713.0","6,855.0","7,654.0","7,843.0","7,821.0","8,147.0","9,020.0","10,146.0","10,261.0","10,656.0","11,042.0","12,314.0","16,058.0","18,854.0","20,499.0","22,027.0","25,162.0","26,740.0","28,205.0","29,470.0","31,057.0","34,341.0","37,249.0","39,388.0","40,960.0","41,583.0","42,631.0","44,079.0","45,878.0","48,297.0","51,860.0","56,481.0","61,559.0","67,422.0","74,490.0","81,702.0","89,528.0","97,713.0","109,459.0","127,835.0","150,449.0","165,544.0","186,148.0","211,962.0","244,462.0","282,290.0","323,249.0","356,438.0","369,519.0","387,466.0","412,774.0","439,063.0","464,485.0","497,114.0","529,604.0","560,416.0","585,433.0","599,900.0","626,383.0","660,953.0","704,619.0","743,352.0","789,710.0","841,567.0","907,237.0","986,828.0","1,051,593.0","1,094,033.0","1,135,933.0","1,200,874.0","1,290,810.0","1,391,388.0","1,469,573.0","1,536,165.0","1,538,754.0"
"33","15","    Domestic business","W276RC1","7,603.0","7,401.0","6,878.0","6,044.0","5,689.0","5,803.0","5,825.0","5,916.0","6,599.0","6,747.0","6,703.0","6,969.0","7,712.0","8,726.0","8,733.0","9,007.0","9,285.0","10,325.0","13,497.0","15,889.0","17,321.0","18,564.0","21,171.0","22,415.0","23,614.0","24,628.0","25,831.0","28,620.0","31,172.0","33,054.0","34,297.0","34,628.0","35,427.0","36,611.0","38,059.0","40,003.0","42,933.0","46,859.0","51,191.0","56,096.0","61,937.0","68,155.0","74,601.0","81,168.0","90,611.0","106,096.0","125,750.0","138,454.0","155,455.0","176,416.0","203,511.0","235,390.0","271,191.0","300,679.0","311,393.0","325,951.0","347,978.0","369,884.0","390,338.0","417,610.0","444,396.0","469,817.0","490,593.0","500,927.0","521,165.0","549,420.0","585,954.0","619,158.0","658,470.0","702,082.0","756,841.0","824,313.0","876,541.0","908,506.0","935,434.0","978,714.0","1,045,725.0","1,123,284.0","1,188,500.0","1,252,313.0","1,257,721.0"
"34","16","    Households and institutions","W279RC1","1,106.0","1,100.0","1,008.0","825.0","809.0","894.0","888.0","939.0","1,055.0","1,096.0","1,118.0","1,178.0","1,308.0","1,420.0","1,528.0","1,649.0","1,757.0","1,989.0","2,561.0","2,965.0","3,178.0","3,463.0","3,991.0","4,325.0","4,591.0","4,842.0","5,226.0","5,721.0","6,077.0","6,334.0","6,663.0","6,955.0","7,204.0","7,468.0","7,819.0","8,294.0","8,927.0","9,622.0","10,368.0","11,326.0","12,553.0","13,547.0","14,927.0","16,545.0","18,848.0","21,739.0","24,699.0","27,090.0","30,693.0","35,546.0","40,951.0","46,900.0","52,058.0","55,759.0","58,126.0","61,515.0","64,796.0","69,179.0","74,147.0","79,504.0","85,208.0","90,599.0","94,840.0","98,973.0","105,218.0","111,533.0","118,665.0","124,194.0","131,240.0","139,485.0","150,396.0","162,515.0","175,052.0","185,527.0","200,499.0","222,160.0","245,085.0","268,104.0","281,073.0","283,852.0","281,032.0"
"35","17","  Government","A264RC1","958.0","950.0","909.0","817.0","907.0","1,077.0","1,099.0","1,231.0","1,322.0","1,390.0","1,439.0","1,533.0","2,030.0","3,535.0","6,238.0","8,888.0","10,067.0","10,782.0","10,591.0","9,611.0","8,681.0","7,915.0","8,630.0","9,545.0","10,432.0","11,126.0","11,729.0","12,763.0","13,595.0","13,867.0","14,453.0","15,001.0","15,551.0","16,479.0","17,454.0","18,069.0","18,859.0","19,973.0","21,376.0","22,996.0","24,701.0","26,611.0","28,245.0","29,438.0","31,323.0","35,851.0","39,930.0","42,626.0","45,628.0","49,452.0","54,439.0","61,795.0","70,093.0","77,104.0","81,586.0","86,881.0","92,669.0","99,412.0","106,609.0","113,900.0","121,848.0","130,786.0","138,927.0","144,451.0","151,632.0","158,214.0","164,841.0","169,165.0","174,095.0","178,980.0","187,153.0","197,496.0","204,628.0","210,946.0","218,119.0","231,891.0","250,565.0","269,289.0","290,445.0","310,921.0","325,238.0"
