"","Table 7#9# Rental Income of Persons by Legal Form of Organizatio","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66"
"1","[Millions of dollars]                                                           ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1946 To 2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 20, 2009   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 5/26/2010 11:08:18 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Cautionary note on the use of data in millions of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","dollars -- The tables provided include estimates in ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","millions of dollars for NIPA series that appear regularly in the national income ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","and product account (NIPA) tables published in the Survey of Current Business. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008"
"19","1","      Rental income of persons with capital consumption adjustment","A048RC1","7,092.0","7,177.0","7,797.0","8,089.0","9,073.0","10,039.0","11,152.0","12,357.0","13,382.0","13,776.0","14,068.0","14,472.0","15,236.0","16,018.0","16,960.0","17,730.0","18,605.0","19,332.0","19,433.0","19,949.0","20,522.0","20,906.0","20,626.0","20,896.0","21,074.0","22,183.0","23,143.0","23,904.0","24,048.0","23,367.0","22,085.0","19,625.0","20,884.0","22,643.0","28,494.0","36,459.0","38,050.0","38,165.0","40,030.0","41,851.0","33,827.0","34,184.0","40,232.0","42,414.0","49,804.0","61,581.0","84,619.0","114,089.0","142,914.0","154,567.0","170,440.0","176,548.0","191,468.0","208,156.0","215,275.0","232,371.0","218,738.0","204,163.0","198,383.0","178,210.0","146,520.0","144,884.0","210,409.0"
"20","2","Other private business","W155RC1","4,073.0","4,204.0","4,557.0","4,448.0","4,809.0","5,115.0","5,233.0","5,324.0","5,422.0","5,379.0","5,450.0","5,410.0","5,634.0","5,485.0","5,487.0","5,553.0","5,602.0","5,848.0","5,826.0","6,021.0","6,076.0","5,994.0","6,082.0","6,023.0","6,234.0","6,270.0","7,329.0","8,656.0","8,486.0","8,659.0","8,704.0","9,497.0","10,147.0","11,399.0","14,333.0","20,115.0","24,221.0","25,808.0","28,516.0","32,540.0","29,002.0","27,409.0","25,750.0","25,342.0","29,221.0","34,394.0","42,145.0","47,557.0","52,074.0","56,108.0","58,412.0","61,293.0","60,718.0","60,537.0","60,731.0","64,576.0","58,774.0","55,013.0","55,040.0","56,773.0","59,351.0","69,310.0","81,115.0"
"21","3","  Tenant-occupied housing","W285RC1","1,609.0","1,673.0","1,900.0","2,109.0","2,277.0","2,327.0","2,451.0","2,707.0","2,851.0","2,877.0","2,932.0","3,069.0","3,304.0","3,466.0","3,459.0","3,420.0","3,405.0","3,430.0","3,374.0","3,374.0","3,238.0","3,314.0","3,175.0","3,062.0","3,122.0","3,120.0","3,263.0","2,803.0","2,183.0","2,028.0","1,838.0","2,973.0","2,484.0","2,366.0","3,855.0","6,861.0","10,645.0","12,975.0","12,968.0","16,504.0","16,864.0","16,294.0","15,282.0","14,373.0","17,579.0","22,195.0","29,207.0","34,373.0","39,272.0","42,752.0","43,058.0","44,715.0","45,540.0","45,091.0","42,865.0","44,080.0","42,799.0","35,034.0","33,070.0","29,843.0","31,377.0","40,914.0","52,218.0"
"22","4","    Nonfarm tenant-occupied permanent site housing","B1436C1","1,546.0","1,606.0","1,833.0","2,052.0","2,219.0","2,262.0","2,381.0","2,637.0","2,786.0","2,811.0","2,869.0","3,004.0","3,238.0","3,392.0","3,383.0","3,341.0","3,325.0","3,346.0","3,289.0","3,288.0","3,150.0","3,227.0","3,089.0","2,972.0","3,028.0","3,021.0","3,151.0","2,695.0","2,076.0","1,934.0","1,748.0","2,886.0","2,393.0","2,278.0","3,771.0","6,786.0","10,587.0","12,932.0","12,939.0","16,494.0","16,872.0","16,301.0","15,281.0","14,360.0","17,553.0","22,152.0","29,147.0","34,280.0","39,156.0","42,646.0","42,953.0","44,629.0","45,463.0","45,026.0","42,755.0","43,985.0","42,704.0","34,947.0","32,936.0","29,665.0","31,152.0","40,614.0","51,890.0"
"23","5","    Farm tenant-occupied housing owned by farm operator landlords","W156RC1","64.0","67.0","67.0","57.0","58.0","65.0","70.0","71.0","65.0","66.0","63.0","65.0","66.0","74.0","76.0","79.0","80.0","84.0","86.0","85.0","88.0","87.0","86.0","90.0","94.0","99.0","112.0","108.0","106.0","95.0","89.0","87.0","90.0","88.0","83.0","76.0","58.0","43.0","28.0","10.0","-8.0","-8.0","1.0","13.0","26.0","43.0","60.0","93.0","116.0","106.0","106.0","85.0","77.0","66.0","110.0","95.0","94.0","87.0","134.0","178.0","225.0","300.0","328.0"
"24","6","  Farms owned by nonoperator landlords \1\","B1437C1","1,342.0","1,384.0","1,299.0","1,049.0","1,167.0","1,313.0","1,346.0","1,120.0","1,098.0","1,001.0","1,050.0","975.0","1,100.0","997.0","1,017.0","1,191.0","1,267.0","1,368.0","1,360.0","1,513.0","1,580.0","1,430.0","1,519.0","1,566.0","1,559.0","1,541.0","2,296.0","3,633.0","3,118.0","3,058.0","2,633.0","2,593.0","3,215.0","3,922.0","4,005.0","3,886.0","3,559.0","3,283.0","4,890.0","4,460.0","3,354.0","4,291.0","3,825.0","4,260.0","4,476.0","4,330.0","4,613.0","4,854.0","4,660.0","4,800.0","5,235.0","5,617.0","5,435.0","5,198.0","5,624.0","5,593.0","4,818.0","5,074.0","5,001.0","5,317.0","4,719.0","4,404.0","5,172.0"
"25","7","  Nonfarm nonresidential properties \2\","B1438C1","739.0","705.0","719.0","715.0","749.0","762.0","701.0","683.0","634.0","601.0","508.0","370.0","233.0","35.0","35.0","45.0","50.0","69.0","75.0","90.0","94.0","117.0","192.0","226.0","188.0","180.0","207.0","251.0","292.0","280.0","315.0","268.0","350.0","382.0","483.0","658.0","603.0","1,000.0","1,132.0","1,505.0","1,462.0","1,249.0","1,028.0","786.0","628.0","880.0","1,084.0","1,220.0","978.0","1,325.0","1,555.0","1,444.0","1,375.0","1,136.0","1,156.0","394.0","277.0","322.0","230.0","-87.0","55.0","158.0","-110.0"
"26","8","  Royalties","B1439C1","382.0","442.0","639.0","575.0","616.0","714.0","735.0","814.0","838.0","900.0","960.0","996.0","997.0","986.0","976.0","897.0","879.0","981.0","1,016.0","1,045.0","1,164.0","1,132.0","1,196.0","1,169.0","1,365.0","1,429.0","1,564.0","1,969.0","2,894.0","3,292.0","3,918.0","3,663.0","4,098.0","4,729.0","5,990.0","8,711.0","9,414.0","8,550.0","9,527.0","10,070.0","7,322.0","5,575.0","5,614.0","5,923.0","6,538.0","6,989.0","7,242.0","7,111.0","7,164.0","7,231.0","8,564.0","9,516.0","8,368.0","9,112.0","11,086.0","14,508.0","10,879.0","14,583.0","16,739.0","21,700.0","23,199.0","23,835.0","23,835.0"
"27","9","Households and nonprofit institutions","W157RC1","3,019.0","2,973.0","3,240.0","3,641.0","4,265.0","4,924.0","5,919.0","7,033.0","7,960.0","8,397.0","8,618.0","9,062.0","9,602.0","10,533.0","11,473.0","12,177.0","13,003.0","13,485.0","13,607.0","13,928.0","14,445.0","14,912.0","14,544.0","14,873.0","14,840.0","15,913.0","15,814.0","15,248.0","15,562.0","14,709.0","13,381.0","10,128.0","10,737.0","11,244.0","14,161.0","16,344.0","13,830.0","12,357.0","11,514.0","9,311.0","4,825.0","6,775.0","14,482.0","17,073.0","20,583.0","27,187.0","42,474.0","66,532.0","90,840.0","98,458.0","112,028.0","115,255.0","130,750.0","147,618.0","154,544.0","167,795.0","159,964.0","149,150.0","143,344.0","121,437.0","87,169.0","75,574.0","129,294.0"
"28","10","  Nonfarm owner-occupied housing","A2217C1","2,421.0","2,334.0","2,596.0","3,082.0","3,690.0","4,275.0","5,212.0","6,312.0","7,285.0","7,712.0","7,955.0","8,370.0","8,889.0","9,715.0","10,625.0","11,272.0","12,069.0","12,482.0","12,557.0","12,874.0","13,342.0","13,796.0","13,419.0","13,670.0","13,535.0","14,377.0","14,079.0","13,594.0","13,936.0","13,231.0","11,971.0","8,651.0","9,181.0","9,665.0","12,482.0","14,537.0","12,038.0","10,616.0","9,930.0","7,817.0","3,597.0","5,496.0","13,032.0","15,400.0","18,578.0","24,766.0","39,462.0","62,882.0","86,514.0","93,702.0","107,001.0","110,238.0","125,502.0","142,335.0","148,445.0","161,560.0","153,690.0","143,317.0","136,755.0","114,241.0","79,062.0","65,573.0","117,965.0"
"29","11","    Permanent site","B1434C1","2,417.0","2,327.0","2,585.0","3,069.0","3,672.0","4,251.0","5,182.0","6,274.0","7,240.0","7,658.0","7,898.0","8,312.0","8,833.0","9,642.0","10,547.0","11,179.0","11,987.0","12,373.0","12,419.0","12,696.0","13,117.0","13,532.0","13,125.0","13,372.0","13,245.0","14,063.0","13,714.0","13,240.0","13,580.0","12,862.0","11,651.0","8,101.0","8,116.0","8,487.0","11,507.0","12,972.0","10,694.0","8,942.0","8,173.0","5,633.0","865.0","2,464.0","9,308.0","10,849.0","12,754.0","17,049.0","30,827.0","54,895.0","79,316.0","87,768.0","101,427.0","104,883.0","120,689.0","137,691.0","142,114.0","149,560.0","139,124.0","127,965.0","121,251.0","100,666.0","68,928.0","56,882.0","108,504.0"
"30","12","    Manufactured homes","B1435C1","4.0","7.0","11.0","13.0","18.0","24.0","30.0","38.0","45.0","53.0","57.0","58.0","56.0","72.0","78.0","93.0","82.0","110.0","138.0","179.0","225.0","263.0","294.0","298.0","290.0","314.0","365.0","354.0","356.0","370.0","320.0","549.0","1,065.0","1,178.0","976.0","1,565.0","1,344.0","1,674.0","1,757.0","2,184.0","2,732.0","3,032.0","3,724.0","4,551.0","5,824.0","7,717.0","8,634.0","7,987.0","7,198.0","5,933.0","5,573.0","5,355.0","4,813.0","4,644.0","6,331.0","11,999.0","14,566.0","15,352.0","15,504.0","13,576.0","10,134.0","8,691.0","9,460.0"
