"","Table 6#16D# Corporate Profits by Industry                      ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40"
"1","[Millions of dollars]; Seasonally adjusted at annual rates                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Quarterly data from 2001 To 2010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published May 27, 2010      ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 5/26/2010 11:07:35 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Cautionary note on the use of data in millions of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","dollars -- The tables provided include estimates in ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","millions of dollars for NIPA series that appear regularly in the national income ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","and product account (NIPA) tables published in the Survey of Current Business. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"2001","2001","2001","2001","2002","2002","2002","2002","2003","2003","2003","2003","2004","2004","2004","2004","2005","2005","2005","2005","2006","2006","2006","2006","2007","2007","2007","2007","2008","2008","2008","2008","2009","2009","2009","2009","2010"
"19",NA,NA,NA,"1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1"
"20","1","    Corporate profits with inventory valuation and capital consumption adjustments","A051RC1","782,796.0","812,272.0","764,972.0","776,621.0","830,329.0","851,951.0","869,764.0","936,724.0","917,485.0","950,059.0","992,683.0","1,050,907.0","1,187,220.0","1,226,862.0","1,292,235.0","1,281,408.0","1,408,162.0","1,428,954.0","1,454,690.0","1,532,537.0","1,590,921.0","1,597,715.0","1,655,051.0","1,589,558.0","1,535,419.0","1,594,870.0","1,537,120.0","1,499,371.0","1,459,656.0","1,403,708.0","1,454,568.0","1,123,628.0","1,182,738.0","1,226,500.0","1,358,895.0","1,467,570.0","1,549,007.0"
"21","2","Domestic industries","A445RC1","622,729.0","641,262.0","618,414.0","575,455.0","671,583.0","706,019.0","713,202.0","766,417.0","768,347.0","791,117.0","829,566.0","859,099.0","974,042.0","1,029,610.0","1,076,991.0","1,086,973.0","1,173,986.0","1,195,696.0","1,201,742.0","1,295,151.0","1,343,979.0","1,342,431.0","1,404,053.0","1,315,417.0","1,253,197.0","1,283,712.0","1,166,606.0","1,072,264.0","1,047,401.0","1,036,693.0","1,057,397.0","791,267.0","866,984.0","925,296.0","1,035,716.0","1,160,437.0","1,212,411.0"
"22","3","  Financial \1\","N587RC1","232,908.0","243,446.0","244,682.0","256,615.0","281,895.0","287,370.0","285,117.0","294,101.0","314,195.0","319,761.0","332,571.0","337,115.0","352,877.0","355,034.0","364,394.0","385,140.0","425,474.0","390,192.0","440,636.0","419,724.0","441,998.0","447,492.0","416,479.0","404,359.0","365,738.0","385,974.0","356,497.0","279,882.0","350,707.0","323,938.0","289,842.0","121,905.0","237,752.0","266,255.0","349,131.0","414,081.0","421,525.0"
"23","4","  Nonfinancial","N463RC1","389,821.0","397,816.0","373,732.0","318,840.0","389,688.0","418,649.0","428,085.0","472,316.0","454,152.0","471,356.0","496,995.0","521,984.0","621,165.0","674,576.0","712,597.0","701,833.0","748,512.0","805,504.0","761,106.0","875,427.0","901,981.0","894,939.0","987,574.0","911,058.0","887,459.0","897,738.0","810,109.0","792,382.0","696,694.0","712,755.0","767,555.0","669,362.0","629,232.0","659,041.0","686,585.0","746,356.0","790,886.0"
"24","5","Rest of the world","B394RC1","160,068.0","171,010.0","146,559.0","201,165.0","158,747.0","145,932.0","156,564.0","170,307.0","149,137.0","158,942.0","163,118.0","191,808.0","213,178.0","197,252.0","215,244.0","194,434.0","234,176.0","233,258.0","252,947.0","237,386.0","246,942.0","255,283.0","250,998.0","274,141.0","282,224.0","311,159.0","370,515.0","427,108.0","412,255.0","367,016.0","397,171.0","332,360.0","315,756.0","301,204.0","323,180.0","307,132.0","336,596.0"
"25","6","  Receipts from the rest of the world","B933RC1","191,215.0","186,286.0","176,054.0","176,765.0","191,677.0","202,286.0","217,235.0","206,417.0","229,377.0","236,193.0","250,114.0","280,982.0","314,677.0","323,147.0","332,724.0","342,141.0","373,250.0","374,570.0","384,263.0","404,138.0","410,573.0","436,006.0","441,191.0","450,017.0","457,595.0","489,990.0","521,770.0","548,836.0","565,721.0","573,649.0","558,492.0","479,110.0","402,150.0","409,918.0","440,766.0","468,534.0","497,822.0"
"26","7","  Less: Payments to the rest of the world","B934RC1","31,147.0","15,275.0","29,495.0","-24,400.0","32,930.0","56,354.0","60,672.0","36,110.0","80,240.0","77,250.0","86,995.0","89,174.0","101,499.0","125,895.0","117,481.0","147,707.0","139,073.0","141,313.0","131,316.0","166,752.0","163,632.0","180,724.0","190,193.0","175,875.0","175,372.0","178,831.0","151,255.0","121,728.0","153,466.0","206,634.0","161,321.0","146,750.0","86,394.0","108,714.0","117,586.0","161,402.0","161,226.0"
"27","8","    Corporate profits with inventory valuation adjustment","A052RC1","730,161.0","762,649.0","708,049.0","682,206.0","713,252.0","737,729.0","761,780.0","838,363.0","837,926.0","853,488.0","903,090.0","974,257.0","1,120,488.0","1,171,279.0","1,246,027.0","1,242,799.0","1,542,887.0","1,573,468.0","1,612,960.0","1,708,524.0","1,781,894.0","1,771,368.0","1,822,766.0","1,762,719.0","1,705,425.0","1,779,078.0","1,732,905.0","1,704,109.0","1,512,866.0","1,463,821.0","1,522,160.0","1,199,275.0","1,327,608.0","1,355,136.0","1,477,822.0","1,586,337.0","1,775,010.0"
"28","9","Domestic industries","A390RC1","570,093.0","591,640.0","561,492.0","481,040.0","554,506.0","591,798.0","605,217.0","668,058.0","688,788.0","694,546.0","739,974.0","782,448.0","907,311.0","974,028.0","1,030,782.0","1,048,362.0","1,308,711.0","1,340,209.0","1,360,014.0","1,471,138.0","1,534,951.0","1,516,084.0","1,571,767.0","1,488,579.0","1,423,201.0","1,467,920.0","1,362,390.0","1,277,001.0","1,100,612.0","1,096,807.0","1,124,990.0","866,915.0","1,011,854.0","1,053,933.0","1,154,642.0","1,279,205.0","1,438,413.0"
"29","10","  Financial","N392RC1","219,170.0","228,856.0","228,426.0","235,432.0","258,199.0","264,412.0","263,555.0","274,593.0","298,472.0","303,500.0","318,750.0","326,635.0","346,260.0","351,665.0","363,971.0","387,361.0","447,981.0","414,458.0","466,078.0","445,757.0","466,475.0","467,826.0","434,789.0","422,767.0","384,198.0","406,238.0","378,152.0","302,515.0","356,967.0","330,839.0","297,461.0","130,319.0","253,873.0","280,660.0","362,393.0","427,853.0","446,614.0"
"30","11","    Federal Reserve banks","B397RC1","31,720.0","29,799.0","28,143.0","25,833.0","24,277.0","24,296.0","23,328.0","22,163.0","21,684.0","20,784.0","19,540.0","18,299.0","19,072.0","19,060.0","20,100.0","21,920.0","22,921.0","25,541.0","26,788.0","31,022.0","31,021.0","33,621.0","35,755.0","34,946.0","38,169.0","38,499.0","37,519.0","36,549.0","35,875.0","31,107.0","34,567.0","41,099.0","28,789.0","46,069.0","57,630.0","67,913.0","77,938.0"
