"","Table 1#2#6# Real Gross Domestic Product by Major Type of Produc","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207","F208","F209","F210","F211","F212","F213","F214","F215","F216","F217","F218","F219","F220","F221","F222","F223","F224","F225","F226","F227","F228","F229","F230","F231","F232","F233","F234","F235","F236","F237","F238","F239","F240","F241","F242","F243","F244","F245","F246","F247","F248","F249","F250","F251","F252","F253","F254"
"11","3","       Change in private inventories","A014RX1",4.9,-3.5,-13.4,-2.2,11.4,21.4,25,19.4,-2,-17.4,-3.9,-17.5,7.4,10.8,14.1,44.9,27.9,40.6,26.9,11.6,14.5,-3.6,16,16.1,13,12.8,7.7,-6.7,-5.9,-9.5,-7.6,-2.7,11.2,16.6,15.1,20.8,17.6,12.2,9.5,8.4,4.6,6.5,9.5,-8.9,-11.1,-9.7,4.9,13,10.4,26.5,3.2,15.6,38.8,11.1,15.6,-18.2,-8.3,7.2,23.8,19.8,31.2,19.7,23,13.6,26.7,17.7,21.1,15.4,16.4,15.7,18.9,18,41.4,29.8,33.5,26.9,47.1,45.4,40.4,55.6,51.4,23.2,30.8,30.1,27.3,48.9,26.1,21,37,31.2,34.9,18,3.9,16.7,16.2,-14.3,38.5,33,31.5,-3,10.8,38,39,14.9,23.1,52.9,23.2,56.8,26.4,37,12.7,40.2,-15.4,-29.6,-5.8,-0.3,31.8,47.1,43.9,14.2,24,40.2,71.1,37.1,43.2,42.5,44.8,51.9,39.8,44.9,17,10.3,13.4,11.4,-48.8,-13.3,55.4,14.3,57.9,28.3,-27.2,-5.4,6.8,-52.8,-47.7,-6.7,-5.6,29.4,88.7,83.1,86.9,54.4,17.2,25.1,20.8,38.6,35.3,17.2,-9.5,-9.2,36.6,20.1,-0.7,76.8,17.9,22.9,20.7,26.2,54.4,41,10.8,16.3,15.1,37,24.9,-10.8,-17.2,-21,-0.5,33,2.7,23.9,21.1,23.8,40.3,26.8,6.3,15.6,50.5,90.5,56,80.1,65.9,37.7,8.2,16.5,3.2,26.8,62,32.8,43.2,103.9,75.4,87,117.2,43.2,60.6,65.5,89.4,41.1,44.6,99.1,18.7,101,63.1,58.1,-34.8,-10.7,-30.8,-90.7,-15.1,13.4,19.8,32.9,31.5,-3.5,3,38.3,52.4,78.7,62.7,71.6,91.4,15.5,11.8,81,65.8,72.5,67.5,31.8,14.5,23.3,29.8,10.3,0.6,-37.1,-29.7,-37.4,-113.9,-160.2,-130.8
"12","4","       Residual","A958RX1",-19.7,-25.7,-31.9,-16.9,-9.8,0.5,3.8,-3.6,-15.8,-31.1,-23.2,-33.9,-14.8,-11.6,-8.8,18.8,2.4,14.9,2.2,-10.9,-9.7,-25,-7.8,-8,-11.3,-11.9,-15.4,-24.9,-23,-26,-25.2,-22.7,-14.1,-11.1,-12.6,-9.6,-12.3,-15,-16.6,-17.9,-20.9,-19.5,-17,-25.7,-26.4,-25.7,-18.3,-16.3,-14.8,-9.2,-22.8,-15,-6.1,-18.6,-14.5,-31,-26.4,-19.8,-12.3,-15,-9.2,-15.5,-14.3,-18.6,-11.8,-16.5,-16.5,-19.7,-19,-19.6,-18.8,-17.3,-10.6,-14.3,-12.4,-16.3,-7,-9.7,-11.1,-5.9,-6.3,-18.6,-14.9,-18.9,-17.2,-10.5,-18,-21.3,-14.7,-17.3,-16.1,-20.1,-24.3,-21.1,-20.9,-28.1,-16.7,-16.5,-18.5,-24.9,-21.3,-16.5,-14.7,-21.8,-12.7,-10,-12.6,-5.1,-12.2,-15.6,-24.9,-0.6,-41.7,-40.6,-27.1,-26.8,-14.9,-9.1,-12.2,-16.7,-14.9,-11.1,-2.2,-13.2,-7.6,-7.3,-5.7,-10.2,-6.6,-5.9,-20.1,-24,-19.6,-22.8,-49,-30,-5.7,-24.3,-2.5,-12.7,-38.3,-25.8,-21.9,-44.8,-40,-32.8,-27.4,-16.2,5,5.4,5.6,-3.1,-15.2,-17.4,-17.2,-10.8,-11.9,-18.4,-22.9,-29.4,-16.4,-19,-21.9,-7.1,-18.8,-17.9,-12.6,-14.1,-7,-10.5,-16.6,-14.7,-16.7,-10.2,-14,-20.3,-20.6,-20.6,-18.5,-13.1,-18.6,-11.6,-14.2,-15.9,-11.4,-14.5,-15.7,-14.6,-11.6,-5.4,-8.9,-5.3,-7,-12.4,-14.3,-12.3,-15.4,-11.8,-6.1,-5.7,-9.6,-3.6,-5.2,-4,-2.1,-6,-6.1,-6.4,-5.5,-5.3,-4.4,-2.3,-3.3,-0.5,-1.6,-1.7,-3.1,-3.2,-2.9,-2,-3.4,-3.5,-3.1,-3.2,-2.2,-1.6,-0.9,-0.8,-1,-1.2,-0.3,-0.5,-0.5,0,0.2,0.5,-1.2,-1,0.1,1.1,-1,1.1,1,-0.2,2.8,-1.1,0,-14.2,-16.5,-16.1,-15.6
"13","5","Goods","A353RX1",419.5,414.7,407.4,416.1,428.1,430.9,433.1,432,418.5,410.7,417.9,407.5,431,442.9,474.7,482.1,479.4,483.1,488.8,488.2,484.7,472.4,476.4,501.5,509.8,512.4,508.9,490.3,487.3,488.5,492.1,508.2,530.2,552.2,560.1,564.5,558.5,557.9,560,565.7,569.7,565.8,574.8,549.3,525.9,524,545.6,559.8,574.6,591.5,584.7,588.9,617.9,606.2,609,579.7,584,600.6,617.9,630.3,646.7,645.7,654.1,650.8,665.5,668.3,681.6,685.1,703.7,713.6,732.3,731.5,763.7,764.9,784.6,809.7,845.1,840,847.9,861.3,856.5,847.5,850.9,848.7,868.7,889,892.8,889.2,919.4,911.6,919.4,911.1,907.3,917.1,921.6,884.9,936.2,932.5,941.4,928.6,947.9,997.1,1012.9,1036.2,1085,1113.2,1096.4,1124.3,1105.2,1106.3,1085.5,1079.5,1038,1046.9,1084.8,1097.5,1135.2,1153.5,1161.2,1152.2,1166,1194.2,1235.4,1227.4,1218.7,1294,1302.4,1332.3,1337.2,1329.6,1349.2,1344,1356.3,1320.4,1301,1335.5,1404.2,1363.7,1418.2,1366.7,1314.9,1341.9,1321,1289.4,1297.8,1355.7,1382.2,1459.3,1510.8,1542.2,1557,1566.1,1559.5,1566.5,1596.1,1601.8,1617.5,1613.5,1636,1641.5,1645.6,1676.2,1699.3,1749.7,1760.7,1797.1,1800.1,1834.2,1875.4,1903,1918.6,1903.7,1931,1932.7,1927.8,1888.7,1869.7,1878.5,1899.5,1902.8,1913.7,1954.8,1982,2008.3,2014.9,2036.7,2029.6,2080,2129.2,2174.9,2181.7,2249.4,2254.6,2241.5,2259,2301,2308.8,2371.4,2425.2,2445.5,2482.4,2558.5,2614.3,2640.3,2688,2666.4,2721.8,2815.8,2849.3,2875,2923.6,3008.1,2981.9,3088,3073,3082.1,3011.7,3022.3,2983.9,3009.5,3040.4,3055.9,3086.3,3054.3,3087.2,3093.3,3210.8,3264.9,3279.1,3299.4,3340,3386.6,3441.7,3444,3481,3524.8,3624.5,3640.6,3640.9,3704.9,3697.4,3753.3,3818.9,3889.1,3871.4,3885.6,3815.5,3648.1,3566.4,3537.3,3614.7
"14","6","    Final sales","A325RX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2202.1,2214.9,2256.6,2290.7,2311.4,2352.6,2374.2,2417.4,2449.1,2471.6,2551.5,2567.1,2588.3,2630.6,2671.6,2761.7,2774.6,2840.7,2885.7,2922,2965.6,2998.3,3016.9,3030.2,3042.5,3031.9,3011,3089,3053.8,3043.8,3068.1,3024,3057.1,3095.2,3205.8,3226.4,3227.4,3222.7,3277.8,3315.9,3351.6,3428.5,3468.9,3442.7,3559.5,3568.5,3573,3672.9,3685.8,3730.3,3789.2,3881.3,3870.6,3930,3850.5,3706.7,3710.2,3730.3,3775.9
"15","7","    Change in private inventories","A014RX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65.9,37.7,8.2,16.5,3.2,26.8,62,32.8,43.2,103.9,75.4,87,117.2,43.2,60.6,65.5,89.4,41.1,44.6,99.1,18.7,101,63.1,58.1,-34.8,-10.7,-30.8,-90.7,-15.1,13.4,19.8,32.9,31.5,-3.5,3,38.3,52.4,78.7,62.7,71.6,91.4,15.5,11.8,81,65.8,72.5,67.5,31.8,14.5,23.3,29.8,10.3,0.6,-37.1,-29.7,-37.4,-113.9,-160.2,-130.8
"16","8","  Durable goods","A354RX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1034.4,1028.7,1051,1082,1079.5,1116.6,1150.4,1154.1,1195.2,1241.1,1285.7,1306.6,1347.4,1337,1380,1444.6,1465.5,1477,1533.2,1571.9,1593.3,1643.2,1629.3,1634.8,1590.1,1587.5,1551.5,1570.6,1600,1611,1637.6,1609.5,1606.7,1632.8,1695.2,1747.3,1747.2,1762,1793.9,1810.6,1859.1,1864.9,1909.2,1931.3,1964.2,1986.9,2005.3,2001.4,2019.5,2052.8,2107.1,2169.3,2156.4,2132.5,2157.7,2017.1,1844.4,1829.4,1892.9
"17","9","    Final sales","A326RX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,996.4,1003.5,1033.5,1058.5,1072.9,1102.9,1119.7,1148,1173.1,1195.9,1256.5,1265.5,1284.6,1316.2,1351.3,1413.9,1416.8,1465.9,1508.3,1514.7,1576.3,1587.1,1597.5,1601.3,1630,1607.8,1580.7,1640.2,1594.6,1593.4,1623.7,1575.1,1578.6,1629.8,1704,1712.8,1711.7,1714.5,1756.7,1778.7,1797.8,1856.3,1897,1872.5,1943.8,1953.8,1962.4,1997.6,2009.7,2063.3,2097.1,2152.9,2141.2,2156.8,2121.2,2007.5,1973.9,1965.9,2002.8
"18","10","    Change in private inventories \1\","A355RX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.2,30.9,21.6,28,9.4,18,36.2,8.1,27.6,53.3,33.3,46.8,72.3,23,32.5,34.8,55.7,11.3,27,63.9,17.9,62.1,34.4,36.2,-46.8,-24.6,-34.4,-80,4.4,18,13.7,36.3,29.3,1.6,-11.6,34.7,35.5,48.1,37.1,31.9,61.6,8.6,12.2,58.6,20.6,32.9,42.4,5.2,11.1,-8.2,10.7,16.7,15.2,-19.6,32.8,9.2,-115.3,-121.8,-98.3
"19","11","  Nondurable goods","A356RX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1261,1253.3,1243.9,1251.7,1264.3,1288.1,1306.2,1325,1314,1342.2,1349.2,1352.4,1355.2,1343.7,1352.9,1379,1390.9,1405.4,1392.4,1439.2,1386,1443.3,1443.2,1446.7,1422,1436.1,1435.2,1441.2,1441.5,1445.7,1448.6,1445.3,1482.3,1460.8,1515.9,1517.4,1531.9,1537.4,1546.1,1576,1582.6,1579.1,1571.8,1593.6,1660.4,1653.8,1636.2,1702.8,1677.8,1700.4,1712.8,1722.1,1717.2,1753.6,1662.2,1631.6,1709.6,1695.5,1712.1
"20","12","    Final sales","A334RX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1250,1255.4,1264.2,1270.6,1275.6,1284,1287.1,1300.1,1304,1300.5,1314.4,1320.8,1320.7,1328.9,1331.8,1355.9,1366.7,1380.9,1380.1,1412.3,1388,1411,1419.1,1429.2,1409.9,1423.5,1431.3,1448.1,1461,1451.7,1444.2,1450.5,1481,1465.9,1501.6,1513.5,1515.7,1508.3,1521.1,1537.3,1553.8,1572.1,1572,1570.2,1615.9,1614.9,1611,1675,1675.8,1668.1,1693.1,1729.8,1730.5,1773.4,1730.1,1697.5,1731.3,1757.5,1767.5
"21","13","    Change in private inventories \1\","A357RX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.7,3.5,-17.4,-15.8,-7.9,7.7,24.3,25.9,14.1,49.4,42.2,38.8,41.6,19.6,27.1,29.7,31,30.9,16.4,32.3,-0.3,37,28,20.9,14.6,15.6,5.5,-6.6,-20.6,-5.7,5.7,-4.9,1.4,-5.2,15,3.3,16.8,30.4,25.4,39.6,29.5,7,-0.3,22.8,45.1,39.7,25.1,26.6,3.2,30.8,18.8,-5.6,-13.7,-18.4,-57.8,-45.1,-1.7,-40.8,-34.5
"22","14","Services \2\","A341RX1",1083.5,1099,1100,1080.9,1082.7,1108.3,1115.1,1133.7,1148.9,1162.6,1153.4,1143.2,1156.3,1179.4,1173.7,1210.4,1268.5,1325.9,1382.8,1391.5,1427.5,1468.2,1477.8,1492.6,1522.2,1540.3,1535.5,1532.4,1515.8,1507.6,1522.2,1531.9,1544.4,1530.4,1560,1575,1575.2,1599.7,1590.3,1637.3,1647.9,1656.5,1667.5,1701.8,1670,1704,1712.6,1731.8,1742.7,1781.1,1801.1,1818.4,1809.5,1836.4,1835.8,1861.2,1862.9,1902.3,1905.8,1939.6,1966.7,2004.6,2018,2039.4,2050.5,2074.7,2107.6,2128.5,2157.6,2186.6,2197.5,2216,2237.3,2279.8,2315.8,2363.4,2382.2,2438.9,2455.8,2487,2546.3,2560.1,2585,2615.9,2668.9,2701,2726.7,2754.2,2757.7,2797.4,2811.8,2836.4,2841.2,2846.2,2866.7,2878.7,2899.3,2915.1,2929.3,2963.5,2998.8,3024,3045,3070.9,3096.2,3121.3,3135.2,3149.1,3161.2,3184.5,3199.4,3233.4,3268.5,3314.2,3310.3,3343.4,3363.9,3381.3,3409.6,3445.9,3477.7,3498,3534.7,3557.7,3602.4,3645.4,3668.4,3689.9,3722.6,3738.4,3733,3766.5,3784.5,3791.6,3820.7,3848,3857.8,3893.2,3897.5,3901,3918.2,3927.8,3963.5,4017.9,4068.5,4106.1,4157.6,4148.2,4168.4,4217,4254.4,4296.7,4368,4412.2,4486.1,4528.7,4565.7,4616.9,4661,4697.2,4737.5,4769.5,4791.3,4843.1,4896.1,4931.8,4980.1,5037.2,5055.8,5092.3,5130.9,5180.1,5212.2,5265.7,5294.9,5304.4,5318.4,5364.4,5373.3,5396,5459.1,5488,5547.6,5591.9,5605.3,5623,5668.3,5695.1,5726.7,5761.3,5812,5824.7,5843.4,5888.9,5936.3,5941.2,5983.5,6040,6046.6,6111,6130.9,6184.6,6233.6,6284.2,6320.5,6405,6450.7,6510.7,6562.2,6618.7,6696.1,6777.4,6823.9,6916.9,6938.9,6995.2,7043.7,7081.8,7109.8,7146.1,7211.7,7264.4,7297.9,7328.4,7338.7,7405.6,7440.2,7479.7,7548.6,7583.6,7628.9,7691.2,7741.5,7777.4,7836.8,7852.7,7918.5,7957.8,7996.6,8067.2,8120.4,8163.1,8224.8,8262.3,8292.1,8322.9,8315.1,8329.3,8311.4,8341.8,8370.8
"23","15","Structures","A755RX1",244.1,241.1,263.5,293.4,294.6,311.5,312.4,302.9,294,296.3,312.7,330,352.6,379.2,397.2,391.5,383.4,369.2,360.4,359.6,369,373.2,373.2,388.7,397.9,398.7,393,398.4,407.8,416.1,428.8,438.6,460.4,467.4,462.6,455.4,456.2,462.7,461.1,458.3,459.1,453.3,451.9,453.7,452.9,447.1,461.1,488.7,512.5,524.1,519.4,503,517.7,505.3,504.3,512.4,522.7,509.7,523.7,540.3,542.6,556.4,559.6,558.1,563.3,589.1,605,609.3,633.9,630.6,632.7,628.9,638,661.2,673.3,680,694,665.2,661.7,634.9,635.5,647.8,657.8,675.9,683.5,693.7,697.1,703.8,713.2,709.9,712.3,678,673.4,652.2,673.5,693,704.7,733.5,745.2,758.6,784.4,784.6,784.7,807.1,829.9,812.2,802.2,784.1,758.1,748.2,716.6,670.9,653.9,635.7,659.2,681.7,724.2,715.4,702.1,735.2,750.8,804,800.6,793.4,791.7,862.5,892.7,904.2,873.9,881.5,897.9,896.3,877.6,794.5,792.2,827.8,831.3,818.6,796.1,801.6,767.5,745.3,722.9,734.7,757,772.2,817.5,838.5,873.2,903,916.5,922.8,939.5,951.5,951.3,961.5,977.3,965,962,956.2,954.9,961.1,975.2,986.3,957.5,975.1,966.3,971.7,969.7,954.2,963,957,978.5,956.4,932.3,900.3,868.2,869.2,865.1,873.8,896.7,903.3,896.6,913.1,906.1,917.8,935.1,963,950.4,986.6,989.1,987.6,985.7,979.3,992.1,998.6,1016.2,1051.6,1060.9,1083.7,1095,1093.1,1103.4,1099.8,1102.8,1149.2,1178.7,1189.7,1195.2,1193.7,1199.5,1220.5,1238.2,1242.3,1249,1251.7,1247.3,1276.4,1259.7,1232.9,1232.5,1223.8,1214.1,1222.2,1223.3,1245.6,1286.7,1298.7,1300.5,1333.1,1335.9,1332.8,1350.9,1366.4,1365.3,1371,1374,1365.4,1330.7,1294.4,1287.3,1294.5,1287.6,1256.3,1221.2,1225.3,1208,1167,1051.8,1025.2,1035.4
