"","Table 2#2B# Wage and Salary Disbursements by Industry","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38"
"1","[Billions of dollars]; Seasonally adjusted at annual rates                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Quarterly data from 2001 To 2009",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published October 29, 2009  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 10/29/2009 8:51:24 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,2001,2001,2001,2001,2002,2002,2002,2002,2003,2003,2003,2003,2004,2004,2004,2004,2005,2005,2005,2005,2006,2006,2006,2006,2007,2007,2007,2007,2008,2008,2008,2008,2009,2009,2009
"8",NA,NA,NA,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"9","1","    Wage and salary disbursements","A576RC1",4988.1,4961.4,4932.4,4926.8,4963.6,5003,5006.3,5016.4,5049.6,5109.9,5159.6,5239.4,5279.4,5385.1,5493.9,5544.4,5584.2,5651.7,5758.3,5809.7,5978.9,6018.6,6075.4,6202.6,6343.6,6372.2,6412.5,6507.3,6533,6539.2,6567.7,6543.5,6307.8,6230.9,6226.4
"10","2","Private industries","A132RC1",4183.7,4146,4104,4087.6,4102,4132.6,4128.5,4133.7,4146.1,4196,4244,4319,4339,4432.9,4538.1,4581.6,4601.7,4664.1,4763.9,4808.3,4959.9,4990.3,5034.5,5150.4,5270.3,5288,5319.4,5401.4,5407.7,5402.8,5419.2,5388.6,5136,5046.5,5037.8
"11","3","  Goods-producing industries","N231RC1",1072.5,1053.9,1031.6,1017.2,1016.2,1017.8,1008.5,1003.7,1002.8,1003.5,1005,1033,1021,1047.3,1074.5,1074.8,1081.9,1094,1118.6,1119.1,1171.5,1170.1,1169.8,1192.5,1206.3,1210.4,1209.6,1225.3,1217.1,1210.6,1206.2,1192.2,1107.3,1068,1051.5
"12","4","    Manufacturing","N552RC1",737.8,722.5,702,688.9,682.2,687.1,677.2,672.1,670.5,669,667.7,687.7,673.5,688.2,705.7,704.9,703.3,707.4,716.6,714.3,738.8,735.4,734.1,746.5,753.9,752.8,749.9,757.6,750.1,745.3,740.3,732.2,681,660.2,655.6
"13","5","  Services-producing industries","N233RC1",3111.3,3092.1,3072.4,3070.3,3085.7,3114.9,3120,3130,3143.4,3192.6,3239,3285.9,3318,3385.6,3463.6,3506.8,3519.8,3570.1,3645.3,3689.2,3788.3,3820.2,3864.7,3957.9,4064.1,4077.7,4109.8,4176.1,4190.6,4192.2,4213,4196.5,4028.8,3978.5,3986.3
"14","6","    Trade, transportation, and utilities","N234RC1",853.2,848.9,842.9,839.4,842.5,847.9,848.5,847.3,853.9,857.2,864,878.1,879.9,898.6,917.9,925,928.7,938.9,953.1,957.7,982.5,989.4,997.8,1014.3,1032.9,1046,1042.9,1056.9,1055.3,1050.7,1047.8,1039.4,1002.3,989.8,987.9
"15","7","    Other services-producing industries \1\","N235RC1",2258.1,2243.1,2229.4,2230.9,2243.3,2267,2271.5,2282.8,2289.5,2335.4,2375,2407.9,2438,2487,2545.7,2581.9,2591.1,2631.1,2692.2,2731.5,2805.8,2830.8,2866.9,2943.6,3031.2,3031.7,3066.8,3119.2,3135.3,3141.5,3165.2,3157.1,3026.5,2988.8,2998.4
"16","8","Government","B202RC1",804.4,815.4,828.4,839.3,861.6,870.4,877.8,882.7,903.4,913.8,915.6,920.4,940.4,952.2,955.8,962.7,982.4,987.6,994.5,1001.4,1019,1028.3,1041,1052.3,1073.2,1084.2,1093.2,1105.8,1125.3,1136.4,1148.5,1154.9,1171.8,1184.4,1188.6
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","1. Other services-producing industries consists of information; finance and insurance; real estate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","and rental and leasing; professional, scientific, and technical services; management of companies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","and enterprises, administrative and support and waste management and remediation services;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","educational services; health care and social assistance; arts, entertainment, and recreation;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","accommodation and food services; and other services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","Note. Estimates in this table are based on the 2002 North American Industry Classification System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
