"","Table 7#2#3A# Real Auto Output, Quantity Indexes","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23"
"1","[Index numbers, 2005=100]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1947 To 1966",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 17, 2009   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 10/28/2009 1:30:44 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966
"8","1","      Auto output","A133RA3",18.068,20.319,26.603,34.511,28.239,24.308,34.011,31.272,45.301,33.973,36.833,26.891,34.087,37.901,31.474,39.387,43.934,45.116,55.513,54.223
"9","2","Final sales","A134RA3",17.607,19.725,26.069,33.628,27.885,24.009,32.623,31.22,42.513,33.979,35.339,27.379,33.272,35.633,32.111,38.451,42.343,44.436,52.729,51.781
"10","3","  Personal consumption expenditures","A135RA3",15.431,18.33,25.496,33.278,27.717,24.43,32.077,30.737,42.574,35.052,36.5,29.061,34.937,37.064,32.566,38.91,44.117,46.385,54.554,54.648
"11","4","    New autos","B136RA3",15.979,18.141,25.519,33.9,27.177,23.018,31.812,30.575,43.103,34.225,35.262,26.292,34.138,36.788,31.707,39.558,45.668,48.568,58.04,58.235
"12","5","    Net purchases of used autos","B137RA3",20.364,29.921,39.381,45.665,48.636,53.677,46.479,39.91,45.886,48.23,53.29,56.118,49.086,48.031,46.467,45.024,46.464,45.973,49.589,49.237
"13","6","  Private fixed investment","B280RA3",11.428,11.825,14.077,17.82,13.515,10.647,17.163,16.34,21.231,14.904,16.49,12.066,16.927,17.617,16.527,20.39,19.423,20.578,25.672,24.457
"14","7","    New autos","B139RA3",9.455,10.241,12.423,15.689,13.274,11.155,14.783,14.612,18.749,14.795,15.819,12.084,15.149,15.647,15.117,18.082,17.79,18.427,22.514,22.732
"15","8","    Net purchases of used autos","B140RA3",2.862,5.539,7.566,9.437,12.518,12.651,9.668,10.941,13.283,17.244,16.192,14.128,12.632,12.671,13.65,14.693,16.038,15.514,17.731,21.282
"16","9","  Net exports","ZZZZZZ2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","10","    Exports","B142RA3",11.544,8.81,6.602,6.465,10.124,8.171,9.224,8.919,11.255,10.445,9.13,7.682,6.242,6.691,6.508,7.489,8.152,9.88,11.417,16.607
"18","11","    Imports","B143RA3",0.036,0.441,0.122,0.277,0.336,0.539,0.522,0.555,0.842,1.546,3.626,5.803,8.822,6.432,3.869,5.13,5.446,6.903,7.689,13.891
"19","12","  Gross government investment","B144RA3",15.871,14.284,13.056,16.159,20.327,20.544,21.226,20.554,24.751,25.978,26.707,27.914,27.765,31.092,34.581,37.357,44.481,43.605,44.981,47.211
"20","13","Change in private inventories of new and used autos","ZZZZZZ2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","14","  New","ZZZZZZ2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","15","  Used","ZZZZZZ2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","16","  Domestic output of new autos \1\","B148RA3",24.031,26.445,34.87,45.613,36.811,31.068,43.99,40.519,59.184,43.645,47.437,32.694,41.971,48.36,40.091,51.423,57.921,59.421,74.251,72.048
"25","17","  Sales of imported new autos \2\","B149RA3",0.011,0.131,0.108,0.112,0.155,0.238,0.264,0.248,0.437,0.662,1.247,2.391,3.716,3.047,2.268,2.013,2.315,2.978,3.971,5.919
"26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","1. Consists of final sales and change in private inventories of new autos assembled in the United States.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2. Consists of sales of imported new autos in personal consumption expenditures, in private fixed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","investment, and in gross government investment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
