"","Table 6#2D# Compensation of Employees by Industry               ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14"
"1","[Millions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1998 To 2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 20, 2009   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 10/28/2009 1:22:27 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
"8","1","      Compensation of employees","A033RC0",5023242,5353937,5788849,5979319,6110815,6382589,6693407,7065043,7476996,7856459,8037425
"9","2","Domestic industries","A4002C0",5027805,5359150,5793539,5984534,6116389,6388293,6699555,7071450,7483609,7863559,8044750
"10","3","  Private industries","A4003C0",4109107,4394466,4773287,4905232,4965966,5162374,5408420,5715601,6063352,6366333,6474880
"11","4","    Agriculture, forestry, fishing, and hunting","N4004C0",27839,29531,30185,31558,31886,31938,35446,35592,39702,40455,41663
"12","5","      Farms \1\","N4005C0",18210,18906,19723,20884,20798,20500,22335,22611,23135,23517,24373
"13","6","      Forestry, fishing, and related activities","N4006C0",9629,10625,10463,10674,11088,11437,13111,12982,16567,16938,17290
"14","7","    Mining","N4007C0",35141,34371,35588,38148,35918,37854,42571,47608,57537,62856,71903
"15","8","      Oil and gas extraction","N4008C0",12266,12270,13167,13823,13490,14158,16196,17416,21087,22553,26875
"16","9","      Mining, except oil and gas","N4009C0",13589,13340,12899,13123,12277,12723,13797,14613,16103,16476,17301
"17","10","      Support activities for mining","N4010C0",9287,8760,9522,11202,10151,10973,12579,15579,20347,23827,27727
"18","11","    Utilities","N4011C0",40511,44938,47540,51608,54309,53620,56413,56522,60424,62179,64509
"19","12","    Construction","N4012C0",251982,278310,307282,325502,327835,339863,357371,390730,425827,442261,438038
"20","13","    Manufacturing","N4013C0",821685,854508,903080,874116,857523,879307,881949,900510,925465,947556,939089
"21","14","      Durable goods","N4014C0",543341,566493,605766,577021,556098,574207,575501,591936,611827,627058,618649
"22","15","        Wood products","N4015C0",20151,21584,21972,21409,21465,21795,23188,24710,24642,23527,21425
"23","16","        Nonmetallic mineral products","N4016C0",22899,24229,25943,26165,25877,26353,26901,28199,29471,29639,28098
"24","17","        Primary metals","N4017C0",33017,33498,33911,31254,28753,28417,30965,31146,32799,33015,33232
"25","18","        Fabricated metal products","N4018C0",73883,76099,79901,77048,74579,74389,77729,81499,85537,89383,91067
"26","19","        Machinery","N4019C0",74329,75672,79723,75390,70872,70402,72997,76460,79245,83001,84453
"27","20","        Computer and electronic products","N4020C0",116455,127306,147934,134995,120967,115088,118969,124311,129502,133015,129802
"28","21","        Electrical equipment, appliances, and components","N4021C0",26412,28105,29778,28629,27004,27265,27631,28399,29041,29909,30617
"29","22","        Motor vehicles, bodies and trailers, and parts","N4022C0",75849,75587,79896,74223,76701,95104,78421,74070,73986,72798,65566
"30","23","        Other transportation equipment","N4023C0",47443,48104,47622,49350,49848,53724,54992,57959,61048,64591,67110
"31","24","        Furniture and related products","N4024C0",21209,22723,23890,22930,22506,22407,23153,23628,24063,23884,22451
"32","25","        Miscellaneous manufacturing","N4025C0",31694,33587,35197,35628,37526,39262,40554,41555,42494,44295,44828
"33","26","      Nondurable goods","N4026C0",278345,288015,297314,297095,301425,305100,306448,308574,313639,320499,320440
"34","27","        Food and beverage and tobacco products","N4027C0",65350,68783,71240,74168,76497,79494,80617,80757,82264,85800,87821
"35","28","        Textile mills and textile product mills","N4029C0",20661,20533,20385,18558,17570,16860,16584,15713,14866,14559,13554
"36","29","        Apparel and leather and allied products","N4030C0",17862,16688,15831,14372,12816,12186,11997,11495,11100,10843,10530
"37","30","        Paper products","N4032C0",31129,32220,32715,32224,32166,32114,31258,31285,31934,31692,31459
"38","31","        Printing and related support activities","N4033C0",33134,34309,35090,34253,32724,32271,32305,32688,32926,33435,32391
"39","32","        Petroleum and coal products","N4034C0",9155,9512,9689,10868,14358,14543,12935,13891,16764,16239,16657
"40","33","        Chemical products","N4035C0",64605,67332,72299,73791,76341,78754,80932,81998,82045,86848,87498
"41","34","        Plastics and rubber products","N4036C0",36449,38636,40065,38861,38953,38879,39821,40749,41739,41082,40530
"42","35","    Wholesale trade","N4037C0",291813,302403,327836,330106,330051,338761,358770,381715,407141,431041,437510
"43","36","      Durable goods","N4038C0",181334,189555,206117,204364,200071,203216,215568,230352,246838,260743,263600
"44","37","      Nondurable goods","N4039C0",110479,112848,121720,125742,129980,135545,143202,151363,160303,170298,173911
"45","38","    Retail trade","N4040C0",361781,379997,404248,415886,428074,445148,459307,477641,492999,507650,503915
"46","39","      Motor vehicle and parts dealers","N4041C0",70088,73965,77675,81638,84875,88124,90232,93379,95068,96657,91547
"47","40","      Food and beverage stores","N4042C0",61295,62871,65283,67546,69128,71332,72245,73386,74807,77531,79924
"48","41","      General merchandise stores","N4043C0",49237,51310,55480,57754,61784,66107,68043,71763,75026,77694,79270
"49","42","      Other retail \2\","N4044C0",181161,191851,205810,208948,212286,219584,228786,239113,248098,255768,253174
"50","43","    Transportation and warehousing","N4045C0",178165,190197,202256,206578,204026,209702,222730,233761,243410,255370,257403
"51","44","      Air transportation","N4046C0",31312,35773,37774,40672,39165,38057,37606,35837,36865,38858,38349
"52","45","      Rail transportation","N4047C0",16597,17019,16592,16370,16184,16548,17087,18012,18850,19351,19311
"53","46","      Water transportation","N4048C0",3109,3336,3389,3594,3686,3855,4208,4680,5072,5535,5871
"54","47","      Truck transportation","N4049C0",53701,58956,61349,62057,60871,63504,67213,72105,75335,77306,76826
"55","48","      Transit and ground passenger transportation","N4050C0",9201,10246,10471,10757,11152,11588,12173,12690,13647,14315,15024
"56","49","      Pipeline transportation","N4051C0",3567,3833,4887,4854,3778,3724,3725,3774,4248,4710,4739
"57","50","      Other transportation and support activities \3\","N4052C0",42317,43640,47795,48098,48655,50636,55290,58793,60878,64107,65309
"58","51","      Warehousing and storage","N4053C0",18361,17394,19999,20176,20533,21790,25427,27870,28517,31188,31975
"59","52","    Information","N4054C0",188126,216454,242190,240790,224336,228476,235541,237489,245753,258856,260161
"60","53","      Publishing industries (includes software)","N4055C0",60445,70140,75641,74377,68680,70523,71061,72924,76344,85356,85781
"61","54","      Motion picture and sound recording industries","N4056C0",19081,19135,20127,22125,21623,22442,24242,24771,25161,26300,27213
"62","55","      Broadcasting and telecommunications","N4057C0",84647,96439,105666,105217,101345,103159,105577,103986,106514,116300,116273
"63","56","      Information and data processing services","N4058C0",23952,30741,40757,39071,32688,32352,34662,35807,37734,30901,30895
"64","57","    Finance and insurance","N4059C0",344285,372195,407054,442301,447317,467332,497376,541800,584420,612243,607756
"65","58","      Federal Reserve banks, credit intermediation, and related activities","N4060C0",122868,129584,133648,150543,164257,177619,185087,198929,206962,210917,201249
"66","59","      Securities, commodity contracts, and investments","N4061C0",95038,109213,132379,142217,125962,123547,135724,156312,179302,197599,199075
"67","60","      Insurance carriers and related activities","N4062C0",118832,125017,130774,139391,146929,155468,164011,172948,183462,189263,192876
"68","61","      Funds, trusts, and other financial vehicles","N4063C0",7547,8382,10253,10150,10168,10699,12553,13610,14694,14463,14557
"69","62","    Real estate and rental and leasing","N4064C0",67169,73034,78917,81139,86175,87555,95297,101740,108443,112531,110312
"70","63","      Real estate","N4065C0",46362,50592,54582,56540,61105,62778,68933,74300,79527,82077,80310
"71","64","      Rental and leasing services and lessors of intangible assets \4\","N4066C0",20806,22442,24335,24599,25070,24777,26364,27440,28915,30454,30002
"72","65","    Professional, scientific, and technical services","N4067C0",364899,403150,462298,476388,469394,479805,508319,555845,607506,652982,688588
"73","66","      Legal services","N4068C0",63713,68323,74804,80793,85377,90106,94252,98909,104353,109449,112826
"74","67","      Computer systems design and related services","N4069C0",78855,93375,113690,111505,99365,97889,104318,115092,126513,140072,149086
