"","Table 1#1#6A# Real Gross Domestic Product, Chained (1937) Dollar","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22"
"1","[Billions of chained (1937) dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1929 To 1947",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 20, 2009   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 10/28/2009 12:54:17 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947
"8","1","    Gross domestic product","A191AX1",87.3,79.8,74.6,64.9,64,71,77.3,87.4,91.9,88.7,95.9,104.3,122.1,144.6,168.3,181.9,179.8,160.2,158.7
"9","2","Personal consumption expenditures","DPCEAX1",63.1,59.7,57.8,52.6,51.5,55.1,58.5,64.5,66.8,65.8,69.4,73,78.2,76.4,78.5,80.7,85.7,96.4,98.2
"10","3","  Goods","DGDSAX1",35.8,33,31.8,28.1,27.9,30.4,32.9,37.3,38.4,37.5,40.1,42.6,46,42.4,42,42.3,45.2,53.6,55.2
"11","4","    Durable goods","DDURAX1",7.8,6.5,5.6,4.3,4.2,4.8,5.8,7,7.4,6.1,7.3,8.3,9.6,6.1,5.5,5,5.6,10.1,11.9
"12","5","    Nondurable goods","DNDGAX1",27.9,26.4,26.1,23.8,23.7,25.6,27.1,30.2,31,31.4,32.9,34.3,36.3,36.4,36.7,37.4,39.8,43.3,43.1
"13","6","  Services","DSERAX1",27.3,26.8,26.1,24.5,23.6,24.7,25.6,27.2,28.5,28.2,29.3,30.5,32.3,34.1,36.8,38.8,40.9,42.8,42.9
"14","7","Gross private domestic investment","A006AX1",12.2,8.1,5.1,1.5,2.3,4.1,7.6,9.7,12.2,8,10.3,14.4,17.6,9.3,5.5,6.8,8.9,22.9,22
"15","8","  Fixed investment","A007AX1",13.3,10.2,7.1,4.1,3.6,4.7,6.1,8.1,9.5,7.6,9.1,10.9,12.4,7,5.4,6.6,9.1,16.8,20.2
"16","9","    Nonresidential","A008AX1",9.8,8.1,5.3,3.2,2.9,3.6,4.6,6.2,7.5,5.5,6.1,7.6,8.9,5.2,4.4,5.8,8.2,12.1,14
"17","10","      Structures","B009AX1",5,4.3,2.7,1.7,1.3,1.5,1.6,2.1,2.7,2.2,2.3,2.6,3.1,1.9,1.4,1.8,2.4,4.8,4.4
"18","11","      Equipment and software","B010AX1",5,4,2.6,1.6,1.6,2.2,3,4.1,4.8,3.3,3.8,5,5.8,3.3,3,4,5.7,7.2,9.7
"19","12","    Residential","A011AX1",3.5,2.2,1.8,1,0.8,1.1,1.5,1.9,2.1,2.1,2.9,3.3,3.5,1.8,1.1,0.9,1.1,4.5,5.8
"20","13","  Change in private inventories","A014AX1",2.1,-0.9,-2.1,-4.8,-2.5,-1.2,1.5,1.6,2.6,-0.6,0.3,3.3,5.3,2.1,-0.7,-0.9,-1.6,5.1,-0.7
