"","Table 1#9#5# Net Value Added by Sector                          ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83"
"1","[Billions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1929 To 2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 20, 2009   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 10/28/2009 1:00:12 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
"8","1","    Net domestic product","A362RC1",93.9,81.8,67.7,51,49,58.2,65.5,75.7,82.9,76.9,82.9,91.8,115.7,148.2,182.1,200.2,201.9,199.1,217.4,240.7,238.1,263.8,305.5,322,340.7,339.8,371.9,390.3,410.2,413.9,451.2,469.9,486.6,525.1,554.4,597.3,648.4,711.2,749.5,819.4,885.2,930,1009,1110.7,1241.5,1335.8,1447.3,1616.4,1798.4,2032.3,2263.3,2444.1,2733.5,2819.7,3083.5,3456.5,3712,3921.6,4165.3,4489.4,4830.7,5109.3,5267.7,5598,5889.3,6266,6545.2,6925.9,7368.6,7772.9,8259.1,8767.2,9029.9,9337.3,9788.1,10435,11097,11738.2,12317.6,12594.3
"9","2","Business \1\","A363RC1",81.7,69.8,56.4,40.8,39.3,47.8,54.6,63.3,70.5,63.7,69.6,78.1,100.1,126.1,148.9,159.4,157.3,167,189.2,210.9,205.1,228.3,261.8,272.7,288.3,284.8,312.9,326.9,341.9,339.8,372.3,384.2,394.9,426.1,448.6,483.5,526.2,575.8,600.7,655.4,705,731.5,790.9,872.8,983.2,1054.2,1134.9,1276.7,1428.5,1626.4,1817.4,1941.9,2172.8,2203.3,2418.2,2727.3,2923,3077.9,3257,3506.9,3774.6,3966.2,4049.1,4308.5,4541.8,4853.4,5068.3,5386.4,5758.4,6081.7,6463.5,6860.5,7005,7190.7,7532,8067.4,8607.9,9116.2,9552.4,9649.4
"10","3","  Nonfarm \2\","A364RC1",73.5,63.6,51.4,37.5,35.7,44.2,48.7,58,63.5,58.4,64.6,72.9,92.5,114.6,135.1,145.7,143.1,150.1,171.4,190.4,189.4,211.6,242.5,254.4,272.2,269.3,298.4,312.6,327.9,323.8,358.2,369.1,379.6,410.8,433.4,469.5,509.9,558.9,584.7,639.4,686.9,712.9,770.9,849,942.8,1017.4,1098.2,1243.6,1396.2,1588.1,1771.5,1906.9,2125.8,2162,2392.2,2681.8,2877.8,3036.2,3213,3463.5,3718.4,3906.9,3996.8,4246.3,4488.7,4788.2,5018.5,5313.3,5691.4,6024.5,6415.1,6810.2,6952.6,7143,7465.3,7976.6,8535.4,9054.4,9469.1,9552
"11","4","  Farm","A365RC1",8.2,6.2,5,3.4,3.6,3.6,5.9,5.3,7.1,5.3,5.1,5.2,7.6,11.6,13.8,13.7,14.3,16.9,17.8,20.5,15.7,16.7,19.3,18.3,16.1,15.5,14.6,14.2,14,16,14.2,15.1,15.2,15.3,15.2,14,16.3,16.9,15.9,16,18.1,18.6,19.9,23.8,40.4,36.8,36.7,33.1,32.4,38.3,45.9,35,47,41.4,26,45.5,45.3,41.7,44.1,43.5,56.2,59.3,52.4,62.2,53.2,65.2,49.7,73.1,67,57.2,48.4,50.4,52.3,47.7,66.7,90.9,72.5,61.8,83.3,97.4
"12","5","Households and institutions","W503RC1",7.9,7.4,6.6,5.7,5,4.8,4.9,5.1,5.4,5.5,5.6,5.8,6.1,6.9,7.6,8.5,9.3,9.8,10.6,11.7,12.8,14.3,15.9,17.8,20,21.9,24.2,26.2,28.6,31.2,34,37.6,40.1,43.6,46.4,49.4,52.9,57,61.4,66.2,72.8,79.1,87.3,94.8,102.8,111.9,122.8,133.4,144.8,161.3,179.8,206.6,235.5,263.6,290,318.8,345.3,373.1,408.7,450.2,489,533.4,571.1,612.2,646.9,688.5,733.4,772.8,818,870.6,932.5,994.7,1057.9,1112.5,1146.7,1201.6,1261.3,1334.7,1405.8,1516
"13","6","  Households","W504RC1",6.6,6.1,5.3,4.5,3.9,3.7,3.8,3.9,4.2,4.2,4.3,4.4,4.7,5.3,5.8,6.5,7.1,7.2,7.7,8.3,9,10.2,11.5,13,14.7,16.1,17.9,19.4,21,22.8,24.8,27.1,29,31.3,33.1,34.8,36.8,39,41.3,43.4,46.5,49.7,54.4,58.5,62.5,67.1,72.8,79,85.4,95,105.4,121.5,139,155.3,169.5,185.5,202.4,216.8,233.1,254.2,274.4,297,314.9,334,352.4,380.4,405.6,428.6,454.3,481.6,518.4,554.9,591.9,611,616.5,642.6,683,725.6,765.9,841.9
"14","7","  Nonprofit institutions serving households \3\","W505RC1",1.3,1.3,1.3,1.2,1.1,1.1,1.1,1.2,1.2,1.3,1.3,1.4,1.4,1.6,1.8,2,2.1,2.5,3,3.4,3.8,4.1,4.5,4.9,5.4,5.8,6.3,6.9,7.6,8.4,9.2,10.5,11.2,12.3,13.4,14.6,16.1,18,20.2,22.8,26.3,29.4,32.9,36.3,40.3,44.8,50,54.4,59.4,66.3,74.4,85.1,96.5,108.3,120.5,133.3,142.9,156.3,175.6,196,214.6,236.4,256.2,278.2,294.4,308,327.8,344.2,363.7,389,414.2,439.7,466,501.5,530.3,559,578.4,609.1,639.9,674.2
"15","8","General government \4\","A194RC1",4.4,4.6,4.7,4.5,4.7,5.6,6,7.3,6.9,7.7,7.6,7.8,9.5,15.2,25.6,32.3,35.3,22.4,17.6,18.1,20.1,21.2,27.7,31.5,32.4,33,34.8,37.2,39.8,42.9,44.9,48.1,51.6,55.5,59.3,64.4,69.3,78.4,87.4,97.8,107.5,119.4,130.9,143.1,155.4,169.7,189.6,206.4,225,244.7,266.1,295.5,325.2,352.7,375.3,410.4,443.7,470.6,499.5,532.3,567.1,609.7,647.5,677.3,700.7,724.1,743.5,766.8,792.2,820.7,863.1,912,967.1,1034.1,1109.4,1165.9,1227.8,1287.3,1359.4,1428.9
