"","Table 1#1#6B# Real Gross Domestic Product, Chained (1952) Dollar","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24"
"1","[Billions of chained (1952) dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1942 To 1962",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 20, 2009   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 10/28/2009 12:54:18 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962
"8","1","    Gross domestic product","A191BX1",258.4,300.7,325,321.3,286.2,283.6,296.1,294.6,320.3,345.1,358.3,374.8,372.4,399.2,407.1,415.3,411.6,441.1,452,462.6,490.6
"9","2","Personal consumption expenditures","DPCEBX1",145.6,149.7,154,163.5,183.8,187.4,191.6,196.9,209.5,212.8,219.5,230,234.8,252.2,259.6,266,268.3,283.5,291.3,297.3,312
"10","3","  Goods","DGDSBX1",86.6,85.8,86.4,92.3,109.4,112.6,114.9,118.3,127.5,126,128.8,135.5,136.9,149.5,151.7,154.4,152.8,162.4,165.2,166.3,174.8
"11","4","    Durable goods","DDURBX1",12.8,11.5,10.6,11.8,21.3,24.9,26.6,28.7,34.8,31.9,31.2,34.9,34.7,42.2,40.6,40.9,37.8,42.3,43.1,41.7,46.5
"12","5","    Nondurable goods","DNDGBX1",74.1,74.6,76.2,80.9,88.2,87.7,88.3,89.6,92.6,94,97.5,100.6,102.2,107.5,111.2,113.5,115,120.1,122.1,124.6,128.4
"13","6","  Services","DSERBX1",59.2,64,67.5,71.2,74.4,74.7,76.7,78.5,82,86.8,90.7,94.6,97.9,102.8,107.7,111.5,115.1,120.8,125.5,130.1,136.3
"14","7","Gross private domestic investment","A006BX1",18.2,10.8,13.3,17.6,45,43.3,55.3,42.2,59.6,59.7,54,56.6,53.9,67,66.1,63.3,58,69.8,69.7,69.3,78.1
"15","8","  Fixed investment","A007BX1",15.5,12,14.7,20.1,37.2,44.7,49.2,45,53.7,51.5,50.5,54,54.9,62,62.3,61.6,57.2,65.2,65.7,65.5,71.4
"16","9","    Nonresidential","A008BX1",11.1,9.3,12.4,17.4,25.6,29.8,31.4,28.5,31.1,32.5,31.9,34.8,34,37.8,40,40.6,36.1,39,41.2,41,44.5
"17","10","      Structures","B009BX1",4.5,3.3,4.3,5.8,11.5,10.5,11,10.6,11.4,12.3,12.2,13.3,13.8,14.8,16.3,16.3,15.4,15.8,17,17.3,18
"18","11","      Equipment and software","B010BX1",6.6,6,8,11.4,14.2,19.4,20.4,17.9,19.7,20.3,19.7,21.5,20.3,23.1,23.7,24.3,20.7,23.2,24.2,23.7,26.5
