"","Table 4#3B# Relation of Foreign Transactions in the National Inc","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26"
"1","[Billions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1986 To 2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 20, 2009   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 10/28/2009 1:15:17 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
"8","1","Exports of goods, ITAs","B1232C1",223.3,250.2,320.2,359.9,387.4,414.1,439.6,456.9,502.9,575.2,612.1,678.4,670.4,684,772,718.7,685.2,715.8,806.2,892.3,1015.8,1138.4,1277
"9","2","Less: Gold, ITAs \1\","B1087C1",5.7,2.6,5.8,3.1,3.7,3.6,4.5,9.1,5.8,5.1,6.9,5.7,5.5,5.3,6,4.9,3.4,4.8,4.5,5.6,8.8,13.3,18.7
"10","3","      Statistical differences \2\","B1233C1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11","4","Plus: Adjustment for U.S. territories and Puerto Rico \3\","B1234C1",8.3,10,11.4,12.5,13,13,12.9,12.1,13,13.2,13.2,15,15.9,18.5,18.4,17.4,18.5,15.8,15.3,19.3,17.4,14.4,8.6
"12","5","Equals: Exports of goods, NIPAs","A253RC1",226,257.5,325.8,369.4,396.6,423.6,448,459.9,510.1,583.3,618.3,687.7,680.9,697.2,784.3,731.2,700.3,726.8,817,906.1,1024.4,1139.4,1266.9
"13","6","Exports of services, ITAs","B1235C1",86.7,98.7,110.9,127.1,147.8,164.3,177.2,185.9,200.4,219.2,239.5,256.1,262.8,281.9,298.6,286.2,292.3,304.3,353.1,389.1,435.9,504.8,549.6
"14","7","Less: Statistical differences \2\","B1236C1",-0.3,-0.3,-0.3,-0.3,-0.3,-0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15","8","      Other items \4\","B1237C1",0,0,0,0,0.1,0.4,0.5,0.8,0.6,0.7,0.7,0.5,0.6,0.7,1,0.8,0.7,0.8,1,1.4,1.2,1.5,1.6
"16","9","Plus: Adjustment for U.S. territories and Puerto Rico \3\","B1238C1",2.3,2.5,2.6,2.7,2.8,3,3.2,3.3,3.5,3.6,3.7,3.8,3.8,3.9,4.1,4.3,4.5,4.8,5,5.1,5.1,5.2,5.4
"17","10","      Financial services furnished without payment","B1607C1",5,4.7,4.2,3.8,4.6,5.8,7.1,7.2,7.3,6.5,6.8,7.4,7.1,7,7.1,6.8,6.6,5.9,6.1,6.2,6.9,7.9,10.8
"18","11","Equals: Exports of services, NIPAs","A646RC1",94.3,106.2,118.1,133.8,155.5,173,187,195.7,210.6,228.6,249.3,266.7,273,292.1,308.9,296.5,302.7,314.2,363.2,399,446.6,516.5,564.2
"19","12","Income receipts, ITAs","B1239C1",97.1,108.2,136.7,161.3,171.7,149.2,133.8,136.1,166.5,210.2,226.1,256.8,261.8,293.9,350.9,290.8,280.9,320.5,413.7,535.3,682.2,818.9,764.6
"20","13","Less: Statistical differences \2\","B1240C1",-0.7,-0.8,-0.8,-1,-1.1,-1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21","14","Plus: Adjustment for U.S. territories and Puerto Rico \3\","B1241C1",8.1,9,9.8,10.5,11.1,12,13.2,14.3,15.4,16.5,17.4,19.4,21.4,22.1,25,28.1,29.4,30.5,31.9,33.4,33.4,34.7,36.6
"22","15","      Imputed interest received from the rest of the world","W320RC1",-0.5,-0.7,-0.7,-0.7,-0.5,-0.4,-0.5,-0.7,-0.7,-0.9,-1.1,-1.2,-1.4,-1.4,-1.8,-1.7,-1.7,-1.9,-1.8,-2.2,-3,-2.5,-2.3
