"","Table 6#16C# Corporate Profits by Industry Group","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17"
"32","25","        Petroleum and coal products",-2.6,11.9,5.4,15.4,6.3,-2,1.6,-0.1,5.5,13.3,15.9,5,1.7,26.1,25.7
"33","26","        Other",21.3,23.2,23.6,21.8,21.6,24.9,23.8,27.5,29.5,33.7,29.9,31.2,35.8,29.1,16
"34","27","    Transportation and public utilities",42,48.4,43.5,44.4,53.2,58.5,69.6,82.9,85.8,91.4,85,79.1,57.2,36.6,27.7
"35","28","      Transportation",3.3,7.9,1.2,-0.5,2.1,2.2,6.6,10.3,11.4,15.6,19.3,21.3,15.1,12.8,1.2
"36","29","      Communications",19.5,19.4,18.2,20.1,23.4,27.7,33.1,36.8,33.7,35.2,25.8,22.5,6.1,-5.5,-5.8
"37","30","      Electric, gas, and sanitary services",19.2,21.1,24.1,24.8,27.7,28.6,29.8,35.9,40.7,40.6,39.9,35.3,36,29.4,32.2
"38","31","    Wholesale trade",17.7,19.6,21.5,19.1,22,25.9,28.2,33.1,29.4,42.6,49.2,55.9,54.4,62.1,44.8
"39","32","    Retail trade",23.4,20.6,21.2,21,27.7,33.7,39.7,46.6,44.1,52.9,63.9,73.8,75.6,73.4,79.1
"40","33","    Other",27.1,30.4,27.4,30.6,30,43.2,55.9,66.8,78.5,95.2,111.2,105.7,111.2,91,98.8
"41","34","Rest of the world",48,56.7,64.2,72.7,74.3,68.7,76.7,77.2,92,100.9,110.7,102.3,120.2,143.3,150.8
"42",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","  Note.~ Estimates in this table are based on the 1987 Standard Industrial Classification (SIC).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
