"","Table 4#1# Foreign Transactions in the National Income and Produ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76"
"1","[Billions of dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1929 To 2001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published September 27, 2002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 9/26/2002 4:28:06 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001
"8","1","    Receipts from the rest of the world","A120RC",7.1,5.5,3.7,2.5,2.4,3,3.3,3.6,4.7,4.4,4.6,5.4,6.1,5,4.6,5.5,7.4,15.2,20.3,17.5,16.4,14.5,19.8,19.2,18.1,18.8,21.1,25.2,28.2,24.4,25,30.2,31.4,33.5,36.1,41,43.5,47.2,50.2,55.6,61.2,69.9,73.4,82.6,115.6,154.6,164.4,181.7,196.6,233.5,299.1,360.7,398.4,385,379.5,426,416.1,431.4,488.5,598.7,686.2,745.5,769.3,787.8,812.5,909.3,1050.8,1119.7,1247.7,1251.1,1306.2,1484.5,1351.1
"9","2","Exports of goods and services","B020RC",5.9,4.4,2.9,2,2,2.6,2.8,3,4,3.8,3.9,4.8,5.4,4.3,3.9,4.8,6.7,14.1,18.7,15.5,14.4,12.3,17,16.3,15.2,15.7,17.6,21.2,23.9,20.4,20.6,25.3,26,27.4,29.4,33.6,35.4,38.9,41.4,45.3,49.3,57,59.3,66.2,91.8,124.3,136.3,148.9,158.8,186.1,228.7,278.9,302.8,282.6,277,303.1,303,320.3,365.6,446.9,509,557.2,601.6,636.8,658,725.1,818.6,874.2,966.4,964.9,989.3,1101.1,1034.1
"10","3","  Goods \1\","A253RC",5.3,3.9,2.5,1.7,1.7,2.2,2.4,2.6,3.5,3.2,3.3,4.1,4.5,3.4,2.9,3.6,5.4,11.8,16.1,13.3,12.2,10.2,14.2,13.4,12.4,12.9,14.4,17.6,19.6,16.4,16.5,20.5,20.9,21.7,23.3,26.7,27.8,30.7,32.2,35.3,38.3,44.5,45.6,51.8,73.9,101,109.6,117.8,123.7,145.4,184,225.8,239.1,215,207.3,225.6,222.2,226,257.5,325.8,371.7,398.5,426.4,448.7,459.7,509.6,583.8,618.4,688.9,681.3,697.3,785,733.5
"11","4","    Durable","A332RC",2.2,1.5,0.9,0.5,0.5,0.8,1,1.1,1.7,1.5,1.7,2.6,2.9,2.3,2,2.4,2.8,5,8.5,6.6,6.1,5.1,6.6,6.9,6.9,7.1,8.2,9.8,10.9,9,8.9,11.3,11.5,12,12.7,14.7,15.8,17.5,18.4,21,23.7,27.1,27.5,31,41.4,56.5,63.8,69,72,85.3,108,133.3,140.1,124.7,120.4,132.4,137.2,142.6,162.9,208.8,242.4,262.9,283.7,300.9,314.2,349.3,394.3,421.7,483.5,487.3,503.4,569.7,522.4
"12","5","    Nondurable","A339RC",3.1,2.4,1.6,1.2,1.2,1.4,1.5,1.5,1.7,1.7,1.7,1.6,1.7,1.1,0.9,1.2,2.5,6.7,7.6,6.6,6.1,5.1,7.6,6.5,5.5,5.8,6.2,7.8,8.6,7.4,7.5,9.2,9.4,9.7,10.7,12,12,13.2,13.7,14.3,14.6,17.4,18,20.8,32.6,44.5,45.8,48.7,51.6,60.1,76,92.5,99,90.3,86.9,93.2,85,83.4,94.6,117,129.2,135.7,142.6,147.8,145.6,160.3,189.6,196.7,205.4,194,193.9,215.4,211.2
"13","6","  Services \1\","A646RC",0.6,0.5,0.4,0.3,0.3,0.3,0.4,0.4,0.6,0.5,0.6,0.7,0.9,0.9,1,1.2,1.3,2.3,2.6,2.2,2.2,2.1,2.8,2.9,2.8,2.8,3.2,3.6,4.3,4,4.2,4.8,5.1,5.7,6.1,6.9,7.6,8.2,9.2,10,11,12.4,13.8,14.4,17.8,23.3,26.7,31.1,35.1,40.7,44.7,53.2,63.7,67.6,69.7,77.5,80.8,94.3,108.1,121.1,137.3,158.6,175.2,188.1,198.3,215.5,234.7,255.8,277.5,283.6,292,316.1,300.6
"14","7","Income receipts","B645RC",1.1,1,0.8,0.5,0.4,0.4,0.5,0.6,0.7,0.6,0.7,0.6,0.7,0.7,0.7,0.8,0.8,1.1,1.6,2,1.9,2.2,2.8,2.9,2.9,3.1,3.5,4,4.3,3.9,4.3,5,5.4,6.1,6.6,7.4,8.1,8.3,8.9,10.3,11.9,13,14.1,16.4,23.8,30.3,28.2,32.9,37.9,47.4,70.4,81.8,95.6,102.4,102.5,122.9,113.1,111.1,122.9,151.8,177.2,188.3,167.7,151.1,154.4,184.3,232.3,245.6,281.3,286.1,316.9,383.4,316.9
"15","8","    Payments to the rest of the world","A120RC",7.1,5.5,3.7,2.5,2.4,3,3.3,3.6,4.7,4.4,4.6,5.4,6.1,5,4.6,5.5,7.4,15.2,20.3,17.5,16.4,14.5,19.8,19.2,18.1,18.8,21.1,25.2,28.2,24.4,25,30.2,31.4,33.5,36.1,41,43.5,47.2,50.2,55.6,61.2,69.9,73.4,82.6,115.6,154.6,164.4,181.7,196.6,233.5,299.1,360.7,398.4,385,379.5,426,416.1,431.4,488.5,598.7,686.2,745.5,769.3,787.8,812.5,909.3,1050.8,1119.7,1247.7,1251.1,1306.2,1484.5,1351.1
"16","9","Imports of goods and services","B021RC",5.6,4.1,2.9,1.9,1.9,2.2,3,3.2,4,2.8,3.1,3.4,4.4,4.6,6.3,6.9,7.5,7,7.9,10.1,9.2,11.6,14.6,15.3,16,15.4,17.2,18.9,19.9,20,22.3,22.8,22.7,25,26.1,28.1,31.5,37.1,39.9,46.6,50.5,55.8,62.3,74.2,91.2,127.5,122.7,151.1,182.4,212.3,252.7,293.8,317.8,303.2,328.6,405.1,417.2,452.2,507.9,553.2,589.7,628.6,622.3,664.6,718.5,812.1,902.8,963.1,1055.8,1116.7,1239.2,1466.6,1383
"17","10","  Goods \1\","A255RC",4.5,3.1,2.1,1.3,1.5,1.8,2.5,2.5,3.2,2.2,2.4,2.7,3.4,2.7,3.4,3.8,3.9,5.1,6,7.6,6.9,9.1,11.2,10.8,11,10.4,11.5,12.8,13.3,13,15.3,15.2,15.1,16.9,17.7,19.4,22.2,26.3,27.8,33.9,36.8,40.9,46.6,56.9,71.8,104.5,99,124.6,152.6,177.4,212.8,248.6,267.8,250.5,272.7,336.3,343.3,370,414.8,452.1,484.5,508,500.7,544.9,592.8,676.7,757.6,808.3,885.1,930,1045.3,1243.1,1167.2
"18","11","    Durable","A333RC",1.3,0.8,0.5,0.2,0.3,0.4,0.7,0.7,1,0.6,0.7,1,1.4,1,1,1.1,1.2,1.5,1.8,2.4,2.1,3,3.8,4.1,4.1,3.6,4.5,5.2,5.3,5,6.6,6.4,6,6.9,7.4,8.4,10.4,13.3,14.5,18.8,20.8,22.8,26.6,33.3,40.8,50.3,45.6,56.8,69.2,89,100.4,111.9,126,125.1,147.3,192.4,204.2,238.8,264.2,294.8,309.9,314.5,315.5,346.4,385.9,453.6,510.4,533.3,587.3,637,714.6,820.6,754.4
