"","Table 6#17C# Corporate Profits Before Tax by Industry","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17"
"1","[Millions of dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1987 To 2001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 09, 2002   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001
"8","1","      Corporate profits before tax",314624,381933,376711,401534,416133,451594,510375,573406,668454,726345,792396,721107,762105,782293,670159
"9","2","Domestic industries",266592,325250,312471,328812,341818,382878,433634,496168,576442,625492,681706,618848,641870,638957,519399
"10","3","  Agriculture, forestry, and fishing",1863,1805,1672,1638,1152,1951,1911,1385,1842,2950,3059,3019,4534,4785,5121
"11","4","    Farms",867,968,1217,1064,684,1220,1205,395,561,1358,1606,325,1271,NA,NA
"12","5","    Agricultural services, forestry, and fishing",996,837,455,574,468,731,706,990,1281,1592,1453,2694,3263,NA,NA
"13","6","  Mining",-1890,658,944,2502,1125,2040,1509,3348,4517,8124,10972,2115,404,11623,15766
"14","7","    Metal mining",-533,606,21,156,15,30,-365,620,509,-860,-336,-630,-834,NA,NA
"15","8","    Coal mining",444,833,861,630,369,538,40,507,176,577,314,-203,-222,NA,NA
"16","9","    Oil and gas extraction",-2817,-1813,-754,1083,272,910,1593,1316,2872,7492,9790,949,2737,NA,NA
"17","10","    Nonmetallic minerals, except fuels",1016,1032,816,633,469,562,241,905,960,915,1204,1999,-1277,NA,NA
"18","11","  Construction",11303,12590,11901,10922,8330,7966,10148,13650,17265,21932,25696,32531,38022,40815,39375
"19","12","  Manufacturing",90582,127455,111911,113552,87731,93139,107711,144709,172518,175789,192312,153035,157686,168332,84143
"20","13","    Durable goods",42463,57696,51478,42241,29733,36512,50793,72544,77298,81184,92051,74427,67072,64569,12059
"21","14","      Lumber and wood products",5012,4300,4329,2462,1637,3351,4545,4912,5970,3138,3154,3613,5449,NA,NA
"22","15","      Furniture and fixtures",1764,1352,1048,896,986,1451,2011,2058,2259,2963,3509,3545,3622,NA,NA
"23","16","      Stone, clay, and glass products",2665,1812,1590,1705,554,1556,1571,3704,4811,4390,6697,6149,6852,NA,NA
"24","17","      Primary metal industries",3579,7429,6097,3294,414,-244,44,3442,7585,4846,6069,4912,1900,NA,NA
"25","18","      Fabricated metal products",5989,7344,6666,6139,4983,6116,7447,11656,12557,14184,16808,15819,15608,NA,NA
"26","19","      Industrial machinery and equipment",4236,10316,11141,10209,3534,4411,3889,6510,11079,11860,12217,15001,6929,NA,NA
"27","20","      Electronic and other electric equipment",5857,8429,9297,8060,9030,9110,14342,21816,20302,18640,21933,5761,2741,NA,NA
"28","21","      Motor vehicles and equipment",3860,5938,2483,-1896,-5451,-1187,5368,7490,73,3750,3955,4935,6062,NA,NA
"29","22","      Other transportation equipment",6546,5924,4534,5586,7647,5628,5693,3737,4282,6996,7212,6388,9969,NA,NA
"30","23","      Instruments and related products",1412,2800,2263,3455,3943,3672,2692,3589,4578,6927,6059,4419,2966,NA,NA
"31","24","      Miscellaneous manufacturing industries",1543,2052,2030,2331,2456,2648,3191,3630,3802,3490,4438,3885,4974,NA,NA
"32","25","    Nondurable goods",48119,69759,60433,71311,57998,56627,56918,72165,95220,94605,100261,78608,90614,103763,72084
"33","26","      Food and kindred products",11660,13486,10783,14251,17806,17843,16818,19682,27953,22178,23800,21012,27513,NA,NA
"34","27","      Tobacco products",1099,2042,2042,3128,2251,2391,1722,1562,1749,1791,1701,875,2873,NA,NA
"35","28","      Textile mill products",2203,1621,1266,1205,1440,3170,2767,2488,1920,2150,2279,2376,1966,NA,NA
"36","29","      Apparel and other textile products",1858,1805,2066,1885,2256,3050,2929,3063,2491,2420,2449,2208,1787,NA,NA
"37","30","      Paper and allied products",6336,9469,8865,6860,4404,3339,3705,5982,13494,8457,5794,5124,6797,NA,NA
"38","31","      Printing and publishing",8564,8102,7502,6946,7864,10103,9402,11884,9163,11891,11805,13028,16410,NA,NA
"39","32","      Chemicals and allied products",14705,19651,18049,16954,15270,15649,15376,23093,28057,25838,31433,24897,24379,NA,NA
"40","33","      Petroleum and coal products",-1174,10900,7055,17629,4006,-2103,666,237,5916,14531,14964,2828,3012,NA,NA
"41","34","      Rubber and miscellaneous plastics products",2311,2082,2245,1827,1980,2540,3135,4093,4018,5068,5588,5870,5597,NA,NA
"42","35","      Leather and leather products",557,601,560,626,721,645,398,81,459,281,448,390,280,NA,NA
