"","Table 8#20# Interest Paid and Received by Sector and Legal Form ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59"
"1","[Billions of dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1946 To 2001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 09, 2002   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 9/26/2002 5:04:48 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,"1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959",1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001
"8","1","      Monetary interest paid","A2061C",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",46,48.6,54.4,60.5,67.2,74.6,84.3,92.4,105,123.8,142.3,151.5,168.9,213.6,267.4,276.2,297.8,337.7,413.5,538.3,684.1,909,1019.5,1007.8,1171.8,1251.1,1299.9,1363.8,1532.7,1811.2,1848.8,1750.3,1571.9,1495.8,1617.6,1857,1933,2095.6,2284.8,2367.7,2773.5,2639.2
"9","2","Domestic business \1\","A2062C","5.0","5.7","6.4","7.1","7.8","9.0","10.1","11.3","12.5","14.2","16.4","19.3","21.4","24.4",27.6,29.9,34.1,38,42.5,47.7,54.8,60.7,69.3,83.8,98.1,105.2,118.5,153.9,198,201.7,213.4,242.5,297.7,393.4,508.1,680.6,756.7,725.7,833.9,891.3,922.4,973.3,1107,1327,1328,1224,1062.2,1001.1,1094.6,1262.7,1313.4,1439.5,1599.9,1689.1,2027.4,1950.6
"10","3","  Corporate business","A2063C","2.7","3.0","3.3","3.7","4.0","4.6","5.3","5.9","6.5","7.3","8.6","10.3","11.4","13.0",15.1,16.2,19,21.6,24.1,27.4,32.7,37,43.1,54.4,65.3,68.2,76.2,104.2,139.2,136.4,140.6,158.7,197.5,270,358.5,501.9,552.9,506,582.7,611.9,617.8,659.9,766.1,949,936.9,831.5,681.6,629.8,713.6,852.5,886.7,981.2,1105.4,1170.5,1439.1,1336.5
"11","4","    Financial","A1100C","0.8","0.9","1.1","1.2","1.4","1.6","1.9","2.3","2.6","3.1","3.8","4.8","5.4","6.2",7.5,8.1,9.9,11.5,13.1,15.3,18.3,20.4,23.6,28.9,34.1,35.9,41.4,60.1,83,79.7,82.9,93.7,117.7,165.8,224.2,328.2,364.6,327,375.1,384.2,377.4,408,479.5,603.8,581.6,488.4,380,348.2,409.3,513.4,531.3,588.5,694.8,720.3,919.7,809.3
"12","5","      On deposits \2\","B1305C",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","4.7",5.5,6.2,7.8,9,10.4,12.1,14.1,16.2,18.2,20.1,21.8,25.5,29.7,38.3,49.2,51.1,55.4,62.7,74.5,95.4,125.2,173.2,187.3,175.1,203.6,200.3,186.7,176.3,195.5,228.6,222.7,192.8,129.4,99,96.7,126.4,131.6,139.7,145.9,141.7,173.2,160.5
"13","6","      On other liabilities","B1306C",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","1.6",2,1.9,2.1,2.5,2.7,3.2,4.2,4.2,5.4,8.8,12.2,10.4,11.8,21.8,33.8,28.7,27.5,31,43.2,70.4,99,154.9,177.3,151.9,171.5,183.9,190.7,231.7,284,375.2,358.9,295.6,250.6,249.2,312.5,387.1,399.8,448.9,548.9,578.6,746.4,648.9
"14","7","    Nonfinancial","B1101C","1.9","2.1","2.3","2.5","2.6","3.0","3.4","3.6","3.8","4.2","4.8","5.5","6.0","6.8",7.6,8.1,9.1,10.1,11,12.1,14.4,16.6,19.5,25.4,31.2,32.2,34.8,44.1,56.2,56.7,57.7,65.1,79.8,104.2,134.4,173.8,188.3,178.9,207.6,227.7,240.4,251.8,286.6,345.2,355.3,343.2,301.6,281.6,304.3,339.1,355.4,392.7,410.6,450.2,519.4,527.2
"15","8","  Sole proprietorships and partnerships","A2064C","0.7","0.8","0.9","1.0","1.1","1.3","1.4","1.5","1.5","1.7","1.9","2.1","2.3","2.5",2.7,2.9,3.2,3.5,4.1,4.5,5,5.6,6.3,7.6,8.8,10.2,12,14.9,18.6,20.5,22.2,24.7,29.4,38.6,49.4,62.7,71.4,74.8,88,96.1,102.3,95.8,107.3,124.5,121.6,114.8,103.7,102.9,112.9,121.7,129.7,145.9,167.9,171.6,206.8,209.4
"16","9","    Farm","B1103C","0.4","0.4","0.4","0.5","0.5","0.6","0.7","0.7","0.7","0.8","0.8","0.9","1.0","1.1",1.2,1.2,1.4,1.4,1.7,1.8,2,2.3,2.4,2.6,2.9,3.1,3.4,3.9,4.8,5.3,6.2,7.1,8.6,10.9,13.5,16.5,18,17.8,17.4,15.2,13.4,12.2,11.3,10.8,10.3,9.3,8.4,8.2,9.1,9.7,10,10.1,10.3,10,10.5,10.2
"17","10","    Nonfarm","B1102C","0.3","0.4","0.5","0.5","0.6","0.7","0.7","0.7","0.8","1.0","1.1","1.2","1.3","1.4",1.5,1.7,1.9,2.1,2.4,2.7,3,3.4,3.9,4.9,5.9,7.1,8.6,11,13.9,15.1,16,17.6,20.8,27.7,35.9,46.2,53.4,57,70.5,80.9,88.9,83.6,96,113.7,111.3,105.4,95.3,94.6,103.8,112.1,119.7,135.7,157.7,161.5,196.3,199.2
