"","Table 3#19# Relation of State and Local Government Current Recei","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43"
"1","[Billions of dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1959 To 1998",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published October 16, 2001  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 9/26/2002 4:27:44 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998
"8",NA,"      Current receipts"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","1","Census total revenue","L31901",54,60.3,64.5,69.5,75.3,81.5,88.1,97.6,106.6,117.6,132.2,150.1,166.1,190.8,217.6,237.9,264,303.3,337.9,371.6,404.9,451.5,506.7,547.7,593.4,652,720.1,783.4,844.3,884.1,953.8,1032.1,1080.9,1190,1267.5,1331.4,1417.9,1513.6,1614.8,1720.9
"10","2","Less: Coverage differences","L31902",6.4,8,8.6,9.2,10.3,11.3,12.2,12.8,13.3,13.4,15.7,16.1,15.8,17.2,20.8,24.4,27.5,38.2,41.8,38.6,43.1,51.3,62.5,65.1,82.1,84.6,97.4,115.4,127.1,124.5,131.1,143.1,136.9,169.1,186.9,185.8,202.6,243.8,283.5,314.4
"11","3","        State and local employee retirement plan transactions \1\","L31903",1.9,2.1,2.3,2.6,2.8,3.1,3.4,3.7,4.3,4.9,5.7,6.5,7.5,8.5,10.1,10.9,12.4,14.5,14.4,19,21.9,25.4,30.4,34.1,42.5,46.2,53.2,69.4,79.5,77.8,81.2,94.3,87.2,105.9,113.1,114.3,122.6,165.4,197.9,237.5
"12","4","          Contributions \2\","L31904",1.4,1.5,1.6,1.7,1.9,2,2.2,2.4,2.7,3.1,3.5,4,4.5,5,6,6.4,7.1,8.2,8.3,10.9,11.4,12.2,14,15,16.5,17.1,18.7,20.4,21.8,22.7,24.3,26.3,28.2,28.4,29.7,31.2,34.4,36.1,37.9,38.3
"13","5","          Interest received \3\","L31905",0.5,0.6,0.7,0.8,1,1.1,1.2,1.4,1.6,1.7,2,2.3,2.7,3.2,3.7,3.9,4.4,5.5,5.2,6.6,8.8,11.3,14.5,16.6,23,25.6,27.4,31.7,35.7,39,40,48,40.7,46.7,48.3,46.5,48.6,62,56.8,71
"14","6","          Dividends received \3\","L31906",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.1,0.2,0.3,0.3,0.4,0.6,0.9,0.8,1,1.5,1.8,1.9,1.8,2.5,3,3.4,4,4.6,5.3,6.3,8,9.6,11,12.2,13.4,14.3,14.7,16.4,19.7,20.8
"15","7","          Capital gains net of losses \4\","L31907",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.1,12.6,16.6,9.8,8.8,10.3,7.4,18.6,21.7,22.2,24.9,50.9,83.6,107.4
"16","8","        Unemployment insurance fund contributions and earnings \5\","L31908",1.8,2.3,2.5,2.8,3.2,3.3,3.2,3.3,3.3,3,3,3.1,3.1,3.6,5,5.7,8.2,15.2,15.3,13.2,12.9,13.5,18.6,16.9,21.6,16.8,17.6,18.3,18.9,17.3,19.7,18.4,18,27,34.6,29.9,37.2,33.9,34.8,23.2
"17","9","        Certain grant programs","L31909",0,0,0.1,0.1,0.2,0,-0.1,0.2,0.3,-0.6,-0.4,-1.2,-1.2,-2.1,-2.2,-1,-2.8,-3.8,-3.4,-6.5,-6.2,-6.2,-5.8,-2.9,-1.7,0.3,2.5,0.8,2.3,4,3.2,2.7,2.9,5.7,9.2,8.1,6.6,6.3,10.8,11.1
