"","Table 5#15# Real Gross Government Fixed Investment by Type","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18"
"1","[Billions of chained (1996) dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1987 To 2001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 09, 2002   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 9/26/2002 4:32:57 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001
"8","1","      Gross government fixed investment \1\","A782RX",217,215.8,224.1,238.9,239.8,242,235,234.5,240.8,250.1,262.7,274.3,296.8,303.8,313.8
"9","2","  Federal","A787RX",97.3,90.2,91.8,96.2,93.9,94.3,88.1,83,82.2,86.3,82.4,88.5,95.3,97.2,101
"10","3","    National defense","A788RX",76.3,70.6,70.8,73.2,68.9,66.4,58.6,55.4,53.2,54.6,49.1,51,53.7,54.8,57.3
"11","4","    Nondefense","A798RX",21.5,20.1,21.5,23.5,25.4,28,29.5,27.6,29,31.7,33.3,37.5,41.6,42.3,43.6
"12","5","  State and local","A799RX",118.8,125,131.8,142.2,145.5,147.4,146.6,151.4,158.6,163.8,180.2,185.8,201.4,206.5,212.8
"13","6","Structures \2\","A760RX",122.1,122.8,122.9,131.4,134.4,136.6,134.2,134.3,138.5,140.3,149.7,149.7,159.3,159.4,162.1
"14","7","  Federal","A801RX",22.6,18.6,16.4,16.9,16.1,17.9,18.1,17.4,17.6,17.8,15,15.7,15.5,14.2,13.5
