"","Table 6#12C# Nonfarm Proprietors' Income by Industry Group","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17"
"1","[Millions of dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1987 To 2001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 09, 2002   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001
"8","1","    Nonfarm proprietors' income",239790,277374,293530,323193,332963,373446,401419,421728,447760,475987,507173,547566,589557,621195,621646
"9","2","Agricultural services, forestry, and fishing",5514,6020,5679,6849,7358,8018,10267,8096,7847,6796,7778,8973,10007,10074,9939
"10","3","Mining",-1690,1880,2876,4249,2973,3499,5109,6356,7128,7826,9765,12987,10631,10239,8168
"11","4","Construction",45107,46784,47951,46854,44072,47769,51823,56085,56072,59857,61895,69180,76438,79690,82868
"12","5","Manufacturing",10261,11571,16356,17491,18681,22146,23318,27485,30359,27555,26852,27752,30140,34416,28128
"13","6","  Durable goods",5794,5812,7692,7415,7215,9325,9895,11815,13297,11903,12058,11727,12743,15724,10569
"14","7","  Nondurable goods",4467,5759,8664,10076,11466,12821,13423,15670,17062,15652,14794,16025,17397,18692,17559
"15","8","Transportation and public utilities",15451,16379,18441,19933,23027,25599,31629,32818,37477,41588,42587,42491,44847,45761,43774
"16","9","  Transportation",12170,11025,12160,11802,12655,13664,14532,15163,15895,16338,17420,18497,21316,21350,19848
"17","10","  Communications",1962,2773,2764,3995,4786,5803,8356,8794,10498,10965,10819,10650,9872,10154,8808
"18","11","  Electric, gas, and sanitary services",1319,2581,3517,4136,5586,6132,8741,8861,11084,14285,14348,13344,13659,14257,15118
"19","12","Wholesale trade",9928,11373,11188,13568,13078,13761,12884,13692,13987,14704,13282,14733,15859,17291,16576
"20","13","Retail trade",32426,33857,34631,34498,34099,35277,37518,39520,41105,42936,45045,46156,48657,51816,51644
"21","14","Finance, insurance, and real estate",-1684,-398,-2281,5148,10408,23836,36420,40235,49829,61408,73807,81058,97788,98593,98715
"22","15","Services",124477,149908,158689,174603,179267,193541,192451,197441,203956,213317,226162,244236,255190,273315,281834
"23","16","  Hotels and other lodging places",-2302,-2977,-2548,-1804,-1000,196,1180,1478,2248,2707,2230,2517,2368,2516,1977
"24","17","  Personal services",10694,13345,11779,12153,12155,12954,15233,15164,15151,14863,16126,18112,18509,17259,18523
"25","18","  Business services",29370,34768,38366,43346,40231,44265,41181,44539,45604,50520,56701,60960,66514,71766,70392
"26","19","  Auto repair, services, and parking",8719,10097,9000,8676,9007,8871,9165,10439,10053,9931,9523,11034,9924,10811,10544
"27","20","  Miscellaneous repair services",3183,3690,3742,3926,4018,3899,4452,4912,5333,4942,4853,5906,5678,7685,7690
"28","21","  Motion pictures",2683,3996,4339,4658,4650,4637,4989,4144,5033,5192,4044,3613,4336,5177,5778
"29","22","  Amusement and recreation services",3551,4007,4114,5667,6624,8042,5996,5681,7418,7442,6816,10771,11239,10588,10746
"30","23","  Health services",29671,34200,37565,43211,46561,49460,49360,50008,50061,50526,50272,50253,51790,55887,59487
"31","24","  Legal services",21986,26007,27108,29389,30716,33848,33434,32783,33605,36268,39275,41631,43374,46116,49530
"32","25","  Other \1\",16922,22775,25224,25381,26305,27369,27461,28293,29450,30926,36322,39439,41458,45510,47167
"33",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34"," 1. Consists of educational services; social services; museums,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","botanical and zoological gardens; membership organizations;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","engineering and management services, except for commercial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","research and testing services and for management and public",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","relations; and miscellaneous services, not elsewhere classified.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","  Note.  Estimates in this table are based on the 1987 Standard Industrial Classification (SIC).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
