"","Table 6#10C# Employer Contributions for Social Insurance by Indu","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17"
"1","[Millions of dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1987 To 2001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 09, 2002   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001
"8","1","      Employer contributions for social insurance",166260,184633,193673,206450,215134,228398,239989,254389,264453,275425,289918,306936,322998,342906,353881
"9","2","Domestic industries",166260,184633,193673,206450,215134,228398,239989,254389,264453,275425,289918,306936,322998,342906,353881
"10","3","  Private industries",143483,157919,164737,174513,180271,190671,200769,213899,223126,233535,246845,262287,276266,293629,301139
"11","4","    Agriculture, forestry, and fishing",1410,1587,1774,2145,2222,2345,2550,2668,2773,2893,2957,3080,3413,3472,3836
"12","5","    Mining",1984,2163,2122,2226,2239,2160,2157,2217,2197,2246,2368,2397,2261,2366,2563
"13","6","    Construction",10700,11766,12139,12513,11860,11804,12469,13758,14265,15074,15891,17058,18915,20166,21045
"14","7","    Manufacturing",40324,43690,44465,45502,46317,47963,49575,52532,53618,54524,56593,58528,59565,61957,59888
"15","8","      Durable goods",25358,27558,27954,28263,28401,29202,30143,32236,33108,33751,35197,36631,37528,39346,37577
"16","9","      Nondurable goods",14966,16132,16511,17239,17916,18761,19432,20296,20510,20773,21396,21897,22037,22611,22311
"17","10","    Transportation and public utilities",13525,14591,15025,16001,16597,17104,17782,18800,19200,19971,20790,22121,23533,24692,25235
"18","11","      Transportation",8354,9110,9384,9903,10204,10454,10847,11415,11626,12051,12442,13236,13766,14201,14558
"19","12","      Communications",2928,3081,3107,3411,3520,3633,3823,4143,4353,4638,5019,5469,6224,6771,6777
"20","13","      Electric, gas, and sanitary services",2243,2400,2534,2687,2873,3017,3112,3242,3221,3282,3329,3416,3543,3720,3900
"21","14","    Wholesale trade",12009,13335,14080,14615,15080,15845,16267,17439,18422,19144,20229,21565,22637,23900,23712
"22","15","    Retail trade",17994,19699,20329,21135,21964,23285,24610,26410,27501,28304,30284,31697,33079,34672,35995
"23","16","    Finance, insurance, and real estate",12325,13579,13865,14718,15454,17086,18234,19034,19717,21467,23303,25757,27266,29637,31686
"24","17","    Services",33212,37509,40938,45658,48538,53079,57125,61041,65433,69912,74430,80084,85597,92767,97179
"25","18","  Government",22777,26714,28936,31937,34863,37727,39220,40490,41327,41890,43073,44649,46732,49277,52742
"26","19","Rest of the world",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","  Note.  Estimates in this table are based on the 1987 Standard Industrial Classification (SIC).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
