"","Table 3#10# National Defense Consumption Expenditures and Gross ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33"
"1","[Billions of dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1972 To 2001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published September 27, 2002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 9/26/2002 4:22:49 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001
"8","1","    National defense consumption expenditures and gross investment \1\","A824RC",93.5,93.9,99.7,107.9,113.2,122.6,132,146.7,169.6,197.8,228.3,252.5,283.5,312.4,332.2,351.2,355.9,363.2,374.9,384.5,378.5,364.9,355.1,350.6,357,352.6,349.1,364.3,374.9,399.9
"9","2","Consumption expenditures","A997RC",82.3,82.6,87.5,93.4,97.9,105.8,114.2,125.3,145.3,168.9,193.6,210.6,234.9,254.9,269.3,284.8,294.6,300.5,308.9,321.1,316.9,309.2,301.1,297.5,302.4,304.2,299.7,312,321.4,344.5
"10","3","  Durable goods \2\","A998RC",5.9,5.3,4.6,6.5,5.9,7.9,9.6,11.5,12.8,16.1,19.2,25,26.9,29.2,31.9,33.6,33.5,32,30.9,31.2,29,27.1,23.3,21,21,21.1,21.1,22.4,22.5,24.2
"11","4","    Aircraft","B999RC",3,2.8,2.2,2.3,2.2,3.3,3.6,4.9,5.6,7.8,10.3,13.6,14,15.4,17.2,18.2,17.9,16.4,14.8,13.8,12.6,11.3,9.5,9,9,9.7,10,10.6,10.2,11.2
"12","5","    Missiles","B277RC",1.2,1.2,1.4,1.6,1.3,1.5,2.3,2.2,2.3,2.7,3,3.7,4,3.9,4.6,4.7,5,5,5.2,5.3,4.7,4.3,3.5,2.8,2.6,2.3,2.3,2.2,2.3,2.5
"13","6","    Ships","B278RC",0.2,0.2,0.2,0.3,0.3,0.5,0.7,0.9,0.7,0.6,0.4,1.2,1,0.8,0.8,1,1.1,1,1.7,1.9,2.2,2.3,1.6,1.2,0.9,1,0.9,1.2,1.3,1.2
"14","7","    Vehicles","B288RC",0.4,0.4,0.5,0.8,0.6,0.8,1.1,1.2,1.5,1.7,1.7,2.3,2.8,2.9,3.2,3.1,2.5,1.9,1.7,1.9,1.5,1.3,0.9,1.1,0.9,1.1,1,0.8,0.8,1
"15","8","    Electronics","B388RC",0.8,0.8,0.8,0.9,0.7,0.8,1,1.1,1.4,1.7,2,2.4,2.7,3.2,3.3,3.7,3.7,3.8,3.8,3.5,3.3,3.5,3,2.5,2.5,2.5,2.3,2.7,2.9,3
"16","9","    Other durable goods","B389RC",0.2,-0.1,-0.5,0.6,0.9,0.9,1,1.3,1.3,1.5,1.7,1.9,2.4,3,2.7,3,3.3,3.9,3.6,4.8,4.7,4.5,4.6,4.5,5,4.6,4.6,5,5,5.3
"17","10","  Nondurable goods","A725RC",4.8,4.4,5.3,5.1,4.5,4.6,4.9,6.3,10.1,12,11.6,11.3,10.5,10,10.3,10.3,10.6,10.8,11,10.7,9.5,8.4,7.6,6.3,7.7,7.5,6.9,8.1,10.4,10.5
"18","11","    Petroleum products","B780RC",1.8,1.7,2.8,2.9,2.5,2.4,2.5,3.6,6.8,7.7,6.8,6.4,5.9,5.8,3.6,3.9,3.5,4.2,5.3,4.7,3.5,3.2,3,2.8,3.4,2.9,2.1,2.6,4.1,4
"19","12","    Ammunition","B781RC",2,1.7,1.4,1.1,0.6,0.8,1,1.2,1.4,1.6,2.1,2.5,2.2,1.3,3.6,2.8,3.5,3.1,2.8,2.7,2.6,2.4,1.8,1.1,1.4,1.6,1.8,1.8,1.7,2.1
"20","13","    Other nondurable goods","B783RC",0.9,0.9,1.1,1.1,1.4,1.3,1.3,1.5,1.9,2.6,2.7,2.5,2.3,2.9,3.1,3.6,3.6,3.6,2.9,3.4,3.4,2.8,2.8,2.4,2.9,3,3.1,3.7,4.6,4.4
"21","14","  Services","A489RC",71.7,73,77.5,81.9,87.5,93.4,99.7,107.5,122.4,140.9,162.9,174.2,197.5,215.7,227.2,240.8,250.6,257.7,267,279.2,278.5,273.6,270.2,270.2,273.7,275.6,271.7,281.5,288.5,309.8
"22","15","    Compensation of general government employees, except own-account investment \3\","A395RC",40.5,41.4,44,47.8,50.2,53.5,57.4,61.5,68.4,78.6,87.2,92.2,107.3,115,118.4,123.2,126.5,131.2,134,141.3,142.5,138.1,134.2,130.4,133.1,132.5,131.2,133.1,138.3,143.7
"23","16","      Military","B421RC",27,27.6,29.1,31.1,32.4,34,36.2,38.7,43.5,50.5,56.6,59.8,72.8,78.2,80.6,83.7,85.2,87.4,89.1,93.8,93.2,88,84.4,81.5,84.2,84,83.5,85.2,89.3,94.1
"24","17","      Civilian","B425RC",13.5,13.7,14.9,16.8,17.7,19.6,21.2,22.8,25,28.1,30.6,32.4,34.5,36.8,37.8,39.5,41.3,43.8,44.9,47.5,49.3,50.1,49.9,48.9,48.8,48.5,47.7,47.9,48.9,49.6
"25","18","    Consumption of general government fixed capital \4\","B432RC",15.8,16.4,16.7,17.5,18.8,19.9,21.2,22.3,24.4,27.2,31,33.4,36.6,38.6,41.5,44.1,47,50.1,53.2,56.3,57.9,60.2,61.8,63,63,62.8,62.3,62.5,63.6,63.5
"26","19","    Other services","A726RC",15.4,15.3,16.8,16.5,18.5,20,21.1,23.6,29.6,35.1,44.6,48.6,53.6,62,67.3,73.6,77.1,76.4,79.8,81.6,78.1,75.3,74.2,76.8,77.7,80.2,78.2,85.9,86.7,102.5
"27","20","      Research and development","B784RC",5.1,5.3,5.7,5.9,6.4,6.8,7.1,7.7,10.2,12.4,14.1,14.5,16.2,21.7,23.8,27,31.5,28.6,26.1,21.9,23.7,23.1,22.3,20.3,22.3,23.2,20.2,23,22.5,29.6
"28","21","      Installation support","B911RC",4.3,4.3,4.6,4.8,5.3,6.1,6.2,7.1,8.4,9.2,13.4,15.1,16.5,16.5,17.8,18.4,18.2,18.1,21.2,22.7,22.2,23.8,24.4,24.3,24.5,23.7,23.1,23.4,23.4,25.5
"29","22","      Weapons support","B912RC",1.6,1.6,1.8,1.7,1.9,2.1,2.4,2.9,4.4,5.2,6,7.3,8.6,9.8,10.4,11,9.8,10.3,11.7,10.2,8.5,7.2,8.5,9.1,7.3,8.4,8.7,9.4,10,12.2
"30","23","      Personnel support","B913RC",1.9,1.7,2,2.1,2.3,2.3,2.6,2.9,3.2,4.3,6,6.5,6.8,8.5,9.4,10.9,11.4,12.4,13.1,12.8,14.6,14.4,15.1,16.9,17.3,18.6,19.6,22.9,23.6,28
"31","24","      Transportation of material","B786RC",1.8,1.6,1.7,1.8,1.8,1.9,1.9,2.2,2.6,2.8,3.1,3.4,3.3,3.1,3.4,3.5,3.6,4,4.8,8.8,5.9,4.5,3.8,4.2,4.9,4.6,4.6,4.8,4.8,4.9
"32","25","      Travel of persons","B785RC",0.9,1,1.1,1,1,1.2,1.4,1.3,1.6,2.1,2.6,2.4,2.9,3.1,3.3,3.7,3.7,4,4,6.9,5.5,4.8,4.4,4.2,3.9,3.7,3.7,4.1,4.2,4.2
"33","26","      Other","B789RC",-0.2,-0.1,-0.2,-0.8,-0.2,-0.4,-0.5,-0.5,-0.7,-0.8,-0.7,-0.5,-0.7,-0.7,-0.8,-0.8,-1.1,-1,-1.1,-1.7,-2.3,-2.6,-4.4,-2.2,-2.5,-2,-1.7,-1.7,-1.9,-2
"34","27","Gross investment","A788RC",11.2,11.3,12.3,14.5,15.3,16.7,17.8,21.4,24.3,28.9,34.7,41.9,48.7,57.5,62.9,66.4,61.3,62.7,65.9,63.4,61.6,55.7,54,53.1,54.6,48.4,49.4,52.3,53.5,55.5
"35","28","  Structures","A808RC",1.8,2.1,2.2,2.3,2.1,2.4,2.5,2.5,3.2,3.2,4,4.8,4.9,6.2,6.8,7.7,7.4,6.4,6.1,4.6,5.2,5.1,5.7,6.3,6.7,5.7,5.4,5.3,5.3,5.4
"36","29","  Equipment and software","A873RC",9.4,9.2,10.1,12.1,13.2,14.4,15.3,18.9,21.1,25.7,30.8,37.1,43.8,51.3,56.1,58.8,53.9,56.3,59.8,58.8,56.3,50.7,48.3,46.9,47.9,42.7,44,47,48.2,50
"37","30","    Aircraft","B874RC",2.6,2.3,2.3,3.6,3.4,3.7,3.7,4.8,6.1,7.5,8.4,10.1,10.9,13.4,17.9,17.6,13.5,12.2,12,9.2,8.3,9.3,10.5,9,9.2,5.9,5.6,6.9,7.7,8.3
"38","31","    Missiles","B875RC",1.5,1.5,1.7,1.3,1.4,1.2,1.1,1.8,2.3,2.8,3.4,4.6,5.7,6.6,7.9,8.7,7.8,8.8,11.2,10.8,10.6,7.9,5.7,4.7,4.1,2.9,3.3,2.7,2.5,3.3
"39","32","    Ships","B876RC",1.8,1.6,2.2,2.2,2.4,3.1,3.9,4.3,4.1,5.1,6.2,7.1,8,9,8.9,8.8,8.6,10,10.8,10.2,10.1,8.7,8.1,8,6.8,6.1,6.4,6.8,6.6,7.2
"40","33","    Vehicles","B877RC",0.4,0.3,0.3,0.3,0.5,0.6,0.8,0.9,1.2,1.1,2.1,3.4,4.2,3.7,3.8,4.3,3.7,3.1,3.2,3.4,2.8,1.9,1,1.1,1.2,1.4,1.5,1.7,1.8,1.8
"41","34","    Electronics and software","B878RC",0.8,0.9,1,1.2,1.3,1.5,1.8,2.1,2.6,3.2,3.8,4.6,5.6,7,7.8,8.7,9.2,9.6,9.9,9.7,9.8,10.4,10.3,10.5,11.6,12.4,13.4,14.2,14.9,13.7
"42","35","    Other equipment","B879RC",2.2,2.5,2.6,3.6,4.2,4.2,4,5,4.8,6.1,6.8,7.3,9.3,11.5,9.9,10.6,11.1,12.6,12.8,15.4,14.8,12.5,12.7,13.6,15.2,14,13.8,14.7,14.7,15.7
"43",NA,"Addendum:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","36","  Compensation of general government employees \3\","B237RC",40.5,41.4,44.1,47.9,50.3,53.6,57.5,61.7,68.6,78.8,87.4,92.4,107.5,115.3,118.8,123.5,126.9,131.7,134.5,141.8,143,138.7,134.8,130.9,133.6,133.1,131.7,133.6,138.8,144.3
"45"," 1. Gross government investment consists of general government and government enterprise expenditures for fixed assets; inventory ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46",NA,"investment is included in government consumption expenditures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47"," 2. Consumption expenditures for durable goods excludes expenditures classified as investment, except for goods transferred to ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48",NA,"foreign countries.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49"," 3. Compensation of government employees engaged in new own-account investment and related expenditures for goods and services ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50",NA,"are classified as investment in structures and in software.  The",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51",NA,"compensation of all general government employees is shown in the addendum.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52"," 4. Consumption of fixed capital, or depreciation, is included in government consumption expenditures as a partial measure of the ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53",NA,"value of the services of general government fixed assets; use of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54",NA,"depreciation assumes a zero net return on these assets.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
