"","Table 1#8#3# Command-Basis Real Gross Domestic Product and Gross","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92"
"1","[Index numbers, 2005=100]; Seasonally adjusted                                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Quarterly data from 1947 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published May 26, 2011      ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 5/25/2011 9:22:06 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1947,1947,1947,1947,1948,1948,1948,1948,1949,1949,1949,1949,1950,1950,1950,1950,1951,1951,1951,1951,1952,1952,1952,1952,1953,1953,1953,1953,1954,1954,1954,1954,1955,1955,1955,1955,1956,1956,1956,1956,1957,1957,1957,1957,1958,1958,1958,1958,1959,1959,1959,1959,1960,1960,1960,1960,1961,1961,1961,1961,1962,1962,1962,1962,1963,1963,1963,1963,1964,1964,1964,1964,1965,1965,1965,1965,1966,1966,1966,1966,1967,1967,1967,1967,1968,1968,1968,1968,1969
"8",NA,NA,NA,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1
"9","1","Gross domestic product","B191RA3",14.022,14.001,13.989,14.202,14.427,14.693,14.772,14.794,14.589,14.536,14.699,14.561,15.149,15.61,16.221,16.507,16.715,16.993,17.331,17.36,17.535,17.554,17.672,18.256,18.597,18.738,18.624,18.329,18.242,18.265,18.471,18.841,19.383,19.704,19.967,20.079,19.987,20.144,20.119,20.448,20.574,20.524,20.722,20.504,19.949,20.071,20.541,21.02,21.445,21.987,21.961,22.038,22.532,22.427,22.464,22.175,22.307,22.724,23.092,23.562,23.984,24.249,24.473,24.533,24.854,25.165,25.639,25.834,26.414,26.717,27.08,27.155,27.822,28.2,28.772,29.466,30.189,30.29,30.489,30.736,31.007,31.013,31.261,31.499,32.148,32.694,32.918,33.06,33.581
"10","2","Less: Exports of goods and services","B020RA3",6.537,6.455,6.127,5.433,5.185,4.7,4.811,4.641,5.197,5.152,4.722,4.087,4.02,4.069,4.174,4.512,4.738,5.204,5.332,5.282,5.563,4.951,4.561,4.592,4.514,4.542,4.724,4.569,4.364,4.991,4.83,5.053,5.24,5.118,5.454,5.479,5.739,6.125,6.329,6.613,7.044,6.836,6.644,6.445,5.805,5.833,5.852,5.833,6.219,6.426,6.63,6.453,7.261,7.722,7.527,7.683,7.631,7.525,7.484,7.715,7.696,8.435,7.963,7.791,7.974,8.907,8.431,8.854,9.397,9.552,9.478,9.761,8.708,10.343,9.75,10.457,10.273,10.724,10.321,10.661,10.867,10.768,10.506,10.805,11.119,11.341,12.007,11.854,10.432
"11","3","Plus: Imports of goods and services","B021RA3",2.516,2.565,2.274,2.397,2.703,2.81,2.957,2.909,2.822,2.781,2.667,2.707,2.783,2.937,3.624,3.631,3.631,3.511,3.213,3.129,3.492,3.474,3.687,4.017,3.918,4.122,4.106,3.904,3.678,4.009,3.767,3.803,4.028,4.256,4.328,4.485,4.673,4.649,4.689,4.474,4.83,4.867,4.774,4.79,4.861,5.069,4.992,5.253,5.389,5.649,5.703,5.558,5.768,5.812,5.641,5.375,5.348,5.414,5.772,5.909,6.089,6.222,6.301,6.378,6.23,6.377,6.539,6.518,6.511,6.658,6.837,7.022,6.769,7.568,7.599,7.97,8.175,8.378,8.848,8.947,9.088,9.015,9.133,9.615,10.182,10.337,10.958,10.866,9.841
"12","4","Equals: Gross domestic purchases","B712RA3",12.932,12.933,12.923,13.272,13.588,13.948,14.032,14.073,13.769,13.718,13.923,13.896,14.486,14.951,15.65,15.876,16.044,16.214,16.456,16.475,16.674,16.787,17.005,17.626,17.948,18.117,17.975,17.677,17.582,17.57,17.747,18.076,18.612,18.982,19.198,19.33,19.236,19.324,19.276,19.51,19.63,19.621,19.824,19.647,19.22,19.369,19.808,20.317,20.693,21.229,21.183,21.259,21.652,21.49,21.525,21.18,21.311,21.741,22.161,22.603,23.044,23.213,23.511,23.606,23.866,24.055,24.608,24.732,25.213,25.507,25.897,25.959,26.716,26.971,27.615,28.244,29.003,29.067,29.394,29.599,29.853,29.862,30.159,30.421,31.092,31.612,31.828,31.974,32.526
"13","5","Plus: Exports of goods and services, command basis \1\","C020RA3",10.748,11.261,11.054,9.827,9.312,8.289,8.225,7.808,8.61,8.426,7.661,6.559,6.364,6.425,6.514,7.042,7.561,8.552,8.99,8.944,9.183,8.122,7.417,7.436,7.336,7.354,7.6,7.293,6.9,7.848,7.583,7.921,8.213,8.012,8.521,8.561,8.949,9.561,9.882,10.385,11.094,10.778,10.43,10.056,8.899,8.868,8.868,8.843,9.338,9.637,9.995,9.79,11.011,11.642,11.349,11.497,11.459,11.436,11.324,11.734,11.665,12.624,11.88,11.596,11.847,13.198,12.436,12.992,13.768,13.94,13.881,14.39,13.083,15.42,14.484,15.371,15.264,15.912,15.359,16.007,16.533,16.263,15.706,16.071,16.482,16.977,17.572,17.23,15.242
"14","6","Less: Imports of goods and services, command basis \1\","C021RA3",2.828,3.05,2.806,2.994,3.41,3.513,3.593,3.479,3.31,3.246,3.122,3.175,3.325,3.563,4.445,4.584,4.81,4.88,4.587,4.43,4.734,4.613,4.775,5.103,4.93,5.124,5.063,4.798,4.551,4.974,4.705,4.747,4.948,5.205,5.266,5.439,5.629,5.592,5.612,5.373,5.76,5.771,5.584,5.52,5.427,5.577,5.471,5.764,5.899,6.2,6.27,6.145,6.347,6.365,6.18,5.848,5.819,5.877,6.243,6.374,6.459,6.59,6.633,6.724,6.607,6.783,6.981,6.954,6.982,7.15,7.298,7.487,7.249,8.035,8.086,8.511,8.724,8.95,9.346,9.43,9.538,9.381,9.42,9.817,10.352,10.48,11.017,10.85,9.773
"15","7","Equals: Command-basis gross domestic product \1,2\","C191RA3",14.308,14.336,14.359,14.632,14.794,15.008,15.093,15.166,14.922,14.802,14.998,14.853,15.451,15.898,16.519,16.837,17.073,17.361,17.664,17.674,17.829,17.81,18.007,18.6,18.944,19.087,18.981,18.656,18.534,18.534,18.778,19.181,19.764,20.064,20.338,20.522,20.436,20.526,20.535,20.828,21.015,20.969,21.14,20.814,20.312,20.413,20.971,21.536,21.912,22.432,22.399,22.48,23.039,22.905,22.921,22.592,22.753,23.203,23.588,24.098,24.547,24.776,25,25.047,25.352,25.687,26.166,26.401,26.969,27.253,27.609,27.705,28.428,28.81,29.366,30.061,30.827,30.898,31.153,31.435,31.731,31.713,31.984,32.237,32.907,33.465,33.675,33.827,34.39
