"","Table 5#3#1# Percent Change From Preceding Period in Real Privat","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25"
"1","[Percent]                                                                                                                                                                                                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1948 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published May 26, 2011      ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 5/25/2011 9:26:44 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969
"8","1","    Private fixed investment","A007RL1",10.1,-8.6,19.4,-4.2,-1.9,7,1.6,13,0.4,-1.1,-7.2,14,0.9,-0.3,9,7.7,9.7,10.2,5.7,-1.8,7,6.2
"9","2","Nonresidential","A008RL1",5.2,-9.2,9.2,4.6,-1.9,9,-2.1,11.1,5.7,1.5,-11,8,5.7,-0.6,8.7,5.6,11.9,17.4,12.5,-1.3,4.5,7.6
"10","3","  Structures","B009RL1",5.2,-3.3,7.2,7.7,-0.4,8.9,3.4,7.2,10.5,-0.1,-5.5,2.4,8,1.4,4.6,1.2,10.4,15.9,6.8,-2.5,1.4,5.4
"11","4","    Commercial and health care","W001RL1",28.2,-6.8,27.9,-3.8,-22.1,37,24.2,30.4,13.2,-5.2,5.3,8.5,6.4,14.1,11.4,-3.2,8.7,17.2,-2.4,-3.8,9.4,15.4
"12","5","    Manufacturing","C307RL1",-26.3,-28.5,9.9,75.8,6.8,-4.4,-6.4,9.5,31.4,6.1,-31.1,-10.8,35.5,-2.2,1,0.4,20.2,38.3,24.3,-12,-3.7,5.1
"13","6","    Power and communication","W003RL1",19.7,5.2,-0.5,0.3,0.9,10,-8.6,-4.8,16.8,3.8,-3.8,-4.1,0.9,-6.3,0.6,6.7,8.9,10.6,14,9.4,11.2,0
"14","7","    Mining exploration, shafts, and wells","E318RL1",22.8,1.2,18.7,5.1,11.3,9.3,10.6,7.6,-3.2,-5.6,-6.5,2.7,-6.1,1.8,4.9,-6.1,7.1,-1.2,-5.2,-4.4,0.6,4.2
"15","8","    Other structures \1\","W004RL1",0,1.2,-1.3,-2.2,0.5,3.7,5.3,0.2,-1,0,4.6,10.4,11.1,-2.3,2.1,5.8,9.7,12.4,3.8,-2.1,-11.6,-0.8
"16","9","  Equipment and software","B010RL1",5.3,-12.4,10.4,2.9,-2.9,9,-5.6,13.7,2.7,2.6,-14.6,11.9,4.2,-1.9,11.6,8.4,12.8,18.3,16,-0.7,6.2,8.8
"17","10","    Information processing equipment and software","A679RL1",2.8,-10.9,11.5,9.6,15.6,9.7,-9.9,14.8,15.7,13.6,-10.9,9.3,22.7,9.7,11,18.4,14.7,18.7,31.8,7.3,6.4,21.6
"18","11","      Computers and peripheral equipment","B935RL1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.3,25,60
"19","12","      Software \2\","B985RL1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.3,38.5,102.8,24,28.2,54.7,17.3,12.4,34.5
"20","13","      Other \3\","A937RL1",2.8,-10.6,10.7,10.1,15.1,10.1,-10,14.9,15.8,13.2,-10.7,8.8,15,6.1,6.7,3.7,9.3,13.1,17.8,0.5,2.6,15.8
"21","14","    Industrial equipment","A680RL1",-7.5,-22.9,15.5,12.3,3.9,10.1,3.1,-0.8,10.4,1.3,-16.7,1.5,7.8,-5.3,5.1,8,13,17.9,15,0.4,-2,6.6
"22","15","    Transportation equipment","A681RL1",4.1,-0.6,10.7,-3.9,-17.4,19,-12.4,27.3,-10.1,6.9,-27.1,32.5,3,-5.5,23.3,-3.2,13.1,25.3,10,-3.3,20.2,4
"23","16","    Other equipment \4\","A862RL1",22.1,-15.8,5.7,0.5,1,-2.4,-5.9,17.4,3.2,-5.5,1.4,7.4,-8.2,-1,6.7,16.2,10.8,11.1,12.4,-5.5,1.2,6.8
"24","17","Residential","A011RL1",19.7,-7.6,36.8,-16.3,-1.8,3.5,8.3,16.2,-8.1,-6.1,1.1,25.4,-7.1,0.3,9.6,11.8,5.8,-2.9,-8.9,-3.1,13.6,3
"25","18","  Structures","A012RL1",20.1,-7.6,37,-16.5,-1.8,3.5,8.4,16.2,-8.5,-6.2,0.9,25.6,-7.1,0.3,9.7,11.8,5.8,-3.2,-9.2,-3.3,13.5,2.7
