"","Table 1#3#3# Real Gross Value Added by Sector, Quantity Indexes ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92"
"1","[Index numbers, 2005=100]; Seasonally adjusted                                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Quarterly data from 1947 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published May 26, 2011      ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 5/25/2011 9:20:20 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1947,1947,1947,1947,1948,1948,1948,1948,1949,1949,1949,1949,1950,1950,1950,1950,1951,1951,1951,1951,1952,1952,1952,1952,1953,1953,1953,1953,1954,1954,1954,1954,1955,1955,1955,1955,1956,1956,1956,1956,1957,1957,1957,1957,1958,1958,1958,1958,1959,1959,1959,1959,1960,1960,1960,1960,1961,1961,1961,1961,1962,1962,1962,1962,1963,1963,1963,1963,1964,1964,1964,1964,1965,1965,1965,1965,1966,1966,1966,1966,1967,1967,1967,1967,1968,1968,1968,1968,1969
"8",NA,NA,NA,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1
"9","1","    Gross domestic product","B191RA3",14.022,14.001,13.989,14.202,14.427,14.693,14.772,14.794,14.589,14.536,14.699,14.561,15.149,15.61,16.221,16.507,16.715,16.993,17.331,17.36,17.535,17.554,17.672,18.256,18.597,18.738,18.624,18.329,18.242,18.265,18.471,18.841,19.383,19.704,19.967,20.079,19.987,20.144,20.119,20.448,20.574,20.524,20.722,20.504,19.949,20.071,20.541,21.02,21.445,21.987,21.961,22.038,22.532,22.427,22.464,22.175,22.307,22.724,23.092,23.562,23.984,24.249,24.473,24.533,24.854,25.165,25.639,25.834,26.414,26.717,27.08,27.155,27.822,28.2,28.772,29.466,30.189,30.29,30.489,30.736,31.007,31.013,31.261,31.499,32.148,32.694,32.918,33.06,33.581
"10","2","Business \1\","B195RA3",12.521,12.572,12.575,12.824,13.056,13.353,13.412,13.412,13.183,13.113,13.282,13.14,13.778,14.231,14.839,14.999,15.158,15.307,15.561,15.557,15.689,15.661,15.755,16.372,16.708,16.831,16.681,16.354,16.245,16.249,16.44,16.81,17.373,17.706,17.951,18.036,17.908,18.047,17.97,18.294,18.404,18.314,18.49,18.243,17.611,17.703,18.164,18.658,19.123,19.685,19.609,19.639,20.127,19.928,19.931,19.561,19.66,20.105,20.456,20.88,21.298,21.541,21.735,21.759,22.079,22.376,22.841,23.023,23.624,23.894,24.25,24.276,24.997,25.346,25.896,26.585,27.332,27.364,27.46,27.627,27.864,27.816,28.003,28.203,28.844,29.372,29.552,29.682,30.202
"11","3","  Nonfarm \2\","B358RA3",12.164,12.462,12.144,12.768,12.906,12.89,13,12.947,12.86,12.776,12.951,12.822,13.368,13.854,14.613,14.771,15.052,15.129,15.323,15.363,15.527,15.436,15.476,16.197,16.492,16.567,16.479,16.15,15.958,15.957,16.18,16.581,17.168,17.44,17.688,17.839,17.716,17.827,17.752,18.039,18.263,18.158,18.329,18.004,17.339,17.42,17.965,18.538,18.944,19.556,19.485,19.446,20.025,19.779,19.705,19.278,19.401,19.911,20.295,20.754,21.177,21.403,21.631,21.636,21.896,22.247,22.762,22.956,23.615,23.868,24.205,24.2,24.933,25.329,25.84,26.576,27.329,27.415,27.581,27.693,27.88,27.812,28.001,28.219,28.903,29.461,29.646,29.772,30.291
"12","4","  Farm","B359RA3",19.804,16.604,21.266,16.032,17.509,22.571,21.876,22.891,20.158,20.439,20.55,20.135,22.517,22.312,20.285,20.495,18.785,20.05,21.329,20.606,20.223,21.292,22.37,21.096,22.29,23.407,21.923,21.64,23.386,23.488,22.946,22.584,22.601,24.377,24.574,22.984,22.722,23.595,23.455,24.761,21.871,22.188,22.488,24.224,24.456,24.803,23.171,21.602,23.575,22.794,22.6,24.429,22.417,23.528,25.692,26.968,26.355,24.936,24.381,23.829,24.115,24.787,24.085,24.606,26.626,25.377,24.434,24.25,23.139,23.878,24.755,25.705,26.054,25.047,26.659,26.012,26.549,25.166,23.394,25.017,26.661,27.197,27.277,26.947,26.263,25.904,25.928,26.191,26.717
"13","5","Households and institutions","B193RA3",9.878,9.93,10.037,10.192,10.39,10.574,10.744,10.895,11.026,11.19,11.384,11.606,11.855,12.092,12.316,12.527,12.717,12.913,13.105,13.292,13.497,13.691,13.893,14.109,14.316,14.531,14.727,14.906,15.089,15.306,15.571,15.886,16.245,16.577,16.88,17.157,17.401,17.643,17.875,18.1,18.325,18.559,18.812,19.084,19.364,19.641,19.902,20.151,20.364,20.679,21.028,21.428,21.77,22.139,22.44,22.759,22.956,22.982,23.213,23.686,23.984,24.296,24.653,25.02,25.157,25.342,25.627,25.834,26.084,26.45,26.687,26.971,27.26,27.617,28.083,28.485,28.719,28.866,29.321,29.624,29.819,30.129,30.508,30.925,31.286,31.69,32.088,32.421,32.806
"14","6","  Households","B701RA3",9.982,10.028,10.101,10.195,10.308,10.436,10.573,10.719,10.871,11.058,11.279,11.531,11.81,12.079,12.335,12.578,12.8,13.025,13.244,13.457,13.693,13.909,14.127,14.358,14.573,14.8,15.007,15.195,15.391,15.626,15.916,16.264,16.662,17.026,17.357,17.654,17.915,18.174,18.423,18.664,18.908,19.153,19.41,19.682,19.952,20.237,20.516,20.793,21.04,21.37,21.702,22.069,22.324,22.661,22.962,23.34,23.617,23.621,23.873,24.427,24.687,24.992,25.373,25.8,25.916,26.09,26.401,26.591,26.823,27.241,27.434,27.715,27.959,28.303,28.781,29.198,29.302,29.38,29.893,30.251,30.465,30.755,31.05,31.323,31.414,31.621,31.872,32.144,32.525
"15","7","  Nonprofit institutions serving households \3\","B702RA3",9.724,9.792,9.993,10.316,10.754,11.1,11.358,11.527,11.602,11.702,11.826,11.97,12.137,12.288,12.426,12.554,12.663,12.781,12.899,13.019,13.146,13.286,13.444,13.62,13.809,13.993,14.163,14.32,14.468,14.639,14.839,15.069,15.328,15.574,15.807,16.029,16.231,16.432,16.623,16.806,16.983,17.193,17.436,17.71,18.019,18.279,18.496,18.674,18.8,19.081,19.478,19.965,20.528,20.978,21.281,21.454,21.454,21.536,21.716,21.993,22.384,22.715,23.016,23.24,23.43,23.64,23.867,24.111,24.403,24.652,24.988,25.279,25.67,26.055,26.49,26.857,27.37,27.669,27.998,28.188,28.346,28.696,29.243,29.945,30.855,31.662,32.357,32.808,33.192
