"","Table 7#1# Selected Per Capita Product and Income Series in Curr","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"13","5","  Personal consumption expenditures","A794RC0",635,569,489,390,366,407,439,485,518,494,513,540,608,660,731,785,857,1021,1124,1194,1196,1267,1352,1399,1461,1478,1566,1615,1675,1701,1794,1836,1862,1947,2022,2144,2284,2446,2555,2780,2985
"14","6","    Goods","AGDSRC0",359,310,255,193,189,225,248,281,298,277,289,308,356,378,412,437,483,610,690,733,724,770,809,821,845,836,892,904,932,928,974,979,973,1013,1047,1106,1182,1270,1303,1418,1503
"15","7","      Durable goods","A795RC0",81,62,48,32,30,36,43,53,57,47,55,63,77,57,55,56,65,121,151,167,178,214,206,199,217,208,247,239,245,227,253,252,241,265,286,310,342,365,372,423,446
"16","8","      Nondurable goods","A796RC0",278,248,208,161,159,189,205,228,240,230,235,245,279,322,357,381,418,489,538,566,546,556,603,621,628,628,645,666,686,701,721,727,733,748,760,796,840,905,931,995,1057
"17","9","    Services","A797RC0",276,260,233,197,177,182,191,204,221,217,223,232,252,282,319,348,374,411,434,461,472,497,543,578,616,642,674,710,743,773,819,856,889,934,975,1038,1102,1176,1252,1362,1482
"18",NA,"Chained (2005) dollars:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","10","  Gross domestic product","A939RX0",8016,7247,6725,5809,5700,6280,6791,7629,7971,7638,8188,8832,10241,11999,13772,14705,14382,12676,12324,12646,12365,13225,14007,14296,14710,14363,15128,15157,15187,14802,15596,15661,15766,16466,16940,17675,18576,19559,19836,20590,21021
"20","11","  Gross national product","A791RX0",8085,7312,6778,5851,5736,6312,6828,7660,8013,7680,8233,8869,10290,12049,13818,14754,14424,12729,12394,12728,12439,13305,14105,14395,14803,14460,15235,15272,15305,14902,15697,15770,15884,16597,17078,17822,18727,19700,19980,20743,21168
"21","12","  Disposable personal income","A229RX0",6498,6016,5759,4961,4786,5220,5684,6359,6535,6118,6574,6953,7918,8808,9087,9301,9078,8907,8409,8709,8615,9240,9352,9491,9788,9748,10225,10535,10599,10526,10803,10865,11052,11413,11672,12342,12939,13465,13904,14392,14706
"22","13","  Personal consumption expenditures","A794RX0",6044,5659,5439,4920,4782,5092,5365,5873,6054,5910,6190,6457,6848,6614,6706,6814,7156,7963,7962,8002,8083,8460,8448,8567,8829,8857,9345,9450,9512,9437,9804,9871,9911,10243,10512,10985,11535,12050,12276,12856,13206
"23","14","    Goods","AGDSRX0",2205,2009,1921,1685,1663,1804,1938,2182,2233,2167,2298,2420,2588,2362,2307,2297,2427,2846,2873,2880,2916,3090,3002,3017,3122,3100,3326,3317,3314,3226,3371,3361,3328,3446,3532,3691,3903,4103,4138,4351,4440
"24","15","      Durable goods","A795RX0",283,232,199,150,145,165,199,241,252,208,244,277,316,199,176,160,176,315,362,379,403,481,433,417,458,448,534,505,501,455,500,500,475,521,561,605,672,719,722,794,816
"25","16","      Nondurable goods","A796RX0",2278,2136,2096,1899,1880,2021,2124,2351,2395,2410,2499,2585,2714,2693,2673,2696,2832,3055,2980,2950,2942,2990,2985,3044,3087,3081,3185,3239,3245,3234,3322,3310,3322,3372,3395,3506,3636,3795,3834,3957,4026
"26","17","    Services","A797RX0",3545,3434,3320,3100,2967,3093,3179,3353,3489,3434,3539,3645,3824,3991,4251,4435,4622,4782,4711,4753,4784,4912,5114,5253,5385,5476,5651,5819,5913,6004,6196,6309,6435,6636,6819,7126,7426,7705,7935,8275,8559
"27","18","Population (midperiod, thousands)","B230RC0",121878,123188,124149,124949,125690,126485,127362,128181,128961,129969,131028,132122,133402,134860,136739,138397,139928,141389,144126,146631,149188,151684,154287,156954,159565,162391,165275,168221,171274,174141,177130,180760,183742,186590,189300,191927,194347,196599,198752,200745,202736
