"","Table 1#3#6# Real Gross Value Added by Sector, Chained Dollars  ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92"
"1","[Billions of chained (2005) dollars]; Seasonally adjusted at annual rates                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Quarterly data from 1947 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published May 26, 2011      ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 5/25/2011 9:20:26 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1947,1947,1947,1947,1948,1948,1948,1948,1949,1949,1949,1949,1950,1950,1950,1950,1951,1951,1951,1951,1952,1952,1952,1952,1953,1953,1953,1953,1954,1954,1954,1954,1955,1955,1955,1955,1956,1956,1956,1956,1957,1957,1957,1957,1958,1958,1958,1958,1959,1959,1959,1959,1960,1960,1960,1960,1961,1961,1961,1961,1962,1962,1962,1962,1963,1963,1963,1963,1964,1964,1964,1964,1965,1965,1965,1965,1966,1966,1966,1966,1967,1967,1967,1967,1968,1968,1968,1968,1969
"8",NA,NA,NA,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1
"9","1","    Gross domestic product","A191RX1",1772.2,1769.5,1768,1794.8,1823.4,1856.9,1866.9,1869.8,1843.8,1837.1,1857.7,1840.3,1914.6,1972.9,2050.1,2086.2,2112.5,2147.6,2190.4,2194.1,2216.2,2218.6,2233.5,2307.2,2350.4,2368.2,2353.8,2316.5,2305.5,2308.4,2334.4,2381.2,2449.7,2490.3,2523.5,2537.6,2526.1,2545.9,2542.7,2584.3,2600.2,2593.9,2618.9,2591.3,2521.2,2536.6,2596.1,2656.6,2710.3,2778.8,2775.5,2785.2,2847.7,2834.4,2839,2802.6,2819.3,2872,2918.4,2977.8,3031.2,3064.7,3093,3100.6,3141.1,3180.4,3240.3,3265,3338.2,3376.6,3422.5,3432,3516.3,3564,3636.3,3724,3815.4,3828.1,3853.3,3884.5,3918.7,3919.6,3950.8,3981,4063,4132,4160.3,4178.3,4244.1
"10","2","Business \1\","A195RX1",1214,1218.9,1219.2,1243.3,1265.9,1294.6,1300.3,1300.4,1278.1,1271.4,1287.7,1274,1335.8,1379.7,1438.7,1454.2,1469.6,1484.1,1508.7,1508.3,1521.1,1518.4,1527.5,1587.4,1619.9,1631.9,1617.3,1585.6,1575,1575.4,1594,1629.8,1684.4,1716.6,1740.4,1748.7,1736.3,1749.8,1742.3,1773.7,1784.4,1775.6,1792.7,1768.7,1707.5,1716.4,1761.1,1809,1854.1,1908.6,1901.2,1904.1,1951.4,1932.1,1932.4,1896.5,1906.1,1949.2,1983.3,2024.4,2065,2088.5,2107.3,2109.6,2140.7,2169.5,2214.6,2232.2,2290.5,2316.7,2351.1,2353.7,2423.6,2457.4,2510.7,2577.6,2650,2653.1,2662.3,2678.6,2701.6,2696.9,2715,2734.4,2796.6,2847.8,2865.2,2877.9,2928.2
"11","3","  Nonfarm \2\","A358RX1",1167,1195.5,1165,1224.9,1238.2,1236.6,1247.2,1242,1233.7,1225.7,1242.4,1230.1,1282.4,1329,1401.9,1417,1444,1451.4,1470,1473.9,1489.6,1480.9,1484.7,1553.9,1582.1,1589.4,1581,1549.3,1531,1530.8,1552.3,1590.7,1647,1673.1,1696.9,1711.4,1699.6,1710.2,1703,1730.5,1752,1741.9,1758.4,1727.2,1663.4,1671.1,1723.4,1778.5,1817.4,1876.1,1869.3,1865.6,1921.1,1897.4,1890.4,1849.4,1861.2,1910.2,1946.9,1991,2031.6,2053.3,2075.1,2075.7,2100.6,2134.3,2183.7,2202.3,2265.5,2289.7,2322.1,2321.6,2391.9,2429.9,2478.9,2549.6,2621.8,2630,2646,2656.7,2674.7,2668.1,2686.3,2707.2,2772.8,2826.3,2844.1,2856.2,2905.9
"12","4","  Farm","B359RX1",20.2,16.9,21.7,16.4,17.9,23,22.3,23.4,20.6,20.9,21,20.5,23,22.8,20.7,20.9,19.2,20.5,21.8,21,20.6,21.7,22.8,21.5,22.7,23.9,22.4,22.1,23.9,24,23.4,23,23.1,24.9,25.1,23.4,23.2,24.1,23.9,25.3,22.3,22.6,22.9,24.7,25,25.3,23.6,22,24.1,23.3,23.1,24.9,22.9,24,26.2,27.5,26.9,25.4,24.9,24.3,24.6,25.3,24.6,25.1,27.2,25.9,24.9,24.7,23.6,24.4,25.3,26.2,26.6,25.6,27.2,26.5,27.1,25.7,23.9,25.5,27.2,27.7,27.8,27.5,26.8,26.4,26.5,26.7,27.3
"13","5","Households and institutions","A193RX1",148.8,149.6,151.2,153.5,156.5,159.3,161.8,164.1,166.1,168.6,171.5,174.8,178.6,182.2,185.5,188.7,191.6,194.5,197.4,200.2,203.3,206.3,209.3,212.5,215.7,218.9,221.9,224.5,227.3,230.6,234.6,239.3,244.7,249.7,254.3,258.5,262.1,265.8,269.3,272.7,276,279.6,283.4,287.5,291.7,295.9,299.8,303.6,306.8,311.5,316.8,322.8,327.9,333.5,338,342.8,345.8,346.2,349.7,356.8,361.3,366,371.4,376.9,379,381.8,386.1,389.2,392.9,398.5,402,406.3,410.6,416,423,429.1,432.6,434.9,441.7,446.3,449.2,453.9,459.6,465.9,471.3,477.4,483.4,488.4,494.2
"14","6","  Households","B701RX1",86.3,86.7,87.3,88.1,89.1,90.2,91.4,92.7,94,95.6,97.5,99.7,102.1,104.4,106.6,108.7,110.6,112.6,114.5,116.3,118.4,120.2,122.1,124.1,126,127.9,129.7,131.3,133,135.1,137.6,140.6,144,147.2,150,152.6,154.9,157.1,159.2,161.3,163.4,165.6,167.8,170.1,172.5,174.9,177.3,179.7,181.9,184.7,187.6,190.8,193,195.9,198.5,201.7,204.1,204.2,206.4,211.1,213.4,216,219.3,223,224,225.5,228.2,229.8,231.9,235.5,237.1,239.6,241.7,244.6,248.8,252.4,253.3,254,258.4,261.5,263.3,265.8,268.4,270.8,271.5,273.3,275.5,277.9,281.1
"15","7","  Nonprofit institutions serving households \3\","B702RX1",62.4,62.9,64.2,66.2,69,71.3,72.9,74,74.5,75.1,75.9,76.9,77.9,78.9,79.8,80.6,81.3,82.1,82.8,83.6,84.4,85.3,86.3,87.4,88.7,89.8,90.9,91.9,92.9,94,95.3,96.7,98.4,100,101.5,102.9,104.2,105.5,106.7,107.9,109,110.4,111.9,113.7,115.7,117.4,118.8,119.9,120.7,122.5,125.1,128.2,131.8,134.7,136.6,137.7,137.7,138.3,139.4,141.2,143.7,145.8,147.8,149.2,150.4,151.8,153.2,154.8,156.7,158.3,160.4,162.3,164.8,167.3,170.1,172.4,175.7,177.6,179.8,181,182,184.2,187.7,192.3,198.1,203.3,207.7,210.6,213.1
"16","8","General government \4\","A765RX1",495.2,474.4,467.9,458.3,456.7,449.5,453.1,456.3,455.6,455.1,452.8,445.5,439.8,446.8,455.8,491.6,505.4,542.5,569.2,574.7,585.6,594.4,598.7,597.9,602.6,605.6,607.8,605.2,604.3,604.6,606.9,608.5,607.9,604.9,608.9,612,613.1,616,623.1,627.3,629.1,632.7,637.2,632.7,631.3,635.5,643.6,646.7,643.6,645.8,649.2,653.5,660.3,671.1,673.2,677.4,684,688,696.2,708.7,714.4,719.8,724.7,726.3,732,739.5,748,751.8,757.8,765.5,772,778.2,779.3,788.1,798.9,810.7,821.2,834.6,851.7,868.2,878.3,882.8,894,899.8,912.3,922.8,929.7,929.7,937
