"","Table 2#3#3# Real Personal Consumption Expenditures by Major Typ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92"
"1","[Index numbers, 2005=100]; Seasonally adjusted                                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Quarterly data from 1947 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published May 26, 2011      ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 5/26/2011 1:24:08 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1947,1947,1947,1947,1948,1948,1948,1948,1949,1949,1949,1949,1950,1950,1950,1950,1951,1951,1951,1951,1952,1952,1952,1952,1953,1953,1953,1953,1954,1954,1954,1954,1955,1955,1955,1955,1956,1956,1956,1956,1957,1957,1957,1957,1958,1958,1958,1958,1959,1959,1959,1959,1960,1960,1960,1960,1961,1961,1961,1961,1962,1962,1962,1962,1963,1963,1963,1963,1964,1964,1964,1964,1965,1965,1965,1965,1966,1966,1966,1966,1967,1967,1967,1967,1968,1968,1968,1968,1969
"8",NA,NA,NA,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1
"9","1","    Personal consumption expenditures (PCE)","DPCERA3",12.83,13.043,13.085,13.089,13.154,13.307,13.327,13.433,13.454,13.66,13.691,13.891,14.122,14.355,15.091,14.637,14.991,14.568,14.737,14.823,14.856,15.148,15.222,15.759,15.947,16.043,16.006,15.9,15.958,16.166,16.385,16.729,17.105,17.432,17.648,17.869,17.899,17.958,17.999,18.247,18.373,18.405,18.551,18.561,18.308,18.459,18.761,19.009,19.361,19.659,19.864,19.886,20.076,20.331,20.25,20.276,20.271,20.572,20.672,21.086,21.31,21.572,21.747,22.056,22.204,22.417,22.722,22.911,23.364,23.775,24.212,24.28,24.819,25.093,25.525,26.242,26.629,26.698,27.004,27.116,27.274,27.646,27.788,27.959,28.627,29.066,29.613,29.748,30.081
"10","2","Goods","DGDSRA3",13.233,13.471,13.561,13.612,13.631,13.755,13.741,13.832,13.811,14.114,14.185,14.502,14.783,14.941,16.059,15.213,15.548,14.759,14.921,15.042,14.969,15.305,15.289,16.062,16.274,16.305,16.168,16.069,16.059,16.216,16.388,16.845,17.362,17.851,18.099,18.227,18.147,18.12,18.044,18.303,18.474,18.407,18.562,18.416,17.976,18.031,18.371,18.726,19.161,19.464,19.618,19.459,19.654,19.929,19.801,19.682,19.496,19.79,19.919,20.363,20.601,20.804,20.963,21.291,21.49,21.668,21.885,21.959,22.468,22.94,23.476,23.304,24.063,24.237,24.733,25.686,26.169,26.038,26.413,26.358,26.426,26.887,26.807,26.913,27.77,28.185,28.876,28.828,29.215
"11","3","  Durable goods","DDURRA3",4.542,4.637,4.702,5.008,4.982,5.016,5.1,5.028,4.936,5.364,5.62,5.844,6.067,6.119,7.569,6.633,6.842,5.861,5.754,5.736,5.769,5.881,5.532,6.486,6.704,6.665,6.623,6.438,6.238,6.54,6.568,6.972,7.598,8.01,8.27,8.052,7.684,7.694,7.559,7.802,7.944,7.757,7.704,7.614,7.107,6.999,7.144,7.406,7.807,8.101,8.258,7.864,8.116,8.301,8.235,8.028,7.587,7.745,7.934,8.318,8.498,8.726,8.79,9.177,9.36,9.561,9.679,9.832,10.215,10.481,10.827,10.495,11.471,11.49,11.882,12.383,12.972,12.455,12.863,12.858,12.615,13.157,13.052,13.085,13.898,14.194,14.833,14.745,15.023
"12","4","    Motor vehicles and parts","DMOTRA3",6.944,7.068,6.686,7.613,8.117,7.659,7.877,8.338,8.671,10.532,10.882,10.922,11.72,12.271,15.066,13.966,13.429,11.278,10.364,9.671,9.789,10.203,8.346,11.947,13.035,12.744,12.613,11.698,10.953,12.154,11.74,12.921,15.227,16.735,17.329,16.113,14.298,13.773,13.317,14.281,15.248,14.621,14.182,14.218,11.991,11.821,11.83,12.604,13.896,14.753,15.338,13.506,14.917,15.482,15.77,14.892,12.968,13.325,13.726,14.931,15.632,16.241,16.012,17.365,17.885,18.364,18.391,18.757,19.214,19.423,20.342,18.496,22.339,21.894,22.629,22.886,24.306,21.908,22.563,22.443,21.323,23.225,22.549,21.915,24.746,25.159,26.686,26.353,27.029
"13","5","    Furnishings and durable household equipment","DFDHRA3",8.575,8.834,9.253,9.708,9.306,9.806,9.993,9.382,8.663,8.885,9.649,10.439,10.251,9.905,12.862,10.361,11.615,9.641,9.834,10.158,10.08,10.074,10.189,10.736,10.491,10.615,10.598,10.625,10.408,10.386,10.539,10.994,11.599,11.747,12.183,12.171,12.327,12.712,12.477,12.509,12.39,12.369,12.301,12.014,12.015,11.815,12.222,12.41,12.647,12.922,12.987,13.055,12.837,12.952,12.562,12.501,12.484,12.652,12.88,13.15,13.192,13.352,13.691,13.794,14.043,14.186,14.558,14.789,15.485,16.003,16.185,16.43,16.439,16.658,17.156,18.047,18.343,18.303,18.873,18.719,18.784,18.974,18.994,19.176,19.497,19.95,20.603,20.445,20.595
"14","6","    Recreational goods and vehicles","DREQRA3",0.577,0.591,0.616,0.63,0.599,0.609,0.604,0.574,0.586,0.581,0.602,0.631,0.716,0.715,0.877,0.765,0.789,0.712,0.736,0.769,0.792,0.803,0.816,0.861,0.901,0.902,0.898,0.902,0.919,0.946,0.986,1.026,1.049,1.082,1.111,1.13,1.128,1.156,1.155,1.167,1.143,1.117,1.136,1.106,1.109,1.087,1.125,1.158,1.228,1.251,1.254,1.259,1.242,1.259,1.222,1.232,1.238,1.273,1.308,1.331,1.325,1.351,1.394,1.426,1.445,1.496,1.516,1.542,1.646,1.742,1.799,1.853,1.892,1.99,2.071,2.257,2.371,2.457,2.596,2.682,2.686,2.715,2.784,2.924,2.98,3.01,3.149,3.165,3.24
"15","7","    Other durable goods","DODGRA3",7.065,7.031,7.261,7.288,7.27,7.289,7.319,7.342,7.158,7.124,7.053,7.193,7.221,7.342,7.793,7.508,7.678,7.557,7.682,7.923,7.977,8.169,8.339,8.63,8.641,8.553,8.45,8.392,8.271,8.648,9.123,9.309,9.057,9.403,9.444,9.785,9.608,9.743,9.947,10.142,9.873,9.621,10.177,10.098,9.914,9.853,10.116,10.314,10.161,10.354,10.397,10.574,10.4,10.579,10.411,10.397,10.37,10.491,10.702,11.067,11.252,11.636,11.701,11.981,11.854,12.027,12.225,12.133,12.594,12.887,13.451,13.471,13.961,13.834,14.416,15.579,16.833,16.531,16.671,16.438,16.413,16.876,16.721,17.049,17.465,18.479,18.755,18.91,19.24
