"","Table 5#5#2# Contributions to Percent Change in Real Private Fix","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"1","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1969 To 2009",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 05, 2010   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 5/25/2011 8:51:29 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
"8",NA,"Percent change at annual rate:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","1","      Private fixed investment in equipment and software","A327RL1",8.9,-0.8,1.2,13,18.2,2.5,-9.5,6.2,15,15.1,8.7,-3.5,4.2,-5.2,5.5,19.7,6.4,2,1.4,7.5,7.2,0,-2.6,7.2,12.3,11.8,11.8,10.5,13.6,14.4,14.1,10.4,-3.2,-4.1,2.6,7.8,8.5,7.4,3.6,-2.4,-15.2
"10",NA,"Percentage points at annual rates:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2","Nonresidential equipment and software","B010RW2",8.72,-0.98,0.98,12.68,18,2.51,-9.36,6.14,14.82,14.99,8.61,-3.55,4.19,-5.13,5.3,19.52,6.26,1.87,1.35,7.42,7.21,0.03,-2.53,7.19,12.32,11.78,11.83,10.52,13.62,14.38,14.02,10.38,-3.2,-4.18,2.52,7.67,8.44,7.36,3.65,-2.41,-15.18
"12","3","  Information processing equipment and software","A679RW2",4.21,2.72,1.55,3.47,4.14,3.33,-0.08,3.34,5.23,7.07,5.22,4.33,4.62,2.29,5.68,9.92,4.27,3.09,2.4,4.4,5.47,2.16,2.08,6.58,5.84,5.45,7.29,8.33,10.05,10.13,10.19,8.49,-0.21,-1.37,3.29,4.63,3.53,3.89,4.1,2.88,0.09
"13","4","    Computers, software, and communication","W175RW2",3.21,2.35,1.08,2,2.33,1.79,0.11,2.37,4.29,5.18,4.6,4.04,3.87,2.2,4.5,8.1,4.29,2.77,3.27,4.18,4.48,2.01,1.81,5.94,4.8,5.29,7.26,7.82,9.83,9.37,10.31,8.03,-0.42,-1.8,2.52,4.03,2.57,3.51,3.62,2.49,0.32
"14","5","      Computers and peripheral equipment","B935RW2",1.19,0.81,1.15,1.89,0.31,1.07,0.01,1.32,1.51,3.04,2.2,2.31,2.78,1.44,3.57,5.16,2.37,1.39,2.28,1.37,2.04,-0.11,0.74,3.09,2.59,2.22,4.46,4.29,4.49,4.57,4.22,2.22,0.25,0.44,0.8,0.99,0.96,1.71,1.05,0.99,-0.12
"15","6","      Software \1\","B985RW2",0.74,0.72,0.21,0.57,0.46,0.54,0.58,0.35,0.17,0.62,0.81,0.65,0.68,0.71,0.99,1.61,1.2,0.82,1.02,1.55,2.48,1.74,1.47,2.16,1.54,1.26,1.24,2.12,3.83,3.1,3.78,2.53,0.14,-0.03,1.5,2.25,1.45,0.91,1.29,1.27,0.41
"16","7","      Communication equipment \2\","C275RW2",1.28,0.82,-0.27,-0.45,1.56,0.18,-0.48,0.69,2.62,1.52,1.59,1.08,0.41,0.05,-0.06,1.33,0.72,0.57,-0.03,1.25,-0.03,0.38,-0.4,0.69,0.68,1.82,1.56,1.42,1.51,1.7,2.31,3.28,-0.81,-2.21,0.22,0.78,0.16,0.89,1.29,0.23,0.03
"17","8","    Medical equipment and instruments","W176RW2",0.31,0.19,0.29,0.19,0.33,0.26,0.02,0.27,0.1,0.29,0,-0.04,0.26,0.59,0.24,0.28,0.08,0.07,0.23,0.24,0.17,0.36,0.24,0.38,0.41,-0.18,0.03,0.31,0.46,0.58,0.27,0.37,0.33,0.56,0.38,0.4,0.81,0.21,0.67,0.45,-0.03
"18","9","    Nonmedical instruments","W177RW2",0.06,0.09,-0.08,0.32,0.16,0.33,-0.13,0.11,0.94,0.23,0.05,0.07,0.1,0.06,-0.05,0.53,0.1,0.01,-0.02,0.01,0.56,0.17,0.03,0.11,-0.01,0.13,0.24,0.1,-0.25,0.04,0,0.12,0.08,0.02,-0.04,0.22,0.15,0.17,0.03,-0.01,-0.12
"19","10","    Photocopy and related equipment","C285RW2",0.3,0.35,0.44,0.67,0.65,0.38,0.27,0.23,-0.11,0.45,0.02,0.06,0.26,0.02,-0.09,0.64,-0.15,0,0.01,0.2,0.15,-0.12,0.08,0.04,0.54,0.21,-0.25,0.07,0.02,0.22,-0.21,-0.05,-0.3,-0.19,0.08,-0.04,-0.03,-0.03,0.19,-0.03,-0.05
"20","11","    Office and accounting equipment","B936RW2",0.33,-0.27,-0.17,0.29,0.67,0.56,-0.36,0.36,0.01,0.91,0.56,0.2,0.14,-0.58,1.1,0.38,-0.05,0.24,-1.09,-0.22,0.11,-0.26,-0.08,0.11,0.09,-0.01,0.01,0.02,-0.01,-0.09,-0.18,0.02,0.1,0.04,0.35,0.02,0.02,0.04,-0.42,-0.01,-0.04
"21","12","  Industrial equipment","A680RW2",1.9,0.4,-2.38,2.1,4.72,2.02,-4.34,0.14,1.61,2.87,1.82,-1.12,-0.42,-2.22,-1.98,3.21,1,-0.1,-0.55,1.1,1.53,-1.31,-1.4,0.39,1.79,1.86,2.05,0.8,0.46,0.86,0.12,1.48,-1.27,-1.14,-0.03,-0.47,1.3,1.34,0.68,-0.74,-4.16
"22","13","    Fabricated metal products","C263RW2",0.59,0.51,0.07,0.13,0.72,0.35,-0.1,0.39,-0.32,0.07,0.44,-0.32,-0.03,-0.39,-0.24,-0.16,-0.04,-0.17,-0.23,0.09,0.15,-0.01,0.01,0.02,-0.04,0.13,0.06,0.15,-0.25,0.06,0.09,0.06,-0.02,-0.15,0.08,-0.02,0.07,0.15,0.06,0,-0.1
"23","14","    Engines and turbines","A668RW2",0.19,0.09,0.12,0.25,-0.06,0.03,-0.32,-0.21,-0.15,-0.05,-0.03,-0.14,0.09,-0.14,-0.1,0.06,0.08,-0.1,0.17,0.04,0.08,-0.11,0.13,-0.05,-0.03,0.05,-0.13,0.1,-0.05,0.09,0.13,0.18,0.39,0.08,-0.19,-0.62,0.08,0.12,0.29,0.05,-0.25
