"","Table 4#2#3# Real Exports and Imports of Goods and Services by T","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45"
"1","[Index numbers, 2005=100]                                                                                                                                                                                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1969 To 2010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published May 26, 2011      ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 5/25/2011 8:48:42 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
"8","1","    Exports of goods and services","B020RA3",12.14,13.445,13.674,14.7,17.471,18.852,18.732,19.55,20.021,22.132,24.326,26.946,27.277,25.193,24.543,26.546,27.352,29.451,32.619,37.844,42.193,45.989,49.042,52.41,54.127,58.847,64.805,70.186,78.55,80.343,83.849,91.054,85.946,84.224,85.574,93.698,100,108.962,119.106,126.255,114.228,127.623
"9","2","Exports of goods \1\","B253RA3",11.274,12.56,12.511,13.856,17.038,18.391,17.964,18.817,19.063,21.193,23.697,26.521,26.234,23.863,23.177,25.009,25.931,27.263,30.286,35.992,40.281,43.671,46.685,50.177,51.812,56.853,63.505,69.106,79.042,80.805,83.88,93.182,87.414,84.268,85.773,93.025,100,109.416,120.087,127.649,112.377,128.855
"10","3","  Foods, feeds, and beverages","B638RA3",25.134,30.328,29.53,34.853,45.124,40.438,42.778,48.542,48.5,59.92,63.562,71.654,73.157,68.733,65.704,63.931,55.325,57.077,61.093,67.13,69.832,72.038,73.419,83.217,82.796,83.659,92.414,90.942,91.509,90.576,93.223,98.653,101.354,99.309,101.002,94.743,100,107.954,117.344,125.356,119.593,128.981
"11","4","  Industrial supplies and materials","B639RA3",25.508,28.559,25.819,27.501,33.834,34.817,30.457,32.895,33.172,36.659,41.978,47.644,44.437,43.092,41.001,43.098,43.346,45.281,46.41,52.324,58.186,61.618,65.804,67.034,65.254,68.641,74.049,77.805,84.587,83.657,84.386,92.66,88.954,89.217,91.484,97.422,100,107.514,118.318,131.222,122.237,140.828
"12","5","    Durable goods","B686RA3",29.881,33.988,25.6,27.184,36.901,35.281,29.481,31.283,30.19,36.48,42.817,50.869,41.144,35.94,35.598,36.069,35.784,36.943,40.247,49.032,55.378,59.681,62.562,61.099,58.757,62.263,70.178,74.389,81.21,82.574,85.319,98.026,89.451,83.643,85.802,92.973,100,109.527,115.738,127.917,110.948,129.181
"13","6","    Nondurable goods","B687RA3",23.501,26.034,26.225,27.979,32.6,34.956,31.303,34.101,35.099,37.155,41.998,46.473,46.654,47.319,44.287,47.26,47.793,50.17,50.054,54.351,59.947,62.886,67.834,70.692,69.29,72.583,76.429,79.914,86.674,84.346,83.843,89.539,88.613,92.42,94.749,99.974,100,106.346,119.851,133.159,128.53,147.321
"14","7","  Capital goods, except automotive","B640RA3",4.3,4.812,5.025,5.501,6.986,8.722,8.857,8.737,8.595,9.811,11.782,13.75,13.804,12.206,11.77,13.038,14.327,15.632,18.051,22.951,26.62,30.796,33.704,36.913,39.334,45.385,54.081,62.679,76.834,80.1,84.531,97.411,87.781,80.163,82.046,91.673,100,111.911,120.965,128.51,109.611,125.208
"15","8","    Civilian aircraft, engines, and parts","B688RA3",13.482,15.445,18.556,15.93,21.095,27.717,24.573,21.939,17.21,41.86,55.07,65.423,59.026,39.104,41.134,36.502,47.447,53.317,57.714,72.483,87.989,99.788,104.739,104.631,88.5,82.505,66.239,75.07,97.496,124.631,120.505,104.423,108.097,100.829,90.365,86.082,100,110.852,120.076,116.078,111.788,105.214
"16","9","    Computers, peripherals, and parts","B850RA3",0.021,0.037,0.044,0.054,0.077,0.125,0.138,0.185,0.27,0.419,0.648,1.101,1.365,1.522,2.22,3.544,4.392,5.468,7.7,10.504,11.573,13.987,16.361,19.759,23.109,28.756,38.423,50.472,66.24,69.093,78.682,98.356,86.997,75.178,79.732,86.739,100,109.416,113.28,119.162,109.844,131.185
"17","10","    Other","B689RA3",7.608,8.154,8.237,9.214,11.515,13.936,14.281,13.905,13.485,13.476,15.368,16.944,16.929,15.304,13.387,14.182,14.516,15.108,16.698,20.821,24.194,27.832,30.355,33.467,37.381,44.645,55.745,62.919,75.053,74.617,79.188,95.399,83.808,76.999,80.782,93.787,100,112.574,122.432,133.036,109.055,129.792
"18","11","  Automotive vehicles, engines, and parts","B641RA3",19.444,18.995,21.532,24.164,28.373,31.645,33.321,34.837,35.094,36.028,36.255,30.533,30.183,24.734,25.59,30.195,32.861,32.317,34.834,41.345,42.502,42.562,45.645,52.624,57.373,63.42,66.844,69.312,78.456,77.388,79.827,84.534,79.086,82.347,83.518,91.682,100,107.687,120.353,119.084,79.703,108.603
"19","12","  Consumer goods, except automotive","B642RA3",7.171,7.601,7.624,8.914,10.867,13.523,12.46,14.052,15.202,17.552,18.453,22.363,21.437,19.296,17.647,17.558,17.04,18.847,22.17,28.322,36.313,42.604,44.143,47.538,49.943,54.568,57.842,61.689,68.043,70.103,71.722,78.892,78.248,75.111,79.6,90.546,100,110.556,122.448,132.475,122.962,134.341
"20","13","    Durable goods","B690RA3",7.368,7.135,6.843,8.774,10.718,13.961,12.144,14.205,14.781,18.235,18.412,22.047,19.239,16.206,13.843,13.889,13.358,15.172,18.517,25.13,35.384,41.399,41.678,44.662,47.612,51.016,54.244,57.736,64.58,66.785,68.891,76.442,75.817,72.011,75.204,87.72,100,113.455,130.645,140.481,116.895,137.198
"21","14","    Nondurable goods","B691RA3",7.008,7.978,8.278,8.96,10.901,12.937,12.613,13.741,15.41,16.68,18.32,22.511,23.97,23.021,22.359,22.092,21.596,23.38,26.651,32.193,37.302,43.908,47.009,50.893,52.644,58.712,62.036,66.297,72.073,73.963,75.013,81.737,81.071,78.728,84.751,93.848,100,107.185,113.004,123.231,129.674,131.182
"22","15","  Other","B643RA3",26.559,30.531,31.544,35.187,36.111,35.365,35.003,33.006,38.576,31.052,30.833,33.952,40.439,34.335,39.58,49.856,58.335,57.294,70.896,76.66,77.995,69.222,72.207,70.504,68.711,70.512,72.158,76.645,84.452,92.682,98.815,100.872,96.296,102.157,89.967,89.746,100,102.815,119.09,108.907,104.532,113.075
"23","16","Exports of services \1\","B646RA3",14.442,15.729,16.942,16.835,18.025,19.432,20.626,21.236,22.606,24.496,25.25,26.826,29.683,28.86,28.38,30.911,31.279,35.82,39.39,42.939,47.375,52.372,55.505,58.496,60.437,64.275,68.316,73.101,77.436,79.303,83.857,86.102,82.534,84.115,85.107,95.237,100,107.935,116.885,123.095,118.303,124.988
"24","17","  Transfers under U.S. military agency sales contracts","B267RA3",67.202,71.487,85.484,69.764,61.456,56.556,64.105,55.399,67.699,69.359,55.513,66.019,72.21,78.609,76.256,59.161,52.591,54.955,75.177,64.314,58.426,65.492,68.533,74.824,77.494,71.646,79.617,89.641,94.039,99.647,86.912,73.924,69.168,66.357,72.804,84.485,100,121.974,82.982,68.519,79.562,85.597
"25","18","  Travel","B493RA3",12.393,13.366,13.953,14.986,17.218,18.735,20.257,23.078,23.128,24.845,26.634,29.75,32.84,29.276,24.721,36.868,36.503,40.726,44.944,54.219,64.805,73.099,77.451,85.922,90.128,90.572,97.107,104.436,107.423,103.167,105.368,110.858,96.203,89.855,85.094,95.219,100,100.49,109.526,118.892,105.933,113.809
