"","Table 2#8#3# Real Personal Consumption Expenditures by Major Typ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135"
"1","[Index numbers, 2005=100; seasonally adjusted]                                                                                                                                                                                                            ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Monthly data from 1959 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published May 27, 2011      ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 5/26/2011 1:26:17 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1959,1959,1959,1959,1959,1959,1959,1959,1959,1959,1959,1959,1960,1960,1960,1960,1960,1960,1960,1960,1960,1960,1960,1960,1961,1961,1961,1961,1961,1961,1961,1961,1961,1961,1961,1961,1962,1962,1962,1962,1962,1962,1962,1962,1962,1962,1962,1962,1963,1963,1963,1963,1963,1963,1963,1963,1963,1963,1963,1963,1964,1964,1964,1964,1964,1964,1964,1964,1964,1964,1964,1964,1965,1965,1965,1965,1965,1965,1965,1965,1965,1965,1965,1965,1966,1966,1966,1966,1966,1966,1966,1966,1966,1966,1966,1966,1967,1967,1967,1967,1967,1967,1967,1967,1967,1967,1967,1967,1968,1968,1968,1968,1968,1968,1968,1968,1968,1968,1968,1968,1969,1969,1969,1969,1969,1969,1969,1969,1969,1969,1969,1969
"8",NA,NA,NA,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12
"9","1","    Personal consumption expenditures (PCE)","DPCERA3",19.167,19.366,19.55,19.479,19.713,19.785,19.718,19.837,20.035,19.899,19.89,19.868,19.924,20.011,20.295,20.609,20.194,20.189,20.23,20.211,20.308,20.407,20.336,20.087,20.138,20.212,20.463,20.473,20.597,20.647,20.585,20.658,20.773,20.903,21.105,21.251,21.257,21.248,21.425,21.499,21.663,21.555,21.625,21.686,21.93,21.823,22.111,22.233,22.222,22.139,22.252,22.334,22.35,22.566,22.682,22.763,22.721,22.708,22.877,23.15,23.227,23.391,23.473,23.514,23.838,23.974,24.15,24.294,24.192,24.349,24.128,24.361,24.533,24.924,25.001,25.179,25.155,24.947,25.259,25.445,25.87,26.231,26.22,26.275,26.442,26.619,26.827,26.841,26.592,26.662,26.893,26.935,27.183,27.063,27.12,27.165,27.293,27.194,27.336,27.594,27.592,27.754,27.656,27.739,27.97,27.709,27.898,28.27,28.449,28.477,28.954,28.849,29.049,29.299,29.572,29.653,29.613,29.662,29.827,29.755,29.997,30.189,30.057,30.178,30.379,30.263,30.223,30.499,30.538,30.695,30.66,30.632
"10","2","Goods","DGDSRA3",18.904,19.142,19.436,19.255,19.561,19.577,19.432,19.581,19.842,19.557,19.48,19.34,19.415,19.549,19.999,20.457,19.659,19.672,19.767,19.75,19.885,19.977,19.767,19.303,19.301,19.435,19.751,19.679,19.806,19.886,19.805,19.918,20.035,20.13,20.386,20.571,20.562,20.497,20.744,20.745,20.943,20.724,20.811,20.867,21.212,20.945,21.36,21.568,21.578,21.382,21.51,21.562,21.591,21.849,21.929,21.937,21.789,21.675,21.917,22.286,22.311,22.538,22.554,22.564,23.074,23.184,23.444,23.653,23.329,23.547,23.014,23.35,23.594,24.259,24.335,24.505,24.349,23.856,24.327,24.589,25.281,25.794,25.633,25.631,25.911,26.17,26.426,26.374,25.831,25.909,26.233,26.314,26.693,26.417,26.363,26.293,26.47,26.327,26.482,26.884,26.797,26.98,26.655,26.688,27.077,26.541,26.817,27.381,27.513,27.561,28.237,27.903,28.216,28.437,28.896,28.963,28.768,28.773,28.962,28.75,29.151,29.359,29.135,29.21,29.398,29.1,29.039,29.434,29.39,29.527,29.333,29.32
"11","3","  Durable goods","DDURRA3",7.571,7.909,7.942,8.044,8.083,8.176,8.072,8.249,8.453,7.992,7.971,7.628,7.719,8.156,8.474,8.772,8.168,7.963,8.032,8.194,8.479,8.402,8.057,7.625,7.476,7.53,7.755,7.656,7.767,7.811,7.872,7.94,7.989,8.107,8.338,8.509,8.481,8.442,8.572,8.627,8.827,8.724,8.721,8.691,8.956,8.73,9.271,9.53,9.462,9.325,9.293,9.454,9.49,9.738,9.83,9.588,9.619,9.545,9.815,10.135,10.214,10.282,10.148,10.24,10.518,10.686,10.861,10.965,10.656,10.84,10.409,10.235,10.777,11.553,12.084,11.913,11.515,11.041,11.319,11.753,12.574,12.476,12.401,12.273,12.625,12.951,13.34,12.951,12.273,12.139,12.382,12.852,13.355,13.021,12.811,12.743,12.844,12.401,12.599,13.153,13.06,13.257,13.052,12.866,13.236,12.837,12.973,13.444,13.734,13.662,14.298,13.939,14.352,14.291,14.781,14.853,14.865,14.824,14.655,14.757,15.106,15.153,14.81,14.992,14.996,14.96,14.631,14.938,15.251,14.997,14.843,14.808
