"","Table 1#2#4# Price Indexes for Gross Domestic Product by Major T","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92"
"1","[Index numbers, 2005=100]; Seasonally adjusted                                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Quarterly data from 1947 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published May 26, 2011      ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 5/25/2011 9:20:09 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1947,1947,1947,1947,1948,1948,1948,1948,1949,1949,1949,1949,1950,1950,1950,1950,1951,1951,1951,1951,1952,1952,1952,1952,1953,1953,1953,1953,1954,1954,1954,1954,1955,1955,1955,1955,1956,1956,1956,1956,1957,1957,1957,1957,1958,1958,1958,1958,1959,1959,1959,1959,1960,1960,1960,1960,1961,1961,1961,1961,1962,1962,1962,1962,1963,1963,1963,1963,1964,1964,1964,1964,1965,1965,1965,1965,1966,1966,1966,1966,1967,1967,1967,1967,1968,1968,1968,1968,1969
"8",NA,NA,NA,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1
"9","1","    Gross domestic product","B191RG3",13.4,13.595,13.823,14.106,14.264,14.422,14.679,14.676,14.634,14.541,14.419,14.416,14.362,14.421,14.714,14.964,15.48,15.568,15.619,15.821,15.838,15.905,16.025,16.081,16.096,16.133,16.187,16.241,16.309,16.334,16.324,16.343,16.407,16.497,16.617,16.727,16.891,17.05,17.244,17.348,17.55,17.671,17.809,17.904,18.056,18.134,18.179,18.199,18.267,18.309,18.369,18.446,18.483,18.561,18.646,18.726,18.75,18.786,18.835,18.884,18.992,19.04,19.091,19.159,19.213,19.232,19.266,19.382,19.452,19.518,19.614,19.704,19.788,19.876,19.963,20.086,20.209,20.401,20.591,20.772,20.874,21.002,21.194,21.426,21.658,21.9,22.111,22.418,22.644
"10","2","       Final sales of domestic product","B190RG3",13.253,13.444,13.654,13.951,14.1,14.256,14.515,14.524,14.488,14.398,14.277,14.275,14.225,14.285,14.576,14.812,15.313,15.396,15.455,15.659,15.679,15.749,15.87,15.934,15.954,15.993,16.049,16.103,16.168,16.194,16.185,16.205,16.27,16.361,16.479,16.587,16.748,16.906,17.097,17.2,17.401,17.522,17.661,17.758,17.909,17.985,18.03,18.048,18.12,18.16,18.219,18.295,18.333,18.412,18.498,18.577,18.6,18.636,18.684,18.733,18.842,18.89,18.941,19.009,19.063,19.084,19.118,19.233,19.303,19.37,19.466,19.556,19.641,19.729,19.816,19.938,20.062,20.254,20.444,20.625,20.726,20.856,21.05,21.282,21.515,21.757,21.97,22.277,22.503
"11","3","       Change in private inventories","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","4","Goods","A353RG3",29.425,30.026,30.704,31.339,31.669,32.019,32.558,32.359,32.012,31.652,31.283,31.038,30.819,30.987,31.661,32.365,33.581,33.854,33.82,34.232,34.34,34.215,34.334,34.265,34.185,34.097,34.094,34.066,34.252,34.187,33.967,33.855,33.867,33.893,34.097,34.258,34.512,34.817,35.279,35.53,35.946,36.175,36.469,36.674,37.164,37.223,37.175,37.079,37.329,37.372,37.491,37.583,37.524,37.694,37.756,37.866,37.943,37.866,37.924,37.908,38.006,38.039,38.117,38.219,38.223,38.202,38.329,38.398,38.517,38.496,38.582,38.681,38.823,39.003,39.068,39.002,39.332,39.574,39.838,40.134,40.242,40.355,40.712,41.028,41.337,41.751,42.038,42.455,42.754
"13","5","    Final sales","A325RG3",28.904,29.488,30.086,30.783,31.078,31.422,31.974,31.827,31.502,31.16,30.794,30.558,30.351,30.526,31.191,31.843,33.005,33.253,33.25,33.673,33.793,33.683,33.811,33.773,33.719,33.643,33.645,33.622,33.794,33.733,33.525,33.421,33.439,33.467,33.668,33.819,34.06,34.361,34.815,35.064,35.475,35.708,36.008,36.221,36.706,36.76,36.713,36.61,36.874,36.909,37.024,37.114,37.056,37.234,37.3,37.408,37.478,37.406,37.461,37.443,37.542,37.578,37.655,37.759,37.765,37.751,37.879,37.945,38.064,38.048,38.132,38.234,38.379,38.56,38.626,38.554,38.885,39.129,39.393,39.687,39.791,39.91,40.279,40.595,40.911,41.329,41.623,42.042,42.341
"14","6","    Change in private inventories","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","7","  Durable goods","A354RG3",37.653,39.166,39.957,40.262,40.341,41.041,42.447,42.72,42.624,42.347,42.001,41.811,41.765,42.206,42.82,43.765,45.185,45.434,45.37,46.107,46.336,46.133,46.428,45.871,45.954,46.024,46,46.112,46.578,46.266,45.609,45.659,45.634,45.92,46.478,47.076,47.669,48.059,49.017,49.371,50.304,50.595,50.87,51.279,51.715,51.634,51.616,51.882,52.205,52.407,52.517,52.564,52.45,52.49,52.479,52.415,52.48,52.685,52.757,52.78,52.767,52.728,52.878,52.824,52.756,52.834,52.796,52.907,52.95,52.977,52.991,52.982,53.136,53.073,52.951,52.668,52.733,52.972,53.174,53.595,53.708,53.965,54.455,54.975,55.222,55.855,56.177,56.781,57.12
"16","8","    Final sales","A326RG3",38.183,39.717,40.516,40.814,40.885,41.599,43.03,43.296,43.211,42.94,42.573,42.377,42.33,42.803,43.427,44.333,45.734,45.927,45.866,46.662,46.893,46.688,46.982,46.404,46.487,46.549,46.514,46.633,47.086,46.785,46.155,46.207,46.169,46.454,47.012,47.6,48.194,48.583,49.556,49.913,50.864,51.161,51.444,51.858,52.287,52.208,52.19,52.456,52.824,53.028,53.143,53.192,53.063,53.103,53.096,53.041,53.106,53.304,53.379,53.405,53.397,53.359,53.515,53.459,53.39,53.472,53.436,53.547,53.59,53.613,53.629,53.616,53.778,53.707,53.572,53.27,53.333,53.582,53.787,54.221,54.325,54.599,55.106,55.631,55.881,56.539,56.863,57.474,57.814
