"","Table 1#7#6# Relation of Real Gross Domestic Product, Real Gross","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92"
"1","[Billions of chained (2005) dollars]; Seasonally adjusted at annual rates                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Quarterly data from 1947 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published May 26, 2011      ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 5/25/2011 9:22:03 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1947,1947,1947,1947,1948,1948,1948,1948,1949,1949,1949,1949,1950,1950,1950,1950,1951,1951,1951,1951,1952,1952,1952,1952,1953,1953,1953,1953,1954,1954,1954,1954,1955,1955,1955,1955,1956,1956,1956,1956,1957,1957,1957,1957,1958,1958,1958,1958,1959,1959,1959,1959,1960,1960,1960,1960,1961,1961,1961,1961,1962,1962,1962,1962,1963,1963,1963,1963,1964,1964,1964,1964,1965,1965,1965,1965,1966,1966,1966,1966,1967,1967,1967,1967,1968,1968,1968,1968,1969
"8",NA,NA,NA,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1
"9","1","Gross domestic product","A191RX1",1772.2,1769.5,1768,1794.8,1823.4,1856.9,1866.9,1869.8,1843.8,1837.1,1857.7,1840.3,1914.6,1972.9,2050.1,2086.2,2112.5,2147.6,2190.4,2194.1,2216.2,2218.6,2233.5,2307.2,2350.4,2368.2,2353.8,2316.5,2305.5,2308.4,2334.4,2381.2,2449.7,2490.3,2523.5,2537.6,2526.1,2545.9,2542.7,2584.3,2600.2,2593.9,2618.9,2591.3,2521.2,2536.6,2596.1,2656.6,2710.3,2778.8,2775.5,2785.2,2847.7,2834.4,2839,2802.6,2819.3,2872,2918.4,2977.8,3031.2,3064.7,3093,3100.6,3141.1,3180.4,3240.3,3265,3338.2,3376.6,3422.5,3432,3516.3,3564,3636.3,3724,3815.4,3828.1,3853.3,3884.5,3918.7,3919.6,3950.8,3981,4063,4132,4160.3,4178.3,4244.1
"10","2","Plus: Income receipts from the rest of the world","A645RX1",12.7,13.1,12.9,14.2,15,15.6,16.5,15.9,16,15.5,15.2,14.2,15.1,15.9,18.2,18.2,17.9,20.4,20.9,21.8,20.6,21.1,20.8,20.7,20.3,21.2,19.6,20,21,20.9,21,23,23.5,23.8,24.1,24.5,26.6,26.2,27,24.5,27.8,29.4,28.6,24,24.7,24.4,24.1,24.2,24.4,24.8,26.7,28.4,28.7,28.8,29.5,30.4,31.8,30.6,31.5,32.3,31.5,33.9,34.2,38.1,36.9,36.4,37.4,38.6,41.3,40.4,41.2,39.8,43.7,44.9,43,40.7,41.8,42.1,42.5,44.2,43.8,43,45.7,45.6,47.4,49.2,50.6,50.5,52.8
"11","3","Less: Income payments to the rest of the world","A655RX1",3.8,3.7,3.6,4.2,4,4,4.7,4.2,4.8,4.7,4.8,4.9,5.1,5.2,5.3,5.4,5.8,5.8,5.7,5.7,5.5,5.9,5.9,6.2,6.1,6,6.2,6.5,6.3,6.3,6.2,6.2,6.4,6.9,7.1,7,7.1,6.9,7.2,7.3,7.3,7.2,7.4,7.5,7.6,7.1,7.5,7.8,8.2,8.5,9,9.6,10.6,10.3,10.2,9.8,10,10,10.4,10.7,10.2,10.4,10.4,10.6,10.7,11.3,11.8,12.1,12.3,12.6,12.6,13.3,13.4,13.7,14.1,14.5,14.7,14.9,15.9,16.3,16.4,16.3,16.2,17,18,19.2,19.6,19.9,21.9
"12","4","Equals: Gross national product","A001RX1",1781.9,1779.6,1778.1,1805.5,1835,1869.2,1879.2,1882.1,1855.6,1848.5,1868.8,1850.4,1925.4,1984.3,2063.5,2099.6,2125.4,2162.6,2206,2210.6,2231.8,2234.3,2248.9,2322.4,2365.4,2384,2368.1,2330.8,2320.8,2323.6,2349.8,2398.4,2467.4,2507.7,2541.1,2555.6,2545.8,2565.5,2562.8,2602.1,2620.9,2616.1,2640.2,2608.6,2538.8,2554.5,2613.4,2673.8,2727.5,2795.9,2793.8,2804.6,2866.4,2853.5,2858.9,2823.6,2841.4,2893.1,2939.9,2999.8,3053.1,3088.6,3117.2,3128.1,3167.4,3205.9,3266.2,3291.7,3367.2,3404.5,3451.2,3458.8,3546.6,3595.2,3665.5,3750.8,3843.1,3855.9,3880.5,3912.8,3946.7,3946.8,3980.8,4010.1,4092.9,4162.5,4191.6,4209.4,4275.4
"13","5","Less: Consumption of fixed capital","A262RX1",156.3,155.1,154.4,153.9,153.8,153.7,153.7,153.6,154,154.3,154.6,155,155.5,156.3,157.3,158.5,159.9,161.6,163.3,165.1,167.1,169.2,171.3,173.6,176,178.4,180.4,182.5,184.7,186.6,188.5,190.3,192.1,193.9,195.6,197.3,199.1,200.9,202.7,204.2,205.7,207.4,209.3,211.4,213.7,215.6,217.2,218.4,219.4,220.4,221.2,222.3,223.3,224.4,225.7,227.3,228.8,230.6,232.2,234.1,236.1,238.1,240.3,242.6,245,247.4,249.9,252.5,254.9,257.5,260.3,263.4,266.6,270.1,273.7,277.4,281.5,285.5,289.5,293.4,297.4,301.2,305.1,308.8,312.5,316.2,320.1,323.9,327.8
"14","6","        Private","A024RX1",89.1,90.9,92.7,94.5,96.3,98,99.7,101.2,102.6,104,105.4,106.7,108.1,109.5,110.9,112.4,113.8,115.1,116.3,117.3,118.2,119.1,120.2,121.4,122.7,123.9,125.2,126.4,127.5,128.8,130,131.3,132.7,134.1,135.6,137,138.5,139.9,141.3,142.5,143.7,145.1,146.7,148.4,150.4,152,153.3,154.1,154.5,155,155.4,155.8,156.2,156.8,157.6,158.6,159.8,160.9,162.1,163.3,164.5,165.8,167.3,168.9,170.6,172.4,174.2,176,177.8,179.8,182,184.5,187.2,190,193.1,196.2,199.5,202.8,205.9,209,212,215,218,220.9,223.7,226.7,229.8,233,236.3
"15","7","        Government","A264RX1",73.8,70.4,67.5,64.9,62.7,60.5,58.6,56.7,55.5,54.2,52.9,51.5,50.4,49.7,49.1,48.7,48.7,49,49.6,50.5,51.8,53.1,54.3,55.6,56.8,58.1,59,60,61.2,61.9,62.6,63.1,63.5,63.8,64.2,64.4,64.6,65,65.4,65.7,66,66.3,66.6,66.9,67.1,67.4,67.8,68.1,68.9,69.5,70,70.7,71.4,72,72.5,73.2,73.6,74.2,74.7,75.5,76.4,77,77.9,78.6,79.3,80,80.7,81.6,82.2,82.8,83.4,84,84.4,85,85.6,86.1,86.9,87.6,88.4,89.3,90.2,91.1,92,92.9,93.7,94.5,95.2,95.8,96.3
"16","8","          General government","A265RX1",68.6,65.3,62.5,59.9,57.8,55.6,53.8,51.9,50.7,49.4,48.1,46.8,45.7,44.9,44.3,43.9,43.9,44.1,44.7,45.5,46.7,47.9,49,50.2,51.4,52.6,53.4,54.4,55.4,56.1,56.7,57.2,57.5,57.8,58.1,58.2,58.4,58.7,59.1,59.3,59.5,59.8,60,60.3,60.5,60.7,61,61.3,61.9,62.4,62.8,63.5,64,64.5,65,65.6,65.9,66.4,66.8,67.5,68.3,68.8,69.6,70.2,70.9,71.4,72.1,72.8,73.3,73.8,74.3,74.8,75.1,75.6,76.1,76.5,77.1,77.7,78.5,79.2,80,80.7,81.6,82.3,83,83.6,84.2,84.6,85
