"","Table 1#2#1# Percent Change From Preceding Period in Real Gross ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43"
"1","[Percent]                                                                                                                                                                                                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1930 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published May 26, 2011      ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 5/25/2011 9:19:59 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969
"8","1","    Gross domestic product","A191RL1",-8.6,-6.5,-13.1,-1.3,10.9,8.9,13,5.1,-3.4,8.1,8.8,17.1,18.5,16.4,8.1,-1.1,-10.9,-0.9,4.4,-0.5,8.7,7.7,3.8,4.6,-0.6,7.2,2,2,-0.9,7.2,2.5,2.3,6.1,4.4,5.8,6.4,6.5,2.5,4.8,3.1
"9","2","       Final sales of domestic product","A190RL1",-6.8,-5.9,-11.4,-3.1,9.5,6.2,13.2,4.2,-1.4,7.4,6.8,16.1,20.9,18,8.1,-0.8,-13.7,2.1,1.9,2.4,5.8,7.1,5.3,4.9,0.3,5.6,2.3,2.6,-0.7,6.3,2.6,2.4,5.5,4.5,6,5.8,6,3.1,5,3.1
"10","3","       Change in private inventories","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","4","Goods","A353RL1",-13.2,-8.4,-18.3,3.3,15,14,15.2,7.1,-7.3,8.9,13.3,17.1,4.9,15.3,5.9,-1.9,7,1.2,4,-4,10.7,5.9,-0.2,4.5,-2.2,11.7,1.6,0.8,-4.6,8.6,3.1,0.8,6.8,4,6.7,8.4,8.7,0.3,4,3.4
"12","5","    Final sales","A325RL1",-9.7,-7.1,-14.4,-1.2,11.8,8.3,15.6,5.2,-3.3,7.4,9.1,15,8.9,18.7,5.9,-1.2,0.2,7.5,-0.8,1.6,4.7,4.6,2.7,5.2,-0.2,8.1,2.3,2,-4.2,6.5,3.5,1,5.5,4.2,7.2,6.9,7.5,1.5,4.4,3.5
"13","6","    Change in private inventories","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","7","  Durable goods","A354RL1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,0.6,-3.5,19.2,8.7,-3.7,10.6,-8.7,20.4,-2,0.2,-13.7,17.9,2.9,-2.2,13.6,5.5,10.3,12,12.4,-2.5,4.7,5.3
"15","8","    Final sales","A326RL1",-18.4,-19.9,-30.2,-2.2,25.8,22.2,26,12,-18.3,16.4,21.8,35,24.1,48.5,10,-13,-22.2,25.7,0.5,1.3,9.9,6.4,2.4,10.1,-4,12.4,-0.5,1.6,-10.1,10.6,4.4,-0.4,9.8,6.5,9.5,10.4,10.2,0.9,5.2,4.7
"16","9","    Change in private inventories \1\","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","10","  Nondurable goods","A356RL1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.9,6,-4.4,5.5,4.1,2.2,0.4,2.6,5.9,4.3,1.2,2,2.8,3.2,2.9,2.2,2.8,3.9,5.5,5.6,2.7,3.4,1.9
"18","11","    Final sales","A334RL1",-5.4,-1.5,-8.5,-0.9,7.9,4,11.9,2.5,3.4,4.1,3.8,5.3,-0.4,-1,2.2,9.2,15.5,-0.7,-1.6,1.8,1.5,3.4,3,1.8,2.5,5.1,4.4,2.3,0.1,3.9,2.8,1.9,2.5,2.6,5.4,4.3,5.4,1.9,3.7,2.6
"19","12","    Change in private inventories \1\","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","13","Services \2\","A341RL1",-0.8,-1.3,-4.8,-2,6.4,3,6.7,3.3,1,5.3,4.5,14.4,39.5,31.5,14.2,-0.7,-31.4,-6.2,1.8,3.8,2.4,13.8,9.3,4.5,-0.9,2.2,3.1,4.2,2.2,4.8,2.8,3.6,5.5,4.1,4.7,5,6.2,5.6,5.3,3.2
"21","14","Structures","A755RL1",-15.1,-19.2,-30.9,-22.1,17.8,13.8,38.9,2.7,-2.3,17.2,5.5,27.7,7.7,-43,-31.6,4,98.2,14,17.2,1,23.3,-3.1,2.1,5.6,6.5,9.1,-0.4,-1.1,1.7,11.3,-0.9,2.8,5.7,6.8,6.7,5,0.1,-1.5,6.2,1.3
"22",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","15","  Motor vehicle output","A953RL1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.8,0.1
"24","16","  Gross domestic product excluding motor vehicle output","A962RL1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.1,3.3
"25","17","  Final sales of computers \3\","BB01RL1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","18","  Gross domestic product excluding final sales of computers","BB00RL1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","19","  Gross domestic purchases excluding final sales of computers to domestic purchasers","BB05RL1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","20","  Final sales of domestic product, current dollars","A190RP1",-10.4,-15.1,-21.3,-5.3,15.1,8.4,14.5,8,-2.8,6.1,7.7,23.6,30.7,24.6,10.7,1.7,-3.7,13.1,7.7,2.5,6.7,14.4,7.7,6.4,1.3,7.2,5.8,6.2,1.6,7.5,4.1,3.6,7,5.6,7.6,7.7,9,6.3,9.5,8.3
"29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
