"","Table 1#1#6C# Real Gross Domestic Product, Chained (1972) Dollar","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11"
"1","[Billions of chained (1972) dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1962 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 20, 2009   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 5/25/2011 9:19:34 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1962,1963,1964,1965,1966,1967,1968,1969
"8","1","    Gross domestic product","A191CX1",818.3,854.1,903.5,961.5,1024.2,1050.1,1100.9,1135.1
"9","2","Personal consumption expenditures","DPCECX1",487.5,507.6,537.8,571.8,604.3,622.4,658.3,683
"10","3","  Goods","DGDSCX1",238.7,248.2,263,281.6,299.5,305.3,324.2,334.1
"11","4","    Durable goods","DDURCX1",56.9,62.1,67.9,76.3,82.7,83.9,93.2,96.7
"12","5","    Nondurable goods","DNDGCX1",183.1,187,195.8,205.7,217.1,221.7,231.1,237.5
"13","6","  Services","DSERCX1",248.8,259.3,274.8,290,304.3,316.8,333.7,348.6
"14","7","Gross private domestic investment","A006CX1",116.4,124.3,134.5,153.4,166.9,159.3,168.5,178.3
"15","8","  Fixed investment","A007CX1",109.6,118,129.5,142.7,150.9,148.1,158.4,168.3
"16","9","    Nonresidential","A008CX1",68.6,72.4,81,95.1,107,105.5,110.3,118.6
"17","10","      Structures","B009CX1",32.2,32.5,35.9,41.7,44.5,43.4,44,46.4
"18","11","      Equipment and software","B010CX1",37.5,40.7,45.9,54.3,63,62.6,66.5,72.3
"19","12","    Residential","A011CX1",41.7,46.6,49.3,47.9,43.6,42.2,48,49.4
"20","13","  Change in private inventories","A014CX1",7.8,7.2,6.1,11.7,16.7,12,10.9,10.7
"21","14","Net exports of goods and services","A019CX1",4.5,6.3,9.3,6.7,4,1.7,-1.7,-2.2
"22","15","  Exports","A020CX1",38.4,41.2,46,47.3,50.6,51.7,55.8,58.5
"23","16","    Goods","A253CX1",28,30.2,34.4,34.5,36.9,37.1,40,42.1
"24","17","    Services","A646CX1",10.3,10.9,11.5,12.7,13.6,14.6,15.8,16.3
"25","18","  Imports","A021CX1",33.9,34.8,36.7,40.6,46.6,50,57.5,60.7
"26","19","    Goods","A255CX1",22.7,23.6,25.1,28.7,33.2,35,42.2,44.5
"27","20","    Services","B656CX1",11.2,11.2,11.5,11.9,13.4,15,15.3,16.2
"28","21","Government consumption expenditures and gross investment","A822CX1",213.5,219,223.8,230.6,250.9,270.1,278.6,278
"29","22","  Federal","A823CX1",124.3,124.4,122.8,122.7,136.3,149.9,151.1,145.9
"30","23","    National defense","A824CX1",102,99.6,95.6,93.6,107.1,121.1,123,117
"31","24","    Nondefense","A825CX1",22.9,25.3,27.5,29.4,29.7,29.4,28.7,29.5
"32","25","  State and local","A829CX1",89.9,95.4,101.8,108.7,115.5,121.3,128.5,132.8
"33","26","Residual","A960CX1",-8.9,-7.9,-6.4,-4.4,-3.9,-6,-5,-3.5
"34",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","Note. Chained (1972) dollar series are calculated as the product of the chain-type quantity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","index rebased with the reference year 1972 equal to 100 and of the 1972 current-dollar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","value of the corresponding series, divided by 100.  Because the formula for the chain-type",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","quantity indexes uses weights of more than one period, the corresponding chained-dollar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","estimates are usually not additive.  The residual line is the difference between the first",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","line and the sum of the most detailed lines.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
