"","Table 1#7#4# Price Indexes for Gross Domestic Product, Gross Nat","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92"
"1","[Index numbers, 2005=100]; Seasonally adjusted                                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Quarterly data from 1947 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published May 26, 2011      ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 5/25/2011 9:21:56 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1947,1947,1947,1947,1948,1948,1948,1948,1949,1949,1949,1949,1950,1950,1950,1950,1951,1951,1951,1951,1952,1952,1952,1952,1953,1953,1953,1953,1954,1954,1954,1954,1955,1955,1955,1955,1956,1956,1956,1956,1957,1957,1957,1957,1958,1958,1958,1958,1959,1959,1959,1959,1960,1960,1960,1960,1961,1961,1961,1961,1962,1962,1962,1962,1963,1963,1963,1963,1964,1964,1964,1964,1965,1965,1965,1965,1966,1966,1966,1966,1967,1967,1967,1967,1968,1968,1968,1968,1969
"8",NA,NA,NA,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1
"9","1","Gross domestic product","A191RG3",13.4,13.595,13.823,14.106,14.264,14.422,14.679,14.676,14.634,14.541,14.419,14.416,14.362,14.421,14.714,14.964,15.48,15.568,15.619,15.821,15.838,15.905,16.025,16.081,16.096,16.133,16.187,16.241,16.309,16.334,16.324,16.343,16.407,16.497,16.617,16.727,16.891,17.05,17.244,17.348,17.55,17.671,17.809,17.904,18.056,18.134,18.179,18.199,18.267,18.309,18.369,18.446,18.483,18.561,18.646,18.726,18.75,18.786,18.835,18.884,18.992,19.04,19.091,19.159,19.213,19.232,19.266,19.382,19.452,19.518,19.614,19.704,19.788,19.876,19.963,20.086,20.209,20.401,20.591,20.772,20.874,21.002,21.194,21.426,21.658,21.9,22.111,22.418,22.644
"10","2","Plus: Income receipts from the rest of the world","B645RG3",11.424,11.924,12.336,12.648,12.853,12.946,12.947,12.891,12.82,12.758,12.726,12.732,12.841,12.919,13.03,13.171,13.392,13.555,13.69,13.772,13.693,13.711,13.745,13.8,13.93,13.997,14.051,14.091,14.076,14.119,14.181,14.269,14.438,14.57,14.701,14.823,14.906,15.02,15.138,15.253,15.393,15.513,15.617,15.701,15.737,15.821,15.918,16.031,16.215,16.371,16.43,16.469,16.624,16.626,16.71,16.653,16.663,16.788,16.894,16.962,17.135,17.187,17.261,17.374,17.408,17.437,17.506,17.642,17.663,17.763,17.836,17.937,18.146,18.226,18.331,18.478,18.66,18.839,18.99,19.211,19.308,19.367,19.545,19.791,20.091,20.321,20.553,20.813,21.007
"11","3","Less: Income payments to the rest of the world","A655RG3",12.179,12.487,12.815,13.138,13.404,13.632,13.753,13.805,13.836,13.845,13.848,13.879,13.954,14.067,14.24,14.455,14.901,15.042,15.089,14.972,14.852,14.845,14.863,14.889,15.124,15.191,15.215,15.221,15.112,15.08,15.072,15.115,15.242,15.355,15.47,15.606,15.709,15.855,15.99,16.14,16.369,16.472,16.543,16.551,16.441,16.465,16.53,16.629,16.901,17.07,17.15,17.2,17.334,17.331,17.396,17.314,17.273,17.362,17.445,17.511,17.692,17.731,17.783,17.863,17.838,17.84,17.889,18.014,18.069,18.17,18.247,18.352,18.533,18.622,18.743,18.909,19.121,19.314,19.475,19.69,19.77,19.832,20.007,20.252,20.547,20.806,21.078,21.395,21.681
"12","4","Equals: Gross national product","A001RG3",13.382,13.579,13.809,14.091,14.249,14.407,14.662,14.658,14.616,14.523,14.401,14.399,14.346,14.404,14.696,14.946,15.458,15.548,15.599,15.8,15.817,15.884,16.003,16.06,16.074,16.112,16.166,16.22,16.288,16.313,16.303,16.323,16.388,16.479,16.598,16.708,16.872,17.03,17.223,17.327,17.529,17.65,17.788,17.883,18.034,18.112,18.158,18.178,18.247,18.29,18.35,18.426,18.465,18.542,18.627,18.706,18.73,18.767,18.816,18.865,18.974,19.022,19.074,19.142,19.196,19.215,19.25,19.365,19.435,19.501,19.597,19.687,19.773,19.86,19.947,20.07,20.194,20.385,20.575,20.756,20.858,20.986,21.178,21.41,21.642,21.884,22.095,22.401,22.627
"13","5","Less: Consumption of fixed capital","A262RG3",16.378,16.945,17.563,17.983,18.172,18.401,18.709,18.852,19,18.934,18.845,18.83,18.732,18.81,19.14,19.713,20.336,20.724,21.004,21.175,21.183,21.254,21.399,21.453,21.528,21.588,21.559,21.554,21.554,21.656,21.68,21.75,21.704,21.777,22.061,22.403,22.86,23.227,23.538,23.835,24.154,24.362,24.523,24.589,24.477,24.547,24.694,24.855,24.991,25.09,25.169,25.184,25.168,25.153,25.136,25.129,25.133,25.131,25.161,25.189,25.253,25.268,25.344,25.432,25.44,25.479,25.492,25.508,25.556,25.601,25.66,25.737,25.836,25.958,26.081,26.206,26.332,26.534,26.699,26.883,27.05,27.241,27.482,27.739,28.037,28.284,28.548,28.875,29.203
"14","6","        Private","A024RG3",16.388,17.249,17.921,18.415,18.736,18.999,19.215,19.382,19.505,19.585,19.625,19.628,19.591,19.735,20.053,20.535,21.18,21.663,21.998,22.189,22.237,22.298,22.372,22.455,22.551,22.629,22.689,22.732,22.76,22.776,22.78,22.773,22.756,22.861,23.081,23.421,23.861,24.266,24.631,24.962,25.257,25.479,25.626,25.701,25.702,25.754,25.859,26.017,26.23,26.382,26.473,26.502,26.47,26.443,26.421,26.4,26.385,26.381,26.388,26.405,26.434,26.453,26.463,26.462,26.45,26.455,26.478,26.517,26.574,26.64,26.715,26.798,26.889,26.995,27.116,27.25,27.397,27.555,27.723,27.901,28.092,28.306,28.544,28.805,29.086,29.377,29.676,29.984,30.298
"15","7","        Government","A264RG3",14.953,15.101,15.592,15.864,15.827,15.976,16.412,16.508,16.709,16.379,16.047,15.991,15.756,15.68,16.011,16.764,17.304,17.455,17.594,17.713,17.628,17.72,18.015,17.998,18.021,18.038,17.821,17.713,17.658,17.933,17.998,18.224,18.122,18.124,18.523,18.848,19.316,19.579,19.754,19.958,20.31,20.475,20.659,20.7,20.341,20.448,20.683,20.84,20.796,20.77,20.817,20.802,20.82,20.836,20.83,20.852,20.899,20.901,20.978,21.031,21.164,21.172,21.384,21.659,21.709,21.822,21.812,21.777,21.801,21.799,21.818,21.878,21.99,22.14,22.261,22.358,22.428,22.721,22.869,23.058,23.159,23.284,23.521,23.755,24.082,24.207,24.372,24.734,25.079
