"","Table 1#2#6# Real Gross Domestic Product by Major Type of Produc","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"1","[Billions of chained (2005) dollars]                                                                                                                                                                                                                      ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1929 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published May 26, 2011      ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 5/25/2011 9:20:14 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969
"8","1","    Gross domestic product","A191RX1",977,892.8,834.9,725.8,716.4,794.4,865,977.9,1028,992.6,1072.8,1166.9,1366.1,1618.2,1883.1,2035.2,2012.4,1792.2,1776.1,1854.2,1844.7,2006,2161.1,2243.9,2347.2,2332.4,2500.3,2549.7,2601.1,2577.6,2762.5,2830.9,2896.9,3072.4,3206.7,3392.3,3610.1,3845.3,3942.5,4133.4,4261.8
"9","2","       Final sales of domestic product","A190RX1",987.6,920,865.9,767.2,743.9,814.7,865.3,979.7,1020.6,1006.1,1080.5,1153.7,1339,1618.1,1908.7,2063.2,2046.4,1766.2,1803.2,1837.2,1880.9,1990.7,2132.2,2245.7,2356.4,2363,2496.2,2553.3,2618.9,2600,2764,2836.6,2904.6,3064.9,3202.6,3393.7,3590.7,3806.6,3923.3,4119.4,4248.6
"10","3","       Change in private inventories","A014RX1",10.3,-4.6,-10.6,-23.8,-12.2,-5.8,7.6,7.8,13,-3.1,1.6,16.1,26.4,10.3,-3.6,-4.3,-8.1,25.4,-3.6,19.3,-10.2,19.3,26.7,10.8,6.7,-6.4,16,11.9,2.9,-0.7,13.9,11.8,10.6,21.9,20.3,17.3,32.9,47.1,33.9,30.8,30.3
