"","Table 7#2#5U# Motor Vehicle Output                              ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46"
"11","4","Final sales of domestic product","AB60RC0",35552,42035,44233,38170,47967,55253,62254,55721,59138,76837,93058,104411,105814,89124,98639,99454,126143,155121,177351,185107,179839,199215,206374,198127,182224,204983,230592,267456,273137,293958,314972,340369,363633,358841,363154,374002,374384,394468,422568,416398,411637,329995,271092
"12","5","  Personal consumption expenditures","AB61RC0",25600,30801,32045,28451,36097,41361,45460,38659,42356,56805,66919,74756,73840,66504,73443,79584,100828,124398,146582,163975,164241,175902,180805,176865,157944,176071,193918,216106,220343,235838,253950,280728,309662,321440,342030,359673,358240,359546,361602,346572,347813,289900,261909
"13","6","    New motor vehicles","AB67RC0",21081,25990,26842,23438,30535,35171,38710,31691,34568,46639,55858,62734,61406,54331,59142,64278,82867,99666,117830,134047,128790,138220,139304,134664,112903,126690,138896,151200,147451,152971,162209,179374,200059,210709,230018,243551,251607,252431,248895,233047,233283,184511,162527
"14","7","      Autos","A136RC0",20021,24511,25105,21945,28196,31617,33931,27005,29331,38167,44407,48521,49265,46395,50685,53336,66029,77144,86255,98970,91286,96675,92887,89675,72281,78016,82025,86421,82129,81764,82326,86873,95433,100252,98815,96054,91302,91909,97448,99982,95949,85448,71640
"15","8","        Domestic","GAP500",18354,22222,22481,18749,24123,27052,28408,21663,22811,31209,34580,37556,34991,30171,32268,33541,41524,48836,52982,61832,53187,57890,58093,56509,45538,49567,54377,58579,56422,56869,53647,57004,62003,65677,65829,64253,60471,59234,63204,62861,60084,52762,46033
"16","9","        Foreign","GAP530",1667,2289,2624,3196,4073,4565,5523,5342,6520,6958,9827,10965,14274,16224,18417,19795,24505,28308,33273,37138,38099,38785,34794,33166,26743,28449,27648,27842,25707,24895,28679,29869,33430,34575,32986,31801,30831,32674,34244,37121,35865,32686,25607
"17","10","      Light trucks (including utility vehicles)","B704RC0",1060,1479,1737,1493,2339,3554,4779,4686,5237,8472,11451,14213,12141,7936,8457,10942,16838,22522,31575,35077,37504,41545,46417,44989,40622,48674,56871,64779,65322,71207,79883,92501,104626,110457,131203,147497,160305,160522,151447,133065,137334,99063,90887
"18","11","        Domestic","ETRUPD0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,129051,137006,137847,130107,111450,114387,81234,74571
"19","12","        Foreign","ETRUPM0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18446,23299,22675,21340,21614,22947,17829,16315
"20","13","    Net purchases of used autos and used light trucks","W240RC0",4519,4811,5203,5013,5562,6190,6750,6968,7788,10166,11061,12022,12434,12173,14301,15306,17961,24732,28752,29928,35451,37682,41501,42201,45041,49381,55022,64906,72892,82867,91741,101354,109603,110731,112012,116122,106633,107115,112707,113525,114530,105389,99382
"21","14","      Used autos","A137RC0",4335,4635,5016,4809,5316,5917,6405,6619,7444,9664,10382,11128,11325,10848,12761,13551,15626,21414,24424,23782,28396,28940,30997,29313,31377,34394,38366,46847,50505,54166,57058,59433,60505,60008,58741,59242,53337,52878,55674,54236,50978,46647,42623
"22","15","        Margin","GAP560",2469,2718,2857,2722,3341,3804,3898,3703,4238,5595,5855,6227,5591,4925,6346,6769,8563,8978,9319,10525,13412,12931,14635,12985,13181,13954,16113,19664,21451,23241,24552,23399,24021,24244,25547,24765,22754,24827,25981,25644,25458,23767,22504
"23","16","        Net transactions","GAP590",2157,2220,2473,2408,2302,2441,2836,3286,3597,4482,4975,5441,6365,6644,7227,7681,7962,13335,16004,14156,15883,17075,17595,17729,19764,22175,23988,28917,30789,32660,34241,37769,38218,37500,34929,36212,32318,29785,31428,30327,27255,24615,21854
"24","17","        Employee reimbursement","GAP620",-291,-303,-314,-321,-327,-328,-329,-370,-391,-413,-448,-540,-631,-721,-812,-899,-899,-899,-899,-899,-899,-1066,-1233,-1401,-1568,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735
"25","18","      Used light trucks (including utility vehicles)","W241RC0",184,176,187,204,246,273,345,349,344,502,679,894,1109,1325,1540,1755,2335,3318,4328,6146,7055,8742,10504,12888,13664,14987,16656,18059,22387,28701,34683,41921,49098,50723,53271,56880,53296,54237,57033,59289,63552,58742,56759
"26","19","        Margin","W491RC0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1450,1924,2398,2872,3346,3889,4959,5163,4876,3432,4605,6451,8001,9783,11692,12432,13978,14467,15404,16673,16601,18609,19018,19088,20075,17349,18477
"27","20","        Net transactions","W492RC0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,885,1394,1930,3274,3709,4853,5545,7725,8788,11555,12051,11608,14386,18918,22991,29489,35120,36256,37867,40207,36695,35628,38015,40201,43477,41393,38281
"28","21","  Private fixed investment","AB62RC0",9427,11887,13459,11444,14623,17258,20004,19806,17679,22850,30458,36551,37696,31355,34845,34371,42774,53791,58455,58245,55160,58611,54650,52860,53324,56807,70443,92138,95725,102569,111435,116494,132964,126507,108859,105668,104098,127623,147961,163779,144238,100297,50853
"29","22","    New motor vehicles","AB68RC0",11471,14085,15877,13764,16978,19624,22837,22989,21739,27602,35496,42153,44352,38214,42831,42964,52238,69218,77010,75597,75941,82339,79284,79176,82632,91483,108389,133839,141638,156911,167795,181953,205503,201512,181821,177212,169438,190730,212956,230124,215314,169897,117286
"30","23","      Autos","B139RC0",6614,8159,8719,7556,9730,10190,11623,11377,12551,15474,19149,21969,22210,20771,24265,24797,30591,39797,43144,44691,43479,48567,45703,48056,52575,54087,59363,71418,70058,73996,74754,75767,82241,83623,79643,78849,71378,72545,77764,81954,83103,71339,51800
"31","24","        Domestic","GAP650",6507,8013,8551,7352,9470,9899,11271,11036,12135,15030,18454,21074,20873,19032,22053,22450,29121,38004,40800,38128,36894,41619,38687,41301,46042,46552,50946,61266,60974,65740,65847,66039,68442,65762,58489,53649,47767,49472,53792,55628,53958,45000,31162
"32","25","        Foreign","GAP680",107,146,168,204,260,291,352,341,416,444,695,895,1337,1739,2212,2347,1470,1793,2344,6563,6585,6948,7016,6755,6533,7535,8417,10152,9084,8256,8907,9728,13799,17861,21154,25200,23611,23073,23972,26327,29145,26340,20638
"33","26","      Trucks","B705RC0",4857,5926,7158,6208,7248,9434,11214,11612,9188,12128,16347,20184,22142,17443,18566,18167,21647,29421,33866,30906,32462,33772,33581,31120,30057,37396,49026,62421,71580,82915,93041,106186,123262,117889,102178,98363,98060,118185,135192,148170,132211,98558,65486
"34","27","        Light trucks (including utility vehicles)","B196RC0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14390,16627,15819,17111,17903,21302,27089,37292,42611,57273,69256,76174,89075,88269,81136,77035,77073,88843,98785,107344,105445,77439,50839
"35","28","          Domestic","BTRLD0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66952,65270,75675,84221,89079,86891,62571,41019
"36","29","          Foreign","BTRLM0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10083,11803,13168,14564,18265,18554,14867,9820
"37","30","        Other trucks, buses, and truck trailers","B197RC0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18072,17145,17762,14009,12154,16094,21937,25130,28969,25641,23785,30011,34187,29620,21042,21328,20987,29342,36407,40826,26766,21119,14647
"38","31","    Net purchases of used autos and used light trucks","W242RC0",-2044,-2198,-2418,-2320,-2355,-2366,-2833,-3183,-4060,-4752,-5038,-5602,-6656,-6859,-7986,-8593,-9464,-15427,-18555,-17352,-20781,-23728,-24634,-26316,-29308,-34676,-37946,-41701,-45913,-54342,-56360,-65459,-72539,-75005,-72962,-71544,-65340,-63107,-64995,-66345,-71076,-69600,-66433
"39","32","      Used autos","B140RC0",-2024,-2174,-2389,-2295,-2326,-2328,-2768,-3085,-3944,-4604,-4900,-5350,-6340,-6513,-7554,-8203,-8648,-14191,-16693,-14859,-17082,-19080,-19571,-18918,-21276,-23542,-26098,-30310,-32957,-36050,-36458,-38959,-39405,-39791,-36814,-35194,-32233,-31281,-32735,-32304,-32154,-32189,-30396
"40","33","        Margin","GAP710",87,97,103,99,122,140,152,147,172,229,317,313,259,207,238,223,276,284,289,320,398,379,425,373,374,393,483,624,718,819,885,897,952,993,1082,1083,995,1086,1136,1121,1113,1039,983
"41","34","        Net transactions","GAP740",-2111,-2271,-2492,-2394,-2448,-2468,-2920,-3232,-4116,-4833,-5217,-5663,-6599,-6720,-7792,-8426,-8924,-14475,-16982,-15179,-17480,-19459,-19996,-19291,-21650,-23935,-26581,-30934,-33675,-36869,-37343,-39856,-40357,-40784,-37896,-36277,-33228,-32366,-33871,-33425,-33267,-33228,-31379
"42","35","      Used light trucks (including utility vehicles)","W243RC0",-20,-24,-29,-25,-29,-38,-65,-98,-116,-148,-138,-252,-316,-346,-432,-390,-816,-1236,-1862,-2493,-3699,-4648,-5063,-7398,-8032,-11134,-11848,-11391,-12956,-18292,-19902,-26500,-33134,-35214,-36148,-36350,-33107,-31826,-32260,-34041,-38922,-37411,-36037
"43","36","        Margin","W493RC0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,157,211,265,319,372,432,551,574,542,482,707,1075,1443,1900,2419,2593,2918,3022,3220,3488,3473,3893,3979,3993,4200,3629,3866
"44","37","        Net transactions","W494RC0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-973,-1447,-2127,-2812,-4071,-5080,-5614,-7971,-8574,-11616,-12554,-12466,-14399,-20192,-22321,-29093,-36052,-38237,-39368,-39838,-36580,-35719,-36239,-38034,-43121,-41041,-39902
"45","38","  Gross government investment","AB64RC0",1292,1208,1222,1288,1367,1453,1885,2288,2455,2855,3298,3788,4355,4638,5026,4930,5537,7766,8143,7917,7233,7780,9882,10347,9517,10314,9701,9272,9662,9650,10317,11218,12034,12608,12765,13136,13950,14007,15097,16857,15982,16095,11429
"46","39","    Autos","B144RC0",408,439,479,508,570,603,585,681,724,818,1032,1237,1316,1382,1513,1574,1588,1877,1859,1875,1961,2408,2762,3224,2763,3316,3181,3340,3573,3437,3173,3369,3479,3409,3446,3311,3236,3155,3452,3833,3903,3719,3395
"47","40","      New autos","GAP800",200,223,253,280,338,391,376,421,445,511,653,778,778,766,818,802,912,1241,1224,1239,1370,1646,1841,2098,1649,2091,2017,2214,2464,2351,2059,2299,2434,2390,2401,2257,2147,2106,2485,2896,2964,2767,2270
"48","41","      Net transactions in used autos","GAP830",-83,-87,-88,-93,-95,-116,-120,-110,-112,-106,-69,-81,-93,-105,-117,-127,-223,-263,-264,-263,-308,-304,-312,-275,-454,-510,-571,-609,-626,-649,-621,-665,-690,-716,-690,-681,-646,-686,-768,-798,-796,-783,-610
"49","42","      Employee reimbursement","GAP860",291,303,314,321,327,328,329,370,391,413,448,540,631,721,812,899,899,899,899,899,899,1066,1233,1401,1568,1735,1735,1735,1735,1735,1735,1735,1735,1735,1735,1735,1735,1735,1735,1735,1735,1735,1735
"50","43","    Trucks","B708RC0",884,769,743,780,797,850,1300,1607,1731,2037,2266,2551,3039,3256,3513,3356,3949,5889,6284,6042,5272,5372,7120,7123,6754,6998,6520,5932,6089,6213,7144,7849,8555,9199,9319,9825,10714,10852,11645,13024,12079,12376,8034
"51","44","      New trucks","W495RC0",884,769,743,780,797,850,1300,1607,1731,2037,2266,2551,3039,3256,3513,3356,4171,6129,6522,6291,5560,5720,7516,7552,7213,7536,7132,6626,6826,7004,7926,8685,9455,10150,10284,10810,11687,11907,12746,14142,13262,13432,8976
"52","45","        Light trucks (including utility vehicles)","GOVLT0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3588,4135,4370,4574,5098,5596,5164,4327
"53","46","        Other trucks, buses, and truck trailers","ETKGHT0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7222,7553,7537,8172,9044,7666,8268,4649
"54","47","      Net transactions in used light trucks","W496RC0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-222,-240,-238,-249,-288,-348,-396,-429,-459,-538,-612,-694,-737,-791,-783,-837,-899,-951,-965,-985,-974,-1055,-1101,-1118,-1183,-1056,-943
"55","48","  Net exports","AB63RC0",-767,-1861,-2493,-3013,-4120,-4819,-5095,-5032,-3352,-5673,-7617,-10684,-10077,-13373,-14675,-19431,-22996,-30834,-35829,-45030,-46795,-43078,-38963,-41945,-38561,-38209,-43470,-50060,-52593,-54099,-60730,-68071,-91027,-101714,-100500,-104475,-101904,-106708,-102092,-110810,-96396,-76297,-53099
"56","49","    Exports","AB69RC0",1236,1414,1575,1416,1806,2034,2713,3728,5085,5336,5669,6724,8634,7744,8088,6143,6952,8084,9700,10615,11871,14323,15813,14240,16922,19393,19923,22696,23895,25192,26940,25884,25290,26125,25385,28916,32347,36538,43970,49082,60777,65322,40059
"57","50","      Autos","B142RC0",824,982,1024,837,1184,1323,1825,2334,2886,3267,3628,3963,5257,4657,4707,3541,4781,5465,6538,6866,7312,8990,9408,9313,11236,11541,11089,12033,12095,12623,12431,12060,11826,12235,13174,14898,15762,16468,20415,23913,31740,37248,20877
"58","51","      Trucks","B706RC0",412,432,551,579,622,711,888,1394,2199,2069,2041,2761,3377,3087,3381,2602,2171,2619,3162,3749,4559,5333,6405,4927,5686,7852,8834,10663,11800,12569,14509,13824,13464,13890,12211,14018,16585,20070,23555,25169,29037,28074,19182
"59","52","    Imports","AB70RC0",2003,3275,4068,4429,5926,6853,7808,8760,8437,11009,13286,17408,18711,21117,22763,25574,29948,38918,45529,55645,58666,57401,54776,56185,55483,57602,63393,72756,76488,79291,87670,93955,116317,127839,125885,133391,134251,143246,146062,159892,157173,141619,93158
"60","53","      Autos","B143RC0",1702,2796,3356,3710,5091,5724,6526,7307,7135,8947,10651,13652,14879,16977,17823,20291,23939,30640,34874,42436,43479,41235,39423,37981,36064,35845,41006,43861,48421,45348,50828,53091,63605,69414,67918,72651,70572,71710,69558,77096,76565,77680,54946
"61","54","      Trucks","B707RC0",301,479,712,719,835,1129,1282,1453,1302,2062,2635,3756,3832,4140,4940,5283,6009,8278,10655,13209,15187,16166,15353,18204,19419,21757,22387,28895,28067,33943,36842,40864,52712,58425,57967,60740,63679,71536,76504,82796,80608,63939,38212
"62","55","Change in private inventories","AB65RC0",-842,1757,446,-981,1814,-271,1334,2957,-1806,1969,3339,2116,359,-2040,1795,-2893,2633,5692,4940,2240,9047,1731,4029,-3171,-1565,589,2016,5348,4698,-514,4757,-16,11648,10534,-13583,13125,7780,4383,-3631,-3730,-7747,-8779,-23244
"63","56","  Autos","A145RC0",-754,1452,317,-889,1589,-432,1224,2128,-1166,1725,2166,1879,142,-36,2084,-2600,2266,2911,4482,2273,7128,1167,2653,-2208,303,-303,1815,1124,1570,-1557,2159,2757,2435,4094,-4016,7538,-1271,-908,-2208,921,-4588,4524,-10613
"64","57","    New","B146RC0",-540,1260,270,-770,1408,-131,1097,2413,-1414,1595,1853,1950,41,758,1978,-2737,1822,2363,3731,1080,6401,-258,1658,-2058,-244,79,918,519,515,-3666,962,2031,1170,1199,-6541,7811,-1299,-1389,-1167,2577,-3518,6203,-13014
"65","58","      Domestic","AB71RC0",-371,1072,163,-863,834,-233,1451,1218,-883,722,2121,226,1083,191,2200,-2779,2922,1701,2896,-565,4056,-567,2214,-2667,-683,535,804,1973,1204,-2030,787,1052,-70,683,-7171,6596,-1074,-393,-713,1380,-2655,4207,-9674
"66","59","      Foreign","AB72RC0",-169,188,107,93,574,102,-354,1195,-531,873,-268,1724,-1042,567,-221,42,-1100,662,836,1645,2345,309,-556,608,439,-456,114,-1454,-689,-1636,175,979,1241,516,630,1215,-225,-996,-454,1197,-863,1996,-3341
"67","60","    Used","B147RC0",-214,192,47,-119,181,-301,127,-285,248,130,313,-71,101,-794,106,137,444,548,751,1193,727,1425,995,-150,547,-382,897,605,1055,2109,1197,726,1265,2895,2525,-273,28,481,-1041,-1656,-1070,-1679,2401
"68","61","  Trucks","B709RC0",-88,305,129,-92,225,161,110,829,-640,244,1173,237,217,-2004,-289,-293,367,2781,458,-33,1919,564,1376,-963,-1868,892,201,4224,3128,1043,2598,-2773,9213,6440,-9567,5587,9051,5291,-1423,-4651,-3159,-13303,-12631
"69","62","    New","W244RC0",NA,NA,NA,NA,NA,NA,110,829,-640,244,1173,237,217,-2004,-289,-293,230,2716,236,398,1631,362,1311,-1194,-1734,678,-491,3245,2971,-646,3269,-2412,8381,4510,-11260,5799,8966,4834,40,-2669,-2893,-12820,-14007
"70","63","      Domestic","AB73RC0",NA,NA,NA,NA,NA,NA,51,873,-604,169,1204,106,271,-2069,-240,-232,434,2530,221,-220,1778,433,1383,-838,-1459,661,25,2964,3245,-770,2742,-2314,7943,3623,-10728,4369,8912,4905,-605,-3443,-2132,-13864,-11455
"71","64","      Foreign","AB74RC0",NA,NA,NA,NA,NA,NA,59,-44,-36,75,-31,131,-54,65,-49,-61,-204,186,15,618,-147,-71,-72,-356,-275,17,-515,281,-274,124,527,-98,438,887,-532,1429,54,-71,645,774,-761,1043,-2553
"72","65","    Used \1\","W245RC0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,137,65,222,-431,288,202,65,231,-134,214,692,979,157,1689,-671,-361,832,1930,1693,-212,85,457,-1463,-1981,-266,-483,1377
"73",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","66","  Final sales of motor vehicles to domestic purchasers","AB75RC0",36319,43896,46726,41183,52087,60072,67349,60753,62490,82510,100675,115095,115891,102497,113314,118885,149139,185955,213180,230137,226634,242293,245337,240072,220785,243192,274062,317516,325730,348057,375702,408440,454660,460555,463654,478477,476288,501176,524660,527208,508033,406292,324191
"75","67","  Private fixed investment in new autos and new light trucks","AB76RC0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57869,65194,61522,65167,70478,75389,86452,108710,112669,131269,144010,151941,171316,171892,160779,155884,148451,161388,176549,189298,188548,148778,102639
"76","68","  Domestic output of new autos \2\","B148RC0",24515,30957,30181,24042,33172,35329,40008,33289,34029,46616,54817,59012,59173,50869,57670,51488,71787,86785,94990,97032,93717,97390,97470,91504,87652,93287,99165,115630,110183,112030,110437,109396,113529,115757,107158,110588,96408,96296,107790,109218,105664,100944,60039
"77","69","  Sales of imported new autos \3\","B149RC0",2771,3929,5063,5797,7041,7967,9049,8913,10364,11424,14907,16362,19285,21800,24732,28419,33136,38379,44761,54130,53188,57650,53646,54443,48321,51280,54536,56921,56002,55327,60214,67179,77394,82516,80425,85730,82346,84400,86357,96180,99608,88931,73986
"78","70","    Imports from Canada","GAP890",986,1545,2278,2298,2762,3084,3288,3353,3333,4083,4559,4516,3731,3870,4298,6013,7429,8418,9260,9999,7796,10324,10914,12196,12610,12697,15919,15461,17023,17025,18509,22356,23357,20314,15101,19336,19597,20030,15972,14784,17161,14425,11405
"79","71","      Sales","GAP1080",996,1494,2271,2397,2708,3111,3174,3230,3428,4023,4385,4502,3674,3837,4104,6277,7161,8278,9011,10051,7393,10438,10695,12539,12665,12615,15806,15212,16874,17305,18389,22159,23356,20229,15998,18377,19773,20093,16044,14622,17546,13900,13047
"80","72","      Inventory change","GAP1100",-10,51,7,-99,54,-27,114,123,-95,61,174,13,57,33,195,-264,269,140,249,-52,403,-114,219,-344,-55,82,113,249,150,-279,119,197,1,85,-896,959,-177,-63,-72,162,-385,524,-1642
"81","73","    Imports from Mexico","GAP1260",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,140,380,1112,1466,1153,1942,2366,2704,2666,3778,4364,4778,4272,5443,6807,9914,9707,10941,8062,8527,12049,18319,16669,16847,12902
"82","74","      Sales","GAP1290",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,133,378,1111,1479,1141,1983,2381,2681,2664,3716,4338,4871,4238,5423,6809,9851,10287,10351,8131,8560,12096,18111,17052,16005,14694
"83","75","      Inventory change","GAP1310",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2,2,-14,12,-41,-15,23,2,62,26,-93,34,20,-1,62,-580,590,-69,-33,-48,208,-383,842,-1791
"84","76","  Exports of used autos","GAP980",13,10,13,15,14,19,35,30,32,40,60,69,78,77,77,53,43,43,49,89,193,399,706,913,1154,1597,1483,1197,1589,1719,1554,1259,941,763,755,787,1007,2035,3374,4357,6596,9769,6321
"85","77","  Imports of used autos","GAP1010",6,14,14,11,6,6,9,8,12,20,25,28,29,42,55,84,182,364,541,229,97,113,144,203,65,45,76,97,105,82,119,354,663,1010,994,1093,568,333,287,238,299,359,253
"86",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","1. Consists of used light trucks only.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","2. Consists of final sales and change in private inventories of new autos assembled in the United States.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89","3. Consists of sales of imported new autos in personal consumption expenditures,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","in private fixed investment, and in gross government investment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","Note. This table is based on annual and quarterly data published in NIPA table 7.2.5B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","with underlying detail added.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
