"","Table 3#5U# Taxes on Production and Imports","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207","F208"
"11","3","  Excise taxes","B234RC0",10884,11000,11368,11396,12076,12044,12020,11884,11880,12064,12092,12488,12728,12736,13188,13064,13192,13444,13540,13660,13744,14052,14144,14484,14944,14028,13048,13236,12044,12716,12628,12932,12964,13268,13384,13404,14024,14484,14900,15048,15288,15228,15744,15508,15436,15680,15676,15596,16844,16012,15652,15012,15044,15460,15608,15824,16120,16556,16572,16864,16388,16512,16400,16324,15664,16156,16436,16596,16504,16776,16920,17056,16928,17216,17432,17704,17508,18264,18168,18772,18268,18352,18064,18236,20408,26640,28932,30032,42808,43484,40304,38764,34388,31264,31748,31988,33448,36264,35828,35628,36028,35344,35196,35020,34100,33956,34768,32752,31652,29484,29468,29400,29228,29964,30964,31472,33248,33172,33780,33460,33772,31716,32292,31260,32608,32952,33656,34472,43156,45164,45092,46304,45940,45076,43180,45676,43540,44556,44916,53180,54879,57379,58471,59447,56578,55750,55806,54802,52497,51813,52001,58221,52989,59289,60141,60461,60082,60554,61622,62190,63071,63783,64059,66087,66171,66419,65963,65959,65207,65755,63739,63887,65820,67500,67460,66764,68196,67948,66948,68368,71164,70980,71424,70580,71828,75344,74196,72472,73696,72504,72276,72452,66236,66720,66396,64276,62752,63644,62476,62104,62164,69952,72436,73536,76184
"12","4","    Gasoline","B2000C0",1728,1756,1760,2300,2364,2372,2364,2336,2372,2356,2404,2440,2424,2472,2492,2492,2516,2592,2580,2676,2696,2688,2560,2732,2784,2772,2808,2816,2876,2888,2928,2932,2924,3000,3016,3060,3092,3148,3196,3200,3240,3312,3376,3448,3532,3532,3516,3592,3700,3584,3684,3732,3872,3788,3912,3988,4056,4276,4136,4028,3828,4024,4004,3956,4056,3932,4156,4136,4200,4296,4260,4300,4404,4404,4356,4384,4384,4448,4556,4692,4576,4436,4300,4252,4444,4040,3944,3960,4200,3912,4020,4076,4008,4080,4100,4028,5708,8644,8752,8688,8936,8928,8836,8780,8920,8916,8900,8912,9148,9156,9232,9240,8932,9044,8996,9016,9824,9704,9792,9868,9456,9472,9540,9412,10116,9908,10196,9972,15008,15304,15400,15240,15628,15500,15248,15796,14404,14280,14248,21060,19844,21084,21796,22472,21232,21192,21208,21112,22292,22332,22332,22244,21880,22244,22252,22196,23340,23204,23584,23584,23492,23416,23348,23492,23388,23504,23468,23368,22928,23664,23284,23328,23236,23296,23304,23284,23676,23868,24208,24372,24356,24060,23976,24380,26112,26104,25504,25564,25512,25816,26308,25736,22616,22568,22584,22168,22364,21684,20824,22312,21316,22604,22776,22896,20708
"13","5","    Alcoholic beverages","B2001C0",2928,2916,3244,2988,3064,3100,3052,3092,3136,3180,3180,3232,3304,3212,3256,3392,3268,3352,3416,3344,3540,3512,3612,3664,3688,3600,3520,3680,3668,3788,3856,3832,3924,4040,3940,4200,4036,4256,4376,4212,4444,4388,4680,4380,4652,4532,4460,4616,4612,4632,4924,4824,4788,4936,4828,4920,4920,4944,4948,5124,5288,5160,5076,5004,5020,5324,5228,5184,5096,5032,5172,4996,5080,5104,5152,5228,5280,5276,5228,5344,5300,5232,5176,5388,5340,4884,5272,5160,5152,5348,5272,5052,4960,4900,5024,5072,5112,5364,4992,5052,5224,4700,4420,4648,4500,4792,5532,4220,5700,5104,5200,5024,5172,5296,5656,5280,5364,5172,5172,5164,5204,5180,5160,5088,5240,5076,5132,5464,7144,6908,6808,7300,7356,7144,7064,7072,7256,7536,6864,7148,6651,6571,6451,6759,6934,6950,7462,6610,7093,7113,7029,7101,6913,7037,6929,6933,6950,6946,7034,7158,7195,7275,7111,7419,7243,7451,7231,7199,7255,7307,7287,7375,7564,7272,7816,7660,7752,7780,7840,7828,8000,8064,8032,8160,8056,7936,8240,8296,8204,8360,8532,8832,8544,9492,8284,7964,8840,8624,9444,7760,8928,8752,8976,8884,8872
"14","6","    Tobacco","B2002C0",1792,1792,1912,1904,1924,1956,1956,1932,2036,2024,1976,2044,2044,2016,2040,2072,2064,2124,2120,2104,1864,2100,2104,2196,2164,2116,2036,2032,2120,2068,2060,2040,2036,2164,2148,2112,2136,2076,2196,2132,2128,2088,2092,2060,2060,2148,2236,2268,2168,2148,2120,2188,2260,2236,2220,2216,2300,2352,2404,2544,2428,2356,2328,2280,2220,2416,2416,2456,2552,2528,2448,2440,2384,2344,2396,2392,2408,2596,2376,2488,2580,2464,2424,2408,2404,2476,2472,2592,2552,2532,2656,2488,2564,2496,2608,2316,5208,5184,4968,4632,4680,4644,4712,4544,4420,4216,4736,4496,4612,4656,4624,4488,4556,4604,4616,4628,4568,4332,4544,4324,4400,4172,4264,4300,4240,4396,4148,4084,4972,5052,5020,4956,5200,5248,5204,5784,5656,5752,5656,5788,5836,5828,5756,5892,5992,5896,5860,5928,5864,5804,5812,5804,5840,5900,5952,5760,5680,5680,5572,5292,5284,5320,5316,6492,6824,6668,6588,6884,7068,6948,6892,7612,7624,7748,7352,7040,7304,7236,7068,6960,7288,7224,7164,6800,7296,9008,8840,7928,8760,8768,8156,9336,8480,7680,8480,8864,7940,8016,7436,8600,7428,13664,15512,16640,17348
"15","7","    Diesel fuel","B2003C0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400,416,420,436,436,468,472,464,480,512,500,576,432,524,504,536,504,504,528,580,552,552,596,588,576,632,564,624,964,1144,1324,1500,1640,1820,2008,2196,2436,2572,2660,2700,2680,2656,2624,2596,2420,2544,2792,3144,3940,4196,4252,4116,3472,3200,3016,2928,3016,3136,3332,3588,4024,4248,4392,4448,4396,4308,4184,4060,3608,3780,4220,4904,6424,7048,7388,7420,6572,6448,6488,6700,7504,7768,7892,7876,7472,7364,7312,7332,7528,7648,7784,7928,8080,8212,8332,8432,8512,8568,8600,8612,8584,8584,8616,8676,8796,8892,8956,8984,8972,8964,8972,9000,9016,9092,9208,9364,9680,9800,9844,9812,10124,9408,8988,8864,9152,9164,9020,8632,8188,7916,7712,7600,7612,7692,7852,7776,7796
"16","8","    Air transport","B2004C0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,816,924,908,976,904,1040,1060,1104,1056,1224,1188,1244,1208,1448,1476,1572,1536,1684,1736,1072,1092,1224,1136,1120,1140,1220,1348,1848,1860,2024,2156,2252,2276,2324,2360,2388,2404,2432,2460,2496,2564,2592,2608,2616,2568,2600,2664,2756,2940,3032,3104,3148,3136,3156,3192,3240,3240,3392,3624,3920,4440,4704,4872,4944,4772,4756,4760,4792,4888,4976,5084,5208,5388,5496,5572,5620,5584,5628,5684,5768,1500,700,856,6864,1760,7396,8160,8600,7808,8232,8540,8724,8536,8656,8840,9092,9568,9820,9996,10096,10084,10032,8532,7784,9336,11036,10712,10444,11200,10844,9492,10568,12536,12036,12276,11560,10976,13308,13136,12796,12124,11580,12432,12752,12364,13744,14788,13844,12496,14600,14364,13188,14104,14176,13892,13868,14188
"17","9","    Crude oil windfall profits tax","B2005C0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2688,9696,11640,13364,25840,26480,23140,21876,17888,14672,15088,15212,11088,9852,9424,9136,8944,8420,8348,7628,6248,5584,4872,4236,1600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","10","    Other \1\","B2006C0",4436,4536,4452,4204,4724,4616,4648,4524,4336,4504,4532,4772,4956,5036,5400,5108,5344,5376,5424,5536,5644,5752,5868,5892,6308,5540,4684,4708,3380,3972,3784,4128,4080,4064,4280,4032,4760,5004,5132,5504,5476,5440,5596,5620,5192,5468,5464,5120,6364,5648,4924,4268,4124,4500,4648,4700,4844,4984,5084,5168,4844,4972,4992,5084,4368,4484,4636,4820,3440,3580,3712,3908,3720,3856,3996,4132,3900,4208,4320,4428,4172,4248,4184,4080,3492,3356,3340,3304,3420,3436,3484,3564,3252,3264,3016,2888,3508,4052,4212,4368,4328,4508,4512,4836,5172,5444,5608,5692,5348,5320,5180,5436,5580,5876,6240,6648,6612,6736,6916,6840,8104,6536,7120,6292,6756,7044,7224,7444,7568,8948,8600,9416,8588,8120,6720,8172,7728,8232,8844,9072,10736,11352,11508,11284,10264,9636,9104,8684,8244,8096,8080,8332,9124,9348,9536,9640,8776,8844,9108,9504,10484,10904,11112,11160,10636,10408,10080,9800,9288,9220,9128,9112,9264,9256,9320,9352,9292,9256,9368,9640,9968,10504,10768,10316,9708,9188,8632,8076,8972,8572,7860,6932,5080,4072,3240,2804,2924,2804,2696,2644,2776,3064,3428,3472,7272
"19","11","  Customs duties","B235RC0",952,1076,1092,1076,1176,1084,1016,988,976,956,1068,1120,1192,1212,1184,1220,1200,1228,1236,1244,1236,1288,1340,1408,1424,1624,1676,1728,1796,1888,1892,1900,1924,1892,1820,2000,2132,2220,2364,2316,1992,2600,2484,2404,2420,2424,2512,2580,2556,2708,3216,3968,3148,2800,2904,3136,3420,3296,3156,3212,3396,3564,3820,3852,4136,5172,6864,7284,4300,4564,4748,4628,5028,5312,5768,5504,6444,7100,7308,7548,7588,7584,7280,7364,7204,6912,7212,7312,7852,8344,8840,9320,9084,8700,8308,8344,7616,8992,9624,10132,10944,12124,12252,12292,12264,11696,12020,12652,12840,13432,14348,14168,14900,15872,15448,15912,16316,16144,16460,16728,17044,17520,17748,17612,17668,17812,17476,17004,16548,16160,16736,17900,17700,17988,18680,18940,18680,20200,20444,19916,20584,21264,22016,21904,19992,19976,19628,19680,20148,19364,19700,17672,18976,20424,19808,19260,19400,19556,19840,19548,18216,17856,19708,20948,19952,21960,21576,21004,21864,20584,19900,20196,18648,19736,20524,20768,21476,21228,21476,21548,22324,22924,23432,24380,24980,25304,25404,25576,25912,27056,27592,26104,28700,28084,28968,29340,29936,29476,29368,28108,23576,21616,21020,24992,25432
"20","12","  Other","B036RC0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
