"","Table 8#11# Real Farm Sector Output, Real Gross Product, and Rea","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18"
"1","[Billions of chained (1996) dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1987 To 2001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 09, 2002   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 2/28/2003 11:58:31 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",NA,"Line",NA,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001
"8","Farm output","1","A2000X",189.4,181.9,192.8,200.8,203.2,213.6,208.3,227.1,217.9,222.6,237.5,238.5,244.1,249.2,246.1
"9","  Cash receipts from farm marketings","2","A2001X",187.9,183.5,181.6,186.3,192.1,195.9,202.6,202.9,214.7,201.2,218.7,219.8,226.2,233.4,224.4
"10","    Crops","3","B1005X",104.9,97.8,97.1,101.4,106,108.1,113.2,110.4,121.1,108.3,121.2,121.5,125.2,130.9,122.9
"11","    Livestock","4","B1006X",83.2,85,83.8,84.5,86.1,87.8,89.7,92.3,93.7,93,97.6,98.3,101.1,102.9,101.3
"12","  Farm housing","5","B1007X",7.2,7.2,7,6.9,7,6.8,6.6,6.4,6.3,6.2,6,6,6.1,6,5.9
"13","  Farm products consumed on farms","6","B1008X",0.8,0.8,0.7,0.6,0.6,0.6,0.6,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.5
"14","  Other farm income","7","B1009X",6.3,6,5.3,5.7,6,5.6,6,5.8,7,6.8,8.2,9.9,11.8,10.6,12.2
"15","  Change in farm inventories","8","B018RX",-9.8,-14.2,0.1,2.6,-2.3,6.1,-7.9,13,-12.3,7.9,3.2,1.6,-2,-2.5,2
"16","    Crops","9","B1010X",-10.5,-13.9,0.7,2.6,-3.7,6.1,-9.9,12.5,-12.4,9,3.5,1.8,-1.4,-2.2,3.6
"17","    Livestock","10","B1011X",-0.8,-1.4,-0.6,0.4,0.8,0.9,0.9,1,0.3,-1.1,-0.4,-0.3,-0.6,-0.6,-0.4
"18","Less: Intermediate goods and services purchased","11","A2003X",111.1,112.5,113.8,117,118,118.8,122.8,127.7,132.3,130.4,134.4,138.2,137.2,133.3,134.6
"19","        Intermediate goods and services, other than rent","12","B1012X",100.4,101.7,101.3,104.6,105.5,104.9,110.2,113,117.9,114.3,119,122.5,123.1,119.5,120.8
"20","        Rent paid to nonoperator landlords","13","B1013X",10.8,10.9,12.5,12.5,12.6,13.9,12.7,14.7,14.3,16.1,15.5,15.7,14.1,13.8,13.8
"21","Equals: Gross farm product","14","B359RX",78.8,70.2,79.5,84.2,85.6,95.7,85.8,100.3,85.5,92.2,103.6,100.3,108.1,120.5,114.3
"22","Less: Consumption of fixed capital","15","B366RX",26.6,26,25.8,25.8,25.6,25.8,25.3,24.8,25.1,25.4,25.9,26.7,27.7,27,27.3
"23","Equals: Net farm product","16","A365RX",52.7,45,53.9,58.4,60,70.1,60.5,76.3,60.2,66.8,78.1,73.5,80.9,97.9,89.5
"24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","  Note.  Chained (1996) dollar series are calculated as the product of the chain-type quantity index and the 1996 current-dollar ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","value of the corresponding series, divided by 100.  Because the formula for the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","chain-type quantity indexes uses weights of more than one period, the corresponding chained-dollar estimates are usually not ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","additive.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
