"","Table 6#1A# National Income Without Capital Consumption Adjustme","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23"
"1","[Billions of dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1929 To 1948",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published July 28, 2000     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 2/28/2003 11:40:32 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",NA,"Line",NA,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948
"8","    National income without capital consumption adjustment","1","A422RC1A",88.2,76.7,61,44.2,41.6,50.8,58.5,66.4,75.2,68.8,74.1,82.5,105.9,139.2,172.5,184.8,183.7,185.9,202.9,228.3
"9","Domestic industries","2","A423RC1A",87.4,76,60.5,43.8,41.3,50.6,58.2,66.1,74.8,68.4,73.7,82.2,105.4,138.7,172.1,184.4,183.4,185.2,201.7,226.8
"10","  Private industries","3","A736RC1A",82.3,70.7,55.1,38.6,36,44.3,51.4,58,67,59.8,65.1,73.4,94.9,122.4,145,150.6,146.4,160.9,182.1,206.4
"11","    Agriculture, forestry, and fisheries","4","B424RC1A",8.7,6.6,5.3,3.6,3.9,4.3,6.7,5.9,7.7,6.1,6.1,6.2,8.5,12.7,15,15.2,15.7,18.5,19.3,22.2
"12","    Mining","5","B734RC1A",2.1,1.7,1,0.7,0.6,1.2,1.2,1.6,2,1.6,1.6,1.9,2.4,2.6,2.8,3,2.8,3,4.3,5.4
"13","    Contract construction","6","B735RC1A",3.8,3.2,2.2,1.1,0.8,1.1,1.3,2,2.1,2,2.3,2.6,4.2,6.5,5.5,4.1,4.3,6.5,8.5,11
"14","    Manufacturing","7","A426RC1A",22,18.3,12.5,7.3,7.7,11,13.3,16.3,19.5,15.1,18.1,22.5,33.2,45.5,58.3,60.3,52.2,49.2,59.6,68.8
"15","      Durable goods","8","B428RC1A",11.3,8.5,4.9,2,2.6,4.5,6,8,9.8,6.7,8.9,12.1,20.3,28.8,38.6,39.3,31,24.3,31.5,35.9
"16","      Nondurable goods","9","B427RC1A",10.7,9.8,7.6,5.3,5,6.5,7.4,8.3,9.6,8.4,9.1,10.3,12.9,16.6,19.7,21,21.2,24.9,28.1,32.9
"17","    Transportation and public utilities","10","A737RC1A",9.4,8.4,7,5.5,5.1,5.6,6,6.7,7.4,6.8,7.5,8.1,9.6,12.3,14.8,15.3,14.8,15.2,16.8,18.8
"18","      Transportation","11","B429RC1A",6.6,5.6,4.4,3.2,3.1,3.4,3.7,4.3,4.6,4.1,4.6,5,6.3,8.6,10.8,11.2,10.5,10.4,11.6,12.8
"19","      Communication","12","B430RC1A",1.1,1.1,1,0.8,0.7,0.8,0.8,0.9,1,1,1.1,1.1,1.2,1.5,1.7,1.8,1.9,2.2,2.3,2.8
"20","      Electric, gas, and sanitary services","13","B431RC1A",1.7,1.7,1.6,1.5,1.3,1.4,1.5,1.6,1.7,1.7,1.8,1.9,2.1,2.2,2.3,2.2,2.3,2.6,2.8,3.2
"21","    Wholesale trade","14","B433RC1A",4.4,4.2,3.3,2.3,1.9,2.6,3,3.4,4,3.9,3.9,4.6,5.3,6.3,6.9,7.7,8.3,10.5,11.7,13.8
"22","    Retail trade and automobile services","15","B434RC1A",9.5,8.5,6.9,4.6,4,5.9,6.6,7.6,8.5,8.4,8.8,10.1,12.2,14.3,17.1,18.2,19.8,24.2,26,26.3
"23","    Finance, insurance, and real estate","16","B435RC1A",13.7,11.6,9.7,8,6.9,6.7,7.1,7.7,8.3,8.9,9.2,9.5,10.6,12,13,13.7,14.5,17.1,18,20.1
"24","    Services","17","B437RC1A",8.8,8.3,7.2,5.6,5.1,5.7,6.1,6.8,7.5,7.2,7.5,8,8.8,10.2,11.8,13.1,14.1,16.6,18.1,20
"25","  Government","18","B436RC1A",5.1,5.3,5.5,5.2,5.4,6.3,6.8,8.2,7.8,8.6,8.6,8.8,10.6,16.4,27.1,33.8,36.9,24.3,19.6,20.4
"26","Rest of the world","19","A192RC1A",0.8,0.7,0.5,0.4,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.5,0.5,0.4,0.5,0.4,0.7,1.2,1.5
"27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","  Note.  Estimates in this table are based on the 1942 Standard Industrial Classification (SIC).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
