"","Table 5#14# Gross Government Fixed Investment by Type","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76"
"1","[Billions of dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1929 To 2001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 09, 2002   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 2/28/2003 11:40:07 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",NA,"Line",NA,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001
"8","      Gross government fixed investment \1\","1","A782RC",2.8,3.2,3,2.1,1.9,2.7,2.8,4.1,3.8,4.2,4.5,4.4,10.8,28.5,39.1,36.6,24.1,3.5,4.6,7,9.7,9.8,17.6,22.3,24,22.5,21,22.9,24.4,26.5,29.3,28.3,31.3,33.3,33.6,34.6,35.6,40.4,43.8,44.7,44.4,44.8,44,46.3,49.4,57.4,64.5,66.4,67.5,77.1,88.5,100.3,106.9,112.3,122.8,139.4,158.8,173.2,184.3,186.2,197.7,215.8,220.3,223.1,220.9,225.6,238.2,250.1,264.6,277.1,304.7,319.8,335.8
"9","  Federal","2","A787RC",0.2,0.3,0.3,0.4,0.6,0.9,1.2,1.2,1.2,1.2,1.1,1.6,8.6,27,38.2,35.9,23.3,1.9,1.8,3,4.4,3.9,10.7,15,16.1,13.3,10.9,11.6,11.9,12.9,15.4,14.3,16.3,17.4,16.1,15.6,14.7,17.2,18.5,17,16.1,16,13.9,15.7,16.2,17.8,20.9,22.6,24.7,27.6,31.6,36.3,41.9,47.5,56.4,64.4,74.4,80.4,85.8,79.8,83,88.5,88.3,88.8,84.7,81.3,82.3,86.3,81.3,86.1,93.4,95.9,99.7
"10","    National defense","3","A788RC",0,0.1,0.1,0.1,0.1,0.1,0.1,0.3,0.3,0.3,0.3,0.8,7.2,26,37.4,35.4,22.7,1.5,0.9,2,2.9,2.4,9.1,13.4,14.7,12.1,10.1,10.5,10.5,11.3,13.7,12.3,13.9,14.5,12.6,11.5,10.1,12.3,14.3,13.2,12.5,12.3,9.7,11.2,11.3,12.3,14.5,15.3,16.7,17.8,21.4,24.3,28.9,34.7,41.9,48.7,57.5,62.9,66.4,61.3,62.7,65.9,63.4,61.6,55.7,54,53.1,54.6,48.4,49.4,52.3,53.5,55.5
"11","    Nondefense","4","A798RC",0.2,0.2,0.3,0.3,0.5,0.8,1.1,1,0.9,0.9,0.8,0.8,1.4,1,0.8,0.5,0.6,0.4,0.8,1,1.4,1.6,1.5,1.6,1.4,1.2,0.9,1.2,1.4,1.6,1.7,2,2.4,2.9,3.5,4.2,4.7,4.9,4.2,3.8,3.6,3.8,4.2,4.5,4.9,5.6,6.5,7.3,8,9.8,10.2,12,13,12.7,14.5,15.7,16.9,17.5,19.4,18.6,20.3,22.6,24.8,27.2,28.9,27.3,29.2,31.7,32.9,36.7,41.1,42.4,44.2
"12","  State and local","5","A799RC",2.6,2.9,2.6,1.8,1.3,1.8,1.6,2.9,2.6,3,3.4,2.8,2.2,1.5,0.9,0.7,0.8,1.6,2.8,4,5.3,5.9,7,7.3,7.9,9.2,10,11.3,12.5,13.5,13.9,13.9,15,15.9,17.5,19,20.8,23.1,25.3,27.7,28.3,28.7,30.1,30.6,33.2,39.6,43.6,43.8,42.8,49.5,56.8,64,65,64.8,66.4,75,84.4,92.8,98.4,106.3,114.7,127.2,132.1,134.3,136.2,144.2,155.8,163.8,183.3,191,211.3,223.9,236.2
"13","Structures \2\","6","A760RC",2.6,2.9,2.7,1.9,1.7,2.3,2.3,3.7,3.3,3.6,3.9,3.7,6.3,12.1,7,3.3,2.5,1.7,3,4.6,6.3,7,9.5,11.1,11.7,12.1,12,13.4,14.9,16.5,16.9,16.6,18,18.6,19.9,21.1,22.8,25.1,26.5,28.5,29,29.2,31.2,31.6,34.4,40.3,44.5,44.9,44.3,51.5,57.8,65.3,66.4,65,65.7,72.5,81.1,89,95.5,99,102,112.6,117,119.7,120.8,124.9,134.4,140.3,154.8,159,175.3,183.5,193.4
"14","  Federal","7","A801RC",0.2,0.2,0.3,0.3,0.5,0.6,0.8,1,1,0.9,0.8,1.2,4.2,10.7,6.2,2.7,1.8,0.3,0.5,1,1.5,1.6,3.1,4.4,4.4,3.6,2.7,3,3.4,4,4,3.9,4.2,4.1,4,3.8,3.9,4.1,3.4,3.3,3.4,3.4,4.3,4.5,5.2,5.6,6.4,6.7,7.4,8.6,8.8,10.3,10.9,10.7,11.5,12,13.6,14.8,16.7,14.2,13.2,14.1,13.8,15.5,16.3,16.2,17.1,17.8,15.5,16.6,16.9,16.1,15.9
"15","    National defense","8","A808RC",0,0,0.1,0,0,0.1,0.1,0.2,0.2,0.2,0.2,0.6,3.6,10.3,5.8,2.5,1.7,0.3,0.2,0.4,0.4,0.5,2,3.3,3.3,2.7,2.1,2.1,2.3,2.6,2.5,2.2,2.4,2,1.6,1.3,1.1,1.3,1.2,1.2,1.5,1.3,1.8,1.8,2.1,2.2,2.3,2.1,2.4,2.5,2.5,3.2,3.2,4,4.8,4.9,6.2,6.8,7.7,7.4,6.4,6.1,4.6,5.2,5.1,5.7,6.3,6.7,5.7,5.4,5.3,5.3,5.4
"16","      New","9","A814RC",0,0,0.1,0,0,0.1,0.1,0.1,0.1,0.1,0.2,0.7,3.6,10.3,5.9,2.5,1.7,0.6,0.4,0.5,0.4,0.5,2,3.3,3.3,2.7,2.3,2.1,2.2,2.4,2.5,2.1,2.2,1.8,1.6,1.3,1.3,1.3,1.3,1.4,1.6,1.3,1.6,1.5,1.8,2,2.6,2.4,2.4,2.5,2.5,3.2,3.2,4,4.8,4.9,6.2,6.8,7.7,7.4,6.4,6.1,4.6,5.2,5.1,5.7,6.3,6.7,5.7,5.4,5.3,5.3,5.4
"17","        Buildings","10","A815RC",0,0,0,0,0,0,0,0.1,0.1,0,0,0.2,1.5,3.8,2.6,1.4,0.8,0.4,0.1,0.2,0.2,0.2,1,1.7,1.8,1.5,0.7,0.5,0.7,0.8,0.8,0.6,0.7,0.4,0.3,0.3,0.3,0.2,0.2,0.3,0.4,0.3,0.4,0.5,0.5,0.6,0.8,0.7,0.7,0.7,0.8,1.1,1.3,1.6,2,2,2.6,2.5,2.7,2.5,2.4,2.6,2.3,2,1.9,2,1.9,2,1.8,1.9,1.9,1.9,2.3
"18","          Residential","11","B816RC",0,0,0,0,0,0,0,0.1,0.1,0,0,0,0.2,0.4,0.7,0.2,0.1,0.3,0,0,0,0,0,0,0,0,0,0,0.2,0.4,0.5,0.3,0.3,0.2,0.1,0.1,0.2,0.1,0.1,0.1,0.2,0.1,0.1,0.3,0.4,0.5,0.6,0.6,0.5,0.5,0.5,0.7,0.7,0.9,1.2,1.2,1.5,1.6,1.9,1.7,1.7,1.8,1.2,1.1,1.2,1.4,1.4,1.4,1.4,1.4,1.3,1.3,1.5
"19","          Industrial","12","B817RC",0,0,0,0,0,0,0,0,0,0,0,0.2,1.3,3.4,1.9,1.2,0.8,0.1,0.1,0.2,0.2,0.2,1,1.7,1.8,1.5,0.7,0.5,0.5,0.4,0.3,0.3,0.4,0.2,0.2,0.2,0.2,0.1,0.2,0.3,0.2,0.2,0.3,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.4,0.5,0.7,0.8,0.8,1.1,1,0.8,0.8,0.7,0.8,1.1,0.9,0.7,0.6,0.6,0.6,0.5,0.6,0.5,0.7,0.9
