"","Table 6#5A# Full-Time Equivalent Employees by Industry","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23"
"1","[Thousands]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1929 To 1948",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published July 28, 2000     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 2/28/2003 11:41:51 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",NA,"Line",NA,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948
"8","    Full-time equivalent employees \1\","1","A4301C0A",35286,33196,30133,26693,27163,30388,31744,34879,36138,34442,35857,37865,42516,47479,53628,54924,53224,47007,47056,48029
"9","Domestic industries","2","A4302C0A",35286,33196,30132,26692,27162,30387,31743,34878,36137,34441,35856,37863,42513,47474,53649,54979,53290,47054,47061,48022
"10","  Private industries","3","A4303C0A",32134,29909,26763,23361,23321,25687,26742,28758,30634,28314,29742,31612,35231,37760,38839,37900,36336,38356,40364,41278
"11","    Agriculture, forestry, and fisheries","4","A4304C0A",2952,2770,2698,2512,2486,2482,2501,2579,2557,2445,2368,2326,2300,2226,2121,1961,1869,1937,2007,2065
