"","Table 7#13# Chain-Type Quantity and Price Indexes for Gross Gove","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76"
"1","[Index numbers, 1996=100]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1929 To 2001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 09, 2002   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 2/28/2003 11:52:01 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",NA,"Line",NA,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001
"8","Chain-type quantity indexes",NA," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","      Gross government fixed investment \1\","1","A782RA",7.44,8.84,9.27,8.14,6.49,7.83,8.25,11.51,10.28,11.4,12.44,12.05,27.08,71.13,97.09,97.56,69.01,9,10.37,14.45,19.93,20.51,32.93,41,44.58,42,38.45,38.54,39.21,42.72,47.09,45.71,50.47,52.57,52.29,53.2,53.99,59.44,62.5,60.92,57.17,53.41,48.93,48.8,48.8,49.53,50.49,50.06,48.58,52.5,55.79,57.38,55.59,54.9,59.03,66.2,75.21,82.06,86.75,86.25,89.58,95.49,95.85,96.76,93.94,93.73,96.28,100,105.02,109.67,118.66,121.44,125.43
"10","  Federal","2","B787RA",1.14,1.66,2.33,3.08,4.52,6.04,7.67,7.73,7.41,7.36,6.75,9.55,46.52,148.8,210.34,212.23,148.21,10.9,9.01,14.46,20.47,18.47,45.79,63.7,69.26,56.81,45.42,44.62,43.07,46.49,54.78,51.08,57.69,60.38,54.93,52.63,49.79,57.25,59.42,52.2,47.26,43.93,35.88,38.16,37.68,38.75,42.04,42.36,43.57,46.01,49.91,53.48,56.96,60.68,70.41,78.9,92.25,103.04,112.71,104.5,106.33,111.45,108.83,109.2,102.12,96.14,95.27,100,95.48,102.55,110.47,112.58,116.98
"11","    National defense","3","B788RA",0.37,0.67,1,0.91,1.2,1.37,1.22,2.97,3.36,3.23,3.25,7.87,64.05,236.26,338.33,345.06,237.49,13.96,7.65,14.81,21.53,17.02,60.05,87.8,97.66,79.36,64.1,61.38,58.2,62.03,74.64,67.32,75.16,77.06,65.98,59.69,52.33,63.12,71.17,62.64,56.75,52.49,39.16,42.1,40.87,42.11,46.49,45.7,46.43,46.24,52.91,56.46,62.08,69.85,81.79,92.91,111.67,127.84,139.74,129.24,129.56,133.92,126.02,121.5,107.33,101.43,97.45,100,89.96,93.3,98.27,100.36,104.87
"12","    Nondefense","4","B798RA",2.4,3.27,4.51,6.62,9.9,13.56,17.98,15.65,14.25,14.31,12.68,12.75,20.07,13.92,12.72,7.06,9.9,6.07,12.03,14.6,19.62,22.32,20.01,19.48,17.04,15.38,11.03,14.07,15.75,18.67,18.76,22.16,26.81,31.34,36.89,42.36,48.26,49.61,40.38,35.28,31.86,30.12,31.48,32.65,33.58,34.39,35.85,38.19,40.31,47.71,46.6,50.33,50.13,46.63,52.77,56.78,60.62,62.03,68.02,63.59,67.84,74.15,80.12,88.5,93.21,87.1,91.54,100,104.97,118.44,131.4,133.55,137.77
"13","  State and local","5","B799RA",16.89,19.75,20.08,16.45,10.82,12.42,11.68,19.56,16.92,19.71,22.92,18.79,13.76,8.09,4.29,3.53,4.09,7.32,11.25,14.25,19.26,21.85,22.6,23.13,25.15,30.04,32.61,33.39,35.79,39.34,40.48,41.01,44.22,45.82,49.84,53.44,57.21,61.03,64.79,67.7,64.9,60.79,59.02,57.05,57.41,57.9,57.36,56.42,53.06,58.1,61.02,61.33,56.09,52.58,53.23,59.73,66.18,70.69,72.54,76.32,80.46,86.8,88.8,90,89.49,92.43,96.82,100,109.98,113.41,122.94,126.05,129.86
"14","Structures \2\","6","A760RA",23.42,28.42,29.56,25.91,20.03,22.86,23.92,35.74,31.12,34.07,37.17,35.48,54.54,91.03,48.78,23.42,17.79,10.45,15.99,22.17,30.65,35.3,41.91,47.23,49.75,53.23,52.77,53.75,57.05,63.91,65.08,64.84,70.24,71.25,75.09,78.32,82.85,87.38,89.26,91.89,86.9,80.41,79.56,75.89,75.8,75.1,74.68,73.66,69.86,77.03,78.6,78.92,72.1,66.16,66.06,72.11,79.15,84.22,87.02,87.51,87.59,93.64,95.79,97.35,95.66,95.72,98.69,100,106.68,106.65,113.51,113.59,115.55
"15","  Federal","7","B801RA",14.37,20.37,29.01,41.93,59.1,63.4,83.99,89.28,84.65,76.98,66.67,100.17,334.81,743.59,400.79,176.39,117.38,15.72,23.12,46.78,63.93,74.9,127.51,171.87,171.65,146.08,109.33,112.35,120.21,139.37,138.68,134.97,146.46,139.68,133.07,126.27,126.33,127.99,103.1,95.31,89.03,82.3,95.96,93.86,97.58,92.82,93.86,94.08,96.52,107.23,97.3,102.48,100,92.33,97.24,97.63,107.94,116.09,126.72,104.11,91.95,94.65,90.34,100.2,101.65,97.3,98.63,100,83.91,87.93,86.84,79.43,75.72
"16","    National defense","8","B808RA",7.54,12.68,19.17,19.22,19.69,26.86,22.65,63.17,74.55,63.73,53.57,176.95,965.97,2366.47,1242.14,542.68,356.33,52.44,24.3,54.96,53.82,69.59,263.97,416.63,423.82,358.14,275.2,256.77,262.63,291.97,281.75,248.87,264.82,218.85,178.72,137.04,122.13,129.07,118.95,115.72,124.17,101.75,128.12,116.04,114.73,105.21,101.76,90.31,91.38,92.64,78.28,90.59,86.15,101.51,120.71,116.8,142.87,155.31,167.47,154.62,124.21,115.48,85.25,94.06,85.41,92.15,96.5,100,82.63,76.1,72.18,69.33,68.01
"17","      New","9","B814RA",7.56,12.7,19.2,19.25,19.72,26.9,21.5,36.8,47.78,40.09,60.48,205.27,1023.69,2497.05,1319.75,578.88,385.77,115.73,56.51,69.85,60.61,73.44,261.26,412.14,419.25,355.7,290.81,254.06,252.09,268.11,272.61,236.87,239.67,196.35,172.56,136.36,134.21,136.66,125.31,126.72,134.42,102.56,113.52,96.56,97.19,96.82,114.6,101.53,92.34,92.83,78.31,91.44,86.12,101.45,120.65,116.76,142.83,155.26,167.41,154.66,124.5,115.61,85.29,94.08,85.42,92.15,96.5,100,82.65,76.11,72.2,69.35,68.03
"18","        Buildings","10","B815RA",NA,NA,NA,NA,2.95,15.05,13.92,83.12,110.17,49.73,29.4,164.41,1330.72,2954.13,1881.45,1060.21,599.84,220.48,54.33,107.23,95.9,115.35,408.29,685.11,718.86,622.02,297.31,185.95,225.81,257.01,279.24,218.21,231.08,155.04,118.94,88.94,100.8,76.66,70.51,96.48,108.77,82.06,102.37,104.87,100.77,120.37,137.57,120.99,99.91,102.83,81.69,106.14,118.55,136.5,162.19,145.63,194.9,202.79,201.97,172.62,145.72,153.06,130.54,119.59,106.34,107.45,99.71,100,90.48,91.61,85.2,83.67,98.61
"19","          Residential","11","B816RA",NA,NA,NA,NA,NA,1.32,13.17,89.83,124.43,41.55,4.68,4.68,243.6,381.05,685.96,183.98,68.76,184.49,8.12,24.51,22.68,12.44,12.14,16.46,21.07,11.78,9.8,22.9,88.81,181.71,241.26,142.79,143.16,99.42,68.4,53.77,74.18,47.92,27.51,35.26,66.64,44.4,53.11,126.7,118.07,152.38,183.32,157.5,118.07,117.12,72.57,103.88,110.83,123.78,148.94,122.09,163.35,195.03,217.48,179.74,147.99,153.11,99.27,96.56,96.56,106.88,101.32,100,99.05,94.59,87.71,79.23,90.78
