"","Table 3#14# Social Insurance Funds Current Receipts and Expendit","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76"
"1","[Billions of dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1929 To 2001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 09, 2002   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 2/28/2003 11:34:57 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",NA,"Line",NA,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001
"8","Federal",NA," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","    Current receipts","1","A2046C",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.3,1.6,1.7,1.8,1.9,2.4,3,3.9,4.6,5.7,6.9,5.9,5,5.4,6,7.1,7.5,7.7,8.7,9.7,10.7,12.2,12.1,14.5,17.1,17.6,19.7,22.2,22.9,24,32,35.8,39.8,45.6,48.9,53.4,61.4,78,88.1,92.2,103.7,114.8,132.7,154.1,168.5,198.7,211.6,227.8,261.8,288.2,310.2,331.1,373.5,404.2,434.9,457.9,485.3,509.5,542.2,572.7,600,639.6,679.6,728.4,780.5,815
"10","Contributions for social insurance","2","B077RC",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.3,1.5,1.6,1.8,1.9,2.3,2.9,3.8,4.3,5.3,6.5,5.4,4.4,4.7,5.3,6.4,6.6,6.8,7.8,8.8,9.6,11,11,13.4,16,16.5,18.6,21,21.7,22.7,30.5,34,37.8,43.1,45.3,50,57.9,74,83.5,87.5,99.1,110.3,127.9,148.9,162.6,191.8,204.9,221.8,252.8,276.5,297.5,315.9,353.1,376.3,400.1,418.6,441.8,463.7,493.9,519.6,543.3,577,613.1,650.7,692.1,716.9
"11","  Personal contributions","3","A1585C",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.4,0.4,0.4,0.5,0.6,0.9,1.4,1.8,1.9,1.5,1.6,1.5,1.5,2.1,2.5,2.7,2.8,3.4,3.9,4.3,5,5,5.9,7.1,7.3,7.8,9.1,9.6,10.1,14.2,16.6,18.4,21,22.2,24.4,27.6,35.3,40,42.1,46.4,51.4,59,69.4,76.8,91.4,98.3,105,117.1,132.5,144,154.8,174.6,189.7,201.7,212.7,223.7,234.8,251,266.2,278.2,296.3,314.8,335.7,356.5,370.3
"12","  Employer contributions","4","A1580C",0,0,0,0,0,0,0,0.2,1,1.2,1.3,1.4,1.7,2,2.3,2.5,3.5,5,3.8,2.9,3.2,3.2,3.9,3.9,4,4.3,4.9,5.4,6,6,7.5,8.9,9.2,10.8,12,12.2,12.6,16.3,17.4,19.3,22.1,23.1,25.6,30.2,38.7,43.5,45.4,52.7,59,68.8,79.5,85.8,100.4,106.6,116.8,135.7,144,153.5,161.1,178.5,186.6,198.4,205.9,218.1,228.9,242.9,253.4,265.2,280.7,298.4,315,335.6,346.6
"13","    Government","5","L31305",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,1.4,2.9,1.4,0.5,0.9,0.1,0.2,0.2,0.2,0.3,0.4,0.3,0.5,0.7,0.4,0.4,0.5,0.4,0.5,0.5,0.5,0.6,0.8,0.9,1.1,1.4,1.6,1.7,1.7,2,2.5,2.8,2.8,2.7,2.9,3.3,3.8,4,5.2,5.8,6.6,7.1,7.7,8.7,9.6,10.7,11.6,12.7,12.9,12.5,12.3,12.4,12.5,12.8,13.2,14,15
"14","    Other","6","L31306",0,0,0,0,0,0,0,0.2,1,1.2,1.3,1.4,1.7,2,2.3,2.3,2.1,2.1,2.4,2.3,2.3,3.1,3.7,3.7,3.8,4.1,4.5,5,5.5,5.4,7.1,8.5,8.8,10.3,11.5,11.6,12.1,15.7,16.6,18.4,21,21.7,24,28.5,37,41.5,42.8,49.9,56.2,66.1,76.6,82.5,96.6,102.5,111.6,129.9,137.4,146.4,153.4,169.7,177,187.7,194.3,205.4,215.9,230.4,241.1,252.8,268.2,285.6,301.8,321.6,331.6
"15","Interest received","7","L31307",0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.3,0.4,0.5,0.5,0.6,0.7,0.7,0.7,0.8,0.9,1,1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.2,1.3,1.5,1.8,2.1,2.5,3.7,3.4,3.6,4,4.6,4.7,4.5,4.5,4.9,5.2,5.9,6.8,6.7,6,9,11.7,12.7,15.2,20.4,28,34.8,39.3,43.5,45.8,48.3,53.1,56.6,62.7,66.5,77.7,88.4,98.1
"16","    Current expenditures","8","A1670C",0,0,0,0,0,0,0,0.1,0.2,0.7,0.8,0.9,0.8,0.8,0.7,0.7,1.4,3.7,2.7,2.6,3.9,6.2,4.5,4.8,5.6,7.5,8.2,9,11.1,14.8,15.2,16.5,19.8,20,21.1,21.4,23.2,25.6,30.9,36,39.3,47.3,55.7,61.3,71.1,84.2,107.6,118.1,127.4,135.7,152.2,182.3,211,244.1,263.2,267.2,285.6,302.4,314.7,332.3,358.7,390,430.5,476.1,502.6,519.5,552.8,583.3,609.2,621.7,632.5,662.2,721.8
"17","Administrative expenses (consumption expenditures)","9","L31309",0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.2,0.2,0.3,0.4,0.3,0.3,0.3,0.5,0.5,0.4,0.6,0.6,0.6,0.8,0.7,0.8,0.8,0.9,1,0.9,1.1,1.5,1.8,1.9,2.3,2.2,2.8,3.2,3.6,3.8,4.1,4.2,4.8,5.2,5.7,6.1,6.3,6.5,6.5,6.6,7.3,7.2,7.4,8.3,9,9.7,8.8,9.5,9.6,9.1,9.7,9.8,10,10.7
"18","Transfer payments to persons","10","A1588C",0,0,0,0,0,0,0,0,0.1,0.5,0.6,0.8,0.6,0.7,0.4,0.5,1.2,3.5,2.6,2.4,3.6,5.9,4.1,4.5,5.3,7.2,7.7,8.5,10.7,14.2,14.6,15.9,19,19.3,20.3,20.6,22.3,24.7,30,34.9,37.8,45.5,53.8,59,68.9,81.4,104.4,114.5,123.7,131.6,148,177.5,205.8,238.4,257.1,260.9,279,295.9,308.1,325.1,351.4,382.6,422.1,467.1,492.9,510.6,543.3,573.7,600,612,622.7,652.2,711
"19","    Current surplus or deficit (-)","11","B243RC",0.1,0.1,0.1,0,0,0,0,0.2,1.4,1,1,1,1.6,2.2,3.3,3.9,4.3,3.2,3.2,2.4,1.5,-0.3,2.6,2.6,2.1,1.2,1.5,1.7,1.1,-2.7,-0.7,0.6,-2.1,-0.3,1.1,1.5,0.8,6.4,4.9,3.8,6.2,1.6,-2.3,0.1,6.9,4,-15.4,-14.4,-12.6,-3,1.8,-13.8,-12.4,-32.5,-35.4,-5.4,2.6,7.7,16.4,41.2,45.6,44.9,27.4,9.1,6.9,22.8,19.9,16.7,30.5,58,95.9,118.3,93.3
