"","Table 6#13A# Noncorporate Capital Consumption Allowances by Indu","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22"
"1","[Millions of dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1929 To 1947",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published July 28, 2000     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 2/28/2003 11:43:23 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",NA,"Line",NA,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947
"8","    Noncorporate capital consumption allowances","1","A1700C0A",2427,2462,2459,2385,2238,2205,2217,2286,2377,2455,2482,2589,2799,3024,3117,3189,3320,3712,4621
"9","Agriculture, forestry, and fisheries","2","A1701C0A",660,676,659,630,578,551,542,556,598,628,641,654,694,730,733,745,788,870,984
"10","  Farms","3","B1702C0A",650,665,651,614,569,540,533,548,590,621,633,647,686,721,724,733,775,853,961
"11","  Agricultural services, forestry, and fisheries","4","B1703C0A",10,11,8,16,9,11,9,8,8,7,8,7,8,9,9,12,13,17,23
"12","Mining","5","B1704C0A",39,44,38,37,30,35,36,37,37,42,45,45,46,59,77,65,83,95,119
"13","Contract construction","6","B1705C0A",75,76,75,71,52,47,45,47,49,44,45,44,47,45,37,50,71,106,169
"14","Manufacturing","7","A1706C0A",75,80,83,81,72,61,57,56,54,62,58,56,59,98,127,163,182,186,227
"15","  Durable goods","8","B1707C0A",51,56,60,61,56,46,41,39,37,44,40,38,38,61,76,93,99,97,124
"16","  Nondurable goods","9","B1708C0A",24,24,23,20,16,15,16,17,17,18,18,18,21,37,51,70,83,89,103
"17","Transportation and public utilities","10","A1709C0A",61,63,65,59,47,47,47,49,57,64,66,75,97,100,109,116,132,159,242
"18","  Transportation","11","B1710C0A",60,62,64,58,46,46,46,47,54,60,59,67,87,89,97,103,115,136,214
"19","  Communication","12","B1711C0A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4
"20","  Electric, gas, and sanitary services","13","B1712C0A",1,1,1,1,1,1,1,2,3,4,6,8,9,11,11,12,17,20,24
"21","Wholesale trade","14","B1713C0A",46,49,46,37,33,41,47,53,54,49,49,49,66,84,92,107,92,141,182
"22","Retail trade and automobile services","15","B1714C0A",200,187,199,169,146,146,148,156,181,182,191,202,234,289,315,332,348,442,629
"23","Finance, insurance, and real estate","16","A1715C0A",1168,1176,1189,1189,1182,1174,1185,1220,1226,1245,1251,1301,1356,1384,1397,1369,1375,1399,1574
"24","  Finance and insurance","17","B1716C0A",13,14,16,17,24,21,21,22,21,18,18,22,23,19,23,26,22,191,18
"25","  Real estate","18","A1717C0A",1155,1162,1173,1172,1158,1153,1164,1198,1205,1227,1233,1279,1333,1365,1374,1343,1353,1208,1556
"26","    Owner-occupied nonfarm housing","19","B1718C0A",482,497,506,508,507,507,510,516,525,534,547,564,585,604,613,621,630,677,790
"27","    Other","20","B1719C0A",673,664,667,663,651,646,654,682,680,693,687,716,748,762,761,722,722,530,766
"28","Services","21","B1720C0A",103,111,105,112,98,103,110,112,121,139,136,163,200,235,231,242,249,314,495
"29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","  Note.  Estimates in this table are based on the 1942 Standard Industrial Classification (SIC).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
