"","Table 7#16# Relation of Corporate Profits, Taxes, and Dividends ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"1","[Billions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1929 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 08, 2011   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 9/14/2011 10:44:59 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969
"8","1","Total receipts less total deductions, IRS","B1174C1",11.9,4.6,-0.8,-3.8,-0.9,3,5.4,7.8,7.8,4.1,7.2,9.3,16.7,23.4,28.1,26.5,21.3,25.4,31.6,34.6,28.4,42.8,43.8,38.7,39.8,36.7,47.9,47.4,45.1,39.2,47.7,44.5,47,50.8,55.7,63.1,74.7,81.3,79.3,87.5,82.1
"9","2","Plus: Adjustment for misreporting on income tax returns","B1633C1",0.7,0.6,0.4,0.3,0.4,0.6,0.5,0.6,0.7,0.5,0.6,0.6,0.7,0.7,0.8,0.5,0.4,1.1,1.1,1.2,1.3,1.2,1.3,1.4,1.5,1.7,2,2.3,2.9,3,2.9,3,3.1,3.6,4.2,3.8,3.9,4.3,5,5.4,6.5
"10","3","      Posttabulation amendments and revisions \1\","B1175C1",0.1,0.1,0.1,0.2,0.5,0.2,0.2,0.4,0.3,0.4,0.4,0.5,0.5,-2.6,-4,-2.9,-1.4,-0.5,-1,-0.8,-0.8,-1,-1.1,-1.2,-1.4,-0.4,-1.9,-2.1,-2.1,-0.2,0.6,1.4,0.7,0.4,0.4,0.5,0.7,0.5,0.5,0.7,1
