"","Table 7#14# Relation of Nonfarm Proprietors' Income in the Natio","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14"
"1","[Billions of dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1959 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 08, 2011   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 9/14/2011 10:44:58 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969
"8","1","Net profit (less loss) of nonfarm proprietorships and partnerships, plus payments to partners, IRS","B1200C1",28.2,27.2,28.5,29.6,30.3,32.8,34.9,37.1,38.9,41.1,41.9
"9","2","Plus: Adjustments for misreporting on income tax returns","B2636C1",9.4,10,10.9,11.9,12.5,13.7,14.3,15.5,16.4,18.1,19.1
"10","3","      Posttabulation amendments and revisions \1\","B1201C1",1.5,1.5,1.4,1.4,1.3,1.5,1.5,1.6,1.7,2.5,2.7
"11","4","      Depletion on domestic minerals","B1202C1",0.2,0.4,0.2,0.2,0.2,0.3,0.2,0.3,0.3,0.3,0.4
"12","5","      Adjustment to depreciate expenditures for mining exploration, shafts, and wells","B1203C1",0.1,0.1,0.1,0.1,0,0,0,0,0,0,0
"13","6","      Bad debt expense","B1205C1",0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5
"14","7","      Income received by fiduciaries","B1206C1",0.2,0.1,0.1,0.1,0.1,0.2,0.3,0.3,0.4,0.4,0.4
"15","8","      Income of tax-exempt cooperatives","B1207C1",0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
"16","9","      Disaster adjustments (net) \2\","W778RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","10","Equals: Nonfarm proprietors' income, NIPAs","B046RC1",40.3,40,42,44.1,45.5,49.5,52.2,55.7,58.7,63.4,65.5
"18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","1. Consists largely of an adjustment to expense all meals and entertainment, of oilwell bonus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","payments written off, of adjustments for corporate partners and statutory employees, of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","interest income, and of margins on owner-built housing.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2. Consists of disaster losses valued at historic-cost less net insurance receipts for",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","disaster-related losses valued at replacement-cost.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","IRS Internal Revenue Service",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","NIPAs National income and product accounts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
