"","Table 7#3#4# Price Indexes for Farm Sector Output, Gross Value A","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45"
"1","[Index numbers, 2005=100]                                                                                                                                                                                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1969 To 2010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 08, 2011   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 11/21/2011 7:33:36 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
"8","1","Farm output","A2000G3",39.971,40.713,41.96,46.747,66.18,70.765,68.215,68.219,67.599,76.29,85.981,88.072,90.707,85.995,89.535,92.34,82.467,79.232,80.493,87.701,92.502,92.745,89.128,88.245,90.145,89.465,90.683,99.967,94.988,89.453,84.142,84.91,89.53,85.475,93.374,104.732,100,100.287,118.544,132.473,114.648,124.01
"9","2","  Cash receipts from farm marketings","A2001G3",36.216,36.926,38.019,42.4,60.429,65.322,63.069,63.302,62.938,71.566,80.926,83.052,85.618,81.713,85.524,88.22,79.055,76.393,77.4,85.625,90.392,90.963,87.349,86.568,88.438,87.849,89.019,98.454,93.916,88.547,83.381,84.169,88.94,84.667,92.77,104.466,100,100.17,118.632,131.971,114.005,123.566
"10","3","    Crops","B1005G3",36.819,38.142,41.002,43.711,66.614,84.931,76.698,75.193,74.867,78.422,86.239,92.734,98.025,87.908,99.075,101.593,87.538,79.208,78.697,94.053,98.13,94.085,91.952,92.252,93.166,96.8,101.739,115.054,106.381,97.924,88.069,87.804,89.949,95.483,100.693,108.296,100,107.705,129.624,157.733,137.431,140.897
"11","4","    Livestock","B1006G3",35.666,35.955,35.875,41.339,55.767,50.444,52.603,54.121,53.731,66.003,76.574,75.024,75.348,76.396,74.419,77.22,71.893,73.805,76.14,78.111,83.429,87.94,83.032,81.288,84.018,79.666,77.447,83.378,82.491,79.915,78.98,80.717,87.807,75.087,85.686,101.002,100,93.299,108.613,108.708,92.837,108.418
"12","5","  Farm products consumed on farms","B1008G3",35.031,35.5,36.018,42.379,55.551,49.559,50.654,52.031,52.232,66.86,80.285,77.229,76.814,79.116,74.956,78.029,73.086,74.162,80.998,82.353,86.744,93.556,89.791,86.328,88.605,81.795,81.638,82.265,87.233,77.667,74.289,78.381,83.59,74.231,84.025,97.109,100,96.42,104.395,103.035,89.632,104.583
"13","6","  Other farm income","B1009G3",33.551,35.301,40.145,42.698,45.814,58.541,63.116,63.947,66.53,70.951,77.442,83.9,88.481,83.013,88.994,88.955,83.755,77.102,81.698,91.031,95.377,89.761,89.84,91.83,93.674,93.68,99.515,107.744,103.315,98.082,89.969,90.573,92.478,96.468,101.372,105.345,100,106.207,123.629,148.412,135.637,138.144
"14","7","  Change in farm finished goods inventories","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","8","    Crops","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","9","    Livestock","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","10","Less: Intermediate goods and services consumed","A2003G3",23.755,24.379,25.397,27.155,34.304,40.531,43.132,43.573,44.268,47.442,54.963,62.246,67.227,66.896,65.856,67.123,64.43,61.097,61.75,66.385,69.798,71.333,71.882,71.759,73.564,74.446,74.656,79.332,81.664,76.93,76.393,82.089,83.991,82.451,88.07,94.147,100,104.567,114.073,135.605,127.372,130.595
"18","11","      Other than rent","W249RG3",23.684,24.295,25.283,26.998,33.591,39.683,42.808,43.305,43.941,46.735,54.164,61.795,67.231,66.619,65.571,66.877,64.034,60.381,60.798,65.701,69.178,70.409,71.218,71.081,72.866,74.007,74.277,79.19,81.503,76.811,76.166,81.958,83.723,82.343,87.933,94.016,100,104.794,114.539,136.779,128.321,131.344
"19","12","        Intermediate goods and services purchased, other than rent","B1012G3",23.681,24.291,25.279,26.994,33.586,39.677,42.802,43.299,43.935,46.728,54.156,61.786,67.221,66.609,65.562,66.868,64.025,60.373,60.789,65.691,69.168,70.399,71.209,71.077,72.862,74.006,74.271,79.187,81.5,76.81,76.166,81.964,83.728,82.351,87.932,94.016,100,104.794,114.538,136.78,128.32,131.342
"20","13","        Less: Change in farm materials and supplies inventories","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","14","      Rent paid to nonoperator landlords","B1013G3",25.045,25.839,27.227,29.494,42.075,49.745,47.057,46.917,48.327,56.569,65.259,68.355,68.515,71.079,70.112,71.013,69.493,69.13,72.354,74.154,76.982,81.403,79.456,79.464,81.483,79.764,79.376,81.777,84.322,79.129,79.798,84.326,87.916,84.343,90.422,96.395,100,100.441,105.106,113.133,108.632,114.846
"22","15","Equals: Gross farm value added","B359RG3",82.883,83.674,85.148,99.493,158.66,153.573,132.952,131.445,126.2,152.318,165.462,145.878,139.618,123.75,140.919,148.219,119.877,117.225,119.937,133.172,141.088,137.915,124.002,121.363,123.382,118.962,122.609,142.888,121.29,114.167,97.842,88.126,98.049,89.075,100.941,120.773,100,93.865,127.167,128.212,96.638,113.871
"23","16","Less: Consumption of fixed capital","B366RG3",20.398,21.279,22.419,23.389,24.183,27.042,30.983,33.236,35.805,38.715,42.614,48.182,53.659,58.076,60.437,62.203,63.004,65.097,66.756,68.727,71.459,73.71,76.221,78.328,80.151,82.375,84.275,85.786,86.564,87.337,88.561,89.575,90.671,91.523,93.046,96.058,100,103.303,106.247,110.276,111.932,111.81
"24","17","Equals: Net farm value added","A365RG3",140.376,140.479,141.603,170.388,296.163,279.401,227.037,219.558,203.069,254.286,275.051,220.635,197.325,160.77,192.875,205.557,151.373,144.67,147.867,169.084,180.321,173.377,148.971,143.504,145.6,137.502,142.077,173.133,139.587,128.257,102.29,87.167,101.316,87.462,104.046,130.903,100,89.877,138.422,137.931,92.601,116.308
