"","Table 1#6#8# Contributions to Percent Change in the Gross Domest","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93"
"1","; Seasonally adjusted at annual rates                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Quarterly data from 1947 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 26, 2011   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/25/2011 10:16:54 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1947,1947,1947,1947,1948,1948,1948,1948,1949,1949,1949,1949,1950,1950,1950,1950,1951,1951,1951,1951,1952,1952,1952,1952,1953,1953,1953,1953,1954,1954,1954,1954,1955,1955,1955,1955,1956,1956,1956,1956,1957,1957,1957,1957,1958,1958,1958,1958,1959,1959,1959,1959,1960,1960,1960,1960,1961,1961,1961,1961,1962,1962,1962,1962,1963,1963,1963,1963,1964,1964,1964,1964,1965,1965,1965,1965,1966,1966,1966,1966,1967,1967,1967,1967,1968,1968,1968,1968,1969,1969
"8",NA,NA,NA,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2
"9",NA,"Percent change at annual rate:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","1","  Gross domestic purchases","A712RV1",NA,4.8,6.3,8.6,5,4.9,7.7,0,-1.1,-2.3,-3.1,0.2,-0.9,1.9,8.8,7.4,14.9,2.6,1.2,5,0.3,1.5,2.8,1.1,0.1,0.8,1.3,1.4,2,0.8,-0.1,0.5,1.3,2.1,2.9,2.6,3.9,3.8,4.5,2.4,4.6,2.6,3,2,3.2,1.6,1,0.4,1.6,1,1.2,1.7,0.8,1.7,1.8,1.8,0.4,0.5,1.1,0.9,2.1,1.3,1,1.5,1.3,0.5,0.9,2.5,1.6,1.5,1.8,1.7,1.4,1.8,1.9,2.8,2.3,3.9,3.5,3.3,1.6,2.5,3.8,4.4,4.4,4.3,4.2,5.7,3.9,5.5
"11",NA,"Percentage points at annual rates:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2","Personal consumption expenditures","DPCERS2",NA,2.26,5.3,7.11,3.11,2.9,4.24,-0.78,-2.03,-1.5,-1.3,0.1,-0.04,1.6,5.8,4.72,8.38,1.94,0.33,3.37,1.23,0.06,1.69,0.41,0.9,0.39,1.42,1.24,1.49,-0.16,-0.7,-0.14,0.87,0.32,1.05,0.72,1.08,1.71,2.47,1.47,2.27,1.59,2.04,1.31,3.16,0.43,0.12,-0.16,1.57,0.88,1.43,1.35,0.35,1.34,0.99,1.15,0.47,-0.03,0.92,0.28,1.1,0.87,0.64,0.74,0.71,0.36,1.18,0.94,1.2,0.58,0.86,0.86,0.82,1.27,0.93,0.76,1.9,2.03,1.9,1.92,0.72,1.17,2.29,2.11,2.6,2.51,2.57,2.79,2.44,3.2
"13","3","  Goods","DGDSRS2",NA,1.62,2.61,4.51,2.34,1.74,2.57,-1.2,-1.98,-1.76,-1.68,-0.65,-0.48,1.14,4.11,3.29,6.31,1.11,-0.28,1.79,0.5,-0.75,0.61,-0.37,-0.11,-0.37,0.1,0.2,0.84,-0.41,-0.94,-0.66,0.2,-0.09,0.53,0.09,0.48,1.1,1.56,0.82,1.27,1.05,1.05,0.43,2.21,0.05,-0.32,-0.56,1.04,0.27,0.49,0.37,-0.24,0.64,0.18,0.51,0.18,-0.55,0.34,-0.23,0.38,0.29,0.2,0.36,0.15,0.01,0.79,0.31,0.61,-0.04,0.25,0.31,0.3,0.75,0.32,0,1.16,0.93,0.8,0.73,-0.1,0.3,1.35,0.97,1.16,1.07,1.17,1.29,0.88,1.52
"14","4","    Durable goods","DDURRS2",NA,0.34,0.21,0.5,0.28,0.46,1.26,-0.02,-0.24,-0.26,-0.37,0.22,0.29,0.55,0.72,0.62,1.32,0.08,-0.04,0.4,0.4,-0.31,0.44,-0.79,0.38,0.1,-0.15,0.18,0.43,-0.82,-0.54,-0.18,0.17,0.18,0.38,0.09,0.15,0.09,0.55,0.49,0.33,0.52,-0.01,0.05,0.59,-0.14,-0.01,-0.07,0.67,0.18,0.02,-0.01,-0.06,-0.05,-0.11,-0.06,0.01,0.16,0.15,-0.04,0,0.04,0.11,-0.14,0.01,0.11,0.1,0.11,0.05,-0.02,-0.04,-0.07,0.01,-0.12,-0.19,-0.21,-0.05,0.16,0.16,0.17,-0.08,0.16,0.4,0.36,0.24,0.23,0.31,0.35,0.22,0.29
