"","Table 3#9#4# Price Indexes for Government Consumption Expenditur","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"1","[Index numbers, 2005=100]                                                                                                                                                                                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1929 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 26, 2011   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 9/14/2011 10:42:12 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969
"8","1","    Government consumption expenditures and gross investment","B822RG3",6.389,6.192,5.88,5.352,5.511,5.929,5.979,6.159,6.29,6.303,6.201,6.129,6.507,6.539,6.645,6.559,6.633,8.213,8.875,9.218,9.482,9.488,10.118,10.321,10.429,10.65,11.093,11.716,12.234,12.602,12.653,12.809,13.065,13.398,13.69,14.07,14.444,15.044,15.671,16.52,17.517
"9","2","      Consumption expenditures \1\","A955RG3",5.148,5.054,4.921,4.661,4.672,4.93,5.012,5.096,5.188,5.215,5.142,5.043,5.254,5.246,5.368,5.478,5.754,7.307,7.838,8.068,8.355,8.398,8.83,8.999,9.18,9.462,9.936,10.386,10.838,11.285,11.315,11.528,11.812,12.151,12.454,12.869,13.268,13.866,14.499,15.341,16.262
"10","3","      Gross investment \2\","A782RG3",12.403,11.675,10.485,8.59,9.651,11.051,10.879,11.595,11.919,11.858,11.612,11.687,12.855,13.021,13.11,12.252,11.351,12.484,14.341,15.682,15.688,15.429,17.232,17.624,17.352,17.257,17.555,19.134,20.017,19.956,20.121,20.005,20.137,20.467,20.726,20.945,21.207,21.842,22.459,23.364,24.808
"11","4","        Structures","A760RG3",5.464,5.128,4.589,3.688,4.223,4.914,4.753,5.159,5.305,5.294,5.171,5.177,5.643,6.576,7.087,6.873,7.001,7.845,9.259,10.293,10.179,9.774,11.202,11.559,11.522,11.19,11.193,12.256,12.822,12.692,12.727,12.576,12.598,12.849,13.033,13.202,13.543,14.105,14.561,15.26,16.374
"12","5","        Equipment and software","A871RG3",29.293,28.53,26.7,26.272,25.381,26.238,28.3,26.884,27.514,26.804,26.691,27.754,31.179,27.601,26.982,25.083,23.001,25.33,28.158,29.834,30.504,31.602,33.828,34.273,33.34,33.993,35.316,38.248,40.01,40.344,41.016,41.127,41.674,42.167,42.604,42.903,42.502,42.928,43.856,45.043,46.848
"13","6","Federal","B823RG3",6.924,6.617,6.566,6.253,6.321,6.755,6.834,7.463,7.584,7.713,7.568,7.27,7.651,7.506,7.577,7.444,7.512,9.584,10.168,10.074,10.503,10.442,10.898,11.005,11.08,11.337,11.947,12.562,13.125,13.663,13.564,13.677,13.908,14.202,14.506,14.995,15.379,15.914,16.386,17.287,18.226
"14","7","    Consumption expenditures","B957RG3",5.557,5.315,5.355,5.229,5.195,5.481,5.517,6.142,6.195,6.336,6.205,5.857,6.039,5.855,5.932,6.033,6.348,8.34,8.809,8.662,9.062,8.991,9.294,9.352,9.502,9.772,10.371,10.821,11.276,11.823,11.661,11.783,12.004,12.282,12.582,13.084,13.512,14.038,14.471,15.33,16.169
"15","8","    Gross investment","B787RG3",17.675,16.808,15.405,13.243,14.161,15.679,16.025,16.631,17.324,17.282,17.092,17.488,19.087,18.956,19.044,17.78,16.441,18.068,20.306,21.535,22.006,22.131,24.032,24.53,24.038,24.213,24.863,26.957,28.449,28.775,29.265,29.297,29.608,30.048,30.376,30.678,30.548,31.055,31.806,32.807,34.502
"16","9","      Structures","B801RG3",4.485,4.259,3.88,3.255,3.544,3.996,3.923,4.229,4.486,4.53,4.455,4.513,4.809,5.581,6.014,5.829,5.992,6.647,8.267,8.903,9.029,8.628,9.718,10.087,10.109,9.858,9.916,10.681,11.265,11.415,11.453,11.416,11.412,11.63,11.743,11.954,12.172,12.65,13.104,13.81,15.007
"17","10","      Equipment and software","B872RG3",27.488,26.333,24.912,25.102,23.346,24.35,27.476,25.567,24.972,24.01,24.07,25.202,28.679,25.277,24.709,22.964,21.05,23.165,25.43,26.782,27.476,28.489,30.372,30.787,29.901,30.487,31.535,34.268,36.173,36.558,37.387,37.486,38.033,38.547,38.982,39.269,38.805,39.151,39.976,41.012,42.741
"18","11","  National defense","B824RG3",7.046,6.803,6.716,6.577,6.428,6.773,6.974,7.133,7.37,7.4,7.345,6.984,7.457,7.297,7.371,7.251,7.298,9.36,10.037,9.986,10.322,10.313,10.737,10.779,10.825,11.114,11.732,12.397,12.957,13.45,13.34,13.44,13.633,13.897,14.209,14.62,15.024,15.535,15.994,16.834,17.757
"19","12","    Consumption expenditures","B997RG3",5.885,5.696,5.663,5.585,5.449,5.698,5.867,6.009,6.093,6.127,6.087,5.637,5.888,5.713,5.778,5.903,6.187,8.159,8.706,8.614,8.918,8.877,9.151,9.152,9.279,9.579,10.187,10.681,11.138,11.631,11.462,11.577,11.753,12.004,12.323,12.771,13.193,13.696,14.133,14.942,15.764
"20","13","    Gross investment","B788RG3",15.934,14.682,13.316,12.028,11.999,13.373,13.775,13.973,15.392,15.377,15.216,15.544,17.143,16.92,17.044,15.872,14.68,16.4,19.05,20.208,20.686,21.174,23.092,23.463,22.922,23.167,23.858,25.938,27.354,27.72,28.154,28.143,28.471,28.844,29.084,29.067,29.15,29.545,30.056,30.842,32.506
"21","14","      Structures","B808RG3",3.563,3.266,2.977,2.503,2.664,2.991,3.019,3.143,3.422,3.392,3.34,3.5,3.792,4.476,4.837,4.685,4.79,5.376,6.804,7.138,7.208,6.883,8.075,8.315,8.282,8.049,8.135,8.761,9.198,9.431,9.466,9.435,9.357,9.549,9.615,9.759,9.791,10.306,10.634,11.333,12.654
"22","15","      Equipment and software","B873RG3",21.041,19.576,17.617,17.904,16.367,18.037,19.195,18.581,21.055,21.395,21.339,20.786,23.725,20.229,19.845,18.391,16.878,18.935,21.51,22.868,23.474,24.347,26.055,26.366,25.603,26.173,27.096,29.529,31.179,31.489,32.082,32.09,32.602,32.987,33.27,33.178,33.272,33.563,34.093,34.846,36.449
"23","16","  Nondefense","B825RG3",6.975,6.591,6.576,6.089,6.321,6.802,6.834,7.635,7.719,7.883,7.707,7.428,7.654,7.875,7.666,7.185,8.018,9.788,10.052,9.815,10.475,10.262,10.807,11.375,11.671,11.679,12.181,12.421,12.942,13.739,13.775,13.946,14.359,14.783,15.037,15.798,16.104,16.708,17.215,18.327,19.284
"24","17","    Consumption expenditures","B542RG3",5.533,5.209,5.339,5.144,5.214,5.53,5.493,6.353,6.398,6.58,6.415,6.098,6.171,6.234,6.216,5.564,6.667,8.538,8.718,8.36,9.015,8.832,9.239,9.719,10.018,10.077,10.582,10.738,11.147,12.002,11.981,12.133,12.57,12.958,13.164,13.858,14.301,14.9,15.294,16.339,17.217
"25","18","    Gross investment","B798RG3",19.607,18.801,17.288,14.661,15.888,17.576,17.948,18.708,19.154,19.096,18.881,19.303,20.744,22.016,20.288,22.063,20.279,20.417,20.922,22.192,22.601,22.028,23.665,24.961,25.175,24.496,24.383,25.71,27.285,27.214,27.962,28.277,28.407,29.092,29.733,31.03,30.372,31.09,32.455,34.034,35.549
"26","19","      Structures","B830RG3",6.403,6.122,5.576,4.675,5.105,5.757,5.638,6.11,6.437,6.535,6.426,6.37,6.55,6.377,6.518,6.36,6.951,8.145,9.389,10.244,10.412,9.952,10.824,11.445,11.689,11.516,11.41,12.29,13.093,12.964,12.999,12.958,13.09,13.32,13.486,13.747,14.091,14.564,15.115,15.827,16.884
"27","20","      Equipment and software","B880RG3",32.642,32.184,32.616,32.42,30.896,31.181,35.525,32.741,29.842,27.864,28.025,31.061,35.437,40.374,34.056,40.122,34.087,33.712,34.455,35.414,36.297,37.561,38.98,40.857,39.809,37.27,37.564,37.234,38.941,40.393,49.042,54.181,53.219,55.573,58.041,63.141,57.665,58.233,61.235,64.322,65.582
"28","21","State and local","B829RG3",4.809,4.675,4.395,3.956,4.096,4.42,4.451,4.432,4.541,4.505,4.441,4.48,4.781,5.284,5.675,5.895,6.09,6.654,7.466,8.346,8.418,8.494,9.365,9.768,9.958,10.123,10.32,10.981,11.456,11.608,11.851,12.066,12.357,12.743,13.028,13.293,13.662,14.334,15.137,15.945,17.013
"29","22","  Consumption expenditures","B991RG3",4.13,4.087,3.94,3.699,3.718,3.924,4.005,3.851,3.952,3.917,3.885,3.94,4.143,4.507,4.844,5.061,5.248,5.735,6.376,7.131,7.256,7.445,8.07,8.476,8.735,9.056,9.292,9.751,10.2,10.485,10.812,11.158,11.528,11.952,12.258,12.554,12.915,13.602,14.505,15.321,16.346
"30","23","  Gross investment","B799RG3",7.401,6.961,6.238,5.071,5.792,6.742,6.487,7.015,7.167,7.122,6.949,6.938,7.679,8.965,9.578,9.391,9.331,10.207,11.947,13.336,13.122,12.691,14.579,14.967,14.878,14.478,14.555,15.953,16.546,16.27,16.259,16.046,16.084,16.375,16.611,16.795,17.222,17.905,18.462,19.31,20.612
"31","24","    Structures","B842RG3",5.842,5.477,4.893,3.905,4.546,5.361,5.147,5.601,5.692,5.657,5.515,5.494,6.1,7.17,7.732,7.547,7.462,8.148,9.511,10.651,10.456,10.054,11.59,11.92,11.841,11.477,11.457,12.605,13.156,12.929,12.962,12.774,12.805,13.064,13.267,13.422,13.791,14.369,14.825,15.525,16.631
"32","25","    Equipment and software","B881RG3",22.599,22.074,20.607,20.162,19.754,20.368,20.038,19.916,22.007,21.858,21.542,22.134,23.527,25.377,24.944,25.224,25.882,28.702,34.364,37.355,37.539,38.711,42.753,42.989,43.047,43.874,48.032,50.287,48.616,48.124,46.28,46.437,46.513,46.306,46.421,46.63,46.902,47.672,48.866,50.514,52.054
"33",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
