"","Table 5#10# Capital Transfers Paid and Received, by Sector and b","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45"
"1","[Billions of dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1969 To 2010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 08, 2011   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 11/21/2011 7:29:39 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
"8","1","Capital transfers paid, by sector","W940RC1",10.5,10,11.7,12.9,12.6,14.2,16.2,17.9,20.5,19.2,22.1,25.5,25,24.8,23.9,26.1,28.5,30.1,29.7,30.9,35.9,44,43.4,57.6,44,58.8,49.9,51.5,56.2,61.3,74.8,72.2,102.5,81.8,90.6,119.2,165.7,103.6,114.5,209.6,290.1,209.9
"9","2","  By private business","W941RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.3,0,1.3,17.7,2.1,12.5,2,0,0,0,1.8,0,11.6,0,0,17.3,28.9,0,0,7.6,40.4,25.8
"10","3","    Financial corporations","W942RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.3,0,1.3,17.7,2.1,12.5,2,0,0,0,1.8,0,11.6,0,0,17.3,28.9,0,0,7.6,0,0
"11","4","      Disaster-related insurance benefits","W943RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.3,0,1.3,17.7,2.1,12.5,2,0,0,0,1.8,0,11.6,0,0,17.3,28.9,0,0,7.6,0,0
"12","5","      Other","W944RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13","6","    Nonfinancial corporations \1,2\","W945RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.4,25.8
"14","7","    Noncorporate business","W946RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15","8","  By government","W947RC1",5.9,5.3,5.9,6.1,6,7.9,9.7,10.6,11.2,12,14.5,16.7,15.7,14.7,15.6,17.8,19.6,20.1,19.1,19.8,20.2,28.2,26.5,22.6,24.3,26,27.9,28.4,29.2,28.9,36.3,36.6,42,49.2,62.6,68,91.2,70.5,82.8,161.8,224.7,164.6
"16","9","    Federal","W948RC1",5.9,5.3,5.9,6.1,6,7.9,9.7,10.6,11.2,12,14.5,16.7,15.7,14.7,15.6,17.8,19.6,20.1,19.1,19.8,20.2,28.2,26.5,22.6,24.3,26,27.9,28.4,29.2,28.9,36.3,36.6,42,49.2,62.6,63.5,84.8,70.5,82.8,161.8,224.7,164.6
"17","10","      Investment grants to state and local governments \3\","AD11RC1",5.8,5.1,5.8,5.8,5.8,7.7,9.4,10.4,11,11.7,14.2,16.3,15.4,14.4,15.4,17.7,19.4,20,19,19.6,19.9,20.8,21.2,22.4,23.5,24.8,27.3,28.2,28.8,28.7,31.9,36.2,41.7,45,45.5,46.3,48.9,52.1,53.7,57.1,62.8,73.6
"18","11","      Disaster-related insurance benefits","W949RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.3,0,0,2.8,0,0
"19","12","      Financial stabilization payments \4\","W950RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67.7,121.9,41.5
"20","13","      Other capital transfers paid to business \5\","W951RC1",0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0,0,0.1,8.1,12.3
