"","Table 1#10# Gross Domestic Income by Type of Income             ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45"
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010"
"19","1","    Gross domestic income","A261RC1","981,560.0","1,031,449.0","1,115,803.0","1,228,939.0","1,374,250.0","1,489,638.0","1,621,394.0","1,801,113.0","2,008,917.0","2,267,707.0","2,515,255.0","2,742,851.0","3,090,256.0","3,248,444.0","3,484,911.0","3,899,356.0","4,175,169.0","4,392,323.0","4,703,481.0","5,109,955.0","5,426,041.0","5,716,327.0","5,912,357.0","6,232,314.0","6,531,555.0","6,976,351.0","7,362,133.0","7,812,536.0","8,346,336.0","8,878,816.0","9,424,551.0","10,085,468.0","10,389,521.0","10,664,388.0","11,125,532.0","11,875,602.0","12,718,041.0","13,619,489.0","14,040,664.0","14,232,465.0","13,939,899.0","14,502,226.0"
"20","2","Compensation of employees, paid","A4002C1","577,589.0","617,195.0","658,888.0","725,138.0","811,236.0","890,271.0","949,188.0","1,059,379.0","1,180,587.0","1,335,555.0","1,498,361.0","1,647,670.0","1,819,820.0","1,919,834.0","2,035,707.0","2,245,657.0","2,411,963.0","2,559,437.0","2,736,994.0","2,955,022.0","3,132,603.0","3,328,564.0","3,441,082.0","3,634,394.0","3,800,415.0","4,002,549.0","4,199,268.0","4,395,489.0","4,670,024.0","5,027,805.0","5,359,150.0","5,793,539.0","5,984,534.0","6,116,389.0","6,388,293.0","6,699,555.0","7,071,450.0","7,483,609.0","7,862,992.0","8,068,119.0","7,819,518.0","7,992,878.0"
"21","3","  Wage and salary accruals","A4102C1","518,311.0","551,537.0","584,528.0","638,786.0","708,775.0","772,304.0","814,881.0","899,782.0","994,220.0","1,120,669.0","1,253,385.0","1,373,520.0","1,511,529.0","1,587,709.0","1,677,686.0","1,845,126.0","1,982,765.0","2,104,117.0","2,257,622.0","2,440,649.0","2,584,336.0","2,743,506.0","2,817,229.0","2,960,750.0","3,086,357.0","3,252,473.0","3,438,481.0","3,624,114.0","3,878,040.0","4,185,479.0","4,470,389.0","4,832,388.0","4,957,417.0","5,002,880.0","5,160,302.0","5,416,839.0","5,712,389.0","6,076,756.0","6,422,567.0","6,561,363.0","6,286,930.0","6,407,237.0"
"22","4","    Disbursements","W269RC1","518,311.0","551,537.0","583,946.0","638,782.0","708,831.0","772,784.0","814,781.0","899,682.0","994,120.0","1,120,398.0","1,253,566.0","1,373,560.0","1,511,470.0","1,587,713.0","1,678,131.0","1,844,906.0","1,982,995.0","2,104,117.0","2,257,622.0","2,440,649.0","2,584,336.0","2,743,456.0","2,817,279.0","2,976,506.0","3,079,910.0","3,234,854.0","3,422,112.0","3,620,466.0","3,880,973.0","4,186,184.0","4,465,239.0","4,832,388.0","4,957,417.0","5,002,880.0","5,145,302.0","5,431,839.0","5,707,389.0","6,075,506.0","6,428,817.0","6,566,363.0","6,281,930.0","6,407,237.0"
"23","5","      To persons","W270RC1","518,096.0","551,309.0","583,699.0","638,499.0","708,523.0","772,432.0","814,381.0","899,260.0","993,656.0","1,119,895.0","1,253,065.0","1,372,997.0","1,510,803.0","1,586,981.0","1,677,384.0","1,844,076.0","1,982,134.0","2,101,427.0","2,255,272.0","2,438,787.0","2,582,034.0","2,739,977.0","2,813,238.0","2,971,745.0","3,074,770.0","3,228,896.0","3,415,843.0","3,614,160.0","3,874,301.0","4,179,184.0","4,457,278.0","4,824,863.0","4,949,323.0","4,994,495.0","5,136,785.0","5,422,869.0","5,698,092.0","6,066,010.0","6,418,753.0","6,555,999.0","6,271,173.0","6,395,767.0"
"24","6","      To the rest of the world","B4189C1","215.0","228.0","247.0","283.0","308.0","352.0","400.0","422.0","464.0","503.0","501.0","563.0","667.0","732.0","747.0","830.0","861.0","2,690.0","2,350.0","1,862.0","2,302.0","3,479.0","4,041.0","4,761.0","5,140.0","5,958.0","6,269.0","6,306.0","6,672.0","7,000.0","7,961.0","7,525.0","8,094.0","8,385.0","8,517.0","8,970.0","9,297.0","9,496.0","10,064.0","10,364.0","10,757.0","11,470.0"
"25","7","    Wage accruals less disbursements","A062RC1","0.0","0.0","582.0","4.0","-56.0","-480.0","100.0","100.0","100.0","271.0","-181.0","-40.0","59.0","-4.0","-445.0","220.0","-230.0","0.0","0.0","0.0","0.0","50.0","-50.0","-15,756.0","6,447.0","17,619.0","16,369.0","3,648.0","-2,933.0","-705.0","5,150.0","0.0","0.0","0.0","15,000.0","-15,000.0","5,000.0","1,250.0","-6,250.0","-5,000.0","5,000.0","0.0"
"26","8","  Supplements to wages and salaries","A038RC1","59,278.0","65,658.0","74,360.0","86,352.0","102,461.0","117,967.0","134,307.0","159,597.0","186,367.0","214,886.0","244,976.0","274,150.0","308,291.0","332,125.0","358,021.0","400,531.0","429,198.0","455,320.0","479,372.0","514,373.0","548,267.0","585,058.0","623,853.0","673,644.0","714,058.0","750,076.0","760,787.0","771,375.0","791,984.0","842,326.0","888,761.0","961,151.0","1,027,117.0","1,113,509.0","1,227,991.0","1,282,716.0","1,359,061.0","1,406,853.0","1,440,425.0","1,506,756.0","1,532,588.0","1,585,641.0"
"27","9","Taxes on production and imports","W056RC1","83,856.0","91,413.0","100,493.0","107,928.0","117,220.0","124,902.0","135,292.0","146,388.0","159,664.0","170,898.0","180,101.0","200,330.0","235,644.0","240,933.0","263,281.0","289,773.0","308,133.0","323,373.0","347,545.0","374,464.0","398,867.0","424,990.0","457,091.0","483,376.0","503,125.0","545,248.0","557,903.0","580,754.0","611,615.0","639,473.0","673,585.0","708,556.0","727,690.0","762,791.0","806,802.0","863,402.0","930,176.0","986,809.0","1,027,188.0","1,045,122.0","1,024,703.0","1,058,514.0"
"28","10","Less: Subsidies \1\","A107RC1","4,534.0","4,777.0","4,675.0","6,636.0","5,230.0","3,307.0","4,494.0","5,125.0","7,100.0","8,936.0","8,531.0","9,800.0","11,473.0","15,017.0","21,304.0","21,065.0","21,360.0","24,895.0","30,282.0","29,502.0","27,428.0","26,993.0","27,488.0","30,088.0","36,681.0","32,523.0","34,812.0","35,234.0","33,810.0","36,368.0","45,209.0","45,840.0","58,722.0","41,390.0","49,057.0","46,386.0","60,913.0","51,352.0","54,575.0","52,783.0","60,344.0","59,039.0"
"29","11","Net operating surplus","W271RC1","225,458.0","219,305.0","243,324.0","275,354.0","310,242.0","314,086.0","351,028.0","392,300.0","443,989.0","508,776.0","546,416.0","560,566.0","652,923.0","669,155.0","756,119.0","910,647.0","970,991.0","995,932.0","1,078,129.0","1,198,959.0","1,270,550.0","1,298,565.0","1,317,313.0","1,400,278.0","1,486,676.0","1,641,907.0","1,770,313.0","1,959,010.0","2,134,699.0","2,227,359.0","2,342,635.0","2,444,890.0","2,479,791.0","2,521,612.0","2,625,443.0","2,926,266.0","3,235,953.0","3,539,747.0","3,437,544.0","3,322,791.0","3,294,911.0","3,641,028.0"
"30","12","  Private enterprises","W260RC1","224,438.0","219,337.0","243,564.0","274,877.0","310,609.0","315,015.0","354,269.0","394,102.0","446,676.0","510,977.0","549,298.0","565,659.0","658,499.0","673,635.0","759,299.0","912,558.0","970,428.0","995,053.0","1,077,972.0","1,196,386.0","1,265,621.0","1,296,998.0","1,311,640.0","1,392,046.0","1,477,995.0","1,632,307.0","1,757,183.0","1,944,656.0","2,120,595.0","2,214,065.0","2,328,539.0","2,435,746.0","2,475,744.0","2,515,267.0","2,618,473.0","2,925,023.0","3,239,444.0","3,543,962.0","3,449,320.0","3,339,492.0","3,308,139.0","3,654,283.0"
"31","13","    Net interest and miscellaneous payments, domestic industries","W272RC1","33,217.0","39,861.0","44,155.0","48,876.0","57,501.0","72,693.0","83,207.0","85,201.0","99,828.0","116,216.0","141,475.0","183,014.0","228,923.0","267,007.0","283,111.0","327,128.0","352,829.0","387,161.0","395,650.0","418,060.0","474,019.0","483,577.0","462,036.0","428,697.0","407,025.0","412,103.0","417,514.0","437,243.0","487,252.0","560,208.0","569,873.0","642,452.0","656,926.0","609,565.0","595,487.0","569,295.0","678,932.0","830,051.0","952,123.0","1,042,252.0","982,495.0","925,287.0"
"32","14","    Business current transfer payments (net)","B029RC1","4,941.0","4,519.0","4,324.0","4,930.0","5,970.0","7,133.0","9,408.0","9,520.0","8,465.0","10,815.0","13,328.0","14,732.0","17,912.0","20,612.0","22,601.0","30,290.0","35,205.0","36,850.0","34,061.0","33,621.0","39,179.0","40,112.0","39,936.0","40,673.0","40,492.0","41,926.0","45,838.0","53,759.0","51,286.0","65,199.0","68,951.0","86,963.0","101,258.0","82,366.0","76,145.0","81,686.0","95,876.0","82,959.0","103,326.0","121,720.0","134,033.0","132,074.0"
"33","15","    Proprietors' income with inventory valuation and capital consumption adjustments","A041RC1","77,508.0","78,477.0","84,683.0","96,036.0","113,627.0","113,483.0","119,608.0","132,240.0","146,029.0","167,504.0","181,110.0","173,467.0","181,616.0","174,833.0","190,650.0","233,069.0","246,103.0","262,563.0","294,247.0","334,839.0","351,576.0","365,144.0","367,281.0","414,921.0","449,616.0","485,105.0","516,025.0","583,683.0","628,233.0","687,531.0","746,802.0","817,458.0","870,725.0","890,292.0","930,646.0","1,033,756.0","1,069,782.0","1,132,961.0","1,090,362.0","1,101,986.0","1,011,937.0","1,055,039.0"
"34","16","    Rental income of persons with capital consumption adjustment","A048RC1","20,896.0","21,074.0","22,183.0","23,143.0","23,904.0","24,048.0","23,367.0","22,085.0","19,625.0","20,884.0","22,643.0","28,494.0","36,459.0","38,050.0","38,165.0","40,030.0","41,851.0","33,827.0","34,184.0","40,232.0","42,414.0","49,804.0","61,581.0","84,619.0","114,089.0","142,914.0","154,567.0","170,440.0","176,548.0","191,468.0","208,156.0","215,275.0","232,371.0","218,738.0","204,163.0","198,383.0","178,210.0","146,520.0","143,746.0","222,043.0","273,992.0","300,926.0"
"35","17","    Corporate profits with inventory valuation and capital consumption adjustments, domestic industries","A445RC1","87,876.0","75,406.0","88,219.0","101,892.0","109,607.0","97,658.0","118,679.0","145,056.0","172,729.0","195,558.0","190,742.0","165,952.0","193,589.0","173,133.0","224,772.0","282,041.0","294,440.0","274,652.0","319,830.0","369,634.0","358,433.0","358,361.0","380,806.0","423,136.0","466,773.0","550,259.0","623,239.0","699,531.0","777,276.0","709,659.0","734,757.0","673,598.0","614,464.0","714,306.0","812,032.0","1,041,903.0","1,216,644.0","1,351,471.0","1,159,763.0","851,491.0","905,682.0","1,240,957.0"
"36","18","      Taxes on corporate income","A054RC1","39,977.0","34,757.0","38,165.0","42,341.0","49,973.0","52,785.0","51,646.0","65,288.0","74,441.0","84,858.0","90,016.0","87,190.0","84,339.0","66,499.0","80,648.0","97,531.0","99,406.0","109,675.0","130,441.0","141,630.0","146,068.0","145,424.0","138,591.0","148,688.0","171,034.0","193,141.0","217,838.0","231,469.0","245,421.0","248,366.0","258,784.0","265,092.0","203,296.0","192,336.0","243,767.0","306,093.0","412,384.0","473,267.0","445,465.0","308,363.0","254,872.0","416,577.0"
"37","19","      Profits after tax with inventory valuation and capital consumption adjustments","W273RC1","47,899.0","40,649.0","50,054.0","59,551.0","59,634.0","44,873.0","67,033.0","79,768.0","98,288.0","110,700.0","100,726.0","78,762.0","109,250.0","106,634.0","144,124.0","184,510.0","195,034.0","164,977.0","189,389.0","228,004.0","212,365.0","212,937.0","242,215.0","274,448.0","295,739.0","357,118.0","405,401.0","468,062.0","531,855.0","461,293.0","475,973.0","408,506.0","411,168.0","521,970.0","568,265.0","735,810.0","804,260.0","878,204.0","714,298.0","543,128.0","650,810.0","824,380.0"
"38","20","        Net dividends","A449RC1","20,403.0","20,371.0","20,337.0","21,942.0","23,107.0","23,454.0","26,404.0","30,055.0","33,690.0","39,609.0","41,479.0","47,322.0","58,311.0","61,329.0","71,319.0","78,515.0","85,709.0","88,297.0","95,607.0","98,025.0","126,374.0","144,088.0","156,356.0","159,993.0","182,348.0","197,557.0","221,632.0","257,331.0","283,995.0","309,184.0","295,700.0","348,456.0","330,056.0","351,177.0","392,766.0","488,017.0","296,458.0","626,877.0","649,723.0","611,525.0","611,632.0","616,608.0"
"39","21","        Undistributed corporate profits with inventory valuation and capital consumption adjustments","W274RC1","27,496.0","20,278.0","29,717.0","37,609.0","36,527.0","21,419.0","40,629.0","49,713.0","64,598.0","71,091.0","59,247.0","31,440.0","50,939.0","45,305.0","72,805.0","105,995.0","109,325.0","76,680.0","93,782.0","129,979.0","85,991.0","68,849.0","85,859.0","114,455.0","113,391.0","159,561.0","183,769.0","210,731.0","247,860.0","152,109.0","180,273.0","60,050.0","81,112.0","170,793.0","175,499.0","247,793.0","507,802.0","251,327.0","64,575.0","-68,397.0","39,178.0","207,772.0"
"40","22","  Current surplus of government enterprises \1\","A108RC1","1,020.0","-32.0","-240.0","477.0","-367.0","-929.0","-3,241.0","-1,802.0","-2,687.0","-2,201.0","-2,882.0","-5,093.0","-5,576.0","-4,480.0","-3,180.0","-1,911.0","563.0","879.0","157.0","2,573.0","4,929.0","1,567.0","5,673.0","8,232.0","8,681.0","9,600.0","13,130.0","14,354.0","14,104.0","13,294.0","14,096.0","9,144.0","4,047.0","6,345.0","6,970.0","1,243.0","-3,491.0","-4,215.0","-11,776.0","-16,701.0","-13,228.0","-13,255.0"
"41","23","Consumption of fixed capital","A262RC1","99,191.0","108,313.0","117,773.0","127,151.0","140,782.0","163,686.0","190,379.0","208,170.0","231,776.0","261,414.0","298,901.0","344,085.0","393,342.0","433,542.0","451,105.0","474,347.0","505,443.0","538,475.0","571,094.0","611,014.0","651,452.0","691,202.0","724,360.0","744,351.0","778,015.0","819,167.0","869,460.0","912,517.0","963,805.0","1,020,547.0","1,094,390.0","1,184,324.0","1,256,221.0","1,304,979.0","1,354,052.0","1,432,765.0","1,541,375.0","1,660,677.0","1,767,511.0","1,849,209.0","1,861,108.0","1,868,852.0"
"42","24","  Private","A024RC1","74,490.0","81,702.0","89,528.0","97,713.0","109,459.0","127,835.0","150,449.0","165,544.0","186,148.0","211,962.0","244,462.0","282,290.0","323,249.0","356,438.0","369,519.0","387,466.0","412,774.0","439,063.0","464,485.0","497,114.0","529,604.0","560,416.0","585,433.0","599,900.0","626,383.0","660,953.0","704,619.0","743,352.0","789,710.0","841,567.0","907,237.0","986,828.0","1,051,593.0","1,094,033.0","1,135,933.0","1,200,874.0","1,290,810.0","1,391,388.0","1,476,195.0","1,536,895.0","1,535,825.0","1,533,969.0"
"43","25","  Government","A264RC1","24,701.0","26,611.0","28,245.0","29,438.0","31,323.0","35,851.0","39,930.0","42,626.0","45,628.0","49,452.0","54,439.0","61,795.0","70,093.0","77,104.0","81,586.0","86,881.0","92,669.0","99,412.0","106,609.0","113,900.0","121,848.0","130,786.0","138,927.0","144,451.0","151,632.0","158,214.0","164,841.0","169,165.0","174,095.0","178,980.0","187,153.0","197,496.0","204,628.0","210,946.0","218,119.0","231,891.0","250,565.0","269,289.0","291,316.0","312,314.0","325,283.0","334,883.0"
"44",NA,"Addendum:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","26","  Statistical discrepancy","A030RC1","2,871.0","6,877.0","11,014.0","8,946.0","8,019.0","9,814.0","16,306.0","23,470.0","21,213.0","26,055.0","46,973.0","45,292.0","36,581.0","4,750.0","49,695.0","31,539.0","42,301.0","67,744.0","32,873.0","-9,533.0","56,105.0","84,200.0","79,737.0","109,992.0","135,795.0","108,809.0","52,522.0","25,920.0","-13,974.0","-85,321.0","-71,067.0","-133,986.0","-103,354.0","-22,072.0","16,611.0","-7,849.0","-79,660.0","-220,572.0","21,135.0","136,594.0","179,141.0","158,178.0"
"46",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","1. Prior to 1959, subsidies (line 10) and the current surplus of government enterprises (line 22) are",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","not shown separately; subsidies are presented net of the current surplus of government enterprises.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
