"","Table 5#5#5# Private Fixed Investment in Equipment and Software ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"1","[Millions of dollars]                                                           ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1929 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 05, 2010   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 6/23/2011 9:37:18 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Cautionary note on the use of data in millions of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","dollars -- The tables provided include estimates in ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","millions of dollars for NIPA series that appear regularly in the national income ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","and product account (NIPA) tables published in the Survey of Current Business. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969"
"19","1","      Private fixed investment in equipment and software","A327RC1","5,570.0","4,247.0","2,700.0","1,495.0","1,476.0","2,149.0","2,893.0","3,953.0","4,853.0","3,471.0","3,960.0","5,254.0","6,556.0","4,147.0","3,706.0","5,026.0","7,329.0","10,122.0","15,617.0","17,610.0","16,031.0","18,174.0","20,245.0","20,062.0","21,917.0","21,203.0","24,320.0","26,801.0","29,016.0","25,353.0","28,929.0","30,335.0","29,592.0","32,817.0","35,392.0","39,853.0","47,143.0","54,726.0","55,576.0","60,716.0","67,963.0"
"20","2","Nonresidential equipment and software","B010RC1","5,492.0","4,180.0","2,643.0","1,460.0","1,436.0","2,098.0","2,833.0","3,881.0","4,770.0","3,401.0","3,883.0","5,167.0","6,443.0","4,065.0","3,671.0","5,002.0","7,285.0","9,945.0","15,316.0","17,280.0","15,732.0","17,799.0","19,874.0","19,694.0","21,531.0","20,812.0","23,888.0","26,343.0","28,561.0","24,877.0","28,359.0","29,806.0","29,071.0","32,277.0","34,800.0","39,225.0","46,456.0","54,034.0","54,865.0","59,850.0","66,953.0"
"21","3","  Information processing equipment and software","A679RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","1,144.0","1,723.0","1,809.0","1,628.0","1,841.0","2,149.0","2,430.0","2,666.0","2,424.0","2,818.0","3,355.0","3,982.0","3,606.0","3,988.0","4,869.0","5,261.0","5,707.0","6,527.0","7,364.0","8,517.0","10,663.0","11,277.0","11,915.0","14,611.0"
"22","4","    Computers, software, and communication","W175RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","1,799.0","2,571.0","3,111.0","3,603.0","4,035.0","4,463.0","5,291.0","6,683.0","7,255.0","7,852.0","9,897.0"
"23","5","      Computers and peripheral equipment","B935RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","20.0","192.0","261.0","347.0","734.0","927.0","1,163.0","1,698.0","1,869.0","1,925.0","2,440.0"
"24","6","      Software \1\","B985RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","14.0","127.0","167.0","221.0","433.0","541.0","677.0","1,011.0","1,172.0","1,318.0","1,790.0"
"25","7","      Communication equipment \2\","C275RC1","443.0","339.0","230.0","108.0","80.0","132.0","193.0","246.0","396.0","263.0","312.0","468.0","522.0","341.0","309.0","632.0","724.0","444.0","737.0","725.0","647.0","735.0","853.0","1,076.0","1,192.0","1,048.0","1,161.0","1,438.0","1,703.0","1,484.0","1,765.0","2,252.0","2,683.0","3,035.0","2,868.0","2,995.0","3,451.0","3,974.0","4,214.0","4,609.0","5,667.0"
"26","8","    Medical equipment and instruments","W176RC1","15.0","12.0","9.0","6.0","5.0","6.0","7.0","9.0","14.0","10.0","13.0","11.0","11.0","6.0","12.0","12.0","32.0","75.0","119.0","123.0","111.0","127.0","157.0","156.0","140.0","150.0","190.0","218.0","226.0","204.0","236.0","288.0","320.0","343.0","418.0","479.0","521.0","605.0","821.0","844.0","1,061.0"
"27","9","    Nonmedical instruments","W177RC1","66.0","57.0","42.0","28.0","24.0","26.0","34.0","42.0","61.0","47.0","58.0","50.0","48.0","26.0","55.0","57.0","148.0","162.0","241.0","267.0","250.0","298.0","359.0","382.0","401.0","297.0","420.0","477.0","525.0","464.0","473.0","490.0","479.0","446.0","474.0","495.0","567.0","639.0","722.0","735.0","798.0"
"28","10","    Photocopy and related equipment","C285RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","64.0","95.0","107.0","102.0","105.0","119.0","131.0","165.0","176.0","184.0","196.0","218.0","185.0","247.0","296.0","309.0","392.0","622.0","949.0","1,138.0","1,447.0","1,226.0","1,304.0","1,460.0"
"29","11","    Office and accounting equipment","B936RC1","185.0","132.0","96.0","67.0","66.0","81.0","106.0","129.0","158.0","132.0","137.0","159.0","198.0","154.0","109.0","160.0","211.0","399.0","531.0","587.0","518.0","576.0","661.0","685.0","768.0","753.0","863.0","1,026.0","1,310.0","1,262.0","1,233.0","1,224.0","1,042.0","923.0","978.0","978.0","1,000.0","1,289.0","1,253.0","1,180.0","1,395.0"
"30","12","  Industrial equipment","A680RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","3,158.0","4,599.0","4,610.0","3,723.0","4,477.0","5,669.0","5,929.0","6,715.0","7,050.0","7,252.0","8,844.0","9,625.0","8,211.0","8,525.0","9,375.0","8,801.0","9,253.0","10,027.0","11,433.0","13,680.0","16,150.0","16,919.0","17,280.0","19,051.0"
"31","13","    Fabricated metal products","C263RC1","132.0","112.0","80.0","49.0","40.0","57.0","64.0","74.0","94.0","70.0","80.0","96.0","121.0","117.0","147.0","174.0","215.0","336.0","538.0","541.0","442.0","483.0","659.0","762.0","825.0","877.0","818.0","940.0","1,126.0","1,042.0","949.0","925.0","863.0","793.0","877.0","1,019.0","1,207.0","1,411.0","1,405.0","1,704.0","2,118.0"
"32","14","    Engines and turbines","A668RC1","54.0","45.0","26.0","12.0","10.0","17.0","25.0","43.0","64.0","44.0","54.0","62.0","56.0","26.0","47.0","91.0","193.0","50.0","143.0","216.0","208.0","275.0","225.0","313.0","311.0","455.0","421.0","445.0","632.0","659.0","584.0","556.0","477.0","425.0","423.0","427.0","450.0","546.0","760.0","940.0","1,104.0"
"33","15","    Metalworking machinery","C271RC1","216.0","138.0","83.0","32.0","34.0","67.0","121.0","181.0","247.0","142.0","199.0","440.0","618.0","583.0","549.0","452.0","556.0","727.0","767.0","644.0","436.0","680.0","1,001.0","1,118.0","1,437.0","1,588.0","1,327.0","1,840.0","1,857.0","1,186.0","1,307.0","1,549.0","1,399.0","1,576.0","1,906.0","2,033.0","2,625.0","3,290.0","4,223.0","3,915.0","3,970.0"
"34","16","    Special industry machinery, n.e.c.","C272RC1","376.0","266.0","194.0","123.0","140.0","172.0","210.0","286.0","340.0","255.0","275.0","310.0","329.0","275.0","215.0","334.0","491.0","716.0","1,146.0","1,195.0","976.0","1,159.0","1,362.0","1,206.0","1,288.0","1,155.0","1,428.0","1,673.0","1,691.0","1,528.0","1,660.0","1,928.0","1,853.0","2,042.0","2,066.0","2,395.0","3,108.0","3,466.0","3,324.0","3,460.0","3,745.0"
"35","17","    General industrial, including materials handling, equipment","C273RC1","504.0","359.0","255.0","153.0","150.0","200.0","275.0","383.0","462.0","335.0","387.0","443.0","487.0","348.0","376.0","625.0","898.0","936.0","1,291.0","1,324.0","1,029.0","1,090.0","1,362.0","1,297.0","1,503.0","1,539.0","1,850.0","2,179.0","2,309.0","2,085.0","2,237.0","2,473.0","2,329.0","2,510.0","2,875.0","3,442.0","3,927.0","4,571.0","4,270.0","4,347.0","5,028.0"
"36","18","    Electrical transmission, distribution, and industrial apparatus","C276RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","393.0","714.0","690.0","632.0","790.0","1,060.0","1,233.0","1,351.0","1,436.0","1,408.0","1,767.0","2,010.0","1,711.0","1,788.0","1,944.0","1,880.0","1,907.0","1,880.0","2,117.0","2,363.0","2,866.0","2,937.0","2,914.0","3,086.0"
"37","19","  Transportation equipment","A681RC1","2,107.0","1,561.0","912.0","474.0","534.0","831.0","1,082.0","1,506.0","1,726.0","1,107.0","1,380.0","1,923.0","2,403.0","982.0","899.0","998.0","1,684.0","3,012.0","4,916.0","5,482.0","5,703.0","6,425.0","6,563.0","5,742.0","6,577.0","6,013.0","7,503.0","7,401.0","8,265.0","6,115.0","8,273.0","8,509.0","8,026.0","9,789.0","9,432.0","10,577.0","13,215.0","14,518.0","14,266.0","17,629.0","18,890.0"
"38","20","    Trucks, buses, and truck trailers","C279RC1","496.0","358.0","248.0","136.0","160.0","258.0","325.0","424.0","437.0","304.0","415.0","490.0","617.0","134.0","146.0","348.0","937.0","1,164.0","1,734.0","2,084.0","1,772.0","2,095.0","2,360.0","1,861.0","1,841.0","1,736.0","2,379.0","2,505.0","2,348.0","2,084.0","2,616.0","2,567.0","2,660.0","3,410.0","3,596.0","3,736.0","4,655.0","5,407.0","4,857.0","5,926.0","7,158.0"
"39","21","      Light trucks (including utility vehicles) \3\","W178RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
