"","Table 1#14# Gross Value Added of Domestic Corporate Business in ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92"
"1","[Millions of dollars]; Seasonally adjusted at annual rates                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Quarterly data from 1947 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published June 24, 2011     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 6/23/2011 9:33:30 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Cautionary note on the use of data in millions of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","dollars -- The tables provided include estimates in ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","millions of dollars for NIPA series that appear regularly in the national income ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","and product account (NIPA) tables published in the Survey of Current Business. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1947","1947","1947","1947","1948","1948","1948","1948","1949","1949","1949","1949","1950","1950","1950","1950","1951","1951","1951","1951","1952","1952","1952","1952","1953","1953","1953","1953","1954","1954","1954","1954","1955","1955","1955","1955","1956","1956","1956","1956","1957","1957","1957","1957","1958","1958","1958","1958","1959","1959","1959","1959","1960","1960","1960","1960","1961","1961","1961","1961","1962","1962","1962","1962","1963","1963","1963","1963","1964","1964","1964","1964","1965","1965","1965","1965","1966","1966","1966","1966","1967","1967","1967","1967","1968","1968","1968","1968","1969"
"19",NA,NA,NA,"1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1"
"20","1","    Gross value added of corporate business \1\","A451RC1","119,379.0","124,437.0","127,118.0","132,870.0","140,093.0","143,348.0","146,048.0","148,427.0","145,211.0","141,174.0","141,896.0","137,827.0","145,167.0","154,795.0","166,778.0","174,868.0","180,137.0","182,815.0","184,598.0","188,154.0","189,220.0","188,071.0","190,526.0","202,547.0","206,808.0","209,050.0","208,586.0","200,184.0","200,207.0","200,962.0","202,969.0","210,426.0","220,180.0","227,121.0","232,343.0","238,296.0","240,122.0","243,862.0","245,840.0","252,600.0","257,341.0","257,600.0","258,934.0","253,877.0","245,211.0","244,378.0","253,055.0","264,588.0","273,982.0","285,974.0","281,910.0","285,618.0","296,322.0","294,332.0","293,868.0","290,929.0","290,270.0","298,581.0","305,109.0","314,615.0","321,977.0","326,779.0","331,350.0","335,962.0","339,497.0","347,283.0","352,723.0","358,680.0","367,774.0","374,111.0","381,960.0","386,786.0","401,198.0","408,954.0","417,096.0","430,310.0","442,529.0","450,765.0","457,493.0","465,690.0","468,250.0","472,394.0","481,931.0","494,483.0","507,736.0","523,519.0","535,479.0","549,774.0","561,667.0"
"21","2","Consumption of fixed capital","A438RC1","8,098.0","8,671.0","9,171.0","9,596.0","9,947.0","10,263.0","10,542.0","10,784.0","10,990.0","11,168.0","11,317.0","11,437.0","11,529.0","11,738.0","12,065.0","12,508.0","13,067.0","13,515.0","13,852.0","14,078.0","14,193.0","14,345.0","14,537.0","14,765.0","15,033.0","15,282.0","15,513.0","15,724.0","15,916.0","16,098.0","16,267.0","16,423.0","16,570.0","16,836.0","17,220.0","17,726.0","18,348.0","18,946.0","19,519.0","20,067.0","20,590.0","21,068.0","21,498.0","21,884.0","22,223.0","22,546.0","22,853.0","23,146.0","23,421.0","23,629.0","23,773.0","23,849.0","23,859.0","23,912.0","24,006.0","24,143.0","24,321.0","24,510.0","24,711.0","24,922.0","25,143.0","25,382.0","25,640.0","25,915.0","26,208.0","26,515.0","26,838.0","27,175.0","27,528.0","27,930.0","28,381.0","28,881.0","29,432.0","30,038.0","30,699.0","31,415.0","32,188.0","32,977.0","33,783.0","34,604.0","35,444.0","36,314.0","37,215.0","38,147.0","39,109.0","40,099.0","41,114.0","42,158.0","43,226.0"
"22","3","Net value added","A439RC1","111,281.0","115,766.0","117,947.0","123,274.0","130,146.0","133,085.0","135,506.0","137,643.0","134,221.0","130,006.0","130,579.0","126,390.0","133,638.0","143,057.0","154,713.0","162,360.0","167,070.0","169,300.0","170,746.0","174,076.0","175,027.0","173,726.0","175,989.0","187,782.0","191,775.0","193,768.0","193,073.0","184,460.0","184,291.0","184,864.0","186,702.0","194,003.0","203,610.0","210,285.0","215,123.0","220,570.0","221,774.0","224,916.0","226,321.0","232,533.0","236,751.0","236,532.0","237,436.0","231,993.0","222,988.0","221,832.0","230,202.0","241,442.0","250,561.0","262,345.0","258,137.0","261,769.0","272,463.0","270,420.0","269,862.0","266,786.0","265,949.0","274,071.0","280,398.0","289,693.0","296,834.0","301,397.0","305,710.0","310,047.0","313,289.0","320,768.0","325,885.0","331,505.0","340,246.0","346,181.0","353,579.0","357,905.0","371,766.0","378,916.0","386,397.0","398,895.0","410,341.0","417,788.0","423,710.0","431,086.0","432,806.0","436,080.0","444,716.0","456,336.0","468,627.0","483,420.0","494,365.0","507,616.0","518,441.0"
"23","4","  Compensation of employees","A442RC1","79,192.0","80,540.0","82,776.0","86,036.0","89,008.0","89,820.0","92,612.0","93,004.0","91,072.0","88,992.0","88,084.0","87,044.0","90,624.0","95,640.0","101,640.0","106,712.0","111,332.0","114,548.0","115,356.0","116,976.0","119,908.0","120,144.0","122,520.0","129,488.0","132,400.0","134,888.0","135,044.0","133,608.0","131,760.0","131,096.0","131,260.0","134,732.0","138,296.0","142,860.0","146,608.0","150,736.0","153,800.0","156,844.0","158,636.0","163,420.0","165,664.0","166,488.0","167,724.0","166,124.0","162,024.0","160,192.0","164,336.0","169,356.0","174,612.0","181,080.0","181,480.0","183,984.0","190,116.0","191,556.0","191,104.0","189,980.0","189,820.0","193,292.0","197,084.0","202,020.0","205,920.0","210,512.0","212,728.0","214,828.0","217,324.0","220,884.0","224,340.0","228,120.0","231,996.0","236,860.0","241,880.0","245,984.0","251,604.0","256,280.0","261,748.0","269,824.0","277,456.0","285,652.0","292,772.0","298,232.0","301,348.0","304,340.0","310,724.0","317,260.0","327,292.0","336,572.0","345,588.0","355,748.0","363,740.0"
"24","5","    Wage and salary accruals","A443RC1","75,216.0","76,488.0","78,572.0","81,688.0","84,836.0","85,648.0","88,380.0","88,732.0","86,804.0","84,608.0","83,636.0","82,512.0","85,480.0","90,192.0","95,788.0","100,496.0","104,600.0","107,560.0","108,288.0","109,684.0","112,544.0","112,732.0","114,964.0","121,720.0","124,420.0","126,744.0","126,756.0","125,284.0","123,236.0","122,616.0","122,648.0","125,900.0","128,972.0","133,184.0","136,620.0","140,500.0","143,064.0","145,828.0","147,332.0","151,796.0","153,508.0","154,096.0","155,100.0","153,404.0","149,628.0","147,824.0","151,752.0","156,368.0","161,092.0","166,472.0","166,472.0","168,524.0","173,976.0","175,240.0","174,816.0","173,792.0","173,612.0","176,724.0","180,044.0","184,360.0","187,548.0","191,472.0","193,268.0","194,996.0","197,188.0","200,316.0","203,384.0","206,780.0","210,264.0","214,652.0","219,196.0","222,888.0","227,992.0","232,092.0","236,792.0","243,736.0","249,832.0","256,764.0","262,828.0","267,572.0","270,776.0","273,488.0","279,156.0","284,844.0","293,300.0","301,304.0","309,100.0","317,952.0","325,084.0"
"25","6","    Supplements to wages and salaries","A444RC1","3,976.0","4,052.0","4,204.0","4,348.0","4,172.0","4,172.0","4,232.0","4,272.0","4,268.0","4,384.0","4,448.0","4,532.0","5,144.0","5,448.0","5,852.0","6,216.0","6,732.0","6,988.0","7,068.0","7,292.0","7,364.0","7,412.0","7,556.0","7,768.0","7,980.0","8,144.0","8,288.0","8,324.0","8,524.0","8,480.0","8,612.0","8,832.0","9,324.0","9,676.0","9,988.0","10,236.0","10,736.0","11,016.0","11,304.0","11,624.0","12,156.0","12,392.0","12,624.0","12,720.0","12,396.0","12,368.0","12,584.0","12,988.0","13,520.0","14,608.0","15,008.0","15,460.0","16,140.0","16,316.0","16,288.0","16,188.0","16,208.0","16,568.0","17,040.0","17,660.0","18,372.0","19,040.0","19,460.0","19,832.0","20,136.0","20,568.0","20,956.0","21,340.0","21,732.0","22,208.0","22,684.0","23,096.0","23,612.0","24,188.0","24,956.0","26,088.0","27,624.0","28,888.0","29,944.0","30,660.0","30,572.0","30,852.0","31,568.0","32,416.0","33,992.0","35,268.0","36,488.0","37,796.0","38,656.0"
"26","7","  Taxes on production and imports less subsidies","W321RC1","11,180.0","11,276.0","11,500.0","12,144.0","12,240.0","12,744.0","12,936.0","13,076.0","13,096.0","13,308.0","13,552.0","13,528.0","13,836.0","14,516.0","15,812.0","15,120.0","16,216.0","15,416.0","15,636.0","16,144.0","16,644.0","17,208.0","17,488.0","17,984.0","18,324.0","18,556.0","18,600.0","18,392.0","17,960.0","17,908.0","17,752.0","18,128.0","18,908.0","19,668.0","20,208.0","20,488.0","20,840.0","21,160.0","21,712.0","22,360.0","22,724.0","22,992.0","23,060.0","22,456.0","22,976.0","22,860.0","23,056.0","23,656.0","24,412.0","24,900.0","25,960.0","26,940.0","27,112.0","27,548.0","28,172.0","28,544.0","28,728.0","28,712.0","28,992.0","29,328.0","30,012.0","30,860.0","31,728.0","32,336.0","32,652.0","32,956.0","33,332.0","33,740.0","34,372.0","35,180.0","36,008.0","36,792.0","37,288.0","37,696.0","38,072.0","38,208.0","38,476.0","38,792.0","39,044.0","39,340.0","39,828.0","40,532.0","41,788.0","43,408.0","45,268.0","47,108.0","48,804.0","50,208.0","51,328.0"
"27","8","  Net operating surplus","W322RC1","20,909.0","23,950.0","23,671.0","25,094.0","28,898.0","30,521.0","29,958.0","31,563.0","30,053.0","27,706.0","28,943.0","25,818.0","29,178.0","32,901.0","37,261.0","40,528.0","39,522.0","39,336.0","39,754.0","40,956.0","38,475.0","36,374.0","35,981.0","40,310.0","41,051.0","40,324.0","39,429.0","32,460.0","34,571.0","35,860.0","37,690.0","41,143.0","46,406.0","47,757.0","48,307.0","49,346.0","47,134.0","46,912.0","45,973.0","46,753.0","48,363.0","47,052.0","46,652.0","43,413.0","37,988.0","38,780.0","42,810.0","48,430.0","51,537.0","56,365.0","50,697.0","50,845.0","55,235.0","51,316.0","50,586.0","48,262.0","47,401.0","52,067.0","54,322.0","58,345.0","60,902.0","60,025.0","61,254.0","62,883.0","63,313.0","66,928.0","68,213.0","69,645.0","73,878.0","74,141.0","75,691.0","75,129.0","82,874.0","84,940.0","86,577.0","90,863.0","94,409.0","93,344.0","91,894.0","93,514.0","91,630.0","91,208.0","92,204.0","95,668.0","96,067.0","99,740.0","99,973.0","101,660.0","103,373.0"
