"","Table 1#10# Gross Domestic Income by Type of Income             ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92"
"1","[Millions of dollars]; Seasonally adjusted at annual rates                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Quarterly data from 1947 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published June 24, 2011     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 6/23/2011 9:33:00 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Cautionary note on the use of data in millions of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","dollars -- The tables provided include estimates in ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","millions of dollars for NIPA series that appear regularly in the national income ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","and product account (NIPA) tables published in the Survey of Current Business. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1947","1947","1947","1947","1948","1948","1948","1948","1949","1949","1949","1949","1950","1950","1950","1950","1951","1951","1951","1951","1952","1952","1952","1952","1953","1953","1953","1953","1954","1954","1954","1954","1955","1955","1955","1955","1956","1956","1956","1956","1957","1957","1957","1957","1958","1958","1958","1958","1959","1959","1959","1959","1960","1960","1960","1960","1961","1961","1961","1961","1962","1962","1962","1962","1963","1963","1963","1963","1964","1964","1964","1964","1965","1965","1965","1965","1966","1966","1966","1966","1967","1967","1967","1967","1968","1968","1968","1968","1969"
"19",NA,NA,NA,"1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1"
"20","1","    Gross domestic income","A261RC1","236,365.0","237,846.0","242,069.0","251,019.0","259,574.0","268,574.0","274,139.0","276,162.0","269,353.0","264,996.0","265,352.0","261,953.0","271,499.0","283,223.0","301,311.0","313,455.0","326,473.0","332,696.0","338,518.0","345,047.0","347,699.0","349,964.0","356,353.0","368,184.0","374,943.0","378,456.0","377,817.0","370,237.0","372,307.0","373,219.0","377,107.0","386,330.0","398,570.0","409,181.0","417,033.0","424,576.0","429,256.0","435,927.0","441,056.0","450,550.0","457,664.0","460,521.0","465,480.0","460,861.0","455,673.0","457,649.0","468,898.0","482,632.0","494,900.0","509,986.0","507,021.0","512,683.0","526,695.0","527,233.0","528,592.0","527,047.0","529,169.0","539,466.0","549,199.0","563,555.0","575,002.0","581,766.0","588,508.0","596,082.0","603,582.0","613,929.0","623,028.0","633,788.0","646,518.0","657,180.0","669,262.0","678,499.0","697,163.0","709,180.0","721,852.0","742,269.0","763,206.0","774,447.0","787,347.0","801,075.0","808,735.0","817,374.0","834,019.0","851,618.0","873,964.0","896,377.0","916,603.0","935,145.0","954,238.0"
"21","2","Compensation of employees, paid","A4002C1","127,183.0","128,702.0","130,066.0","134,306.0","137,824.0","139,488.0","144,375.0","145,805.0","144,014.0","141,832.0","140,971.0","140,391.0","144,498.0","150,555.0","158,902.0","166,835.0","174,933.0","180,539.0","183,734.0","186,441.0","191,450.0","192,780.0","196,270.0","204,140.0","207,995.0","211,353.0","211,530.0","210,023.0","208,160.0","207,761.0","208,311.0","212,620.0","217,114.0","223,649.0","228,628.0","233,670.0","238,109.0","242,722.0","245,826.0","251,636.0","255,402.0","257,093.0","259,742.0","258,223.0","255,324.0","254,903.0","260,981.0","267,269.0","274,561.0","281,711.0","282,368.0","285,636.0","294,193.0","297,041.0","297,782.0","297,240.0","298,166.0","302,349.0","307,338.0","313,931.0","320,540.0","326,462.0","329,247.0","332,704.0","337,564.0","342,454.0","347,477.0","353,618.0","360,046.0","367,412.0","374,727.0","380,708.0","387,310.0","394,120.0","402,302.0","414,267.0","426,686.0","437,765.0","448,940.0","457,124.0","463,218.0","468,958.0","478,624.0","489,641.0","504,472.0","517,592.0","531,374.0","543,761.0","555,871.0"
"22","3","  Wage and salary accruals","A4102C1","119,655.0","121,483.0","123,419.0","127,823.0","131,331.0","133,123.0","137,983.0","139,419.0","136,895.0","134,583.0","133,843.0","133,379.0","137,000.0","142,794.0","150,718.0","158,189.0","165,511.0","170,803.0","173,828.0","176,229.0","181,162.0","182,379.0","185,703.0","193,292.0","196,910.0","200,095.0","200,286.0","198,693.0","196,450.0","196,017.0","196,393.0","200,420.0","204,241.0","210,383.0","214,736.0","219,524.0","223,358.0","227,586.0","230,036.0","235,453.0","238,347.0","239,698.0","241,903.0","240,168.0","237,460.0","236,964.0","242,640.0","248,493.0","254,084.0","260,629.0","260,980.0","263,995.0","270,905.0","273,554.0","274,116.0","273,464.0","273,933.0","277,777.0","282,392.0","288,547.0","293,371.0","298,842.0","301,266.0","304,329.0","308,025.0","312,419.0","316,904.0","322,303.0","328,272.0","334,883.0","341,463.0","346,745.0","352,810.0","358,874.0","366,207.0","377,117.0","385,739.0","395,879.0","406,104.0","413,457.0","418,806.0","423,569.0","431,978.0","441,552.0","454,199.0","465,912.0","478,318.0","489,401.0","499,046.0"
"23","4","    Disbursements","W269RC1","119,655.0","121,471.0","123,387.0","127,807.0","131,195.0","132,987.0","138,167.0","139,367.0","136,763.0","134,899.0","133,843.0","133,379.0","137,000.0","142,794.0","150,718.0","158,093.0","165,315.0","170,919.0","173,040.0","176,801.0","181,038.0","182,259.0","186,035.0","193,292.0","196,958.0","200,167.0","200,390.0","198,773.0","196,450.0","196,017.0","196,393.0","200,420.0","204,121.0","209,923.0","215,316.0","219,524.0","223,358.0","227,586.0","230,036.0","235,453.0","238,347.0","239,698.0","241,903.0","240,168.0","236,820.0","236,348.0","243,896.0","248,493.0","254,084.0","260,629.0","260,980.0","263,995.0","270,905.0","273,554.0","274,116.0","273,464.0","273,933.0","277,777.0","282,392.0","288,547.0","293,371.0","298,842.0","301,266.0","304,329.0","308,025.0","312,419.0","316,904.0","322,303.0","328,272.0","334,883.0","341,347.0","346,861.0","352,810.0","358,874.0","366,207.0","377,117.0","385,739.0","395,879.0","406,104.0","413,457.0","418,806.0","423,569.0","431,978.0","441,552.0","454,199.0","465,912.0","478,318.0","489,401.0","499,046.0"
"24","5","      To persons","W270RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"25","6","      To the rest of the world","B4189C1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"26","7","    Wage accruals less disbursements","A062RC1","0.0","12.0","32.0","16.0","136.0","136.0","-184.0","52.0","132.0","-316.0","0.0","0.0","0.0","0.0","0.0","96.0","196.0","-116.0","788.0","-572.0","124.0","120.0","-332.0","0.0","-48.0","-72.0","-104.0","-80.0","0.0","0.0","0.0","0.0","120.0","460.0","-580.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","640.0","616.0","-1,256.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","116.0","-116.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"27","8","  Supplements to wages and salaries","A038RC1","7,528.0","7,219.0","6,647.0","6,483.0","6,493.0","6,365.0","6,392.0","6,386.0","7,119.0","7,249.0","7,128.0","7,012.0","7,498.0","7,761.0","8,184.0","8,646.0","9,422.0","9,736.0","9,906.0","10,212.0","10,288.0","10,401.0","10,567.0","10,848.0","11,085.0","11,258.0","11,244.0","11,330.0","11,710.0","11,744.0","11,918.0","12,200.0","12,873.0","13,266.0","13,892.0","14,146.0","14,751.0","15,136.0","15,790.0","16,183.0","17,055.0","17,395.0","17,839.0","18,055.0","17,864.0","17,939.0","18,341.0","18,776.0","20,477.0","21,082.0","21,388.0","21,641.0","23,288.0","23,487.0","23,666.0","23,776.0","24,233.0","24,572.0","24,946.0","25,384.0","27,169.0","27,620.0","27,981.0","28,375.0","29,539.0","30,035.0","30,573.0","31,315.0","31,774.0","32,529.0","33,264.0","33,963.0","34,500.0","35,246.0","36,095.0","37,150.0","40,947.0","41,886.0","42,836.0","43,667.0","44,412.0","45,389.0","46,646.0","48,089.0","50,273.0","51,680.0","53,056.0","54,360.0","56,825.0"
"28","9","Taxes on production and imports","W056RC1","17,679.0","17,740.0","18,031.0","18,974.0","18,963.0","19,665.0","20,006.0","20,270.0","20,369.0","20,822.0","21,253.0","21,172.0","21,554.0","22,462.0","24,380.0","23,404.0","25,094.0","24,069.0","24,481.0","25,336.0","26,087.0","26,918.0","27,334.0","28,145.0","28,746.0","29,178.0","29,319.0","29,161.0","28,681.0","28,812.0","28,744.0","29,319.0","30,248.0","31,228.0","31,941.0","32,451.0","33,031.0","33,596.0","34,597.0","35,724.0","36,144.0","36,561.0","37,012.0","36,746.0","36,823.0","37,331.0","37,795.0","38,929.0","39,770.0","40,292.0","41,722.0","42,424.0","43,696.0","44,347.0","44,861.0","45,284.0","45,776.0","46,463.0","47,256.0","48,377.0","49,396.0","49,906.0","50,888.0","51,338.0","52,005.0","52,938.0","53,919.0","54,682.0","55,671.0","56,746.0","57,881.0","58,778.0","60,184.0","60,340.0","60,516.0","61,796.0","61,365.0","62,827.0","63,748.0","64,904.0","65,564.0","66,832.0","68,746.0","70,606.0","73,367.0","75,424.0","77,693.0","79,144.0","80,589.0"
"29","10","Less: Subsidies \1\","A107RC1","315.0","219.0","160.0","89.0","160.0","60.0","375.0","627.0","345.0","159.0","287.0","237.0","442.0","555.0","511.0","834.0","878.0","838.0","566.0","711.0","465.0","430.0","426.0","316.0","347.0","67.0","283.0","-205.0","-294.0","257.0","-110.0","-273.0","-155.0","-80.0","-365.0","-205.0","-78.0","178.0","513.0","812.0","863.0","776.0","607.0","501.0","635.0","831.0","1,023.0","1,169.0","1,148.0","928.0","1,088.0","1,068.0","1,024.0","1,280.0","1,048.0","1,232.0","1,572.0","2,008.0","2,172.0","2,304.0","2,284.0","2,384.0","2,216.0","2,208.0","2,032.0","2,176.0","2,296.0","2,432.0","2,728.0","2,880.0","2,648.0","2,660.0","2,924.0","2,972.0","2,988.0","3,144.0","3,564.0","3,928.0","4,064.0","4,240.0","3,992.0","3,872.0","3,684.0","3,696.0","4,036.0","4,204.0","4,220.0","4,236.0","4,340.0"
